# _root_ Doposud jsme byli zvyklí na to , že školy organizovaly nejrůznější soutěže , zájezdy nebo přehlídky a peníze na ně byly vždy nějakým způsobem zajištěny .
#goldHeads=3,3,0,3,4,5,8,6,10,17,15,15,15,15,10,15,8,25,18,19,25,25,24,25,17,0,
#predictedHeads=3,3,0,3,4,5,8,6,10,8,12,10,15,15,25,15,15,17,25,19,25,25,24,25,12,0,
(13,9),0.0368986 # DEPENDENCYPART_ARC
(13,10),0.448905 # DEPENDENCYPART_ARC
(13,11),0.471095 # DEPENDENCYPART_ARC
(13,12),1.58455 # DEPENDENCYPART_ARC
(13,14),1.90305 # DEPENDENCYPART_ARC
(13,15),0.548598 # DEPENDENCYPART_ARC
(13,16),0.300488 # DEPENDENCYPART_ARC
(13,17),0.203654 # DEPENDENCYPART_ARC
(13,18),-0.631641 # DEPENDENCYPART_ARC
(13,19),-0.651718 # DEPENDENCYPART_ARC
(13,21),-0.407561 # DEPENDENCYPART_ARC
(13,22),-0.967842 # DEPENDENCYPART_ARC
(13,25),-1.08175 # DEPENDENCYPART_ARC
(14,11),-1.98506 # DEPENDENCYPART_ARC
(14,12),-2.69978 # DEPENDENCYPART_ARC
(14,13),-1.32651 # DEPENDENCYPART_ARC
(14,16),-0.397028 # DEPENDENCYPART_ARC
(14,18),-2.77947 # DEPENDENCYPART_ARC
(14,19),-0.11777 # DEPENDENCYPART_ARC
(15,1),-0.918105 # DEPENDENCYPART_ARC
(15,2),-0.7866 # DEPENDENCYPART_ARC
(15,3),-0.750689 # DEPENDENCYPART_ARC
(15,4),-0.650464 # DEPENDENCYPART_ARC
(15,5),-0.613501 # DEPENDENCYPART_ARC
(15,6),0.0959458 # DEPENDENCYPART_ARC
(15,7),0.986095 # DEPENDENCYPART_ARC
(15,8),0.19857 # DEPENDENCYPART_ARC
(15,9),0.854836 # DEPENDENCYPART_ARC
(15,10),0.47929 # DEPENDENCYPART_ARC
(15,11),1.86564 # DEPENDENCYPART_ARC
(15,12),2.67642 # DEPENDENCYPART_ARC
(15,13),2.63557 # DEPENDENCYPART_ARC
(15,14),3.94268 # DEPENDENCYPART_ARC
(15,16),4.29667 # DEPENDENCYPART_ARC
(15,17),0.826753 # DEPENDENCYPART_ARC
(15,18),1.30642 # DEPENDENCYPART_ARC
(15,19),-0.0894847 # DEPENDENCYPART_ARC
(15,21),-0.249013 # DEPENDENCYPART_ARC
(15,22),-0.629041 # DEPENDENCYPART_ARC
(15,24),-0.92907 # DEPENDENCYPART_ARC
(15,25),-0.994403 # DEPENDENCYPART_ARC
(16,14),-3.53564 # DEPENDENCYPART_ARC
(16,15),-1.95258 # DEPENDENCYPART_ARC
(16,18),-2.30439 # DEPENDENCYPART_ARC
(17,1),-1.26216 # DEPENDENCYPART_ARC
(17,2),-1.60001 # DEPENDENCYPART_ARC
(17,3),-0.719381 # DEPENDENCYPART_ARC
(17,4),-1.3603 # DEPENDENCYPART_ARC
(17,6),-0.893664 # DEPENDENCYPART_ARC
(17,7),0.360958 # DEPENDENCYPART_ARC
(17,8),-0.14656 # DEPENDENCYPART_ARC
(17,9),0.194531 # DEPENDENCYPART_ARC
(17,10),0.3166 # DEPENDENCYPART_ARC
(17,11),0.802929 # DEPENDENCYPART_ARC
(17,12),2.00579 # DEPENDENCYPART_ARC
(17,13),1.64689 # DEPENDENCYPART_ARC
(17,14),2.08455 # DEPENDENCYPART_ARC
(17,15),0.403788 # DEPENDENCYPART_ARC
(17,16),3.57927 # DEPENDENCYPART_ARC
(17,18),3.41585 # DEPENDENCYPART_ARC
(17,19),0.413402 # DEPENDENCYPART_ARC
(17,21),0.944686 # DEPENDENCYPART_ARC
(17,22),-0.334753 # DEPENDENCYPART_ARC
(17,24),-0.735989 # DEPENDENCYPART_ARC
(17,25),0.219899 # DEPENDENCYPART_ARC
(17,26),-0.23278 # DEPENDENCYPART_ARC
(18,16),-4.77506 # DEPENDENCYPART_ARC
(18,19),0.968856 # DEPENDENCYPART_ARC
(18,21),-1.02868 # DEPENDENCYPART_ARC
(18,22),-1.32321 # DEPENDENCYPART_ARC
(18,24),-4.75217 # DEPENDENCYPART_ARC
(18,25),-1.47973 # DEPENDENCYPART_ARC
(19,16),-2.74688 # DEPENDENCYPART_ARC
(19,18),-1.32752 # DEPENDENCYPART_ARC
(19,20),2.49515 # DEPENDENCYPART_ARC
(19,22),-1.10711 # DEPENDENCYPART_ARC
(19,24),-0.111228 # DEPENDENCYPART_ARC
(21,1),-1.75001 # DEPENDENCYPART_ARC
(21,9),0.148252 # DEPENDENCYPART_ARC
(21,11),-3.61993 # DEPENDENCYPART_ARC
(21,12),-1.93272 # DEPENDENCYPART_ARC
(21,13),-0.257047 # DEPENDENCYPART_ARC
(21,14),0.0260251 # DEPENDENCYPART_ARC
(21,15),-0.066191 # DEPENDENCYPART_ARC
(21,16),0.940872 # DEPENDENCYPART_ARC
(21,17),-0.0229031 # DEPENDENCYPART_ARC
(21,18),2.22371 # DEPENDENCYPART_ARC
(21,19),0.136151 # DEPENDENCYPART_ARC
(21,22),1.47951 # DEPENDENCYPART_ARC
(21,23),0.494676 # DEPENDENCYPART_ARC
(21,24),0.185296 # DEPENDENCYPART_ARC
(21,25),0.822259 # DEPENDENCYPART_ARC
(22,19),-0.68987 # DEPENDENCYPART_ARC
(22,21),-0.190573 # DEPENDENCYPART_ARC
(22,23),-0.527314 # DEPENDENCYPART_ARC
(22,24),-0.773556 # DEPENDENCYPART_ARC
(22,25),-0.566722 # DEPENDENCYPART_ARC
(23,18),-1.81277 # DEPENDENCYPART_ARC
(23,22),0.191097 # DEPENDENCYPART_ARC
(23,24),-1.05374 # DEPENDENCYPART_ARC
(24,19),-0.289301 # DEPENDENCYPART_ARC
(24,22),0.167801 # DEPENDENCYPART_ARC
(24,23),4.34032 # DEPENDENCYPART_ARC
(25,2),-1.20213 # DEPENDENCYPART_ARC
(25,3),-0.484244 # DEPENDENCYPART_ARC
(25,5),-1.02914 # DEPENDENCYPART_ARC
(25,9),0.843095 # DEPENDENCYPART_ARC
(25,10),0.803429 # DEPENDENCYPART_ARC
(25,12),-2.01605 # DEPENDENCYPART_ARC
(25,13),-0.0787775 # DEPENDENCYPART_ARC
(25,14),-0.0968059 # DEPENDENCYPART_ARC
(25,15),0.834186 # DEPENDENCYPART_ARC
(25,16),0.602691 # DEPENDENCYPART_ARC
(25,17),0.579599 # DEPENDENCYPART_ARC
(25,18),3.13858 # DEPENDENCYPART_ARC
(25,19),1.25784 # DEPENDENCYPART_ARC
(25,21),3.8739 # DEPENDENCYPART_ARC
(25,22),2.27236 # DEPENDENCYPART_ARC
(25,23),3.36168 # DEPENDENCYPART_ARC
(25,24),4.23143 # DEPENDENCYPART_ARC
(25,26),-0.270356 # DEPENDENCYPART_ARC
