# _root_ Stál na břehu řeky s hořícím stromem v ruce a svítil té , která přeplouvala řeku , držíc se za chvost koně . . .
#goldHeads=10,1,2,3,1,7,5,7,8,0,10,11,15,15,12,15,18,14,18,18,20,21,0,0,0,
#predictedHeads=10,1,2,3,4,7,5,7,8,0,10,11,15,15,12,15,15,15,18,18,20,21,0,0,0,
(4,7),-1.93605 # DEPENDENCYPART_ARC
(4,8),0.626148 # DEPENDENCYPART_ARC
(4,9),-2.36748 # DEPENDENCYPART_ARC
(4,10),-0.269534 # DEPENDENCYPART_ARC
(4,11),-1.89621 # DEPENDENCYPART_ARC
(4,15),-1.33032 # DEPENDENCYPART_ARC
(4,18),-3.78638 # DEPENDENCYPART_ARC
(5,3),0.715279 # DEPENDENCYPART_ARC
(5,4),-1.2287 # DEPENDENCYPART_ARC
(5,6),0.0819135 # DEPENDENCYPART_ARC
(5,7),3.41529 # DEPENDENCYPART_ARC
(5,9),-0.239598 # DEPENDENCYPART_ARC
(5,10),-0.575537 # DEPENDENCYPART_ARC
(6,2),-0.667556 # DEPENDENCYPART_ARC
(6,4),-3.67764 # DEPENDENCYPART_ARC
(6,5),-0.281276 # DEPENDENCYPART_ARC
(6,7),0.924791 # DEPENDENCYPART_ARC
(6,8),0.541973 # DEPENDENCYPART_ARC
(6,9),-2.15475 # DEPENDENCYPART_ARC
(6,11),-1.53334 # DEPENDENCYPART_ARC
(6,13),-0.710506 # DEPENDENCYPART_ARC
(7,3),-2.14873 # DEPENDENCYPART_ARC
(7,4),-3.62001 # DEPENDENCYPART_ARC
(7,5),-1.08244 # DEPENDENCYPART_ARC
(7,6),5.10065 # DEPENDENCYPART_ARC
(7,8),1.77273 # DEPENDENCYPART_ARC
(7,9),0.324621 # DEPENDENCYPART_ARC
(7,10),0.321884 # DEPENDENCYPART_ARC
(7,11),-1.12536 # DEPENDENCYPART_ARC
(7,12),-1.01757 # DEPENDENCYPART_ARC
(7,15),-1.57646 # DEPENDENCYPART_ARC
(7,18),-2.87882 # DEPENDENCYPART_ARC
(8,9),4.5054 # DEPENDENCYPART_ARC
(8,10),-0.264516 # DEPENDENCYPART_ARC
(9,6),-1.50822 # DEPENDENCYPART_ARC
(9,7),-1.87911 # DEPENDENCYPART_ARC
(9,8),0.884183 # DEPENDENCYPART_ARC
(9,12),-1.89006 # DEPENDENCYPART_ARC
(9,18),-4.95758 # DEPENDENCYPART_ARC
(10,1),2.45963 # DEPENDENCYPART_ARC
(10,2),0.0781643 # DEPENDENCYPART_ARC
(10,3),1.22963 # DEPENDENCYPART_ARC
(10,4),0.905675 # DEPENDENCYPART_ARC
(10,5),-0.252707 # DEPENDENCYPART_ARC
(10,6),0.146988 # DEPENDENCYPART_ARC
(10,7),1.56277 # DEPENDENCYPART_ARC
(10,8),0.625558 # DEPENDENCYPART_ARC
(10,9),1.17199 # DEPENDENCYPART_ARC
(10,11),2.27234 # DEPENDENCYPART_ARC
(10,12),-0.425709 # DEPENDENCYPART_ARC
(10,13),-0.265861 # DEPENDENCYPART_ARC
(10,14),-1.14635 # DEPENDENCYPART_ARC
(10,15),-0.00924877 # DEPENDENCYPART_ARC
(10,16),-1.83202 # DEPENDENCYPART_ARC
(10,17),0.29475 # DEPENDENCYPART_ARC
(10,23),-1.77404 # DEPENDENCYPART_ARC
(10,24),-1.72958 # DEPENDENCYPART_ARC
(10,25),-2.13105 # DEPENDENCYPART_ARC
(11,1),-2.33805 # DEPENDENCYPART_ARC
(11,2),-0.684913 # DEPENDENCYPART_ARC
(11,3),-1.77702 # DEPENDENCYPART_ARC
(11,4),-3.13298 # DEPENDENCYPART_ARC
(11,5),-0.754881 # DEPENDENCYPART_ARC
(11,7),0.135749 # DEPENDENCYPART_ARC
(11,8),-0.251247 # DEPENDENCYPART_ARC
(11,9),-1.97574 # DEPENDENCYPART_ARC
(11,10),0.355968 # DEPENDENCYPART_ARC
(11,12),1.5763 # DEPENDENCYPART_ARC
(11,13),0.342098 # DEPENDENCYPART_ARC
(11,15),-0.666973 # DEPENDENCYPART_ARC
(11,16),0.960358 # DEPENDENCYPART_ARC
(11,17),0.448399 # DEPENDENCYPART_ARC
(11,18),0.870153 # DEPENDENCYPART_ARC
(11,20),0.200945 # DEPENDENCYPART_ARC
(11,21),-1.71175 # DEPENDENCYPART_ARC
(11,22),-2.9636 # DEPENDENCYPART_ARC
(11,23),-0.799511 # DEPENDENCYPART_ARC
(11,24),-0.793217 # DEPENDENCYPART_ARC
(11,25),-1.01135 # DEPENDENCYPART_ARC
(12,9),-1.1717 # DEPENDENCYPART_ARC
(12,10),-0.735574 # DEPENDENCYPART_ARC
(12,13),0.424035 # DEPENDENCYPART_ARC
(12,15),2.73869 # DEPENDENCYPART_ARC
(12,16),-1.26123 # DEPENDENCYPART_ARC
(12,17),0.471391 # DEPENDENCYPART_ARC
(12,20),0.105821 # DEPENDENCYPART_ARC
(12,23),0.208682 # DEPENDENCYPART_ARC
(12,24),-0.10919 # DEPENDENCYPART_ARC
(12,25),-0.454515 # DEPENDENCYPART_ARC
(13,1),-0.288814 # DEPENDENCYPART_ARC
(13,11),-0.98723 # DEPENDENCYPART_ARC
(13,12),-1.05142 # DEPENDENCYPART_ARC
(13,15),-0.566066 # DEPENDENCYPART_ARC
(13,16),-1.981 # DEPENDENCYPART_ARC
(13,17),-1.29387 # DEPENDENCYPART_ARC
(14,13),-0.256229 # DEPENDENCYPART_ARC
(14,16),-1.70585 # DEPENDENCYPART_ARC
(14,21),-2.3967 # DEPENDENCYPART_ARC
(14,22),-1.30279 # DEPENDENCYPART_ARC
(15,1),-3.61777 # DEPENDENCYPART_ARC
(15,2),-0.391946 # DEPENDENCYPART_ARC
(15,3),-2.16183 # DEPENDENCYPART_ARC
(15,4),-3.19297 # DEPENDENCYPART_ARC
(15,5),-1.07051 # DEPENDENCYPART_ARC
(15,7),-0.952211 # DEPENDENCYPART_ARC
(15,8),-1.12011 # DEPENDENCYPART_ARC
(15,9),-1.85195 # DEPENDENCYPART_ARC
(15,11),-1.8071 # DEPENDENCYPART_ARC
(15,12),-0.379856 # DEPENDENCYPART_ARC
(15,13),2.19822 # DEPENDENCYPART_ARC
(15,14),3.24716 # DEPENDENCYPART_ARC
(15,16),3.8024 # DEPENDENCYPART_ARC
(15,17),1.47286 # DEPENDENCYPART_ARC
(15,18),1.32892 # DEPENDENCYPART_ARC
(15,20),0.0565015 # DEPENDENCYPART_ARC
(15,21),-0.890685 # DEPENDENCYPART_ARC
(15,22),-3.12261 # DEPENDENCYPART_ARC
(15,23),-0.359634 # DEPENDENCYPART_ARC
(15,24),-0.648564 # DEPENDENCYPART_ARC
(15,25),-0.9358 # DEPENDENCYPART_ARC
(16,12),-0.999817 # DEPENDENCYPART_ARC
(16,14),-0.89137 # DEPENDENCYPART_ARC
(16,17),-0.840094 # DEPENDENCYPART_ARC
(16,18),-0.500605 # DEPENDENCYPART_ARC
(16,20),-1.26463 # DEPENDENCYPART_ARC
(16,21),-3.12781 # DEPENDENCYPART_ARC
(16,22),-1.02741 # DEPENDENCYPART_ARC
(17,1),1.69156 # DEPENDENCYPART_ARC
(17,2),-0.745621 # DEPENDENCYPART_ARC
(17,3),-0.720911 # DEPENDENCYPART_ARC
(17,10),0.159815 # DEPENDENCYPART_ARC
(17,11),0.469579 # DEPENDENCYPART_ARC
(17,12),-0.100329 # DEPENDENCYPART_ARC
(17,13),0.347659 # DEPENDENCYPART_ARC
(17,14),0.250701 # DEPENDENCYPART_ARC
(17,15),0.354359 # DEPENDENCYPART_ARC
(17,16),0.046413 # DEPENDENCYPART_ARC
(17,18),0.485001 # DEPENDENCYPART_ARC
(17,20),-0.913016 # DEPENDENCYPART_ARC
(17,21),-1.23709 # DEPENDENCYPART_ARC
(17,22),-0.896509 # DEPENDENCYPART_ARC
(17,23),0.243425 # DEPENDENCYPART_ARC
(17,24),0.137795 # DEPENDENCYPART_ARC
(18,2),-1.60825 # DEPENDENCYPART_ARC
(18,5),-1.89905 # DEPENDENCYPART_ARC
(18,13),0.50176 # DEPENDENCYPART_ARC
(18,16),-1.20882 # DEPENDENCYPART_ARC
(18,17),0.328887 # DEPENDENCYPART_ARC
(18,19),3.43766 # DEPENDENCYPART_ARC
(18,20),2.15349 # DEPENDENCYPART_ARC
(18,21),-1.3688 # DEPENDENCYPART_ARC
(18,22),-1.44547 # DEPENDENCYPART_ARC
(18,23),0.136496 # DEPENDENCYPART_ARC
(18,24),0.183401 # DEPENDENCYPART_ARC
(18,25),-0.285355 # DEPENDENCYPART_ARC
(20,17),-0.726464 # DEPENDENCYPART_ARC
(20,21),3.58306 # DEPENDENCYPART_ARC
(20,22),-2.05581 # DEPENDENCYPART_ARC
(20,23),-0.380481 # DEPENDENCYPART_ARC
(20,24),-0.680438 # DEPENDENCYPART_ARC
(20,25),-0.999748 # DEPENDENCYPART_ARC
(21,19),-2.51671 # DEPENDENCYPART_ARC
(21,20),1.35219 # DEPENDENCYPART_ARC
(21,22),3.1606 # DEPENDENCYPART_ARC
(21,23),0.142209 # DEPENDENCYPART_ARC
(21,24),-0.319156 # DEPENDENCYPART_ARC
(21,25),-1.09394 # DEPENDENCYPART_ARC
(22,16),-5.96405 # DEPENDENCYPART_ARC
(22,19),-2.9369 # DEPENDENCYPART_ARC
(22,20),-1.05173 # DEPENDENCYPART_ARC
(22,21),-1.16372 # DEPENDENCYPART_ARC
(22,23),0.765477 # DEPENDENCYPART_ARC
(22,24),0.0701588 # DEPENDENCYPART_ARC
(22,25),-0.743361 # DEPENDENCYPART_ARC
(23,12),-2.47907 # DEPENDENCYPART_ARC
(23,14),-2.58899 # DEPENDENCYPART_ARC
(23,19),-2.47838 # DEPENDENCYPART_ARC
(23,21),-1.48933 # DEPENDENCYPART_ARC
(23,22),-1.67353 # DEPENDENCYPART_ARC
(24,20),-2.08563 # DEPENDENCYPART_ARC
(24,21),-0.901376 # DEPENDENCYPART_ARC
(24,22),-1.22177 # DEPENDENCYPART_ARC
(24,25),-1.2626 # DEPENDENCYPART_ARC
