# _root_ V kvalifikaci stíhacího závodu družstev na 4 km zajelo čs . kvarteto Kadlec , Krejčí , Hudínek a Kábale čs . dorostenecký rekord časem 4 : 30.32 ( dosud 4 : 35.66 ) .
#goldHeads=9,1,4,2,4,4,8,6,0,12,10,9,18,18,18,18,18,12,18,23,20,23,9,9,26,24,26,24,24,31,24,31,24,0,
#predictedHeads=9,1,4,2,4,4,8,6,0,12,10,9,12,18,18,18,18,12,18,23,20,23,18,23,26,24,26,31,31,31,24,31,31,0,
(5,8),-0.170407 # DEPENDENCYPART_ARC
(5,10),-1.84613 # DEPENDENCYPART_ARC
(5,11),-1.26798 # DEPENDENCYPART_ARC
(6,5),-1.47151 # DEPENDENCYPART_ARC
(6,7),1.57391 # DEPENDENCYPART_ARC
(6,8),3.21682 # DEPENDENCYPART_ARC
(6,10),-0.383272 # DEPENDENCYPART_ARC
(6,12),-3.14401 # DEPENDENCYPART_ARC
(6,14),-0.580486 # DEPENDENCYPART_ARC
(6,18),-0.88371 # DEPENDENCYPART_ARC
(7,3),-0.707176 # DEPENDENCYPART_ARC
(7,8),3.2827 # DEPENDENCYPART_ARC
(7,9),-1.18262 # DEPENDENCYPART_ARC
(7,11),0.544201 # DEPENDENCYPART_ARC
(7,12),-0.704034 # DEPENDENCYPART_ARC
(7,13),-1.5724 # DEPENDENCYPART_ARC
(8,2),-3.62721 # DEPENDENCYPART_ARC
(8,3),0.702103 # DEPENDENCYPART_ARC
(8,4),-2.11541 # DEPENDENCYPART_ARC
(8,5),-3.852 # DEPENDENCYPART_ARC
(8,6),-0.732492 # DEPENDENCYPART_ARC
(8,7),2.40512 # DEPENDENCYPART_ARC
(8,9),-3.12557 # DEPENDENCYPART_ARC
(8,10),-1.66923 # DEPENDENCYPART_ARC
(8,11),-0.356836 # DEPENDENCYPART_ARC
(9,1),1.85745 # DEPENDENCYPART_ARC
(9,2),-1.00428 # DEPENDENCYPART_ARC
(9,3),-5.5499 # DEPENDENCYPART_ARC
(9,4),-0.904819 # DEPENDENCYPART_ARC
(9,5),-0.418224 # DEPENDENCYPART_ARC
(9,6),0.906018 # DEPENDENCYPART_ARC
(9,7),0.624784 # DEPENDENCYPART_ARC
(9,8),1.73666 # DEPENDENCYPART_ARC
(9,10),2.17164 # DEPENDENCYPART_ARC
(9,11),0.121544 # DEPENDENCYPART_ARC
(9,12),1.80344 # DEPENDENCYPART_ARC
(9,13),1.11738 # DEPENDENCYPART_ARC
(9,14),0.780831 # DEPENDENCYPART_ARC
(9,15),-0.32268 # DEPENDENCYPART_ARC
(9,16),0.65818 # DEPENDENCYPART_ARC
(9,17),-0.997941 # DEPENDENCYPART_ARC
(9,18),0.70018 # DEPENDENCYPART_ARC
(9,19),-2.01929 # DEPENDENCYPART_ARC
(9,23),-0.822362 # DEPENDENCYPART_ARC
(9,24),-0.862114 # DEPENDENCYPART_ARC
(9,25),-0.681769 # DEPENDENCYPART_ARC
(9,26),-0.835801 # DEPENDENCYPART_ARC
(9,27),-0.742906 # DEPENDENCYPART_ARC
(9,28),-0.744562 # DEPENDENCYPART_ARC
(9,29),-1.79801 # DEPENDENCYPART_ARC
(9,30),-0.865748 # DEPENDENCYPART_ARC
(9,31),-0.73872 # DEPENDENCYPART_ARC
(9,32),-1.04385 # DEPENDENCYPART_ARC
(9,33),-0.665029 # DEPENDENCYPART_ARC
(10,1),-2.54992 # DEPENDENCYPART_ARC
(10,6),-0.769666 # DEPENDENCYPART_ARC
(10,7),-0.637579 # DEPENDENCYPART_ARC
(10,8),-0.599503 # DEPENDENCYPART_ARC
(10,9),-3.03774 # DEPENDENCYPART_ARC
(10,11),2.54449 # DEPENDENCYPART_ARC
(10,12),-0.468127 # DEPENDENCYPART_ARC
(10,13),-2.10613 # DEPENDENCYPART_ARC
(10,14),0.0907662 # DEPENDENCYPART_ARC
(10,16),-0.117336 # DEPENDENCYPART_ARC
(10,18),0.435381 # DEPENDENCYPART_ARC
(10,21),-1.71328 # DEPENDENCYPART_ARC
(12,6),0.0997713 # DEPENDENCYPART_ARC
(12,7),0.700158 # DEPENDENCYPART_ARC
(12,9),-2.06611 # DEPENDENCYPART_ARC
(12,10),3.86205 # DEPENDENCYPART_ARC
(12,11),0.0857844 # DEPENDENCYPART_ARC
(12,13),2.72259 # DEPENDENCYPART_ARC
(12,14),0.217708 # DEPENDENCYPART_ARC
(12,15),0.29556 # DEPENDENCYPART_ARC
(12,16),0.377108 # DEPENDENCYPART_ARC
(12,17),-0.105051 # DEPENDENCYPART_ARC
(12,18),0.940231 # DEPENDENCYPART_ARC
(12,20),-0.684741 # DEPENDENCYPART_ARC
(12,22),-2.43057 # DEPENDENCYPART_ARC
(13,10),1.97467 # DEPENDENCYPART_ARC
(13,12),1.4832 # DEPENDENCYPART_ARC
(13,14),0.149671 # DEPENDENCYPART_ARC
(13,15),-0.906487 # DEPENDENCYPART_ARC
(13,16),-0.270309 # DEPENDENCYPART_ARC
(13,17),-2.57026 # DEPENDENCYPART_ARC
(14,1),-1.16634 # DEPENDENCYPART_ARC
(14,2),0.25648 # DEPENDENCYPART_ARC
(14,3),-0.930838 # DEPENDENCYPART_ARC
(14,4),0.0449204 # DEPENDENCYPART_ARC
(14,5),0.262592 # DEPENDENCYPART_ARC
(14,7),-0.901982 # DEPENDENCYPART_ARC
(14,8),-0.0473096 # DEPENDENCYPART_ARC
(14,9),-0.0587434 # DEPENDENCYPART_ARC
(14,10),0.174448 # DEPENDENCYPART_ARC
(14,11),0.197465 # DEPENDENCYPART_ARC
(14,12),0.939861 # DEPENDENCYPART_ARC
(14,13),1.59826 # DEPENDENCYPART_ARC
(14,15),1.78867 # DEPENDENCYPART_ARC
(14,16),0.406731 # DEPENDENCYPART_ARC
(14,17),0.601768 # DEPENDENCYPART_ARC
(14,18),0.400524 # DEPENDENCYPART_ARC
(14,19),-0.527597 # DEPENDENCYPART_ARC
(15,10),1.11523 # DEPENDENCYPART_ARC
(15,12),-0.836685 # DEPENDENCYPART_ARC
(15,13),1.10037 # DEPENDENCYPART_ARC
(15,14),0.262752 # DEPENDENCYPART_ARC
(15,16),0.0940827 # DEPENDENCYPART_ARC
(15,17),-1.27748 # DEPENDENCYPART_ARC
(15,19),-3.19426 # DEPENDENCYPART_ARC
(15,20),-0.659792 # DEPENDENCYPART_ARC
(16,1),-1.11268 # DEPENDENCYPART_ARC
(16,2),0.607579 # DEPENDENCYPART_ARC
(16,4),0.177974 # DEPENDENCYPART_ARC
(16,5),0.361983 # DEPENDENCYPART_ARC
(16,7),-0.892255 # DEPENDENCYPART_ARC
(16,8),0.216729 # DEPENDENCYPART_ARC
(16,9),0.0771023 # DEPENDENCYPART_ARC
(16,10),0.176874 # DEPENDENCYPART_ARC
(16,11),0.100421 # DEPENDENCYPART_ARC
(16,12),1.4424 # DEPENDENCYPART_ARC
(16,13),1.65957 # DEPENDENCYPART_ARC
(16,14),1.16405 # DEPENDENCYPART_ARC
(16,15),2.0907 # DEPENDENCYPART_ARC
(16,17),1.89518 # DEPENDENCYPART_ARC
(16,18),0.295359 # DEPENDENCYPART_ARC
(16,19),-0.0910612 # DEPENDENCYPART_ARC
(16,20),-0.448479 # DEPENDENCYPART_ARC
(16,21),-0.480126 # DEPENDENCYPART_ARC
(16,23),-0.77047 # DEPENDENCYPART_ARC
(17,12),-1.83287 # DEPENDENCYPART_ARC
(17,13),-0.479705 # DEPENDENCYPART_ARC
(17,15),-0.075759 # DEPENDENCYPART_ARC
(17,16),-0.483416 # DEPENDENCYPART_ARC
(17,19),-2.06467 # DEPENDENCYPART_ARC
(18,1),-0.865519 # DEPENDENCYPART_ARC
(18,2),1.50594 # DEPENDENCYPART_ARC
(18,3),-0.378005 # DEPENDENCYPART_ARC
(18,4),0.648227 # DEPENDENCYPART_ARC
(18,5),0.739971 # DEPENDENCYPART_ARC
(18,6),-0.609351 # DEPENDENCYPART_ARC
(18,7),-1.16174 # DEPENDENCYPART_ARC
(18,8),-0.0965524 # DEPENDENCYPART_ARC
(18,9),-0.197585 # DEPENDENCYPART_ARC
(18,10),0.334335 # DEPENDENCYPART_ARC
(18,11),-0.717277 # DEPENDENCYPART_ARC
(18,12),1.43381 # DEPENDENCYPART_ARC
(18,13),2.52701 # DEPENDENCYPART_ARC
(18,14),1.84781 # DEPENDENCYPART_ARC
(18,15),2.84772 # DEPENDENCYPART_ARC
(18,16),2.11972 # DEPENDENCYPART_ARC
(18,17),3.64047 # DEPENDENCYPART_ARC
(18,19),3.58515 # DEPENDENCYPART_ARC
(18,20),0.525004 # DEPENDENCYPART_ARC
(18,21),0.130611 # DEPENDENCYPART_ARC
(18,22),0.0935327 # DEPENDENCYPART_ARC
(18,23),0.717077 # DEPENDENCYPART_ARC
(18,24),0.366138 # DEPENDENCYPART_ARC
(18,25),-0.353366 # DEPENDENCYPART_ARC
(18,26),-0.220522 # DEPENDENCYPART_ARC
(18,27),-0.677609 # DEPENDENCYPART_ARC
(18,28),-0.670928 # DEPENDENCYPART_ARC
(18,29),-0.487903 # DEPENDENCYPART_ARC
(18,30),-1.10168 # DEPENDENCYPART_ARC
(18,32),-1.3142 # DEPENDENCYPART_ARC
(19,20),1.61279 # DEPENDENCYPART_ARC
(19,21),1.16222 # DEPENDENCYPART_ARC
(19,22),-2.00943 # DEPENDENCYPART_ARC
(19,23),-2.88534 # DEPENDENCYPART_ARC
(19,24),-2.82829 # DEPENDENCYPART_ARC
(19,26),-0.223989 # DEPENDENCYPART_ARC
(19,27),-0.755501 # DEPENDENCYPART_ARC
(19,28),-0.0962607 # DEPENDENCYPART_ARC
(19,32),-1.80807 # DEPENDENCYPART_ARC
(20,15),-2.05192 # DEPENDENCYPART_ARC
(20,16),-0.844766 # DEPENDENCYPART_ARC
(20,17),-2.09051 # DEPENDENCYPART_ARC
(20,18),-0.319797 # DEPENDENCYPART_ARC
(20,19),-1.16332 # DEPENDENCYPART_ARC
(20,21),2.64721 # DEPENDENCYPART_ARC
(20,22),0.545816 # DEPENDENCYPART_ARC
(20,23),-1.40001 # DEPENDENCYPART_ARC
(20,24),-0.564991 # DEPENDENCYPART_ARC
(20,25),0.477689 # DEPENDENCYPART_ARC
(20,26),0.192127 # DEPENDENCYPART_ARC
(20,31),-0.496774 # DEPENDENCYPART_ARC
(20,34),-1.8524 # DEPENDENCYPART_ARC
(21,15),0.332115 # DEPENDENCYPART_ARC
(21,20),0.40595 # DEPENDENCYPART_ARC
(21,22),2.36452 # DEPENDENCYPART_ARC
(21,23),-1.80625 # DEPENDENCYPART_ARC
(22,19),-3.5762 # DEPENDENCYPART_ARC
(22,20),-0.300441 # DEPENDENCYPART_ARC
(22,21),0.210371 # DEPENDENCYPART_ARC
(22,23),-0.608201 # DEPENDENCYPART_ARC
(22,24),0.265712 # DEPENDENCYPART_ARC
(23,20),2.74018 # DEPENDENCYPART_ARC
(23,21),0.430434 # DEPENDENCYPART_ARC
(23,22),4.58158 # DEPENDENCYPART_ARC
(23,24),1.79082 # DEPENDENCYPART_ARC
(23,25),0.53798 # DEPENDENCYPART_ARC
(23,26),0.625862 # DEPENDENCYPART_ARC
(23,27),0.0862538 # DEPENDENCYPART_ARC
(23,28),0.22088 # DEPENDENCYPART_ARC
(23,29),0.0120676 # DEPENDENCYPART_ARC
(23,30),-1.21983 # DEPENDENCYPART_ARC
(23,31),-0.0254188 # DEPENDENCYPART_ARC
(23,32),-1.14191 # DEPENDENCYPART_ARC
(23,33),0.133537 # DEPENDENCYPART_ARC
(24,19),-2.13034 # DEPENDENCYPART_ARC
(24,20),1.34564 # DEPENDENCYPART_ARC
(24,22),-0.137244 # DEPENDENCYPART_ARC
(24,23),-0.549535 # DEPENDENCYPART_ARC
(24,25),1.50318 # DEPENDENCYPART_ARC
(24,26),0.629677 # DEPENDENCYPART_ARC
(24,27),0.501662 # DEPENDENCYPART_ARC
(24,28),0.068166 # DEPENDENCYPART_ARC
(24,29),-0.40009 # DEPENDENCYPART_ARC
(24,30),-1.0566 # DEPENDENCYPART_ARC
(24,31),0.252432 # DEPENDENCYPART_ARC
(24,32),-0.819467 # DEPENDENCYPART_ARC
(24,33),-0.0308949 # DEPENDENCYPART_ARC
(25,22),-0.607309 # DEPENDENCYPART_ARC
(25,24),-0.489568 # DEPENDENCYPART_ARC
(25,26),0.0269132 # DEPENDENCYPART_ARC
(25,27),0.257348 # DEPENDENCYPART_ARC
(26,1),-2.35194 # DEPENDENCYPART_ARC
(26,9),-0.0847048 # DEPENDENCYPART_ARC
(26,13),-0.0944967 # DEPENDENCYPART_ARC
(26,15),0.35865 # DEPENDENCYPART_ARC
(26,17),0.433715 # DEPENDENCYPART_ARC
(26,19),0.134383 # DEPENDENCYPART_ARC
(26,20),0.0432221 # DEPENDENCYPART_ARC
(26,21),-0.0570559 # DEPENDENCYPART_ARC
(26,22),0.489738 # DEPENDENCYPART_ARC
(26,23),0.472029 # DEPENDENCYPART_ARC
(26,24),0.42207 # DEPENDENCYPART_ARC
(26,25),3.29591 # DEPENDENCYPART_ARC
(26,27),2.20626 # DEPENDENCYPART_ARC
(26,28),0.235923 # DEPENDENCYPART_ARC
(26,29),0.0101795 # DEPENDENCYPART_ARC
(26,30),0.434451 # DEPENDENCYPART_ARC
(26,31),0.0248613 # DEPENDENCYPART_ARC
(26,32),-0.0329141 # DEPENDENCYPART_ARC
(26,33),0.55057 # DEPENDENCYPART_ARC
(26,34),-1.28621 # DEPENDENCYPART_ARC
(27,25),1.01913 # DEPENDENCYPART_ARC
(27,26),0.513886 # DEPENDENCYPART_ARC
(27,28),0.632106 # DEPENDENCYPART_ARC
(27,29),0.0555097 # DEPENDENCYPART_ARC
(27,30),-0.40981 # DEPENDENCYPART_ARC
(27,31),-0.289252 # DEPENDENCYPART_ARC
(27,33),-0.293522 # DEPENDENCYPART_ARC
(27,34),-1.64135 # DEPENDENCYPART_ARC
(28,24),-0.328073 # DEPENDENCYPART_ARC
(28,25),-0.304021 # DEPENDENCYPART_ARC
(28,27),0.23015 # DEPENDENCYPART_ARC
(28,29),0.278666 # DEPENDENCYPART_ARC
(28,30),-0.156515 # DEPENDENCYPART_ARC
(28,31),0.428973 # DEPENDENCYPART_ARC
(28,32),-0.48647 # DEPENDENCYPART_ARC
(28,33),0.639018 # DEPENDENCYPART_ARC
(28,34),-0.720188 # DEPENDENCYPART_ARC
(29,25),-0.169535 # DEPENDENCYPART_ARC
(29,27),-0.0292091 # DEPENDENCYPART_ARC
(29,28),0.337234 # DEPENDENCYPART_ARC
(29,30),0.365684 # DEPENDENCYPART_ARC
(29,31),-0.202863 # DEPENDENCYPART_ARC
(29,33),-0.0700811 # DEPENDENCYPART_ARC
(29,34),-0.790935 # DEPENDENCYPART_ARC
(30,28),-0.194621 # DEPENDENCYPART_ARC
(30,29),0.482489 # DEPENDENCYPART_ARC
(30,31),-0.00199671 # DEPENDENCYPART_ARC
(30,32),-0.232246 # DEPENDENCYPART_ARC
(30,33),-0.263968 # DEPENDENCYPART_ARC
(30,34),-1.17091 # DEPENDENCYPART_ARC
(31,9),-0.871117 # DEPENDENCYPART_ARC
(31,17),-0.459498 # DEPENDENCYPART_ARC
(31,21),-0.83637 # DEPENDENCYPART_ARC
(31,22),0.248752 # DEPENDENCYPART_ARC
(31,23),-0.558279 # DEPENDENCYPART_ARC
(31,24),-0.219856 # DEPENDENCYPART_ARC
(31,25),0.377189 # DEPENDENCYPART_ARC
(31,26),-0.0769234 # DEPENDENCYPART_ARC
(31,27),1.10499 # DEPENDENCYPART_ARC
(31,28),1.2518 # DEPENDENCYPART_ARC
(31,29),1.1649 # DEPENDENCYPART_ARC
(31,30),3.43147 # DEPENDENCYPART_ARC
(31,32),2.41116 # DEPENDENCYPART_ARC
(31,33),1.66183 # DEPENDENCYPART_ARC
(31,34),-0.282763 # DEPENDENCYPART_ARC
(32,29),0.107482 # DEPENDENCYPART_ARC
(32,30),0.737156 # DEPENDENCYPART_ARC
(32,31),0.633722 # DEPENDENCYPART_ARC
(32,33),0.306808 # DEPENDENCYPART_ARC
(32,34),-0.690324 # DEPENDENCYPART_ARC
(33,32),-1.98907 # DEPENDENCYPART_ARC
(33,34),-1.86767 # DEPENDENCYPART_ARC
