# _root_ Manažer si musí najít čas , kdy je zcela sám , kdy ho nikdo neruší při přemýšlení či analyzování situace podniku .
#goldHeads=3,4,0,3,4,11,8,11,10,8,5,15,15,15,11,15,18,16,18,19,20,0,
#predictedHeads=3,4,0,3,4,8,8,5,10,8,15,15,15,15,5,15,18,16,18,19,20,0,
(5,2),-3.32588 # DEPENDENCYPART_ARC
(5,4),0.203601 # DEPENDENCYPART_ARC
(5,6),-0.189299 # DEPENDENCYPART_ARC
(5,7),0.0983289 # DEPENDENCYPART_ARC
(5,8),1.07209 # DEPENDENCYPART_ARC
(5,9),-0.237552 # DEPENDENCYPART_ARC
(5,10),-1.37887 # DEPENDENCYPART_ARC
(5,11),-0.297968 # DEPENDENCYPART_ARC
(5,12),-0.647865 # DEPENDENCYPART_ARC
(5,15),0.719085 # DEPENDENCYPART_ARC
(5,18),-1.42872 # DEPENDENCYPART_ARC
(6,1),-1.33336 # DEPENDENCYPART_ARC
(6,2),-0.903944 # DEPENDENCYPART_ARC
(6,3),-0.282215 # DEPENDENCYPART_ARC
(6,4),-0.847382 # DEPENDENCYPART_ARC
(6,5),-0.270257 # DEPENDENCYPART_ARC
(6,7),-0.596954 # DEPENDENCYPART_ARC
(6,8),-0.207208 # DEPENDENCYPART_ARC
(6,9),-0.975368 # DEPENDENCYPART_ARC
(6,10),-1.2137 # DEPENDENCYPART_ARC
(6,11),-0.591822 # DEPENDENCYPART_ARC
(6,12),-1.8832 # DEPENDENCYPART_ARC
(6,15),-1.42878 # DEPENDENCYPART_ARC
(7,1),-2.11795 # DEPENDENCYPART_ARC
(7,3),-1.08613 # DEPENDENCYPART_ARC
(7,4),-0.812839 # DEPENDENCYPART_ARC
(7,5),-0.386449 # DEPENDENCYPART_ARC
(7,6),-0.892946 # DEPENDENCYPART_ARC
(7,8),-0.563244 # DEPENDENCYPART_ARC
(7,10),-1.33887 # DEPENDENCYPART_ARC
(8,1),2.06586 # DEPENDENCYPART_ARC
(8,2),1.00629 # DEPENDENCYPART_ARC
(8,3),-1.35379 # DEPENDENCYPART_ARC
(8,4),0.0660526 # DEPENDENCYPART_ARC
(8,5),0.552386 # DEPENDENCYPART_ARC
(8,6),1.44381 # DEPENDENCYPART_ARC
(8,7),2.5651 # DEPENDENCYPART_ARC
(8,9),1.201 # DEPENDENCYPART_ARC
(8,10),1.18852 # DEPENDENCYPART_ARC
(8,11),0.494689 # DEPENDENCYPART_ARC
(8,12),0.393351 # DEPENDENCYPART_ARC
(8,14),-0.318143 # DEPENDENCYPART_ARC
(8,15),-0.965187 # DEPENDENCYPART_ARC
(8,16),0.0762243 # DEPENDENCYPART_ARC
(8,17),-2.07967 # DEPENDENCYPART_ARC
(8,18),-0.784395 # DEPENDENCYPART_ARC
(8,19),-1.62416 # DEPENDENCYPART_ARC
(8,20),-2.18473 # DEPENDENCYPART_ARC
(8,21),-2.53549 # DEPENDENCYPART_ARC
(9,6),-1.10173 # DEPENDENCYPART_ARC
(9,7),-0.763375 # DEPENDENCYPART_ARC
(9,10),-0.375344 # DEPENDENCYPART_ARC
(9,12),-0.885348 # DEPENDENCYPART_ARC
(9,15),-0.917387 # DEPENDENCYPART_ARC
(10,9),1.69528 # DEPENDENCYPART_ARC
(10,11),-0.546728 # DEPENDENCYPART_ARC
(10,15),0.456795 # DEPENDENCYPART_ARC
(10,16),-0.820596 # DEPENDENCYPART_ARC
(11,1),-2.40263 # DEPENDENCYPART_ARC
(11,3),-0.925472 # DEPENDENCYPART_ARC
(11,4),-1.27621 # DEPENDENCYPART_ARC
(11,5),-1.40411 # DEPENDENCYPART_ARC
(11,6),-1.02842 # DEPENDENCYPART_ARC
(11,7),-1.2026 # DEPENDENCYPART_ARC
(11,8),-0.342976 # DEPENDENCYPART_ARC
(11,9),-1.03259 # DEPENDENCYPART_ARC
(11,10),-0.805077 # DEPENDENCYPART_ARC
(11,12),-0.410412 # DEPENDENCYPART_ARC
(11,14),-0.707149 # DEPENDENCYPART_ARC
(11,15),-0.100035 # DEPENDENCYPART_ARC
(11,16),-1.07363 # DEPENDENCYPART_ARC
(11,18),-0.645173 # DEPENDENCYPART_ARC
(12,3),-1.25272 # DEPENDENCYPART_ARC
(12,7),-1.69669 # DEPENDENCYPART_ARC
(12,8),-1.1145 # DEPENDENCYPART_ARC
(12,9),-0.211556 # DEPENDENCYPART_ARC
(12,11),-0.447638 # DEPENDENCYPART_ARC
(12,16),-1.46626 # DEPENDENCYPART_ARC
(12,17),-2.0974 # DEPENDENCYPART_ARC
(12,18),-0.965162 # DEPENDENCYPART_ARC
(12,19),-2.77286 # DEPENDENCYPART_ARC
(12,20),-2.89992 # DEPENDENCYPART_ARC
(12,21),-2.87319 # DEPENDENCYPART_ARC
(13,17),-0.304547 # DEPENDENCYPART_ARC
(13,19),0.0542206 # DEPENDENCYPART_ARC
(13,20),-0.683692 # DEPENDENCYPART_ARC
(14,16),0.371461 # DEPENDENCYPART_ARC
(14,18),-0.360398 # DEPENDENCYPART_ARC
(15,1),0.574674 # DEPENDENCYPART_ARC
(15,2),-0.59875 # DEPENDENCYPART_ARC
(15,3),-2.91979 # DEPENDENCYPART_ARC
(15,4),-0.501597 # DEPENDENCYPART_ARC
(15,5),-1.73177 # DEPENDENCYPART_ARC
(15,6),0.748267 # DEPENDENCYPART_ARC
(15,7),0.80537 # DEPENDENCYPART_ARC
(15,8),-1.45409 # DEPENDENCYPART_ARC
(15,9),0.187413 # DEPENDENCYPART_ARC
(15,10),-0.387173 # DEPENDENCYPART_ARC
(15,11),1.75226 # DEPENDENCYPART_ARC
(15,12),2.32335 # DEPENDENCYPART_ARC
(15,13),2.50792 # DEPENDENCYPART_ARC
(15,14),2.53127 # DEPENDENCYPART_ARC
(15,16),2.21617 # DEPENDENCYPART_ARC
(15,17),-0.218231 # DEPENDENCYPART_ARC
(15,18),0.221003 # DEPENDENCYPART_ARC
(15,19),-0.500466 # DEPENDENCYPART_ARC
(15,20),-0.073371 # DEPENDENCYPART_ARC
(15,21),-0.582078 # DEPENDENCYPART_ARC
(16,17),4.24029 # DEPENDENCYPART_ARC
(16,18),1.81138 # DEPENDENCYPART_ARC
(16,19),0.556017 # DEPENDENCYPART_ARC
(16,20),-3.25529 # DEPENDENCYPART_ARC
(16,21),-4.59636 # DEPENDENCYPART_ARC
(17,10),-3.91087 # DEPENDENCYPART_ARC
(17,13),-3.84581 # DEPENDENCYPART_ARC
(17,14),-4.74869 # DEPENDENCYPART_ARC
(17,16),-1.11385 # DEPENDENCYPART_ARC
(17,18),-0.011282 # DEPENDENCYPART_ARC
(17,19),-0.455853 # DEPENDENCYPART_ARC
(17,20),0.0441812 # DEPENDENCYPART_ARC
(17,21),-0.0624227 # DEPENDENCYPART_ARC
(18,1),-3.56778 # DEPENDENCYPART_ARC
(18,3),-2.45105 # DEPENDENCYPART_ARC
(18,4),-1.91525 # DEPENDENCYPART_ARC
(18,5),-0.574969 # DEPENDENCYPART_ARC
(18,6),-2.93238 # DEPENDENCYPART_ARC
(18,7),0.338487 # DEPENDENCYPART_ARC
(18,8),-1.16612 # DEPENDENCYPART_ARC
(18,9),0.475271 # DEPENDENCYPART_ARC
(18,11),-0.561337 # DEPENDENCYPART_ARC
(18,12),0.961816 # DEPENDENCYPART_ARC
(18,13),0.295173 # DEPENDENCYPART_ARC
(18,14),0.720297 # DEPENDENCYPART_ARC
(18,15),0.359221 # DEPENDENCYPART_ARC
(18,16),0.627954 # DEPENDENCYPART_ARC
(18,17),5.44443 # DEPENDENCYPART_ARC
(18,19),3.54548 # DEPENDENCYPART_ARC
(18,20),2.06267 # DEPENDENCYPART_ARC
(18,21),1.52376 # DEPENDENCYPART_ARC
(18,22),-0.255927 # DEPENDENCYPART_ARC
(19,14),-4.76858 # DEPENDENCYPART_ARC
(19,17),-1.07606 # DEPENDENCYPART_ARC
(19,20),2.09508 # DEPENDENCYPART_ARC
(19,21),1.52397 # DEPENDENCYPART_ARC
(20,17),-4.78622 # DEPENDENCYPART_ARC
(20,18),0.0277904 # DEPENDENCYPART_ARC
(20,19),-2.3132 # DEPENDENCYPART_ARC
(20,21),4.10693 # DEPENDENCYPART_ARC
(20,22),0.0731521 # DEPENDENCYPART_ARC
(21,16),-0.41434 # DEPENDENCYPART_ARC
(21,17),-4.37116 # DEPENDENCYPART_ARC
(21,18),0.089553 # DEPENDENCYPART_ARC
(21,19),-2.12082 # DEPENDENCYPART_ARC
(21,20),0.897622 # DEPENDENCYPART_ARC
(21,22),-0.431968 # DEPENDENCYPART_ARC
