# _root_ Strana demokratické levice po přehodnocení faktu , že vedoucí silou SNP byla komunistická strana , se jednoznačně staví za antifašistický a demokratický odkaz povstání .
#goldHeads=18,3,1,18,4,5,8,6,10,12,10,8,14,12,8,18,18,0,18,21,23,21,19,23,0,
#predictedHeads=18,3,1,0,4,5,8,6,10,12,10,8,14,12,18,18,18,14,18,21,23,21,19,23,0,
(5,10),0.203915 # DEPENDENCYPART_ARC
(5,11),1.40157 # DEPENDENCYPART_ARC
(5,12),-1.97021 # DEPENDENCYPART_ARC
(5,18),-2.16039 # DEPENDENCYPART_ARC
(6,1),-3.45301 # DEPENDENCYPART_ARC
(6,2),-0.257496 # DEPENDENCYPART_ARC
(6,3),-2.3962 # DEPENDENCYPART_ARC
(6,4),-0.838388 # DEPENDENCYPART_ARC
(6,5),-1.21772 # DEPENDENCYPART_ARC
(6,7),-0.0423633 # DEPENDENCYPART_ARC
(6,8),1.52887 # DEPENDENCYPART_ARC
(6,9),-2.55265 # DEPENDENCYPART_ARC
(6,10),-1.37971 # DEPENDENCYPART_ARC
(6,11),0.861169 # DEPENDENCYPART_ARC
(6,12),-1.39477 # DEPENDENCYPART_ARC
(7,1),-1.09053 # DEPENDENCYPART_ARC
(7,2),-1.32908 # DEPENDENCYPART_ARC
(7,3),-0.795763 # DEPENDENCYPART_ARC
(7,4),-0.356984 # DEPENDENCYPART_ARC
(7,6),-0.580586 # DEPENDENCYPART_ARC
(7,9),-1.04045 # DEPENDENCYPART_ARC
(7,12),-0.357918 # DEPENDENCYPART_ARC
(7,15),-0.935369 # DEPENDENCYPART_ARC
(8,3),-0.983604 # DEPENDENCYPART_ARC
(8,5),-0.0291643 # DEPENDENCYPART_ARC
(8,6),-0.455852 # DEPENDENCYPART_ARC
(8,7),2.44349 # DEPENDENCYPART_ARC
(8,9),0.932067 # DEPENDENCYPART_ARC
(8,10),-0.792629 # DEPENDENCYPART_ARC
(8,12),1.5216 # DEPENDENCYPART_ARC
(8,15),0.337947 # DEPENDENCYPART_ARC
(8,18),0.0977063 # DEPENDENCYPART_ARC
(8,21),-0.243807 # DEPENDENCYPART_ARC
(9,10),0.356976 # DEPENDENCYPART_ARC
(9,11),-1.26667 # DEPENDENCYPART_ARC
(9,14),-3.82538 # DEPENDENCYPART_ARC
(9,19),-1.93605 # DEPENDENCYPART_ARC
(10,8),-0.166519 # DEPENDENCYPART_ARC
(10,9),4.09454 # DEPENDENCYPART_ARC
(10,11),2.92941 # DEPENDENCYPART_ARC
(10,12),-1.44746 # DEPENDENCYPART_ARC
(10,13),-1.68129 # DEPENDENCYPART_ARC
(10,14),-2.17663 # DEPENDENCYPART_ARC
(10,15),-0.978156 # DEPENDENCYPART_ARC
(10,17),-1.59911 # DEPENDENCYPART_ARC
(10,18),-2.20715 # DEPENDENCYPART_ARC
(10,20),-4.67749 # DEPENDENCYPART_ARC
(10,21),-1.39479 # DEPENDENCYPART_ARC
(11,1),-6.32998 # DEPENDENCYPART_ARC
(11,5),-3.73647 # DEPENDENCYPART_ARC
(11,6),-5.3002 # DEPENDENCYPART_ARC
(11,9),-1.08865 # DEPENDENCYPART_ARC
(11,10),-3.13293 # DEPENDENCYPART_ARC
(11,12),-3.60404 # DEPENDENCYPART_ARC
(11,13),-3.86758 # DEPENDENCYPART_ARC
(11,14),-1.23481 # DEPENDENCYPART_ARC
(12,1),0.437611 # DEPENDENCYPART_ARC
(12,3),-2.90223 # DEPENDENCYPART_ARC
(12,4),-1.50495 # DEPENDENCYPART_ARC
(12,5),-2.42208 # DEPENDENCYPART_ARC
(12,6),-4.78826 # DEPENDENCYPART_ARC
(12,7),-0.365048 # DEPENDENCYPART_ARC
(12,8),-1.1543 # DEPENDENCYPART_ARC
(12,10),1.00624 # DEPENDENCYPART_ARC
(12,11),-0.097344 # DEPENDENCYPART_ARC
(12,13),1.1222 # DEPENDENCYPART_ARC
(12,14),2.70471 # DEPENDENCYPART_ARC
(12,15),-0.159861 # DEPENDENCYPART_ARC
(12,17),-0.413036 # DEPENDENCYPART_ARC
(12,18),-2.08745 # DEPENDENCYPART_ARC
(12,19),-0.444224 # DEPENDENCYPART_ARC
(12,20),-2.74437 # DEPENDENCYPART_ARC
(12,21),-0.561762 # DEPENDENCYPART_ARC
(12,23),-0.293773 # DEPENDENCYPART_ARC
(12,24),-2.6522 # DEPENDENCYPART_ARC
(13,14),-0.364159 # DEPENDENCYPART_ARC
(13,17),-0.94026 # DEPENDENCYPART_ARC
(13,18),-2.36876 # DEPENDENCYPART_ARC
(14,9),-0.155288 # DEPENDENCYPART_ARC
(14,10),-2.5106 # DEPENDENCYPART_ARC
(14,11),-3.02241 # DEPENDENCYPART_ARC
(14,13),5.09306 # DEPENDENCYPART_ARC
(14,15),-0.134826 # DEPENDENCYPART_ARC
(14,17),-0.367861 # DEPENDENCYPART_ARC
(14,18),1.2344 # DEPENDENCYPART_ARC
(14,19),-0.872885 # DEPENDENCYPART_ARC
(14,20),-3.58582 # DEPENDENCYPART_ARC
(14,21),0.171127 # DEPENDENCYPART_ARC
(14,23),-4.7093 # DEPENDENCYPART_ARC
(14,24),-0.85868 # DEPENDENCYPART_ARC
(15,1),-1.68145 # DEPENDENCYPART_ARC
(15,4),-1.3812 # DEPENDENCYPART_ARC
(15,7),-0.249046 # DEPENDENCYPART_ARC
(15,8),-0.740724 # DEPENDENCYPART_ARC
(15,11),-0.813345 # DEPENDENCYPART_ARC
(15,12),0.514856 # DEPENDENCYPART_ARC
(15,13),-0.168539 # DEPENDENCYPART_ARC
(15,14),-0.223922 # DEPENDENCYPART_ARC
(15,17),-0.27329 # DEPENDENCYPART_ARC
(15,18),0.569996 # DEPENDENCYPART_ARC
(15,19),-0.972244 # DEPENDENCYPART_ARC
(15,20),-0.959114 # DEPENDENCYPART_ARC
(15,21),-0.331173 # DEPENDENCYPART_ARC
(15,23),-1.56904 # DEPENDENCYPART_ARC
(15,24),-1.19588 # DEPENDENCYPART_ARC
(15,25),-0.269519 # DEPENDENCYPART_ARC
(17,14),-1.73178 # DEPENDENCYPART_ARC
(17,15),-0.173537 # DEPENDENCYPART_ARC
(17,19),-1.36021 # DEPENDENCYPART_ARC
(17,20),-2.31791 # DEPENDENCYPART_ARC
(17,23),-3.07979 # DEPENDENCYPART_ARC
(17,24),-1.74972 # DEPENDENCYPART_ARC
(18,1),1.35031 # DEPENDENCYPART_ARC
(18,3),-2.8182 # DEPENDENCYPART_ARC
(18,4),-1.26704 # DEPENDENCYPART_ARC
(18,5),-1.95455 # DEPENDENCYPART_ARC
(18,7),-0.159501 # DEPENDENCYPART_ARC
(18,9),-1.72999 # DEPENDENCYPART_ARC
(18,10),0.658425 # DEPENDENCYPART_ARC
(18,11),-0.340696 # DEPENDENCYPART_ARC
(18,12),-1.82338 # DEPENDENCYPART_ARC
(18,13),-0.243689 # DEPENDENCYPART_ARC
(18,14),1.1038 # DEPENDENCYPART_ARC
(18,15),1.8892 # DEPENDENCYPART_ARC
(18,16),4.08703 # DEPENDENCYPART_ARC
(18,17),2.74042 # DEPENDENCYPART_ARC
(18,19),2.4577 # DEPENDENCYPART_ARC
(18,20),-0.877382 # DEPENDENCYPART_ARC
(18,21),0.00757472 # DEPENDENCYPART_ARC
(18,22),-2.76487 # DEPENDENCYPART_ARC
(18,23),0.990298 # DEPENDENCYPART_ARC
(18,24),-0.925147 # DEPENDENCYPART_ARC
(18,25),-0.423504 # DEPENDENCYPART_ARC
(19,15),-0.978492 # DEPENDENCYPART_ARC
(19,20),2.96041 # DEPENDENCYPART_ARC
(19,21),1.41712 # DEPENDENCYPART_ARC
(19,22),0.796505 # DEPENDENCYPART_ARC
(19,23),2.68043 # DEPENDENCYPART_ARC
(19,24),-2.27855 # DEPENDENCYPART_ARC
(19,25),-0.698671 # DEPENDENCYPART_ARC
(20,16),-1.96321 # DEPENDENCYPART_ARC
(20,17),-0.228032 # DEPENDENCYPART_ARC
(20,19),-0.362182 # DEPENDENCYPART_ARC
(20,23),-2.85851 # DEPENDENCYPART_ARC
(21,1),-3.01314 # DEPENDENCYPART_ARC
(21,3),-1.85063 # DEPENDENCYPART_ARC
(21,5),-0.94936 # DEPENDENCYPART_ARC
(21,6),-1.53387 # DEPENDENCYPART_ARC
(21,7),-0.868205 # DEPENDENCYPART_ARC
(21,8),-0.242938 # DEPENDENCYPART_ARC
(21,10),-0.903571 # DEPENDENCYPART_ARC
(21,11),-1.12153 # DEPENDENCYPART_ARC
(21,12),-0.230679 # DEPENDENCYPART_ARC
(21,13),-0.328721 # DEPENDENCYPART_ARC
(21,14),-0.384052 # DEPENDENCYPART_ARC
(21,15),-0.0486153 # DEPENDENCYPART_ARC
(21,16),-0.369348 # DEPENDENCYPART_ARC
(21,17),0.237262 # DEPENDENCYPART_ARC
(21,18),0.548986 # DEPENDENCYPART_ARC
(21,19),-0.0658315 # DEPENDENCYPART_ARC
(21,20),4.21842 # DEPENDENCYPART_ARC
(21,22),6.60736 # DEPENDENCYPART_ARC
(21,23),0.868876 # DEPENDENCYPART_ARC
(21,24),0.486532 # DEPENDENCYPART_ARC
(21,25),-0.358215 # DEPENDENCYPART_ARC
(22,23),-0.860367 # DEPENDENCYPART_ARC
(22,24),-1.21881 # DEPENDENCYPART_ARC
(23,13),-3.27638 # DEPENDENCYPART_ARC
(23,16),-2.90355 # DEPENDENCYPART_ARC
(23,17),-1.14021 # DEPENDENCYPART_ARC
(23,19),-0.0447558 # DEPENDENCYPART_ARC
(23,20),1.97767 # DEPENDENCYPART_ARC
(23,21),2.59794 # DEPENDENCYPART_ARC
(23,22),4.81102 # DEPENDENCYPART_ARC
(23,24),3.34338 # DEPENDENCYPART_ARC
(23,25),-0.141485 # DEPENDENCYPART_ARC
(24,17),-1.81084 # DEPENDENCYPART_ARC
(24,20),-3.1147 # DEPENDENCYPART_ARC
(24,21),0.763711 # DEPENDENCYPART_ARC
(24,22),-1.23138 # DEPENDENCYPART_ARC
(24,23),-1.1847 # DEPENDENCYPART_ARC
(24,25),-0.190054 # DEPENDENCYPART_ARC
(25,24),-3.42797 # DEPENDENCYPART_ARC
