# _root_ V prvním poločase , kdy se domácí celek ujal ve 28 . minutě vedení brankou z kopačky Kellyho , rozpoutali podnapilí výtržníci z Anglie na horní části tribuny nepokoje .
#goldHeads=20,3,1,9,9,9,8,9,3,9,13,11,10,9,9,15,16,17,9,0,22,20,22,23,20,27,25,27,20,0,
#predictedHeads=9,3,1,9,9,9,8,9,19,9,13,11,10,13,14,15,16,17,20,0,22,20,22,23,20,27,25,27,20,0,
(5,9),-0.917349 # DEPENDENCYPART_ARC
(5,12),-0.863248 # DEPENDENCYPART_ARC
(7,1),-1.04487 # DEPENDENCYPART_ARC
(7,4),-0.418594 # DEPENDENCYPART_ARC
(7,5),-0.0956936 # DEPENDENCYPART_ARC
(7,6),-0.167732 # DEPENDENCYPART_ARC
(7,9),-2.54398 # DEPENDENCYPART_ARC
(7,10),-1.69007 # DEPENDENCYPART_ARC
(8,1),-0.836962 # DEPENDENCYPART_ARC
(8,2),0.810479 # DEPENDENCYPART_ARC
(8,3),-3.72165 # DEPENDENCYPART_ARC
(8,4),0.190564 # DEPENDENCYPART_ARC
(8,5),0.624262 # DEPENDENCYPART_ARC
(8,6),-0.106386 # DEPENDENCYPART_ARC
(8,7),5.41442 # DEPENDENCYPART_ARC
(8,9),-1.51738 # DEPENDENCYPART_ARC
(8,10),-1.5256 # DEPENDENCYPART_ARC
(8,11),-1.41497 # DEPENDENCYPART_ARC
(8,12),-0.464095 # DEPENDENCYPART_ARC
(9,1),1.53529 # DEPENDENCYPART_ARC
(9,2),-1.74168 # DEPENDENCYPART_ARC
(9,3),-1.25853 # DEPENDENCYPART_ARC
(9,4),1.45582 # DEPENDENCYPART_ARC
(9,5),2.53573 # DEPENDENCYPART_ARC
(9,6),3.06975 # DEPENDENCYPART_ARC
(9,7),-0.175666 # DEPENDENCYPART_ARC
(9,8),2.99419 # DEPENDENCYPART_ARC
(9,10),2.13323 # DEPENDENCYPART_ARC
(9,11),-0.156583 # DEPENDENCYPART_ARC
(9,12),-0.536039 # DEPENDENCYPART_ARC
(9,13),-0.20732 # DEPENDENCYPART_ARC
(9,14),-0.398836 # DEPENDENCYPART_ARC
(9,15),0.73776 # DEPENDENCYPART_ARC
(9,16),0.101276 # DEPENDENCYPART_ARC
(9,17),-3.52356 # DEPENDENCYPART_ARC
(9,18),-1.1386 # DEPENDENCYPART_ARC
(9,19),0.0693964 # DEPENDENCYPART_ARC
(9,20),-2.58364 # DEPENDENCYPART_ARC
(9,22),-1.85485 # DEPENDENCYPART_ARC
(9,23),-0.753062 # DEPENDENCYPART_ARC
(9,24),-6.15014 # DEPENDENCYPART_ARC
(9,25),-0.415461 # DEPENDENCYPART_ARC
(9,27),-3.85993 # DEPENDENCYPART_ARC
(9,28),-3.77123 # DEPENDENCYPART_ARC
(9,29),-1.80539 # DEPENDENCYPART_ARC
(10,11),1.07533 # DEPENDENCYPART_ARC
(10,12),0.841283 # DEPENDENCYPART_ARC
(10,13),3.32592 # DEPENDENCYPART_ARC
(10,14),-1.30612 # DEPENDENCYPART_ARC
(10,15),-1.96076 # DEPENDENCYPART_ARC
(10,19),0.215764 # DEPENDENCYPART_ARC
(11,7),-0.968927 # DEPENDENCYPART_ARC
(11,8),-1.37306 # DEPENDENCYPART_ARC
(11,10),-0.502377 # DEPENDENCYPART_ARC
(11,12),3.19181 # DEPENDENCYPART_ARC
(11,13),0.296774 # DEPENDENCYPART_ARC
(11,14),-0.72556 # DEPENDENCYPART_ARC
(11,15),-1.2839 # DEPENDENCYPART_ARC
(11,16),-1.00755 # DEPENDENCYPART_ARC
(11,20),-1.51549 # DEPENDENCYPART_ARC
(12,3),-1.47682 # DEPENDENCYPART_ARC
(12,9),-1.70299 # DEPENDENCYPART_ARC
(12,13),-0.731618 # DEPENDENCYPART_ARC
(12,14),-1.66029 # DEPENDENCYPART_ARC
(13,2),-0.303443 # DEPENDENCYPART_ARC
(13,4),0.0711376 # DEPENDENCYPART_ARC
(13,5),-0.495727 # DEPENDENCYPART_ARC
(13,6),-2.18288 # DEPENDENCYPART_ARC
(13,7),-2.47152 # DEPENDENCYPART_ARC
(13,8),-1.86138 # DEPENDENCYPART_ARC
(13,9),-3.06313 # DEPENDENCYPART_ARC
(13,10),0.717726 # DEPENDENCYPART_ARC
(13,11),3.09568 # DEPENDENCYPART_ARC
(13,12),0.764548 # DEPENDENCYPART_ARC
(13,14),2.90055 # DEPENDENCYPART_ARC
(13,15),-0.194193 # DEPENDENCYPART_ARC
(13,16),0.732586 # DEPENDENCYPART_ARC
(13,17),-0.466247 # DEPENDENCYPART_ARC
(13,18),-0.0161129 # DEPENDENCYPART_ARC
(13,20),-1.67507 # DEPENDENCYPART_ARC
(13,21),-3.78672 # DEPENDENCYPART_ARC
(13,23),-0.657374 # DEPENDENCYPART_ARC
(13,25),-0.892713 # DEPENDENCYPART_ARC
(14,10),-0.999105 # DEPENDENCYPART_ARC
(14,11),0.272419 # DEPENDENCYPART_ARC
(14,13),-3.16088 # DEPENDENCYPART_ARC
(14,15),2.61516 # DEPENDENCYPART_ARC
(14,16),1.32257 # DEPENDENCYPART_ARC
(14,17),0.367912 # DEPENDENCYPART_ARC
(14,18),0.674385 # DEPENDENCYPART_ARC
(14,19),-0.536622 # DEPENDENCYPART_ARC
(14,20),-1.3259 # DEPENDENCYPART_ARC
(14,21),-3.95434 # DEPENDENCYPART_ARC
(14,23),-0.17405 # DEPENDENCYPART_ARC
(14,25),-0.586277 # DEPENDENCYPART_ARC
(15,8),-4.07853 # DEPENDENCYPART_ARC
(15,10),-0.764822 # DEPENDENCYPART_ARC
(15,11),0.39158 # DEPENDENCYPART_ARC
(15,13),-0.817355 # DEPENDENCYPART_ARC
(15,14),-0.18145 # DEPENDENCYPART_ARC
(15,16),2.12942 # DEPENDENCYPART_ARC
(15,17),0.903998 # DEPENDENCYPART_ARC
(15,18),0.484835 # DEPENDENCYPART_ARC
(15,20),-1.52943 # DEPENDENCYPART_ARC
(15,21),-2.73201 # DEPENDENCYPART_ARC
(15,23),0.0825333 # DEPENDENCYPART_ARC
(15,25),-0.466222 # DEPENDENCYPART_ARC
(16,15),-1.10185 # DEPENDENCYPART_ARC
(16,17),3.57004 # DEPENDENCYPART_ARC
(16,18),2.30694 # DEPENDENCYPART_ARC
(16,19),-0.29767 # DEPENDENCYPART_ARC
(17,16),1.13074 # DEPENDENCYPART_ARC
(17,18),2.90361 # DEPENDENCYPART_ARC
(17,20),-0.87609 # DEPENDENCYPART_ARC
(17,21),-3.08806 # DEPENDENCYPART_ARC
(17,22),-2.04131 # DEPENDENCYPART_ARC
(17,23),0.0784229 # DEPENDENCYPART_ARC
(17,25),-0.0508382 # DEPENDENCYPART_ARC
(17,28),-0.592453 # DEPENDENCYPART_ARC
(17,29),-5.20772 # DEPENDENCYPART_ARC
(18,13),-3.27251 # DEPENDENCYPART_ARC
(18,14),-0.128664 # DEPENDENCYPART_ARC
(18,15),-3.488 # DEPENDENCYPART_ARC
(18,16),-0.523187 # DEPENDENCYPART_ARC
(18,17),2.25623 # DEPENDENCYPART_ARC
(18,19),-0.666843 # DEPENDENCYPART_ARC
(18,20),-1.36503 # DEPENDENCYPART_ARC
(18,21),-4.01605 # DEPENDENCYPART_ARC
(18,22),-3.60284 # DEPENDENCYPART_ARC
(19,1),-1.44141 # DEPENDENCYPART_ARC
(19,3),-1.41488 # DEPENDENCYPART_ARC
(19,4),-0.938848 # DEPENDENCYPART_ARC
(19,5),-0.960985 # DEPENDENCYPART_ARC
(19,8),-0.628212 # DEPENDENCYPART_ARC
(19,9),0.171403 # DEPENDENCYPART_ARC
(19,10),-1.02758 # DEPENDENCYPART_ARC
(19,11),-1.05359 # DEPENDENCYPART_ARC
(19,13),0.247635 # DEPENDENCYPART_ARC
(19,14),0.0473939 # DEPENDENCYPART_ARC
(19,15),0.0939834 # DEPENDENCYPART_ARC
(19,16),-0.531668 # DEPENDENCYPART_ARC
(19,17),0.633908 # DEPENDENCYPART_ARC
(19,18),-0.146895 # DEPENDENCYPART_ARC
(19,20),-0.112683 # DEPENDENCYPART_ARC
(19,21),-1.16218 # DEPENDENCYPART_ARC
(19,22),-1.18377 # DEPENDENCYPART_ARC
(19,24),-1.89127 # DEPENDENCYPART_ARC
(19,29),-2.40686 # DEPENDENCYPART_ARC
(20,1),0.724483 # DEPENDENCYPART_ARC
(20,3),-2.3304 # DEPENDENCYPART_ARC
(20,4),-0.314074 # DEPENDENCYPART_ARC
(20,5),0.441115 # DEPENDENCYPART_ARC
(20,6),0.170495 # DEPENDENCYPART_ARC
(20,8),-1.09033 # DEPENDENCYPART_ARC
(20,9),-3.57757 # DEPENDENCYPART_ARC
(20,10),-0.523609 # DEPENDENCYPART_ARC
(20,11),-0.801182 # DEPENDENCYPART_ARC
(20,12),-0.0561882 # DEPENDENCYPART_ARC
(20,13),-1.68074 # DEPENDENCYPART_ARC
(20,14),-2.48981 # DEPENDENCYPART_ARC
(20,15),-0.136136 # DEPENDENCYPART_ARC
(20,16),-0.0667325 # DEPENDENCYPART_ARC
(20,17),-1.98303 # DEPENDENCYPART_ARC
(20,18),-2.93046 # DEPENDENCYPART_ARC
(20,19),0.222911 # DEPENDENCYPART_ARC
(20,21),2.1848 # DEPENDENCYPART_ARC
(20,22),3.05005 # DEPENDENCYPART_ARC
(20,23),1.43817 # DEPENDENCYPART_ARC
(20,24),-2.04101 # DEPENDENCYPART_ARC
(20,25),1.41899 # DEPENDENCYPART_ARC
(20,26),-4.75279 # DEPENDENCYPART_ARC
(20,27),-0.839271 # DEPENDENCYPART_ARC
(20,28),-1.60056 # DEPENDENCYPART_ARC
(20,29),1.17662 # DEPENDENCYPART_ARC
(20,30),-0.347498 # DEPENDENCYPART_ARC
(21,16),-1.16338 # DEPENDENCYPART_ARC
(21,19),-1.07029 # DEPENDENCYPART_ARC
(21,22),-0.252817 # DEPENDENCYPART_ARC
(21,23),0.456905 # DEPENDENCYPART_ARC
(21,24),-1.71726 # DEPENDENCYPART_ARC
(22,17),-4.52685 # DEPENDENCYPART_ARC
(22,18),-2.86989 # DEPENDENCYPART_ARC
(22,19),-1.18273 # DEPENDENCYPART_ARC
(22,21),4.98955 # DEPENDENCYPART_ARC
(22,23),2.10516 # DEPENDENCYPART_ARC
(22,24),1.22507 # DEPENDENCYPART_ARC
(22,25),0.281597 # DEPENDENCYPART_ARC
(22,26),-3.27144 # DEPENDENCYPART_ARC
(22,27),-1.15854 # DEPENDENCYPART_ARC
(22,28),-0.323195 # DEPENDENCYPART_ARC
(22,29),-4.94283 # DEPENDENCYPART_ARC
(23,22),-3.72371 # DEPENDENCYPART_ARC
(23,24),4.16907 # DEPENDENCYPART_ARC
(23,27),-1.22558 # DEPENDENCYPART_ARC
(23,28),-1.69934 # DEPENDENCYPART_ARC
(24,21),-5.38312 # DEPENDENCYPART_ARC
(24,22),-3.85773 # DEPENDENCYPART_ARC
(24,23),-0.55869 # DEPENDENCYPART_ARC
(24,25),0.721986 # DEPENDENCYPART_ARC
(24,26),-0.981901 # DEPENDENCYPART_ARC
(24,27),-1.7799 # DEPENDENCYPART_ARC
(24,28),-0.939698 # DEPENDENCYPART_ARC
(24,29),-5.84904 # DEPENDENCYPART_ARC
(25,22),-3.38754 # DEPENDENCYPART_ARC
(25,23),-0.571778 # DEPENDENCYPART_ARC
(25,24),0.680837 # DEPENDENCYPART_ARC
(25,26),0.335462 # DEPENDENCYPART_ARC
(25,27),3.72367 # DEPENDENCYPART_ARC
(25,28),-1.98737 # DEPENDENCYPART_ARC
(25,29),-2.93021 # DEPENDENCYPART_ARC
(25,30),-1.09541 # DEPENDENCYPART_ARC
(26,28),-1.61414 # DEPENDENCYPART_ARC
(26,29),-3.53206 # DEPENDENCYPART_ARC
(27,21),-4.84994 # DEPENDENCYPART_ARC
(27,24),-0.282055 # DEPENDENCYPART_ARC
(27,25),0.0227283 # DEPENDENCYPART_ARC
(27,26),5.08721 # DEPENDENCYPART_ARC
(27,28),3.03681 # DEPENDENCYPART_ARC
(27,29),-1.86979 # DEPENDENCYPART_ARC
(27,30),-0.928107 # DEPENDENCYPART_ARC
(28,24),-0.930611 # DEPENDENCYPART_ARC
(28,26),1.03905 # DEPENDENCYPART_ARC
(28,27),-2.2463 # DEPENDENCYPART_ARC
(28,29),-0.539965 # DEPENDENCYPART_ARC
(28,30),-0.189322 # DEPENDENCYPART_ARC
(29,13),-5.49969 # DEPENDENCYPART_ARC
(29,14),-4.05935 # DEPENDENCYPART_ARC
(29,15),-5.37917 # DEPENDENCYPART_ARC
(29,17),-3.43081 # DEPENDENCYPART_ARC
(29,18),-3.77842 # DEPENDENCYPART_ARC
(29,22),-4.16132 # DEPENDENCYPART_ARC
(29,24),-2.25983 # DEPENDENCYPART_ARC
(29,25),-0.177031 # DEPENDENCYPART_ARC
(29,26),-1.9573 # DEPENDENCYPART_ARC
(29,27),-1.78038 # DEPENDENCYPART_ARC
(29,28),-0.0178672 # DEPENDENCYPART_ARC
(29,30),0.117426 # DEPENDENCYPART_ARC
