# _root_ Ve Francii mi říkali , že kdyby moje auto šlapalo tak jako mistru Evropy Dubourgovi , koukali by se mi všichni na záda s kilometrovým odstupem .
#goldHeads=4,1,4,0,6,4,17,9,10,7,10,11,15,15,12,7,6,17,17,17,17,17,22,17,26,24,0,
#predictedHeads=4,1,4,0,6,4,17,9,10,7,10,13,15,13,10,7,6,17,17,17,17,17,22,23,26,24,0,
(6,5),3.71447 # DEPENDENCYPART_ARC
(6,7),0.648839 # DEPENDENCYPART_ARC
(6,9),-2.70899 # DEPENDENCYPART_ARC
(6,10),1.84432 # DEPENDENCYPART_ARC
(6,11),-0.704132 # DEPENDENCYPART_ARC
(6,12),-0.802714 # DEPENDENCYPART_ARC
(6,15),-2.97315 # DEPENDENCYPART_ARC
(6,16),0.586222 # DEPENDENCYPART_ARC
(6,17),1.37406 # DEPENDENCYPART_ARC
(7,2),-1.93183 # DEPENDENCYPART_ARC
(7,4),-2.26582 # DEPENDENCYPART_ARC
(7,5),0.939091 # DEPENDENCYPART_ARC
(7,6),-0.206701 # DEPENDENCYPART_ARC
(7,9),0.623835 # DEPENDENCYPART_ARC
(7,10),3.05626 # DEPENDENCYPART_ARC
(7,11),-0.129056 # DEPENDENCYPART_ARC
(7,12),-0.559223 # DEPENDENCYPART_ARC
(7,13),-1.80048 # DEPENDENCYPART_ARC
(7,14),-1.8882 # DEPENDENCYPART_ARC
(7,15),-1.8794 # DEPENDENCYPART_ARC
(7,16),2.25986 # DEPENDENCYPART_ARC
(7,17),0.748707 # DEPENDENCYPART_ARC
(9,4),-5.64413 # DEPENDENCYPART_ARC
(9,5),-0.0504867 # DEPENDENCYPART_ARC
(9,6),-1.3409 # DEPENDENCYPART_ARC
(9,7),0.715214 # DEPENDENCYPART_ARC
(9,8),4.92415 # DEPENDENCYPART_ARC
(9,13),-1.43458 # DEPENDENCYPART_ARC
(9,14),0.455751 # DEPENDENCYPART_ARC
(9,21),-0.739715 # DEPENDENCYPART_ARC
(10,1),0.294225 # DEPENDENCYPART_ARC
(10,2),-2.93098 # DEPENDENCYPART_ARC
(10,3),0.635873 # DEPENDENCYPART_ARC
(10,4),-3.83258 # DEPENDENCYPART_ARC
(10,5),0.111186 # DEPENDENCYPART_ARC
(10,6),-0.774391 # DEPENDENCYPART_ARC
(10,7),1.10836 # DEPENDENCYPART_ARC
(10,8),1.39388 # DEPENDENCYPART_ARC
(10,9),3.32478 # DEPENDENCYPART_ARC
(10,11),1.62008 # DEPENDENCYPART_ARC
(10,12),0.839453 # DEPENDENCYPART_ARC
(10,13),-0.990498 # DEPENDENCYPART_ARC
(10,14),-2.27617 # DEPENDENCYPART_ARC
(10,15),-0.187677 # DEPENDENCYPART_ARC
(10,16),1.0052 # DEPENDENCYPART_ARC
(10,17),-4.65102 # DEPENDENCYPART_ARC
(10,22),-1.62954 # DEPENDENCYPART_ARC
(10,23),-4.12291 # DEPENDENCYPART_ARC
(10,24),-1.19987 # DEPENDENCYPART_ARC
(11,1),-1.44895 # DEPENDENCYPART_ARC
(11,4),-0.464703 # DEPENDENCYPART_ARC
(11,5),0.142278 # DEPENDENCYPART_ARC
(11,7),-0.154354 # DEPENDENCYPART_ARC
(11,9),-0.294389 # DEPENDENCYPART_ARC
(11,10),-0.0427878 # DEPENDENCYPART_ARC
(11,12),0.681451 # DEPENDENCYPART_ARC
(11,13),-0.0427542 # DEPENDENCYPART_ARC
(11,14),-0.373867 # DEPENDENCYPART_ARC
(11,15),-0.324157 # DEPENDENCYPART_ARC
(11,17),-1.52368 # DEPENDENCYPART_ARC
(12,9),-2.92571 # DEPENDENCYPART_ARC
(12,10),-2.00141 # DEPENDENCYPART_ARC
(12,11),-1.52846 # DEPENDENCYPART_ARC
(12,13),1.1679 # DEPENDENCYPART_ARC
(12,14),0.630467 # DEPENDENCYPART_ARC
(12,15),-0.123148 # DEPENDENCYPART_ARC
(12,16),0.327649 # DEPENDENCYPART_ARC
(12,17),-0.968999 # DEPENDENCYPART_ARC
(12,22),-2.09894 # DEPENDENCYPART_ARC
(12,24),-3.29702 # DEPENDENCYPART_ARC
(13,8),-0.172287 # DEPENDENCYPART_ARC
(13,11),0.407689 # DEPENDENCYPART_ARC
(13,12),2.32582 # DEPENDENCYPART_ARC
(13,14),4.60881 # DEPENDENCYPART_ARC
(13,15),-0.675324 # DEPENDENCYPART_ARC
(13,16),-0.0490524 # DEPENDENCYPART_ARC
(13,17),-0.823059 # DEPENDENCYPART_ARC
(13,21),-2.34794 # DEPENDENCYPART_ARC
(13,22),-2.82098 # DEPENDENCYPART_ARC
(13,24),-1.37311 # DEPENDENCYPART_ARC
(14,11),-0.815122 # DEPENDENCYPART_ARC
(14,12),0.65508 # DEPENDENCYPART_ARC
(14,13),0.246535 # DEPENDENCYPART_ARC
(14,15),-2.08959 # DEPENDENCYPART_ARC
(14,16),-1.38965 # DEPENDENCYPART_ARC
(14,17),-2.19223 # DEPENDENCYPART_ARC
(14,21),-3.45788 # DEPENDENCYPART_ARC
(14,22),-4.07038 # DEPENDENCYPART_ARC
(14,23),-8.91591 # DEPENDENCYPART_ARC
(14,24),-2.18788 # DEPENDENCYPART_ARC
(15,6),-2.06113 # DEPENDENCYPART_ARC
(15,8),-0.795343 # DEPENDENCYPART_ARC
(15,9),-3.59156 # DEPENDENCYPART_ARC
(15,11),-0.193271 # DEPENDENCYPART_ARC
(15,12),0.830819 # DEPENDENCYPART_ARC
(15,13),4.90249 # DEPENDENCYPART_ARC
(15,14),0.716908 # DEPENDENCYPART_ARC
(15,16),-0.551896 # DEPENDENCYPART_ARC
(15,17),-1.27749 # DEPENDENCYPART_ARC
(15,18),-1.07383 # DEPENDENCYPART_ARC
(15,21),-3.6126 # DEPENDENCYPART_ARC
(15,24),-2.9647 # DEPENDENCYPART_ARC
(16,1),-2.43916 # DEPENDENCYPART_ARC
(16,4),-0.49381 # DEPENDENCYPART_ARC
(16,5),-0.252998 # DEPENDENCYPART_ARC
(16,6),-0.787836 # DEPENDENCYPART_ARC
(16,7),-0.243046 # DEPENDENCYPART_ARC
(16,9),-0.770903 # DEPENDENCYPART_ARC
(16,10),-0.00375953 # DEPENDENCYPART_ARC
(16,11),-1.23168 # DEPENDENCYPART_ARC
(16,12),-0.458577 # DEPENDENCYPART_ARC
(16,13),0.407698 # DEPENDENCYPART_ARC
(16,14),-0.0212879 # DEPENDENCYPART_ARC
(16,15),-0.243823 # DEPENDENCYPART_ARC
(16,17),-0.283481 # DEPENDENCYPART_ARC
(16,21),-1.82721 # DEPENDENCYPART_ARC
(16,22),-2.32416 # DEPENDENCYPART_ARC
(16,24),-2.62725 # DEPENDENCYPART_ARC
(17,1),-0.260498 # DEPENDENCYPART_ARC
(17,2),-4.66405 # DEPENDENCYPART_ARC
(17,4),-3.95626 # DEPENDENCYPART_ARC
(17,6),-1.61032 # DEPENDENCYPART_ARC
(17,7),1.68969 # DEPENDENCYPART_ARC
(17,9),-1.40461 # DEPENDENCYPART_ARC
(17,10),-2.59156 # DEPENDENCYPART_ARC
(17,11),-0.582836 # DEPENDENCYPART_ARC
(17,12),0.302759 # DEPENDENCYPART_ARC
(17,13),1.23065 # DEPENDENCYPART_ARC
(17,14),-3.3417 # DEPENDENCYPART_ARC
(17,15),-1.24928 # DEPENDENCYPART_ARC
(17,16),0.171165 # DEPENDENCYPART_ARC
(17,18),4.48788 # DEPENDENCYPART_ARC
(17,19),2.73845 # DEPENDENCYPART_ARC
(17,20),2.04441 # DEPENDENCYPART_ARC
(17,21),1.46124 # DEPENDENCYPART_ARC
(17,22),1.33196 # DEPENDENCYPART_ARC
(17,23),0.336913 # DEPENDENCYPART_ARC
(17,24),1.25506 # DEPENDENCYPART_ARC
(17,25),-2.57951 # DEPENDENCYPART_ARC
(17,26),-0.194772 # DEPENDENCYPART_ARC
(17,27),0.36343 # DEPENDENCYPART_ARC
(20,23),-2.10572 # DEPENDENCYPART_ARC
(20,26),-2.61526 # DEPENDENCYPART_ARC
(21,22),-0.065937 # DEPENDENCYPART_ARC
(21,24),-0.849575 # DEPENDENCYPART_ARC
(22,23),3.93052 # DEPENDENCYPART_ARC
(22,26),-1.78678 # DEPENDENCYPART_ARC
(23,19),-3.74937 # DEPENDENCYPART_ARC
(23,20),-3.38708 # DEPENDENCYPART_ARC
(23,21),-1.54723 # DEPENDENCYPART_ARC
(23,22),-0.536799 # DEPENDENCYPART_ARC
(23,24),2.43244 # DEPENDENCYPART_ARC
(23,25),-1.71596 # DEPENDENCYPART_ARC
(23,26),-0.868005 # DEPENDENCYPART_ARC
(23,27),-0.672448 # DEPENDENCYPART_ARC
(24,22),0.212399 # DEPENDENCYPART_ARC
(24,23),0.912769 # DEPENDENCYPART_ARC
(24,25),0.5766 # DEPENDENCYPART_ARC
(24,26),3.57572 # DEPENDENCYPART_ARC
(24,27),-0.188164 # DEPENDENCYPART_ARC
(25,19),-2.28201 # DEPENDENCYPART_ARC
(25,21),-4.82166 # DEPENDENCYPART_ARC
(26,19),-3.08041 # DEPENDENCYPART_ARC
(26,21),-3.53282 # DEPENDENCYPART_ARC
(26,22),-0.248085 # DEPENDENCYPART_ARC
(26,23),-3.62028 # DEPENDENCYPART_ARC
(26,24),-0.695503 # DEPENDENCYPART_ARC
(26,25),5.28086 # DEPENDENCYPART_ARC
(26,27),0.463407 # DEPENDENCYPART_ARC
(27,21),-3.9936 # DEPENDENCYPART_ARC
