# _root_ Obávám se , že Ivanu Hlinkovi a Stanislavu Neveselému zbyla už právě jen ta slepá víra v boží zázrak , který se nepochybně sám od sebe nedostaví .
#goldHeads=0,1,4,1,6,7,10,9,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
#predictedHeads=0,1,4,1,6,7,4,7,7,4,10,16,16,16,16,10,16,19,17,27,27,27,27,21,27,25,19,0,
(15,11),-1.16902 # DEPENDENCYPART_ARC
(15,12),-1.02671 # DEPENDENCYPART_ARC
(15,13),-0.083121 # DEPENDENCYPART_ARC
(15,14),-0.487416 # DEPENDENCYPART_ARC
(15,17),0.0852365 # DEPENDENCYPART_ARC
(15,19),-3.13245 # DEPENDENCYPART_ARC
(16,9),-3.82008 # DEPENDENCYPART_ARC
(16,11),0.37697 # DEPENDENCYPART_ARC
(16,12),1.26532 # DEPENDENCYPART_ARC
(16,13),1.36468 # DEPENDENCYPART_ARC
(16,14),3.82884 # DEPENDENCYPART_ARC
(16,15),4.91257 # DEPENDENCYPART_ARC
(16,17),2.22039 # DEPENDENCYPART_ARC
(16,18),-1.86172 # DEPENDENCYPART_ARC
(16,19),-2.89782 # DEPENDENCYPART_ARC
(16,23),-0.491854 # DEPENDENCYPART_ARC
(16,24),0.200232 # DEPENDENCYPART_ARC
(16,25),-0.599233 # DEPENDENCYPART_ARC
(16,27),1.22951 # DEPENDENCYPART_ARC
(17,18),1.00579 # DEPENDENCYPART_ARC
(17,19),3.79611 # DEPENDENCYPART_ARC
(17,20),-0.017788 # DEPENDENCYPART_ARC
(17,23),-0.707112 # DEPENDENCYPART_ARC
(18,23),-1.1235 # DEPENDENCYPART_ARC
(19,9),-1.88743 # DEPENDENCYPART_ARC
(19,11),0.119348 # DEPENDENCYPART_ARC
(19,12),0.624928 # DEPENDENCYPART_ARC
(19,13),0.688576 # DEPENDENCYPART_ARC
(19,14),-1.5947 # DEPENDENCYPART_ARC
(19,15),-1.54659 # DEPENDENCYPART_ARC
(19,16),-3.34641 # DEPENDENCYPART_ARC
(19,18),5.96482 # DEPENDENCYPART_ARC
(19,20),-0.415094 # DEPENDENCYPART_ARC
(19,21),-3.29195 # DEPENDENCYPART_ARC
(19,23),-0.822218 # DEPENDENCYPART_ARC
(19,24),-2.00681 # DEPENDENCYPART_ARC
(19,25),-1.21602 # DEPENDENCYPART_ARC
(19,27),1.92845 # DEPENDENCYPART_ARC
(20,1),-1.64105 # DEPENDENCYPART_ARC
(20,3),-1.88125 # DEPENDENCYPART_ARC
(20,4),-2.66323 # DEPENDENCYPART_ARC
(20,10),-0.984799 # DEPENDENCYPART_ARC
(20,23),-1.14447 # DEPENDENCYPART_ARC
(20,24),-1.72272 # DEPENDENCYPART_ARC
(20,25),-2.07007 # DEPENDENCYPART_ARC
(20,27),-0.442565 # DEPENDENCYPART_ARC
(21,20),-0.613004 # DEPENDENCYPART_ARC
(21,24),2.26136 # DEPENDENCYPART_ARC
(23,21),-1.33865 # DEPENDENCYPART_ARC
(23,24),-0.286346 # DEPENDENCYPART_ARC
(23,25),-0.271488 # DEPENDENCYPART_ARC
(24,23),0.183954 # DEPENDENCYPART_ARC
(24,25),1.04173 # DEPENDENCYPART_ARC
(24,27),-0.77623 # DEPENDENCYPART_ARC
(25,20),-0.136147 # DEPENDENCYPART_ARC
(25,26),4.11594 # DEPENDENCYPART_ARC
(25,28),-0.504839 # DEPENDENCYPART_ARC
(27,1),-1.41471 # DEPENDENCYPART_ARC
(27,2),-2.48552 # DEPENDENCYPART_ARC
(27,3),0.556173 # DEPENDENCYPART_ARC
(27,5),-0.338535 # DEPENDENCYPART_ARC
(27,6),-0.383919 # DEPENDENCYPART_ARC
(27,7),-0.100139 # DEPENDENCYPART_ARC
(27,8),-0.126409 # DEPENDENCYPART_ARC
(27,10),-1.85574 # DEPENDENCYPART_ARC
(27,11),0.716478 # DEPENDENCYPART_ARC
(27,12),-1.95701 # DEPENDENCYPART_ARC
(27,13),-0.0659674 # DEPENDENCYPART_ARC
(27,14),-0.517264 # DEPENDENCYPART_ARC
(27,15),0.267478 # DEPENDENCYPART_ARC
(27,16),1.50035 # DEPENDENCYPART_ARC
(27,17),0.413833 # DEPENDENCYPART_ARC
(27,18),-1.60246 # DEPENDENCYPART_ARC
(27,19),-0.834353 # DEPENDENCYPART_ARC
(27,20),2.63127 # DEPENDENCYPART_ARC
(27,21),2.2351 # DEPENDENCYPART_ARC
(27,22),2.56385 # DEPENDENCYPART_ARC
(27,23),2.5136 # DEPENDENCYPART_ARC
(27,24),2.19113 # DEPENDENCYPART_ARC
(27,25),3.63305 # DEPENDENCYPART_ARC
(27,26),1.1351 # DEPENDENCYPART_ARC
(27,28),-0.0321687 # DEPENDENCYPART_ARC
