# _root_ Cigarety v nákupní hodnotě asi 6 miliónů korun budou pravděpodobně dodatečně procleny , čímž se jejich prodejní cena zvýší asi o jeden milión korun , a prodány v Praze a Bratislavě .
#goldHeads=26,1,4,2,6,4,6,7,26,26,12,26,19,19,19,18,18,19,12,23,19,23,21,23,19,0,26,27,30,28,30,0,
#predictedHeads=12,1,4,2,6,4,6,7,12,12,12,13,19,19,19,18,18,19,26,23,19,23,21,23,26,0,26,27,30,28,30,0,
(7,4),-4.03873 # DEPENDENCYPART_ARC
(7,5),0.494377 # DEPENDENCYPART_ARC
(7,6),0.476818 # DEPENDENCYPART_ARC
(7,8),3.49005 # DEPENDENCYPART_ARC
(7,9),-1.89564 # DEPENDENCYPART_ARC
(7,10),-1.06825 # DEPENDENCYPART_ARC
(7,11),-1.08516 # DEPENDENCYPART_ARC
(7,12),-1.70192 # DEPENDENCYPART_ARC
(7,26),-2.27889 # DEPENDENCYPART_ARC
(7,30),-2.37538 # DEPENDENCYPART_ARC
(8,3),-1.96943 # DEPENDENCYPART_ARC
(8,4),-3.56286 # DEPENDENCYPART_ARC
(8,5),-0.184922 # DEPENDENCYPART_ARC
(8,6),-0.492884 # DEPENDENCYPART_ARC
(8,7),0.552567 # DEPENDENCYPART_ARC
(8,9),-2.06784 # DEPENDENCYPART_ARC
(9,1),0.717977 # DEPENDENCYPART_ARC
(9,2),-1.33495 # DEPENDENCYPART_ARC
(9,4),-1.93917 # DEPENDENCYPART_ARC
(9,5),-0.144216 # DEPENDENCYPART_ARC
(9,6),-0.460064 # DEPENDENCYPART_ARC
(9,7),-1.31822 # DEPENDENCYPART_ARC
(9,8),-2.00019 # DEPENDENCYPART_ARC
(9,10),1.18469 # DEPENDENCYPART_ARC
(9,11),0.860774 # DEPENDENCYPART_ARC
(9,12),-0.0348462 # DEPENDENCYPART_ARC
(9,13),-0.28502 # DEPENDENCYPART_ARC
(9,17),-2.60138 # DEPENDENCYPART_ARC
(9,18),-2.52583 # DEPENDENCYPART_ARC
(9,19),-2.56837 # DEPENDENCYPART_ARC
(9,20),-1.03054 # DEPENDENCYPART_ARC
(9,23),-2.01308 # DEPENDENCYPART_ARC
(9,24),-3.13437 # DEPENDENCYPART_ARC
(9,26),-1.19017 # DEPENDENCYPART_ARC
(10,7),-0.649047 # DEPENDENCYPART_ARC
(10,8),-0.622937 # DEPENDENCYPART_ARC
(10,9),-0.543715 # DEPENDENCYPART_ARC
(10,11),0.121548 # DEPENDENCYPART_ARC
(11,9),-0.997918 # DEPENDENCYPART_ARC
(11,10),1.87766 # DEPENDENCYPART_ARC
(12,1),2.93214 # DEPENDENCYPART_ARC
(12,2),0.896357 # DEPENDENCYPART_ARC
(12,3),-5.59814 # DEPENDENCYPART_ARC
(12,4),-0.383484 # DEPENDENCYPART_ARC
(12,5),0.905041 # DEPENDENCYPART_ARC
(12,6),0.379364 # DEPENDENCYPART_ARC
(12,7),0.0123027 # DEPENDENCYPART_ARC
(12,8),0.0685654 # DEPENDENCYPART_ARC
(12,9),3.95441 # DEPENDENCYPART_ARC
(12,10),2.75439 # DEPENDENCYPART_ARC
(12,11),3.85055 # DEPENDENCYPART_ARC
(12,13),0.519579 # DEPENDENCYPART_ARC
(12,18),-2.1599 # DEPENDENCYPART_ARC
(12,19),-1.56811 # DEPENDENCYPART_ARC
(12,21),-0.642141 # DEPENDENCYPART_ARC
(12,23),-2.45423 # DEPENDENCYPART_ARC
(12,24),-2.51205 # DEPENDENCYPART_ARC
(12,26),-0.704045 # DEPENDENCYPART_ARC
(12,30),-1.19143 # DEPENDENCYPART_ARC
(13,2),0.4019 # DEPENDENCYPART_ARC
(13,5),0.968969 # DEPENDENCYPART_ARC
(13,6),0.0624691 # DEPENDENCYPART_ARC
(13,9),1.49989 # DEPENDENCYPART_ARC
(13,10),0.92576 # DEPENDENCYPART_ARC
(13,11),0.796199 # DEPENDENCYPART_ARC
(13,12),1.46723 # DEPENDENCYPART_ARC
(13,17),0.837664 # DEPENDENCYPART_ARC
(13,18),-0.388428 # DEPENDENCYPART_ARC
(13,19),0.954275 # DEPENDENCYPART_ARC
(13,25),0.347561 # DEPENDENCYPART_ARC
(13,27),-0.589734 # DEPENDENCYPART_ARC
(17,15),-1.02864 # DEPENDENCYPART_ARC
(17,16),-0.996049 # DEPENDENCYPART_ARC
(18,10),-1.96312 # DEPENDENCYPART_ARC
(18,11),-1.95303 # DEPENDENCYPART_ARC
(18,12),-2.198 # DEPENDENCYPART_ARC
(18,13),-0.594023 # DEPENDENCYPART_ARC
(18,15),-2.03856 # DEPENDENCYPART_ARC
(18,16),4.32192 # DEPENDENCYPART_ARC
(18,17),5.05717 # DEPENDENCYPART_ARC
(18,19),-1.18487 # DEPENDENCYPART_ARC
(18,20),-0.940373 # DEPENDENCYPART_ARC
(18,21),-0.252017 # DEPENDENCYPART_ARC
(18,22),-3.42156 # DEPENDENCYPART_ARC
(19,1),1.7104 # DEPENDENCYPART_ARC
(19,2),0.286686 # DEPENDENCYPART_ARC
(19,4),-0.883243 # DEPENDENCYPART_ARC
(19,5),0.335232 # DEPENDENCYPART_ARC
(19,6),-0.226306 # DEPENDENCYPART_ARC
(19,7),-2.26479 # DEPENDENCYPART_ARC
(19,8),-2.48807 # DEPENDENCYPART_ARC
(19,9),-2.02793 # DEPENDENCYPART_ARC
(19,10),0.085483 # DEPENDENCYPART_ARC
(19,11),0.444274 # DEPENDENCYPART_ARC
(19,12),-2.3484 # DEPENDENCYPART_ARC
(19,13),1.89742 # DEPENDENCYPART_ARC
(19,14),0.659169 # DEPENDENCYPART_ARC
(19,15),2.46977 # DEPENDENCYPART_ARC
(19,17),0.426582 # DEPENDENCYPART_ARC
(19,18),3.05406 # DEPENDENCYPART_ARC
(19,20),0.685359 # DEPENDENCYPART_ARC
(19,21),2.21572 # DEPENDENCYPART_ARC
(19,22),-0.51485 # DEPENDENCYPART_ARC
(19,23),2.06214 # DEPENDENCYPART_ARC
(19,24),-0.018247 # DEPENDENCYPART_ARC
(19,25),0.356131 # DEPENDENCYPART_ARC
(19,26),0.419449 # DEPENDENCYPART_ARC
(19,27),-0.0226385 # DEPENDENCYPART_ARC
(19,28),0.428314 # DEPENDENCYPART_ARC
(19,29),-2.57019 # DEPENDENCYPART_ARC
(19,30),-0.295781 # DEPENDENCYPART_ARC
(19,31),-2.48543 # DEPENDENCYPART_ARC
(20,18),-1.20627 # DEPENDENCYPART_ARC
(20,19),-0.685481 # DEPENDENCYPART_ARC
(20,21),-0.797003 # DEPENDENCYPART_ARC
(20,22),-1.06514 # DEPENDENCYPART_ARC
(20,25),-1.4895 # DEPENDENCYPART_ARC
(20,27),-1.49056 # DEPENDENCYPART_ARC
(21,18),-2.63792 # DEPENDENCYPART_ARC
(21,20),0.180385 # DEPENDENCYPART_ARC
(21,22),2.38516 # DEPENDENCYPART_ARC
(21,23),3.57924 # DEPENDENCYPART_ARC
(21,24),-2.4943 # DEPENDENCYPART_ARC
(21,25),-0.0680049 # DEPENDENCYPART_ARC
(21,26),-0.1958 # DEPENDENCYPART_ARC
(21,30),-0.39861 # DEPENDENCYPART_ARC
(22,20),1.25164 # DEPENDENCYPART_ARC
(22,21),-0.683991 # DEPENDENCYPART_ARC
(22,23),1.57176 # DEPENDENCYPART_ARC
(22,24),0.247054 # DEPENDENCYPART_ARC
(22,28),0.104036 # DEPENDENCYPART_ARC
(23,15),-3.13303 # DEPENDENCYPART_ARC
(23,16),1.91814 # DEPENDENCYPART_ARC
(23,17),-3.71756 # DEPENDENCYPART_ARC
(23,18),-3.44084 # DEPENDENCYPART_ARC
(23,20),1.65038 # DEPENDENCYPART_ARC
(23,21),0.243386 # DEPENDENCYPART_ARC
(23,22),4.70202 # DEPENDENCYPART_ARC
(23,24),3.5815 # DEPENDENCYPART_ARC
(23,25),-0.525871 # DEPENDENCYPART_ARC
(23,26),0.0184163 # DEPENDENCYPART_ARC
(23,27),-0.381157 # DEPENDENCYPART_ARC
(23,28),-1.13906 # DEPENDENCYPART_ARC
(23,30),-0.141074 # DEPENDENCYPART_ARC
(23,31),-1.86532 # DEPENDENCYPART_ARC
(24,16),-0.0520211 # DEPENDENCYPART_ARC
(24,20),-0.248034 # DEPENDENCYPART_ARC
(24,22),-2.21369 # DEPENDENCYPART_ARC
(24,23),-0.987064 # DEPENDENCYPART_ARC
(24,25),-1.31585 # DEPENDENCYPART_ARC
(24,26),-0.638382 # DEPENDENCYPART_ARC
(24,27),-0.759827 # DEPENDENCYPART_ARC
(24,28),-2.53495 # DEPENDENCYPART_ARC
(24,30),-1.70849 # DEPENDENCYPART_ARC
(25,12),-1.25129 # DEPENDENCYPART_ARC
(25,13),-0.621144 # DEPENDENCYPART_ARC
(25,19),-0.296813 # DEPENDENCYPART_ARC
(25,21),-1.15714 # DEPENDENCYPART_ARC
(25,22),-0.68697 # DEPENDENCYPART_ARC
(25,23),-0.629838 # DEPENDENCYPART_ARC
(25,24),-0.737167 # DEPENDENCYPART_ARC
(25,27),-1.26247 # DEPENDENCYPART_ARC
(25,28),-2.23183 # DEPENDENCYPART_ARC
(26,1),-0.545843 # DEPENDENCYPART_ARC
(26,2),-2.1955 # DEPENDENCYPART_ARC
(26,5),-0.935299 # DEPENDENCYPART_ARC
(26,6),-1.52815 # DEPENDENCYPART_ARC
(26,8),-1.35751 # DEPENDENCYPART_ARC
(26,9),0.752797 # DEPENDENCYPART_ARC
(26,10),-1.00129 # DEPENDENCYPART_ARC
(26,11),-0.597642 # DEPENDENCYPART_ARC
(26,12),0.723393 # DEPENDENCYPART_ARC
(26,13),1.41814 # DEPENDENCYPART_ARC
(26,15),-0.187266 # DEPENDENCYPART_ARC
(26,17),-1.12842 # DEPENDENCYPART_ARC
(26,18),0.789534 # DEPENDENCYPART_ARC
(26,19),2.45156 # DEPENDENCYPART_ARC
(26,20),0.0540676 # DEPENDENCYPART_ARC
(26,21),0.571391 # DEPENDENCYPART_ARC
(26,22),-0.0358084 # DEPENDENCYPART_ARC
(26,23),0.767523 # DEPENDENCYPART_ARC
(26,24),0.243774 # DEPENDENCYPART_ARC
(26,25),1.6224 # DEPENDENCYPART_ARC
(26,27),2.0845 # DEPENDENCYPART_ARC
(26,28),0.336724 # DEPENDENCYPART_ARC
(26,29),-0.000236921 # DEPENDENCYPART_ARC
(26,30),-0.235036 # DEPENDENCYPART_ARC
(26,31),-0.388544 # DEPENDENCYPART_ARC
(26,32),0.0528816 # DEPENDENCYPART_ARC
(27,1),0.263135 # DEPENDENCYPART_ARC
(27,13),-0.777256 # DEPENDENCYPART_ARC
(27,18),-1.258 # DEPENDENCYPART_ARC
(27,19),-2.0218 # DEPENDENCYPART_ARC
(27,20),-1.03698 # DEPENDENCYPART_ARC
(27,21),-1.59766 # DEPENDENCYPART_ARC
(27,22),-2.73265 # DEPENDENCYPART_ARC
(27,23),-2.22408 # DEPENDENCYPART_ARC
(27,24),-2.72152 # DEPENDENCYPART_ARC
(27,25),-0.258423 # DEPENDENCYPART_ARC
(27,26),-0.270103 # DEPENDENCYPART_ARC
(27,28),1.99914 # DEPENDENCYPART_ARC
(27,29),-1.60727 # DEPENDENCYPART_ARC
(27,30),0.585806 # DEPENDENCYPART_ARC
(27,31),-1.43325 # DEPENDENCYPART_ARC
(28,29),4.19885 # DEPENDENCYPART_ARC
(28,30),1.46193 # DEPENDENCYPART_ARC
(28,31),-0.00825263 # DEPENDENCYPART_ARC
(29,27),-4.29195 # DEPENDENCYPART_ARC
(29,28),-0.746197 # DEPENDENCYPART_ARC
(29,31),-0.559196 # DEPENDENCYPART_ARC
(30,1),-2.54649 # DEPENDENCYPART_ARC
(30,10),-1.38835 # DEPENDENCYPART_ARC
(30,11),-1.23376 # DEPENDENCYPART_ARC
(30,12),-1.42491 # DEPENDENCYPART_ARC
(30,13),0.135848 # DEPENDENCYPART_ARC
(30,15),-0.654326 # DEPENDENCYPART_ARC
(30,17),-0.397099 # DEPENDENCYPART_ARC
(30,18),-1.51634 # DEPENDENCYPART_ARC
(30,19),0.220479 # DEPENDENCYPART_ARC
(30,20),-0.211914 # DEPENDENCYPART_ARC
(30,21),-0.798283 # DEPENDENCYPART_ARC
(30,23),-0.261208 # DEPENDENCYPART_ARC
(30,24),0.897162 # DEPENDENCYPART_ARC
(30,25),0.29003 # DEPENDENCYPART_ARC
(30,26),-0.0809537 # DEPENDENCYPART_ARC
(30,27),1.26753 # DEPENDENCYPART_ARC
(30,28),0.268106 # DEPENDENCYPART_ARC
(30,29),4.8322 # DEPENDENCYPART_ARC
(30,31),3.43369 # DEPENDENCYPART_ARC
(30,32),0.103455 # DEPENDENCYPART_ARC
(31,28),-1.90679 # DEPENDENCYPART_ARC
(31,29),-1.74427 # DEPENDENCYPART_ARC
(31,32),-0.588662 # DEPENDENCYPART_ARC
