# _root_ Se Zlínem jsem loni uhrál v Ostravě bezbrankovou remízu , proto si myslím , že ani s Brnem nejsem bez šancí .
#goldHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
#predictedHeads=5,1,5,5,11,5,6,9,5,11,0,13,11,15,13,18,19,17,15,19,20,0,
(16,6),-0.946753 # DEPENDENCYPART_ARC
(16,10),-0.552968 # DEPENDENCYPART_ARC
(16,12),-2.02674 # DEPENDENCYPART_ARC
(16,13),-1.75163 # DEPENDENCYPART_ARC
(16,14),0.861803 # DEPENDENCYPART_ARC
(16,15),0.374556 # DEPENDENCYPART_ARC
(16,17),0.404427 # DEPENDENCYPART_ARC
(16,18),-0.0445574 # DEPENDENCYPART_ARC
(16,19),0.789188 # DEPENDENCYPART_ARC
(16,20),-0.806109 # DEPENDENCYPART_ARC
(16,21),-1.59393 # DEPENDENCYPART_ARC
(16,22),-0.596512 # DEPENDENCYPART_ARC
(17,14),0.942058 # DEPENDENCYPART_ARC
(17,16),-0.0199858 # DEPENDENCYPART_ARC
(17,18),4.88537 # DEPENDENCYPART_ARC
(17,21),-2.19663 # DEPENDENCYPART_ARC
(18,12),-5.07249 # DEPENDENCYPART_ARC
(18,16),1.05519 # DEPENDENCYPART_ARC
(18,17),-0.0512932 # DEPENDENCYPART_ARC
(18,19),-1.21094 # DEPENDENCYPART_ARC
(18,20),-1.66036 # DEPENDENCYPART_ARC
(18,21),-2.2347 # DEPENDENCYPART_ARC
(19,1),-2.45831 # DEPENDENCYPART_ARC
(19,3),-3.70839 # DEPENDENCYPART_ARC
(19,4),-1.10843 # DEPENDENCYPART_ARC
(19,5),-3.04151 # DEPENDENCYPART_ARC
(19,6),-1.44897 # DEPENDENCYPART_ARC
(19,7),-3.99526 # DEPENDENCYPART_ARC
(19,8),-4.77045 # DEPENDENCYPART_ARC
(19,9),-2.99972 # DEPENDENCYPART_ARC
(19,11),-0.925807 # DEPENDENCYPART_ARC
(19,12),0.408791 # DEPENDENCYPART_ARC
(19,13),-2.41191 # DEPENDENCYPART_ARC
(19,14),-0.789005 # DEPENDENCYPART_ARC
(19,15),-0.836757 # DEPENDENCYPART_ARC
(19,16),0.447211 # DEPENDENCYPART_ARC
(19,17),1.71487 # DEPENDENCYPART_ARC
(19,18),-0.632435 # DEPENDENCYPART_ARC
(19,20),1.57567 # DEPENDENCYPART_ARC
(19,21),-1.72669 # DEPENDENCYPART_ARC
(19,22),-0.656148 # DEPENDENCYPART_ARC
(20,18),-0.643105 # DEPENDENCYPART_ARC
(20,21),3.55181 # DEPENDENCYPART_ARC
(20,22),-0.231805 # DEPENDENCYPART_ARC
(21,16),-0.574313 # DEPENDENCYPART_ARC
(21,17),-0.261917 # DEPENDENCYPART_ARC
(21,20),0.0106156 # DEPENDENCYPART_ARC
(21,22),0.212176 # DEPENDENCYPART_ARC
