# _root_ Světová návrhářská smetánka se totiž rozhodla všem , které jsou nevšímavé vůči kouzlu negližé , vyhlásit nelítostný boj a ve svých kolekcích povýšit prádlo do řad oficiálního svrchního ošacení .
#goldHeads=3,3,6,6,6,0,16,10,10,7,10,11,12,13,10,19,18,16,6,23,22,20,19,23,23,25,29,29,26,0,
#predictedHeads=3,3,6,6,6,0,6,10,10,7,10,11,12,13,10,19,18,16,10,23,22,20,19,23,23,25,29,29,26,0,
(10,6),-2.71597 # DEPENDENCYPART_ARC
(10,7),-0.923171 # DEPENDENCYPART_ARC
(10,8),2.32679 # DEPENDENCYPART_ARC
(10,9),2.88831 # DEPENDENCYPART_ARC
(10,11),2.88837 # DEPENDENCYPART_ARC
(10,12),1.35775 # DEPENDENCYPART_ARC
(10,13),0.311951 # DEPENDENCYPART_ARC
(10,14),0.616515 # DEPENDENCYPART_ARC
(10,15),1.36373 # DEPENDENCYPART_ARC
(10,16),0.273931 # DEPENDENCYPART_ARC
(10,17),-3.2511 # DEPENDENCYPART_ARC
(10,18),0.0365294 # DEPENDENCYPART_ARC
(10,19),0.191326 # DEPENDENCYPART_ARC
(10,20),-1.24388 # DEPENDENCYPART_ARC
(10,22),-1.91705 # DEPENDENCYPART_ARC
(10,23),-0.537269 # DEPENDENCYPART_ARC
(10,24),-1.59535 # DEPENDENCYPART_ARC
(10,25),-0.488004 # DEPENDENCYPART_ARC
(10,27),-4.80251 # DEPENDENCYPART_ARC
(10,29),-4.11724 # DEPENDENCYPART_ARC
(11,5),-1.49324 # DEPENDENCYPART_ARC
(11,7),-1.32063 # DEPENDENCYPART_ARC
(11,8),-0.343621 # DEPENDENCYPART_ARC
(11,12),1.62079 # DEPENDENCYPART_ARC
(11,13),1.48016 # DEPENDENCYPART_ARC
(11,14),-0.655786 # DEPENDENCYPART_ARC
(11,15),0.354356 # DEPENDENCYPART_ARC
(11,16),0.529783 # DEPENDENCYPART_ARC
(11,19),0.16712 # DEPENDENCYPART_ARC
(12,11),-1.51713 # DEPENDENCYPART_ARC
(12,13),3.93173 # DEPENDENCYPART_ARC
(12,14),0.486941 # DEPENDENCYPART_ARC
(12,15),-0.124308 # DEPENDENCYPART_ARC
(12,17),-2.3314 # DEPENDENCYPART_ARC
(12,19),-1.71506 # DEPENDENCYPART_ARC
(13,7),-0.819398 # DEPENDENCYPART_ARC
(13,9),-4.04999 # DEPENDENCYPART_ARC
(13,11),-5.37813 # DEPENDENCYPART_ARC
(13,12),0.367164 # DEPENDENCYPART_ARC
(13,14),2.43108 # DEPENDENCYPART_ARC
(13,15),-0.577997 # DEPENDENCYPART_ARC
(13,16),0.206573 # DEPENDENCYPART_ARC
(13,17),-2.1784 # DEPENDENCYPART_ARC
(13,18),-3.04542 # DEPENDENCYPART_ARC
(13,19),-0.364001 # DEPENDENCYPART_ARC
(13,22),-2.4191 # DEPENDENCYPART_ARC
(13,23),-0.835639 # DEPENDENCYPART_ARC
(13,27),-1.58034 # DEPENDENCYPART_ARC
(14,7),-1.12637 # DEPENDENCYPART_ARC
(14,9),-1.94884 # DEPENDENCYPART_ARC
(14,11),-1.61498 # DEPENDENCYPART_ARC
(14,12),-0.0582796 # DEPENDENCYPART_ARC
(14,13),1.53865 # DEPENDENCYPART_ARC
(14,15),-0.270794 # DEPENDENCYPART_ARC
(14,16),-0.790302 # DEPENDENCYPART_ARC
(14,17),-2.52306 # DEPENDENCYPART_ARC
(14,18),-2.72516 # DEPENDENCYPART_ARC
(14,19),-0.166565 # DEPENDENCYPART_ARC
(14,23),-1.47224 # DEPENDENCYPART_ARC
(15,1),-1.65162 # DEPENDENCYPART_ARC
(15,3),-1.25529 # DEPENDENCYPART_ARC
(15,5),-0.96811 # DEPENDENCYPART_ARC
(15,6),0.634079 # DEPENDENCYPART_ARC
(15,8),0.1633 # DEPENDENCYPART_ARC
(15,9),-0.000117165 # DEPENDENCYPART_ARC
(15,10),0.259346 # DEPENDENCYPART_ARC
(15,11),-0.369028 # DEPENDENCYPART_ARC
(15,12),0.0518725 # DEPENDENCYPART_ARC
(15,13),0.84799 # DEPENDENCYPART_ARC
(15,14),0.0671872 # DEPENDENCYPART_ARC
(15,16),0.200117 # DEPENDENCYPART_ARC
(15,17),-0.849378 # DEPENDENCYPART_ARC
(15,18),-0.628239 # DEPENDENCYPART_ARC
(15,19),-0.390549 # DEPENDENCYPART_ARC
(15,20),-1.16123 # DEPENDENCYPART_ARC
(15,23),-1.27103 # DEPENDENCYPART_ARC
(16,3),-1.96392 # DEPENDENCYPART_ARC
(16,4),-0.223733 # DEPENDENCYPART_ARC
(16,5),-0.482018 # DEPENDENCYPART_ARC
(16,6),-2.79217 # DEPENDENCYPART_ARC
(16,7),-0.340129 # DEPENDENCYPART_ARC
(16,8),0.077165 # DEPENDENCYPART_ARC
(16,9),-0.560862 # DEPENDENCYPART_ARC
(16,10),-1.401 # DEPENDENCYPART_ARC
(16,11),-1.54069 # DEPENDENCYPART_ARC
(16,12),0.341665 # DEPENDENCYPART_ARC
(16,13),0.931194 # DEPENDENCYPART_ARC
(16,14),-0.624412 # DEPENDENCYPART_ARC
(16,15),-0.446538 # DEPENDENCYPART_ARC
(16,17),0.0486747 # DEPENDENCYPART_ARC
(16,18),3.36336 # DEPENDENCYPART_ARC
(16,19),0.475602 # DEPENDENCYPART_ARC
(16,20),0.415985 # DEPENDENCYPART_ARC
(16,22),-0.302508 # DEPENDENCYPART_ARC
(16,23),-0.103091 # DEPENDENCYPART_ARC
(16,24),0.356802 # DEPENDENCYPART_ARC
(16,25),0.597417 # DEPENDENCYPART_ARC
(16,26),-2.94122 # DEPENDENCYPART_ARC
(16,29),-1.49866 # DEPENDENCYPART_ARC
(17,18),-0.364338 # DEPENDENCYPART_ARC
(17,20),-1.40638 # DEPENDENCYPART_ARC
(18,9),-6.25064 # DEPENDENCYPART_ARC
(18,13),-2.09583 # DEPENDENCYPART_ARC
(18,14),-1.01484 # DEPENDENCYPART_ARC
(18,17),4.29225 # DEPENDENCYPART_ARC
(18,20),-0.867318 # DEPENDENCYPART_ARC
(18,22),-1.0985 # DEPENDENCYPART_ARC
(18,23),0.00642315 # DEPENDENCYPART_ARC
(19,1),-2.16345 # DEPENDENCYPART_ARC
(19,2),-2.35695 # DEPENDENCYPART_ARC
(19,3),-1.42191 # DEPENDENCYPART_ARC
(19,4),-1.37015 # DEPENDENCYPART_ARC
(19,5),-0.439366 # DEPENDENCYPART_ARC
(19,6),-0.124325 # DEPENDENCYPART_ARC
(19,8),1.04909 # DEPENDENCYPART_ARC
(19,9),0.35218 # DEPENDENCYPART_ARC
(19,10),0.56771 # DEPENDENCYPART_ARC
(19,11),-0.637092 # DEPENDENCYPART_ARC
(19,12),1.1952 # DEPENDENCYPART_ARC
(19,13),0.867157 # DEPENDENCYPART_ARC
(19,14),0.71432 # DEPENDENCYPART_ARC
(19,15),0.834795 # DEPENDENCYPART_ARC
(19,16),2.28326 # DEPENDENCYPART_ARC
(19,17),0.926242 # DEPENDENCYPART_ARC
(19,18),0.391336 # DEPENDENCYPART_ARC
(19,20),1.19571 # DEPENDENCYPART_ARC
(19,22),1.31053 # DEPENDENCYPART_ARC
(19,23),1.39697 # DEPENDENCYPART_ARC
(19,24),-0.509432 # DEPENDENCYPART_ARC
(19,25),0.19683 # DEPENDENCYPART_ARC
(19,26),-1.65195 # DEPENDENCYPART_ARC
(19,27),-1.27999 # DEPENDENCYPART_ARC
(19,29),-1.16169 # DEPENDENCYPART_ARC
(20,21),1.48811 # DEPENDENCYPART_ARC
(20,22),5.0361 # DEPENDENCYPART_ARC
(20,24),-2.56273 # DEPENDENCYPART_ARC
(20,26),-3.99219 # DEPENDENCYPART_ARC
(22,17),-3.94884 # DEPENDENCYPART_ARC
(22,18),-3.17424 # DEPENDENCYPART_ARC
(22,20),-0.174867 # DEPENDENCYPART_ARC
(22,21),4.52865 # DEPENDENCYPART_ARC
(22,23),0.220343 # DEPENDENCYPART_ARC
(22,24),-3.81994 # DEPENDENCYPART_ARC
(22,25),-0.135585 # DEPENDENCYPART_ARC
(22,27),-3.49624 # DEPENDENCYPART_ARC
(23,3),-1.92475 # DEPENDENCYPART_ARC
(23,6),-3.71976 # DEPENDENCYPART_ARC
(23,8),0.0484325 # DEPENDENCYPART_ARC
(23,9),-0.455517 # DEPENDENCYPART_ARC
(23,10),-2.1667 # DEPENDENCYPART_ARC
(23,12),-0.323952 # DEPENDENCYPART_ARC
(23,13),0.0383004 # DEPENDENCYPART_ARC
(23,14),-2.45804 # DEPENDENCYPART_ARC
(23,15),-1.04504 # DEPENDENCYPART_ARC
(23,16),-0.710596 # DEPENDENCYPART_ARC
(23,17),-1.96888 # DEPENDENCYPART_ARC
(23,18),1.1453 # DEPENDENCYPART_ARC
(23,19),-0.317522 # DEPENDENCYPART_ARC
(23,20),1.91303 # DEPENDENCYPART_ARC
(23,22),1.51951 # DEPENDENCYPART_ARC
(23,24),4.03056 # DEPENDENCYPART_ARC
(23,25),1.95982 # DEPENDENCYPART_ARC
(23,26),-0.517592 # DEPENDENCYPART_ARC
(23,27),-1.02746 # DEPENDENCYPART_ARC
(23,28),-2.24687 # DEPENDENCYPART_ARC
(23,29),-0.843449 # DEPENDENCYPART_ARC
(24,20),-0.442431 # DEPENDENCYPART_ARC
(24,21),-1.66848 # DEPENDENCYPART_ARC
(24,22),-4.40309 # DEPENDENCYPART_ARC
(24,25),1.72677 # DEPENDENCYPART_ARC
(24,26),0.701477 # DEPENDENCYPART_ARC
(24,27),-0.176975 # DEPENDENCYPART_ARC
(24,28),-0.65289 # DEPENDENCYPART_ARC
(24,29),-0.246413 # DEPENDENCYPART_ARC
(25,24),-0.739755 # DEPENDENCYPART_ARC
(25,26),3.4799 # DEPENDENCYPART_ARC
(25,27),-0.497406 # DEPENDENCYPART_ARC
(25,29),-0.229153 # DEPENDENCYPART_ARC
(26,24),-3.7268 # DEPENDENCYPART_ARC
(26,25),1.18409 # DEPENDENCYPART_ARC
(26,27),-0.566075 # DEPENDENCYPART_ARC
(26,28),-1.31808 # DEPENDENCYPART_ARC
(26,29),1.79598 # DEPENDENCYPART_ARC
(26,30),-0.943753 # DEPENDENCYPART_ARC
(27,20),-1.19585 # DEPENDENCYPART_ARC
(27,22),-3.62662 # DEPENDENCYPART_ARC
(27,24),-2.04326 # DEPENDENCYPART_ARC
(27,25),0.0714126 # DEPENDENCYPART_ARC
(27,26),-0.858055 # DEPENDENCYPART_ARC
(27,28),-1.71463 # DEPENDENCYPART_ARC
(27,29),0.18182 # DEPENDENCYPART_ARC
(28,26),-1.80894 # DEPENDENCYPART_ARC
(28,27),-0.595595 # DEPENDENCYPART_ARC
(28,29),-0.684244 # DEPENDENCYPART_ARC
(29,24),-2.68478 # DEPENDENCYPART_ARC
(29,25),-0.388297 # DEPENDENCYPART_ARC
(29,26),-1.85944 # DEPENDENCYPART_ARC
(29,27),4.39293 # DEPENDENCYPART_ARC
(29,28),4.84356 # DEPENDENCYPART_ARC
(29,30),0.132635 # DEPENDENCYPART_ARC
