# _root_ Kdo tomu věří i dnes , vidí - stejně jako dřív - svět jako rejdiště ideologů , a útočných záměrů .
#goldHeads=3,3,7,5,3,3,0,9,7,9,10,9,7,15,13,18,18,15,20,18,0,
#predictedHeads=3,3,6,5,3,7,0,9,7,9,10,9,12,9,14,15,18,15,20,18,0,
(18,9),-0.538837 # DEPENDENCYPART_ARC
(18,10),-0.431667 # DEPENDENCYPART_ARC
(18,11),-0.437717 # DEPENDENCYPART_ARC
(18,12),-0.0997322 # DEPENDENCYPART_ARC
(18,13),0.765883 # DEPENDENCYPART_ARC
(18,14),0.152524 # DEPENDENCYPART_ARC
(18,15),1.7277 # DEPENDENCYPART_ARC
(18,16),1.79507 # DEPENDENCYPART_ARC
(18,17),1.78086 # DEPENDENCYPART_ARC
(18,19),2.51141 # DEPENDENCYPART_ARC
(18,20),2.05782 # DEPENDENCYPART_ARC
(18,21),0.317244 # DEPENDENCYPART_ARC
(19,20),-0.887487 # DEPENDENCYPART_ARC
(19,21),-0.379465 # DEPENDENCYPART_ARC
(20,15),-3.91339 # DEPENDENCYPART_ARC
(20,16),-1.91624 # DEPENDENCYPART_ARC
(20,17),0.0803695 # DEPENDENCYPART_ARC
(20,18),0.982395 # DEPENDENCYPART_ARC
(20,19),3.52309 # DEPENDENCYPART_ARC
(20,21),0.264817 # DEPENDENCYPART_ARC
