# _root_ Havel se vyslovil pro to , co si myslí většina na obou stranách : Měli bychom hledět do budoucnosti , aniž by se zapomnělo poučení minulosti .
#goldHeads=3,3,0,3,14,9,9,9,5,9,10,13,11,4,14,15,15,17,18,21,17,24,24,21,24,25,0,
#predictedHeads=3,3,0,3,4,9,9,9,5,9,10,13,11,9,5,15,15,17,18,21,15,24,24,21,24,25,0,
(17,6),-0.445318 # DEPENDENCYPART_ARC
(17,7),1.07098 # DEPENDENCYPART_ARC
(17,8),1.84724 # DEPENDENCYPART_ARC
(17,9),-4.0963 # DEPENDENCYPART_ARC
(17,10),-0.753433 # DEPENDENCYPART_ARC
(17,11),-1.62308 # DEPENDENCYPART_ARC
(17,12),-0.344492 # DEPENDENCYPART_ARC
(17,13),-1.20996 # DEPENDENCYPART_ARC
(17,14),-0.222508 # DEPENDENCYPART_ARC
(17,15),-1.11355 # DEPENDENCYPART_ARC
(17,16),2.11717 # DEPENDENCYPART_ARC
(17,18),2.52104 # DEPENDENCYPART_ARC
(17,19),-0.364254 # DEPENDENCYPART_ARC
(17,20),0.23039 # DEPENDENCYPART_ARC
(17,21),0.951808 # DEPENDENCYPART_ARC
(17,24),-2.3608 # DEPENDENCYPART_ARC
(17,25),-4.22557 # DEPENDENCYPART_ARC
(17,26),-3.76025 # DEPENDENCYPART_ARC
(18,19),3.75434 # DEPENDENCYPART_ARC
(18,20),-0.198887 # DEPENDENCYPART_ARC
(18,21),-1.24007 # DEPENDENCYPART_ARC
(18,24),-2.19398 # DEPENDENCYPART_ARC
(19,18),0.196989 # DEPENDENCYPART_ARC
(19,21),-0.141973 # DEPENDENCYPART_ARC
(19,22),-2.09586 # DEPENDENCYPART_ARC
(19,24),-2.70055 # DEPENDENCYPART_ARC
(19,26),-1.24787 # DEPENDENCYPART_ARC
(20,3),-2.20193 # DEPENDENCYPART_ARC
(20,9),-1.5386 # DEPENDENCYPART_ARC
(20,12),-1.49853 # DEPENDENCYPART_ARC
(20,14),-0.335121 # DEPENDENCYPART_ARC
(20,17),-0.521669 # DEPENDENCYPART_ARC
(20,18),-0.758838 # DEPENDENCYPART_ARC
(20,19),-0.123765 # DEPENDENCYPART_ARC
(20,21),0.0510709 # DEPENDENCYPART_ARC
(20,24),-0.54607 # DEPENDENCYPART_ARC
(20,25),-2.38317 # DEPENDENCYPART_ARC
(20,26),-2.22527 # DEPENDENCYPART_ARC
(21,9),-0.598244 # DEPENDENCYPART_ARC
(21,15),0.409711 # DEPENDENCYPART_ARC
(21,18),-0.239565 # DEPENDENCYPART_ARC
(21,19),-0.145946 # DEPENDENCYPART_ARC
(21,20),2.22431 # DEPENDENCYPART_ARC
(21,22),2.12169 # DEPENDENCYPART_ARC
(21,24),1.4638 # DEPENDENCYPART_ARC
(21,25),-0.780793 # DEPENDENCYPART_ARC
(21,26),-0.726527 # DEPENDENCYPART_ARC
(21,27),0.0320632 # DEPENDENCYPART_ARC
(24,1),-0.890393 # DEPENDENCYPART_ARC
(24,2),-0.942851 # DEPENDENCYPART_ARC
(24,3),-6.09739 # DEPENDENCYPART_ARC
(24,4),-2.39647 # DEPENDENCYPART_ARC
(24,6),-0.367143 # DEPENDENCYPART_ARC
(24,8),0.13245 # DEPENDENCYPART_ARC
(24,10),-0.997635 # DEPENDENCYPART_ARC
(24,12),-2.9907 # DEPENDENCYPART_ARC
(24,13),-3.70359 # DEPENDENCYPART_ARC
(24,16),-1.0144 # DEPENDENCYPART_ARC
(24,17),-1.18745 # DEPENDENCYPART_ARC
(24,18),-0.326553 # DEPENDENCYPART_ARC
(24,19),-3.77881 # DEPENDENCYPART_ARC
(24,20),0.359853 # DEPENDENCYPART_ARC
(24,21),0.955538 # DEPENDENCYPART_ARC
(24,22),4.61225 # DEPENDENCYPART_ARC
(24,23),3.45707 # DEPENDENCYPART_ARC
(24,25),3.46422 # DEPENDENCYPART_ARC
(24,26),0.0916169 # DEPENDENCYPART_ARC
(24,27),0.0105087 # DEPENDENCYPART_ARC
(25,23),-2.39776 # DEPENDENCYPART_ARC
(25,26),3.48281 # DEPENDENCYPART_ARC
(25,27),0.0886484 # DEPENDENCYPART_ARC
(26,23),-3.12231 # DEPENDENCYPART_ARC
(26,25),-0.77492 # DEPENDENCYPART_ARC
(26,27),-0.177558 # DEPENDENCYPART_ARC
