# _root_ Toman žádal později v dopise ministra vnitra Noska , s kterým se dobře znal , o vydání svého syna a stejně učinili i příbuzní ze Slovenska a dokonce až z Austrálie .
#goldHeads=2,20,2,2,4,8,6,2,14,14,10,14,14,8,14,2,16,19,17,0,22,20,24,22,27,25,24,31,31,27,30,0,
#predictedHeads=2,0,2,2,4,8,6,2,14,14,10,14,14,8,20,14,16,19,17,17,22,20,24,22,24,25,22,29,31,27,30,0,
(3,2),-1.41921 # DEPENDENCYPART_ARC
(3,4),-0.840116 # DEPENDENCYPART_ARC
(3,5),-0.822134 # DEPENDENCYPART_ARC
(3,6),-1.74592 # DEPENDENCYPART_ARC
(4,3),-1.116 # DEPENDENCYPART_ARC
(4,5),3.7845 # DEPENDENCYPART_ARC
(4,6),-2.27979 # DEPENDENCYPART_ARC
(5,3),-0.330022 # DEPENDENCYPART_ARC
(5,4),1.0567 # DEPENDENCYPART_ARC
(5,6),0.160537 # DEPENDENCYPART_ARC
(5,7),2.91742 # DEPENDENCYPART_ARC
(5,8),-1.53297 # DEPENDENCYPART_ARC
(5,14),1.00176 # DEPENDENCYPART_ARC
(5,20),-0.229423 # DEPENDENCYPART_ARC
(5,22),-1.02811 # DEPENDENCYPART_ARC
(6,3),-0.509355 # DEPENDENCYPART_ARC
(6,4),-0.264389 # DEPENDENCYPART_ARC
(6,5),-1.97124 # DEPENDENCYPART_ARC
(6,7),4.58186 # DEPENDENCYPART_ARC
(6,8),0.162716 # DEPENDENCYPART_ARC
(6,9),-0.0253926 # DEPENDENCYPART_ARC
(6,10),-0.640646 # DEPENDENCYPART_ARC
(6,14),0.219873 # DEPENDENCYPART_ARC
(6,20),-0.878901 # DEPENDENCYPART_ARC
(6,22),-1.60491 # DEPENDENCYPART_ARC
(7,2),-3.99736 # DEPENDENCYPART_ARC
(7,3),-1.15624 # DEPENDENCYPART_ARC
(7,5),-2.13057 # DEPENDENCYPART_ARC
(7,6),-0.826195 # DEPENDENCYPART_ARC
(7,8),-1.21193 # DEPENDENCYPART_ARC
(7,10),-0.962532 # DEPENDENCYPART_ARC
(7,14),-0.967601 # DEPENDENCYPART_ARC
(8,1),-2.14041 # DEPENDENCYPART_ARC
(8,3),-1.06949 # DEPENDENCYPART_ARC
(8,5),-1.26452 # DEPENDENCYPART_ARC
(8,6),5.10892 # DEPENDENCYPART_ARC
(8,7),1.85956 # DEPENDENCYPART_ARC
(8,9),-0.275819 # DEPENDENCYPART_ARC
(8,10),-1.12223 # DEPENDENCYPART_ARC
(8,11),-3.43865 # DEPENDENCYPART_ARC
(8,14),1.43221 # DEPENDENCYPART_ARC
(8,20),-0.0117808 # DEPENDENCYPART_ARC
(8,22),-1.14693 # DEPENDENCYPART_ARC
(9,1),-1.2351 # DEPENDENCYPART_ARC
(9,2),-0.220796 # DEPENDENCYPART_ARC
(9,4),-0.0128051 # DEPENDENCYPART_ARC
(9,5),0.299409 # DEPENDENCYPART_ARC
(9,6),-0.0722186 # DEPENDENCYPART_ARC
(9,7),-0.445407 # DEPENDENCYPART_ARC
(9,8),-0.60054 # DEPENDENCYPART_ARC
(9,10),-0.148929 # DEPENDENCYPART_ARC
(9,13),-0.541878 # DEPENDENCYPART_ARC
(9,14),-0.537078 # DEPENDENCYPART_ARC
(9,15),-0.592574 # DEPENDENCYPART_ARC
(10,9),-0.717466 # DEPENDENCYPART_ARC
(10,11),3.03654 # DEPENDENCYPART_ARC
(10,13),-1.59632 # DEPENDENCYPART_ARC
(10,17),-3.38894 # DEPENDENCYPART_ARC
(13,10),-0.499191 # DEPENDENCYPART_ARC
(13,11),-0.0486054 # DEPENDENCYPART_ARC
(14,1),1.9239 # DEPENDENCYPART_ARC
(14,2),-1.44113 # DEPENDENCYPART_ARC
(14,3),0.217064 # DEPENDENCYPART_ARC
(14,4),0.0850918 # DEPENDENCYPART_ARC
(14,5),-0.844892 # DEPENDENCYPART_ARC
(14,6),0.538084 # DEPENDENCYPART_ARC
(14,7),-1.87278 # DEPENDENCYPART_ARC
(14,8),0.381594 # DEPENDENCYPART_ARC
(14,9),1.38817 # DEPENDENCYPART_ARC
(14,10),2.54395 # DEPENDENCYPART_ARC
(14,11),0.940312 # DEPENDENCYPART_ARC
(14,12),4.10421 # DEPENDENCYPART_ARC
(14,13),3.33492 # DEPENDENCYPART_ARC
(14,15),0.245767 # DEPENDENCYPART_ARC
(14,16),0.362623 # DEPENDENCYPART_ARC
(14,17),-0.156525 # DEPENDENCYPART_ARC
(14,19),-2.14983 # DEPENDENCYPART_ARC
(14,20),0.36075 # DEPENDENCYPART_ARC
(14,21),-0.862387 # DEPENDENCYPART_ARC
(14,22),-2.09977 # DEPENDENCYPART_ARC
(14,23),-1.11384 # DEPENDENCYPART_ARC
(14,24),-2.73195 # DEPENDENCYPART_ARC
(14,25),-1.57176 # DEPENDENCYPART_ARC
(14,27),-0.385713 # DEPENDENCYPART_ARC
(14,29),-1.91206 # DEPENDENCYPART_ARC
(15,1),-1.15405 # DEPENDENCYPART_ARC
(15,2),0.121772 # DEPENDENCYPART_ARC
(15,4),0.348162 # DEPENDENCYPART_ARC
(15,7),-0.277827 # DEPENDENCYPART_ARC
(15,9),0.720619 # DEPENDENCYPART_ARC
(15,10),0.433788 # DEPENDENCYPART_ARC
(15,11),0.289839 # DEPENDENCYPART_ARC
(15,12),0.34059 # DEPENDENCYPART_ARC
(15,13),0.20688 # DEPENDENCYPART_ARC
(15,14),0.633843 # DEPENDENCYPART_ARC
(15,16),0.781749 # DEPENDENCYPART_ARC
(15,17),-0.145781 # DEPENDENCYPART_ARC
(15,19),-0.286988 # DEPENDENCYPART_ARC
(15,21),-0.181928 # DEPENDENCYPART_ARC
(15,22),-0.171772 # DEPENDENCYPART_ARC
(15,28),-1.11967 # DEPENDENCYPART_ARC
(15,29),-1.48007 # DEPENDENCYPART_ARC
(16,15),0.733607 # DEPENDENCYPART_ARC
(16,17),3.78766 # DEPENDENCYPART_ARC
(16,19),-3.26171 # DEPENDENCYPART_ARC
(16,20),0.592357 # DEPENDENCYPART_ARC
(16,23),-0.703554 # DEPENDENCYPART_ARC
(17,11),-2.152 # DEPENDENCYPART_ARC
(17,12),-3.19342 # DEPENDENCYPART_ARC
(17,13),-1.37261 # DEPENDENCYPART_ARC
(17,15),-0.455358 # DEPENDENCYPART_ARC
(17,16),0.591384 # DEPENDENCYPART_ARC
(17,18),1.04999 # DEPENDENCYPART_ARC
(17,19),3.10695 # DEPENDENCYPART_ARC
(17,20),1.15326 # DEPENDENCYPART_ARC
(17,21),-0.192512 # DEPENDENCYPART_ARC
(17,22),-1.04445 # DEPENDENCYPART_ARC
(17,23),-0.181849 # DEPENDENCYPART_ARC
(17,24),-2.88754 # DEPENDENCYPART_ARC
(17,25),0.307932 # DEPENDENCYPART_ARC
(17,26),-0.48046 # DEPENDENCYPART_ARC
(17,27),-0.081575 # DEPENDENCYPART_ARC
(17,30),-1.72558 # DEPENDENCYPART_ARC
(19,16),-1.01939 # DEPENDENCYPART_ARC
(19,17),-2.70299 # DEPENDENCYPART_ARC
(19,18),3.71842 # DEPENDENCYPART_ARC
(20,1),-0.311033 # DEPENDENCYPART_ARC
(20,2),0.271855 # DEPENDENCYPART_ARC
(20,3),-0.416473 # DEPENDENCYPART_ARC
(20,4),-0.273978 # DEPENDENCYPART_ARC
(20,5),0.114567 # DEPENDENCYPART_ARC
(20,6),-0.345149 # DEPENDENCYPART_ARC
(20,7),-0.394545 # DEPENDENCYPART_ARC
(20,8),-0.18217 # DEPENDENCYPART_ARC
(20,9),0.972238 # DEPENDENCYPART_ARC
(20,10),0.801009 # DEPENDENCYPART_ARC
(20,11),0.357797 # DEPENDENCYPART_ARC
(20,12),-0.187881 # DEPENDENCYPART_ARC
(20,13),0.388683 # DEPENDENCYPART_ARC
(20,14),1.33724 # DEPENDENCYPART_ARC
(20,15),1.45182 # DEPENDENCYPART_ARC
(20,16),1.00432 # DEPENDENCYPART_ARC
(20,17),1.9283 # DEPENDENCYPART_ARC
(20,18),1.72019 # DEPENDENCYPART_ARC
(20,19),1.64827 # DEPENDENCYPART_ARC
(20,21),0.696119 # DEPENDENCYPART_ARC
(20,22),1.99035 # DEPENDENCYPART_ARC
(20,23),-0.279656 # DEPENDENCYPART_ARC
(20,24),1.10771 # DEPENDENCYPART_ARC
(20,25),0.0929942 # DEPENDENCYPART_ARC
(20,26),-0.0615372 # DEPENDENCYPART_ARC
(20,27),0.509534 # DEPENDENCYPART_ARC
(20,28),-0.625761 # DEPENDENCYPART_ARC
(20,29),-0.867934 # DEPENDENCYPART_ARC
(20,30),-0.2595 # DEPENDENCYPART_ARC
(20,31),-1.36711 # DEPENDENCYPART_ARC
(20,32),-0.271539 # DEPENDENCYPART_ARC
(21,23),0.0212977 # DEPENDENCYPART_ARC
(21,24),-2.06615 # DEPENDENCYPART_ARC
(21,26),-0.0185046 # DEPENDENCYPART_ARC
(21,29),-0.404151 # DEPENDENCYPART_ARC
(22,1),-0.723488 # DEPENDENCYPART_ARC
(22,2),-3.91863 # DEPENDENCYPART_ARC
(22,3),0.324836 # DEPENDENCYPART_ARC
(22,4),-0.232905 # DEPENDENCYPART_ARC
(22,5),-2.16041 # DEPENDENCYPART_ARC
(22,6),-0.56958 # DEPENDENCYPART_ARC
(22,7),-3.43317 # DEPENDENCYPART_ARC
(22,8),-2.34246 # DEPENDENCYPART_ARC
(22,9),0.533416 # DEPENDENCYPART_ARC
(22,10),1.47802 # DEPENDENCYPART_ARC
(22,11),-0.0453703 # DEPENDENCYPART_ARC
(22,12),1.21823 # DEPENDENCYPART_ARC
(22,13),0.901588 # DEPENDENCYPART_ARC
(22,15),0.739189 # DEPENDENCYPART_ARC
(22,16),1.14004 # DEPENDENCYPART_ARC
(22,17),0.655974 # DEPENDENCYPART_ARC
(22,19),-0.209125 # DEPENDENCYPART_ARC
(22,20),0.934728 # DEPENDENCYPART_ARC
(22,21),3.21008 # DEPENDENCYPART_ARC
(22,23),0.156482 # DEPENDENCYPART_ARC
(22,24),2.13696 # DEPENDENCYPART_ARC
(22,25),1.02977 # DEPENDENCYPART_ARC
(22,26),-2.03633 # DEPENDENCYPART_ARC
(22,27),0.675348 # DEPENDENCYPART_ARC
(22,28),-0.290677 # DEPENDENCYPART_ARC
(22,29),-0.384114 # DEPENDENCYPART_ARC
(22,30),-0.613673 # DEPENDENCYPART_ARC
(22,31),-4.90388 # DEPENDENCYPART_ARC
(23,11),-0.910688 # DEPENDENCYPART_ARC
(23,12),-1.12236 # DEPENDENCYPART_ARC
(23,13),-1.20797 # DEPENDENCYPART_ARC
(23,15),-0.351307 # DEPENDENCYPART_ARC
(23,16),-0.98046 # DEPENDENCYPART_ARC
(23,17),-0.262878 # DEPENDENCYPART_ARC
(23,19),0.137267 # DEPENDENCYPART_ARC
(23,21),-0.308273 # DEPENDENCYPART_ARC
(23,22),-0.743557 # DEPENDENCYPART_ARC
(23,24),1.09367 # DEPENDENCYPART_ARC
(23,25),0.0456016 # DEPENDENCYPART_ARC
(23,26),0.221368 # DEPENDENCYPART_ARC
(23,27),-0.324695 # DEPENDENCYPART_ARC
(23,28),-1.51736 # DEPENDENCYPART_ARC
(23,29),-1.18629 # DEPENDENCYPART_ARC
(23,30),-1.29038 # DEPENDENCYPART_ARC
(23,31),-1.5711 # DEPENDENCYPART_ARC
(24,18),-3.1754 # DEPENDENCYPART_ARC
(24,19),-3.24762 # DEPENDENCYPART_ARC
(24,21),-0.50709 # DEPENDENCYPART_ARC
(24,23),2.24543 # DEPENDENCYPART_ARC
(24,25),2.03427 # DEPENDENCYPART_ARC
(24,26),1.60489 # DEPENDENCYPART_ARC
(24,27),0.364326 # DEPENDENCYPART_ARC
(24,28),-0.177744 # DEPENDENCYPART_ARC
(24,29),-0.178288 # DEPENDENCYPART_ARC
(24,30),-0.558595 # DEPENDENCYPART_ARC
(24,31),-0.792025 # DEPENDENCYPART_ARC
(25,24),-2.84398 # DEPENDENCYPART_ARC
(25,26),4.56506 # DEPENDENCYPART_ARC
(25,27),0.238283 # DEPENDENCYPART_ARC
(25,28),-0.733884 # DEPENDENCYPART_ARC
(25,31),-0.00188223 # DEPENDENCYPART_ARC
(26,21),-1.76906 # DEPENDENCYPART_ARC
(26,23),0.297525 # DEPENDENCYPART_ARC
(26,24),-2.77149 # DEPENDENCYPART_ARC
(26,25),0.00502553 # DEPENDENCYPART_ARC
(26,27),-1.3892 # DEPENDENCYPART_ARC
(26,30),-2.66361 # DEPENDENCYPART_ARC
(26,31),-2.14317 # DEPENDENCYPART_ARC
(27,1),-1.1397 # DEPENDENCYPART_ARC
(27,2),-0.305416 # DEPENDENCYPART_ARC
(27,7),-1.15453 # DEPENDENCYPART_ARC
(27,8),-0.956175 # DEPENDENCYPART_ARC
(27,9),-0.0042378 # DEPENDENCYPART_ARC
(27,11),-0.0424649 # DEPENDENCYPART_ARC
(27,12),-0.691884 # DEPENDENCYPART_ARC
(27,13),-0.441924 # DEPENDENCYPART_ARC
(27,14),0.675063 # DEPENDENCYPART_ARC
(27,15),0.442468 # DEPENDENCYPART_ARC
(27,16),-0.299411 # DEPENDENCYPART_ARC
(27,17),0.651217 # DEPENDENCYPART_ARC
(27,19),0.152903 # DEPENDENCYPART_ARC
(27,20),-0.0334405 # DEPENDENCYPART_ARC
(27,21),0.150654 # DEPENDENCYPART_ARC
(27,22),1.72254 # DEPENDENCYPART_ARC
(27,23),0.939235 # DEPENDENCYPART_ARC
(27,24),1.68158 # DEPENDENCYPART_ARC
(27,25),0.635066 # DEPENDENCYPART_ARC
(27,26),2.0089 # DEPENDENCYPART_ARC
(27,28),0.870523 # DEPENDENCYPART_ARC
(27,29),0.0932792 # DEPENDENCYPART_ARC
(27,30),0.628493 # DEPENDENCYPART_ARC
(27,31),0.576196 # DEPENDENCYPART_ARC
(27,32),0.240902 # DEPENDENCYPART_ARC
(28,25),-2.26493 # DEPENDENCYPART_ARC
(28,26),-1.81785 # DEPENDENCYPART_ARC
(28,29),-0.174332 # DEPENDENCYPART_ARC
(28,30),-1.38328 # DEPENDENCYPART_ARC
(28,31),-1.20603 # DEPENDENCYPART_ARC
(29,24),-1.20039 # DEPENDENCYPART_ARC
(29,25),-0.160987 # DEPENDENCYPART_ARC
(29,26),-0.859056 # DEPENDENCYPART_ARC
(29,28),1.04226 # DEPENDENCYPART_ARC
(29,30),0.931313 # DEPENDENCYPART_ARC
(29,31),0.79121 # DEPENDENCYPART_ARC
(29,32),0.164508 # DEPENDENCYPART_ARC
(30,31),3.48416 # DEPENDENCYPART_ARC
(30,32),-0.529241 # DEPENDENCYPART_ARC
(31,23),-1.48883 # DEPENDENCYPART_ARC
(31,28),0.317808 # DEPENDENCYPART_ARC
(31,29),1.13384 # DEPENDENCYPART_ARC
(31,30),-0.51889 # DEPENDENCYPART_ARC
(31,32),-0.168244 # DEPENDENCYPART_ARC
