# _root_ " Podnikám a nezakrývám , že závodění a firma někdy nejdou dohromady , jedno druhému zabírá čas .
#goldHeads=3,3,0,3,6,4,8,11,8,11,13,11,6,16,16,13,16,0,
#predictedHeads=3,3,0,3,6,4,8,6,8,11,6,11,11,11,16,13,16,0,
(14,13),0.0999409 # DEPENDENCYPART_ARC
(14,15),0.775365 # DEPENDENCYPART_ARC
(14,17),-0.768951 # DEPENDENCYPART_ARC
(14,18),0.788602 # DEPENDENCYPART_ARC
(15,8),-0.663823 # DEPENDENCYPART_ARC
(15,9),-3.88867 # DEPENDENCYPART_ARC
(15,10),-0.311069 # DEPENDENCYPART_ARC
(15,11),-4.12009 # DEPENDENCYPART_ARC
(15,12),-0.269296 # DEPENDENCYPART_ARC
(15,13),0.301648 # DEPENDENCYPART_ARC
(15,14),-0.709183 # DEPENDENCYPART_ARC
(15,16),-1.48672 # DEPENDENCYPART_ARC
(15,17),-2.34734 # DEPENDENCYPART_ARC
(15,18),-0.558723 # DEPENDENCYPART_ARC
(16,1),-0.364987 # DEPENDENCYPART_ARC
(16,2),-2.58783 # DEPENDENCYPART_ARC
(16,3),-0.91144 # DEPENDENCYPART_ARC
(16,4),-2.59955 # DEPENDENCYPART_ARC
(16,5),-0.642568 # DEPENDENCYPART_ARC
(16,6),-1.2221 # DEPENDENCYPART_ARC
(16,7),1.1998 # DEPENDENCYPART_ARC
(16,8),0.040559 # DEPENDENCYPART_ARC
(16,9),1.77928 # DEPENDENCYPART_ARC
(16,10),0.283466 # DEPENDENCYPART_ARC
(16,11),-1.02849 # DEPENDENCYPART_ARC
(16,12),0.200796 # DEPENDENCYPART_ARC
(16,13),0.990479 # DEPENDENCYPART_ARC
(16,14),0.890163 # DEPENDENCYPART_ARC
(16,15),1.96827 # DEPENDENCYPART_ARC
(16,17),3.71176 # DEPENDENCYPART_ARC
(16,18),-0.0108803 # DEPENDENCYPART_ARC
(17,12),-0.64757 # DEPENDENCYPART_ARC
(17,14),-0.846913 # DEPENDENCYPART_ARC
(17,15),-1.36461 # DEPENDENCYPART_ARC
(17,18),0.532615 # DEPENDENCYPART_ARC
