# _root_ Protože na výslechu svědka trvá státní zástupce i obhájce Lukáše Kužely , který měl Vopálenskou na objednávku zastřelit , musel předseda senátu projednávání nájemné vraždy znovu odročit .
#goldHeads=20,5,2,3,1,7,8,5,8,11,8,14,14,11,18,18,16,14,1,0,20,21,27,25,23,27,20,0,
#predictedHeads=20,5,2,3,1,7,8,5,8,11,9,14,14,11,14,14,16,14,1,0,20,21,27,25,23,27,20,0,
(4,6),-2.02938 # DEPENDENCYPART_ARC
(4,7),-2.1887 # DEPENDENCYPART_ARC
(5,1),0.657048 # DEPENDENCYPART_ARC
(5,2),1.84801 # DEPENDENCYPART_ARC
(5,3),0.587431 # DEPENDENCYPART_ARC
(5,4),-0.653006 # DEPENDENCYPART_ARC
(5,6),1.33568 # DEPENDENCYPART_ARC
(5,7),2.64399 # DEPENDENCYPART_ARC
(5,8),0.697118 # DEPENDENCYPART_ARC
(5,9),0.392358 # DEPENDENCYPART_ARC
(5,10),-1.3519 # DEPENDENCYPART_ARC
(5,11),-1.04279 # DEPENDENCYPART_ARC
(5,12),0.0486913 # DEPENDENCYPART_ARC
(5,15),-0.537803 # DEPENDENCYPART_ARC
(5,16),-0.275402 # DEPENDENCYPART_ARC
(5,19),0.228701 # DEPENDENCYPART_ARC
(5,25),-4.83093 # DEPENDENCYPART_ARC
(5,26),-1.35885 # DEPENDENCYPART_ARC
(6,7),-0.953814 # DEPENDENCYPART_ARC
(6,8),0.0345044 # DEPENDENCYPART_ARC
(7,3),-4.33185 # DEPENDENCYPART_ARC
(7,6),3.82836 # DEPENDENCYPART_ARC
(7,9),-0.51362 # DEPENDENCYPART_ARC
(7,10),-0.237075 # DEPENDENCYPART_ARC
(7,11),-0.699146 # DEPENDENCYPART_ARC
(8,1),-0.422181 # DEPENDENCYPART_ARC
(8,2),-0.765525 # DEPENDENCYPART_ARC
(8,3),0.975203 # DEPENDENCYPART_ARC
(8,4),-0.00351096 # DEPENDENCYPART_ARC
(8,5),-1.26171 # DEPENDENCYPART_ARC
(8,6),1.46482 # DEPENDENCYPART_ARC
(8,7),3.1092 # DEPENDENCYPART_ARC
(8,9),2.5827 # DEPENDENCYPART_ARC
(8,10),1.12512 # DEPENDENCYPART_ARC
(8,11),0.603332 # DEPENDENCYPART_ARC
(8,19),-1.49008 # DEPENDENCYPART_ARC
(9,6),1.87004 # DEPENDENCYPART_ARC
(9,8),1.54659 # DEPENDENCYPART_ARC
(9,10),2.22321 # DEPENDENCYPART_ARC
(9,11),1.3455 # DEPENDENCYPART_ARC
(9,14),0.0609766 # DEPENDENCYPART_ARC
(9,16),-0.914134 # DEPENDENCYPART_ARC
(10,6),-2.99292 # DEPENDENCYPART_ARC
(10,8),0.359676 # DEPENDENCYPART_ARC
(10,9),1.0141 # DEPENDENCYPART_ARC
(10,11),1.03565 # DEPENDENCYPART_ARC
(10,13),-2.28515 # DEPENDENCYPART_ARC
(10,14),-0.26149 # DEPENDENCYPART_ARC
(10,16),-1.46144 # DEPENDENCYPART_ARC
(11,3),-3.50846 # DEPENDENCYPART_ARC
(11,4),2.33384 # DEPENDENCYPART_ARC
(11,6),-0.22446 # DEPENDENCYPART_ARC
(11,7),0.738087 # DEPENDENCYPART_ARC
(11,8),1.25823 # DEPENDENCYPART_ARC
(11,9),2.90838 # DEPENDENCYPART_ARC
(11,10),7.72301 # DEPENDENCYPART_ARC
(11,12),-0.283942 # DEPENDENCYPART_ARC
(11,13),-2.10493 # DEPENDENCYPART_ARC
(11,14),1.66652 # DEPENDENCYPART_ARC
(11,15),-6.13724 # DEPENDENCYPART_ARC
(11,18),0.24471 # DEPENDENCYPART_ARC
(11,20),-2.436 # DEPENDENCYPART_ARC
(12,5),-0.709818 # DEPENDENCYPART_ARC
(12,9),-0.907444 # DEPENDENCYPART_ARC
(12,10),-1.3992 # DEPENDENCYPART_ARC
(12,11),-1.32504 # DEPENDENCYPART_ARC
(12,14),-0.178616 # DEPENDENCYPART_ARC
(12,18),-1.35054 # DEPENDENCYPART_ARC
(12,19),-1.21909 # DEPENDENCYPART_ARC
(12,20),-2.06597 # DEPENDENCYPART_ARC
(13,12),-0.427834 # DEPENDENCYPART_ARC
(13,14),-0.339895 # DEPENDENCYPART_ARC
(13,15),-1.71327 # DEPENDENCYPART_ARC
(14,1),0.762708 # DEPENDENCYPART_ARC
(14,2),-0.106015 # DEPENDENCYPART_ARC
(14,3),-1.88778 # DEPENDENCYPART_ARC
(14,4),-3.36699 # DEPENDENCYPART_ARC
(14,5),-1.62867 # DEPENDENCYPART_ARC
(14,7),-0.72369 # DEPENDENCYPART_ARC
(14,8),-0.0633233 # DEPENDENCYPART_ARC
(14,9),0.98569 # DEPENDENCYPART_ARC
(14,10),-3.01775 # DEPENDENCYPART_ARC
(14,11),-3.00214 # DEPENDENCYPART_ARC
(14,12),2.32786 # DEPENDENCYPART_ARC
(14,13),3.19956 # DEPENDENCYPART_ARC
(14,15),5.22787 # DEPENDENCYPART_ARC
(14,16),1.77848 # DEPENDENCYPART_ARC
(14,17),1.12428 # DEPENDENCYPART_ARC
(14,18),2.54789 # DEPENDENCYPART_ARC
(14,19),1.02449 # DEPENDENCYPART_ARC
(14,20),-3.20773 # DEPENDENCYPART_ARC
(14,21),-0.653178 # DEPENDENCYPART_ARC
(14,22),-2.1171 # DEPENDENCYPART_ARC
(14,23),-0.451691 # DEPENDENCYPART_ARC
(14,24),-5.54246 # DEPENDENCYPART_ARC
(14,25),-2.75688 # DEPENDENCYPART_ARC
(14,26),-1.18079 # DEPENDENCYPART_ARC
(14,27),0.110171 # DEPENDENCYPART_ARC
(15,13),-2.0001 # DEPENDENCYPART_ARC
(15,16),0.46219 # DEPENDENCYPART_ARC
(15,17),-1.73304 # DEPENDENCYPART_ARC
(15,18),0.870406 # DEPENDENCYPART_ARC
(15,20),-2.45139 # DEPENDENCYPART_ARC
(15,24),-2.10606 # DEPENDENCYPART_ARC
(16,15),-1.68054 # DEPENDENCYPART_ARC
(16,17),5.565 # DEPENDENCYPART_ARC
(16,19),-0.47794 # DEPENDENCYPART_ARC
(17,13),-4.0598 # DEPENDENCYPART_ARC
(17,15),-0.237116 # DEPENDENCYPART_ARC
(17,18),1.21472 # DEPENDENCYPART_ARC
(17,20),-2.61484 # DEPENDENCYPART_ARC
(17,22),-0.619833 # DEPENDENCYPART_ARC
(18,1),0.887351 # DEPENDENCYPART_ARC
(18,2),0.340663 # DEPENDENCYPART_ARC
(18,3),-0.907707 # DEPENDENCYPART_ARC
(18,4),-1.36962 # DEPENDENCYPART_ARC
(18,5),-3.11188 # DEPENDENCYPART_ARC
(18,7),-1.24394 # DEPENDENCYPART_ARC
(18,8),-0.0352405 # DEPENDENCYPART_ARC
(18,9),0.171562 # DEPENDENCYPART_ARC
(18,10),-1.02135 # DEPENDENCYPART_ARC
(18,11),-2.5008 # DEPENDENCYPART_ARC
(18,12),0.846426 # DEPENDENCYPART_ARC
(18,13),1.47129 # DEPENDENCYPART_ARC
(18,14),-1.10699 # DEPENDENCYPART_ARC
(18,15),3.00071 # DEPENDENCYPART_ARC
(18,16),1.69807 # DEPENDENCYPART_ARC
(18,17),2.50332 # DEPENDENCYPART_ARC
(18,19),0.948284 # DEPENDENCYPART_ARC
(18,20),-0.581295 # DEPENDENCYPART_ARC
(18,21),-2.0623 # DEPENDENCYPART_ARC
(18,22),-1.30597 # DEPENDENCYPART_ARC
(18,23),0.429376 # DEPENDENCYPART_ARC
(18,24),-3.76608 # DEPENDENCYPART_ARC
(18,25),-2.21621 # DEPENDENCYPART_ARC
(18,26),-0.931146 # DEPENDENCYPART_ARC
(18,27),-0.864978 # DEPENDENCYPART_ARC
(19,1),-0.556915 # DEPENDENCYPART_ARC
(19,5),-0.322353 # DEPENDENCYPART_ARC
(19,12),-0.220819 # DEPENDENCYPART_ARC
(19,13),-0.335106 # DEPENDENCYPART_ARC
(19,14),0.0670577 # DEPENDENCYPART_ARC
(19,15),-0.0623 # DEPENDENCYPART_ARC
(19,16),-0.217601 # DEPENDENCYPART_ARC
(19,17),0.542275 # DEPENDENCYPART_ARC
(19,18),0.0614823 # DEPENDENCYPART_ARC
(19,20),-0.310703 # DEPENDENCYPART_ARC
(19,21),-1.34944 # DEPENDENCYPART_ARC
(19,23),-2.28255 # DEPENDENCYPART_ARC
(19,27),-1.76984 # DEPENDENCYPART_ARC
(20,1),2.64699 # DEPENDENCYPART_ARC
(20,2),0.408042 # DEPENDENCYPART_ARC
(20,3),-1.55972 # DEPENDENCYPART_ARC
(20,4),-3.0498 # DEPENDENCYPART_ARC
(20,5),-1.4823 # DEPENDENCYPART_ARC
(20,6),-2.07204 # DEPENDENCYPART_ARC
(20,7),-0.326122 # DEPENDENCYPART_ARC
(20,8),-0.173146 # DEPENDENCYPART_ARC
(20,9),1.07468 # DEPENDENCYPART_ARC
(20,10),-2.71535 # DEPENDENCYPART_ARC
(20,11),-2.35951 # DEPENDENCYPART_ARC
(20,12),0.430804 # DEPENDENCYPART_ARC
(20,13),0.917556 # DEPENDENCYPART_ARC
(20,14),-1.00473 # DEPENDENCYPART_ARC
(20,15),0.526612 # DEPENDENCYPART_ARC
(20,16),0.476655 # DEPENDENCYPART_ARC
(20,17),0.498388 # DEPENDENCYPART_ARC
(20,18),1.21498 # DEPENDENCYPART_ARC
(20,19),0.513856 # DEPENDENCYPART_ARC
(20,21),2.19818 # DEPENDENCYPART_ARC
(20,22),0.287946 # DEPENDENCYPART_ARC
(20,23),1.49072 # DEPENDENCYPART_ARC
(20,24),-2.85981 # DEPENDENCYPART_ARC
(20,25),-1.28203 # DEPENDENCYPART_ARC
(20,26),0.0166779 # DEPENDENCYPART_ARC
(20,27),1.3089 # DEPENDENCYPART_ARC
(20,28),-0.212843 # DEPENDENCYPART_ARC
(21,22),3.59158 # DEPENDENCYPART_ARC
(21,23),-1.54802 # DEPENDENCYPART_ARC
(21,24),-1.49577 # DEPENDENCYPART_ARC
(21,25),0.728549 # DEPENDENCYPART_ARC
(21,26),-0.570625 # DEPENDENCYPART_ARC
(21,27),-0.649458 # DEPENDENCYPART_ARC
(22,21),-0.242878 # DEPENDENCYPART_ARC
(22,23),-0.491197 # DEPENDENCYPART_ARC
(22,24),-0.10792 # DEPENDENCYPART_ARC
(22,25),1.21919 # DEPENDENCYPART_ARC
(22,26),-0.309067 # DEPENDENCYPART_ARC
(22,27),-0.334142 # DEPENDENCYPART_ARC
(23,16),0.225017 # DEPENDENCYPART_ARC
(23,21),-0.289375 # DEPENDENCYPART_ARC
(23,22),-0.160483 # DEPENDENCYPART_ARC
(23,24),0.1895 # DEPENDENCYPART_ARC
(23,25),3.42842 # DEPENDENCYPART_ARC
(23,26),0.106052 # DEPENDENCYPART_ARC
(23,27),1.08377 # DEPENDENCYPART_ARC
(23,28),-0.695076 # DEPENDENCYPART_ARC
(24,21),-1.92955 # DEPENDENCYPART_ARC
(24,22),-1.01086 # DEPENDENCYPART_ARC
(24,23),-0.610478 # DEPENDENCYPART_ARC
(24,25),0.832947 # DEPENDENCYPART_ARC
(24,26),-0.296905 # DEPENDENCYPART_ARC
(24,27),-0.575979 # DEPENDENCYPART_ARC
(25,21),-1.23226 # DEPENDENCYPART_ARC
(25,22),-1.19131 # DEPENDENCYPART_ARC
(25,23),-2.3795 # DEPENDENCYPART_ARC
(25,24),4.91294 # DEPENDENCYPART_ARC
(25,26),0.403774 # DEPENDENCYPART_ARC
(25,27),-0.16698 # DEPENDENCYPART_ARC
(25,28),-0.022307 # DEPENDENCYPART_ARC
(26,21),-1.37438 # DEPENDENCYPART_ARC
(26,22),-1.55586 # DEPENDENCYPART_ARC
(26,23),-1.23099 # DEPENDENCYPART_ARC
(26,24),-0.723778 # DEPENDENCYPART_ARC
(26,25),-1.43633 # DEPENDENCYPART_ARC
(26,28),-0.208849 # DEPENDENCYPART_ARC
(27,1),1.49321 # DEPENDENCYPART_ARC
(27,2),-0.251461 # DEPENDENCYPART_ARC
(27,4),-1.68737 # DEPENDENCYPART_ARC
(27,7),-1.5211 # DEPENDENCYPART_ARC
(27,9),-0.314564 # DEPENDENCYPART_ARC
(27,10),-1.48609 # DEPENDENCYPART_ARC
(27,11),-2.43903 # DEPENDENCYPART_ARC
(27,12),-0.583072 # DEPENDENCYPART_ARC
(27,13),-0.440625 # DEPENDENCYPART_ARC
(27,15),1.5482 # DEPENDENCYPART_ARC
(27,16),0.0580444 # DEPENDENCYPART_ARC
(27,17),1.22064 # DEPENDENCYPART_ARC
(27,18),-1.61138 # DEPENDENCYPART_ARC
(27,19),-1.15314 # DEPENDENCYPART_ARC
(27,20),-1.85209 # DEPENDENCYPART_ARC
(27,21),-0.209334 # DEPENDENCYPART_ARC
(27,22),0.213267 # DEPENDENCYPART_ARC
(27,23),2.39048 # DEPENDENCYPART_ARC
(27,24),-1.72375 # DEPENDENCYPART_ARC
(27,25),0.615167 # DEPENDENCYPART_ARC
(27,26),2.36773 # DEPENDENCYPART_ARC
(27,28),-0.228646 # DEPENDENCYPART_ARC
