# _root_ Měl jsem pocit , že je motor obsahem handicapován a nasadil dvojité zapalování , ale se zvýšením výkonu mi nedošly jiné souvislosti .
#goldHeads=15,1,1,5,3,10,6,9,6,5,10,13,11,15,0,20,16,17,20,15,22,20,0,
#predictedHeads=0,1,1,5,3,5,6,9,10,5,10,13,11,15,11,20,16,17,20,15,22,20,0,
(6,5),-0.818398 # DEPENDENCYPART_ARC
(6,7),3.39999 # DEPENDENCYPART_ARC
(6,8),2.00132 # DEPENDENCYPART_ARC
(6,9),1.64919 # DEPENDENCYPART_ARC
(6,10),0.382186 # DEPENDENCYPART_ARC
(6,11),-2.93767 # DEPENDENCYPART_ARC
(6,12),-2.70868 # DEPENDENCYPART_ARC
(6,13),-1.13274 # DEPENDENCYPART_ARC
(6,14),-0.102255 # DEPENDENCYPART_ARC
(6,15),-0.280415 # DEPENDENCYPART_ARC
(6,16),-1.29742 # DEPENDENCYPART_ARC
(6,20),-5.44635 # DEPENDENCYPART_ARC
(6,21),-3.68463 # DEPENDENCYPART_ARC
(7,8),1.87903 # DEPENDENCYPART_ARC
(7,9),0.142022 # DEPENDENCYPART_ARC
(7,10),-0.0390807 # DEPENDENCYPART_ARC
(7,11),-2.79137 # DEPENDENCYPART_ARC
(7,12),-4.23792 # DEPENDENCYPART_ARC
(7,13),-4.91125 # DEPENDENCYPART_ARC
(8,3),-3.66079 # DEPENDENCYPART_ARC
(8,7),0.0191094 # DEPENDENCYPART_ARC
(8,9),-0.195445 # DEPENDENCYPART_ARC
(9,1),-0.706261 # DEPENDENCYPART_ARC
(9,2),-1.57928 # DEPENDENCYPART_ARC
(9,3),-2.2631 # DEPENDENCYPART_ARC
(9,4),-1.00495 # DEPENDENCYPART_ARC
(9,5),-1.29355 # DEPENDENCYPART_ARC
(9,6),1.80007 # DEPENDENCYPART_ARC
(9,7),1.82106 # DEPENDENCYPART_ARC
(9,8),2.43324 # DEPENDENCYPART_ARC
(9,11),-1.96898 # DEPENDENCYPART_ARC
(9,12),-5.02273 # DEPENDENCYPART_ARC
(9,13),-1.24976 # DEPENDENCYPART_ARC
(9,15),-0.85996 # DEPENDENCYPART_ARC
(9,16),-1.4675 # DEPENDENCYPART_ARC
(9,18),-3.10923 # DEPENDENCYPART_ARC
(9,22),-4.16361 # DEPENDENCYPART_ARC
(10,1),-0.79889 # DEPENDENCYPART_ARC
(10,2),1.42398 # DEPENDENCYPART_ARC
(10,3),0.0691921 # DEPENDENCYPART_ARC
(10,4),0.867129 # DEPENDENCYPART_ARC
(10,5),0.388109 # DEPENDENCYPART_ARC
(10,6),1.88064 # DEPENDENCYPART_ARC
(10,7),1.85528 # DEPENDENCYPART_ARC
(10,8),2.34855 # DEPENDENCYPART_ARC
(10,9),3.68919 # DEPENDENCYPART_ARC
(10,11),2.41815 # DEPENDENCYPART_ARC
(10,12),0.52177 # DEPENDENCYPART_ARC
(10,13),0.275125 # DEPENDENCYPART_ARC
(10,14),-0.123369 # DEPENDENCYPART_ARC
(10,15),-0.246655 # DEPENDENCYPART_ARC
(10,16),-0.818555 # DEPENDENCYPART_ARC
(10,17),-1.40304 # DEPENDENCYPART_ARC
(10,20),-0.342763 # DEPENDENCYPART_ARC
(11,6),-0.649348 # DEPENDENCYPART_ARC
(11,7),0.390504 # DEPENDENCYPART_ARC
(11,8),0.0152617 # DEPENDENCYPART_ARC
(11,9),-0.702644 # DEPENDENCYPART_ARC
(11,10),0.167597 # DEPENDENCYPART_ARC
(11,12),-1.17134 # DEPENDENCYPART_ARC
(11,13),2.86631 # DEPENDENCYPART_ARC
(11,14),-0.0725057 # DEPENDENCYPART_ARC
(11,15),0.246995 # DEPENDENCYPART_ARC
(11,16),0.313629 # DEPENDENCYPART_ARC
(11,17),-1.23639 # DEPENDENCYPART_ARC
(11,18),-1.98113 # DEPENDENCYPART_ARC
(11,20),-2.30563 # DEPENDENCYPART_ARC
(11,21),-3.57082 # DEPENDENCYPART_ARC
(11,22),-1.2233 # DEPENDENCYPART_ARC
(12,13),-0.936169 # DEPENDENCYPART_ARC
(13,10),-0.23547 # DEPENDENCYPART_ARC
(13,12),4.61203 # DEPENDENCYPART_ARC
(13,14),-0.35989 # DEPENDENCYPART_ARC
(13,15),0.113919 # DEPENDENCYPART_ARC
(13,16),-0.748118 # DEPENDENCYPART_ARC
(13,17),-1.739 # DEPENDENCYPART_ARC
(13,18),-0.125825 # DEPENDENCYPART_ARC
(13,20),-0.805744 # DEPENDENCYPART_ARC
(14,1),-1.2534 # DEPENDENCYPART_ARC
(14,4),-0.619859 # DEPENDENCYPART_ARC
(14,5),0.141556 # DEPENDENCYPART_ARC
(14,9),-0.819819 # DEPENDENCYPART_ARC
(14,11),-0.293725 # DEPENDENCYPART_ARC
(14,12),-0.713847 # DEPENDENCYPART_ARC
(14,13),-0.870363 # DEPENDENCYPART_ARC
(14,16),-0.346283 # DEPENDENCYPART_ARC
(14,17),-0.702667 # DEPENDENCYPART_ARC
(14,18),-0.783901 # DEPENDENCYPART_ARC
(14,20),-0.152403 # DEPENDENCYPART_ARC
(14,22),-1.90812 # DEPENDENCYPART_ARC
(15,1),0.547211 # DEPENDENCYPART_ARC
(15,2),0.00787694 # DEPENDENCYPART_ARC
(15,3),-0.379979 # DEPENDENCYPART_ARC
(15,4),-0.799221 # DEPENDENCYPART_ARC
(15,5),-0.378222 # DEPENDENCYPART_ARC
(15,6),0.726869 # DEPENDENCYPART_ARC
(15,7),0.921058 # DEPENDENCYPART_ARC
(15,8),0.138565 # DEPENDENCYPART_ARC
(15,9),0.995178 # DEPENDENCYPART_ARC
(15,10),0.812823 # DEPENDENCYPART_ARC
(15,11),1.92721 # DEPENDENCYPART_ARC
(15,12),0.517345 # DEPENDENCYPART_ARC
(15,13),0.457616 # DEPENDENCYPART_ARC
(15,14),2.47128 # DEPENDENCYPART_ARC
(15,16),1.15472 # DEPENDENCYPART_ARC
(15,17),0.768049 # DEPENDENCYPART_ARC
(15,18),0.0846585 # DEPENDENCYPART_ARC
(15,20),1.52996 # DEPENDENCYPART_ARC
(15,21),-0.838417 # DEPENDENCYPART_ARC
(15,22),-1.04129 # DEPENDENCYPART_ARC
(15,23),-0.330393 # DEPENDENCYPART_ARC
(16,14),0.539466 # DEPENDENCYPART_ARC
(16,17),3.29575 # DEPENDENCYPART_ARC
(16,18),-0.846024 # DEPENDENCYPART_ARC
(16,22),-4.86051 # DEPENDENCYPART_ARC
(17,12),-2.47815 # DEPENDENCYPART_ARC
(17,15),0.352222 # DEPENDENCYPART_ARC
(17,16),0.905849 # DEPENDENCYPART_ARC
(17,18),3.6695 # DEPENDENCYPART_ARC
(17,20),-1.31896 # DEPENDENCYPART_ARC
(17,21),-4.35774 # DEPENDENCYPART_ARC
(17,22),-2.5215 # DEPENDENCYPART_ARC
(18,13),-4.90786 # DEPENDENCYPART_ARC
(18,17),-1.20113 # DEPENDENCYPART_ARC
(18,20),-1.84594 # DEPENDENCYPART_ARC
(18,21),-5.09896 # DEPENDENCYPART_ARC
(18,22),-1.1885 # DEPENDENCYPART_ARC
(18,23),-1.38937 # DEPENDENCYPART_ARC
(19,18),-0.71341 # DEPENDENCYPART_ARC
(19,21),-2.62865 # DEPENDENCYPART_ARC
(19,22),-2.84338 # DEPENDENCYPART_ARC
(20,1),-4.70414 # DEPENDENCYPART_ARC
(20,2),-2.74931 # DEPENDENCYPART_ARC
(20,6),-1.81434 # DEPENDENCYPART_ARC
(20,7),-0.867188 # DEPENDENCYPART_ARC
(20,8),-1.11974 # DEPENDENCYPART_ARC
(20,9),-2.58851 # DEPENDENCYPART_ARC
(20,10),0.427937 # DEPENDENCYPART_ARC
(20,11),-2.52351 # DEPENDENCYPART_ARC
(20,12),-3.26665 # DEPENDENCYPART_ARC
(20,13),-1.49928 # DEPENDENCYPART_ARC
(20,14),0.991563 # DEPENDENCYPART_ARC
(20,15),0.402216 # DEPENDENCYPART_ARC
(20,16),2.00306 # DEPENDENCYPART_ARC
(20,17),0.254689 # DEPENDENCYPART_ARC
(20,18),-1.11619 # DEPENDENCYPART_ARC
(20,19),2.27817 # DEPENDENCYPART_ARC
(20,21),0.361713 # DEPENDENCYPART_ARC
(20,22),2.92779 # DEPENDENCYPART_ARC
(20,23),-0.269032 # DEPENDENCYPART_ARC
(21,16),-0.0844884 # DEPENDENCYPART_ARC
(21,19),-0.625768 # DEPENDENCYPART_ARC
(21,22),-1.32147 # DEPENDENCYPART_ARC
(22,17),-3.65477 # DEPENDENCYPART_ARC
(22,18),-3.69294 # DEPENDENCYPART_ARC
(22,19),-2.97291 # DEPENDENCYPART_ARC
(22,21),4.53402 # DEPENDENCYPART_ARC
(22,23),-0.2524 # DEPENDENCYPART_ARC
