# _root_ Nyní věnujme pozornost oblasti , která sice není středem pozornosti širší veřejnosti , přesto může podstatnou měrou ovlivnit rozvoj budoucích generací - mimoškolní činnosti dětí a žáků .
#goldHeads=2,0,2,22,14,14,14,14,8,9,12,10,14,4,14,17,18,15,18,21,19,2,24,22,26,24,26,0,
#predictedHeads=2,13,2,2,2,8,8,4,8,9,12,10,14,15,0,17,15,15,18,21,19,15,26,22,26,24,26,0,
(13,8),-0.0014924 # DEPENDENCYPART_ARC
(13,9),0.551486 # DEPENDENCYPART_ARC
(13,10),0.408842 # DEPENDENCYPART_ARC
(13,11),0.166561 # DEPENDENCYPART_ARC
(13,12),0.258226 # DEPENDENCYPART_ARC
(13,14),-0.165354 # DEPENDENCYPART_ARC
(13,15),0.532411 # DEPENDENCYPART_ARC
(13,16),-0.246539 # DEPENDENCYPART_ARC
(13,17),-0.73645 # DEPENDENCYPART_ARC
(13,18),-0.385304 # DEPENDENCYPART_ARC
(13,20),-1.07248 # DEPENDENCYPART_ARC
(13,22),-0.662509 # DEPENDENCYPART_ARC
(14,4),-0.258893 # DEPENDENCYPART_ARC
(14,6),-0.79743 # DEPENDENCYPART_ARC
(14,7),0.287901 # DEPENDENCYPART_ARC
(14,9),-0.39661 # DEPENDENCYPART_ARC
(14,10),0.215962 # DEPENDENCYPART_ARC
(14,12),0.408308 # DEPENDENCYPART_ARC
(14,13),1.19939 # DEPENDENCYPART_ARC
(14,16),-0.472059 # DEPENDENCYPART_ARC
(14,17),-0.77756 # DEPENDENCYPART_ARC
(14,18),0.921571 # DEPENDENCYPART_ARC
(14,19),-1.49926 # DEPENDENCYPART_ARC
(14,28),-1.22032 # DEPENDENCYPART_ARC
(15,1),0.0258481 # DEPENDENCYPART_ARC
(15,3),-0.784737 # DEPENDENCYPART_ARC
(15,4),-1.47356 # DEPENDENCYPART_ARC
(15,5),-0.497692 # DEPENDENCYPART_ARC
(15,6),0.282121 # DEPENDENCYPART_ARC
(15,7),-0.509397 # DEPENDENCYPART_ARC
(15,8),-1.65854 # DEPENDENCYPART_ARC
(15,9),0.377101 # DEPENDENCYPART_ARC
(15,10),-2.21024 # DEPENDENCYPART_ARC
(15,11),-3.07305 # DEPENDENCYPART_ARC
(15,12),-2.46623 # DEPENDENCYPART_ARC
(15,13),0.940384 # DEPENDENCYPART_ARC
(15,14),2.00212 # DEPENDENCYPART_ARC
(15,16),-1.26686 # DEPENDENCYPART_ARC
(15,17),2.13655 # DEPENDENCYPART_ARC
(15,18),2.30004 # DEPENDENCYPART_ARC
(15,19),0.993841 # DEPENDENCYPART_ARC
(15,20),-4.76424 # DEPENDENCYPART_ARC
(15,21),-1.57718 # DEPENDENCYPART_ARC
(15,22),0.157725 # DEPENDENCYPART_ARC
(15,23),-3.82898 # DEPENDENCYPART_ARC
(15,24),-0.821106 # DEPENDENCYPART_ARC
(15,25),-3.17188 # DEPENDENCYPART_ARC
(15,26),0.661158 # DEPENDENCYPART_ARC
(15,27),-3.99367 # DEPENDENCYPART_ARC
(16,14),0.0358676 # DEPENDENCYPART_ARC
(17,11),-0.947307 # DEPENDENCYPART_ARC
(17,14),-0.381257 # DEPENDENCYPART_ARC
(17,16),4.91477 # DEPENDENCYPART_ARC
(17,18),0.78096 # DEPENDENCYPART_ARC
(17,19),-2.87247 # DEPENDENCYPART_ARC
(17,20),-1.25019 # DEPENDENCYPART_ARC
(17,21),-0.295929 # DEPENDENCYPART_ARC
(17,23),-2.33507 # DEPENDENCYPART_ARC
(18,3),0.500819 # DEPENDENCYPART_ARC
(18,5),-0.055168 # DEPENDENCYPART_ARC
(18,6),-0.405479 # DEPENDENCYPART_ARC
(18,7),-0.432514 # DEPENDENCYPART_ARC
(18,8),-2.20106 # DEPENDENCYPART_ARC
(18,9),0.690046 # DEPENDENCYPART_ARC
(18,10),-1.33905 # DEPENDENCYPART_ARC
(18,13),0.561951 # DEPENDENCYPART_ARC
(18,14),1.29666 # DEPENDENCYPART_ARC
(18,15),-1.041 # DEPENDENCYPART_ARC
(18,16),-1.2076 # DEPENDENCYPART_ARC
(18,17),1.82302 # DEPENDENCYPART_ARC
(18,19),3.29953 # DEPENDENCYPART_ARC
(18,20),-1.85731 # DEPENDENCYPART_ARC
(18,21),-0.123979 # DEPENDENCYPART_ARC
(18,22),-0.147169 # DEPENDENCYPART_ARC
(18,23),-2.88927 # DEPENDENCYPART_ARC
(18,24),0.227873 # DEPENDENCYPART_ARC
(18,25),-1.14707 # DEPENDENCYPART_ARC
(18,26),0.162802 # DEPENDENCYPART_ARC
(18,27),-2.86504 # DEPENDENCYPART_ARC
(19,16),-1.35156 # DEPENDENCYPART_ARC
(19,20),-1.73046 # DEPENDENCYPART_ARC
(19,21),2.6591 # DEPENDENCYPART_ARC
(19,22),0.101938 # DEPENDENCYPART_ARC
(19,23),-3.79512 # DEPENDENCYPART_ARC
(19,24),-0.350007 # DEPENDENCYPART_ARC
(19,25),0.542478 # DEPENDENCYPART_ARC
(19,26),-0.101909 # DEPENDENCYPART_ARC
(19,27),-1.12486 # DEPENDENCYPART_ARC
(20,19),-0.20366 # DEPENDENCYPART_ARC
(20,21),0.497418 # DEPENDENCYPART_ARC
(20,24),-0.820304 # DEPENDENCYPART_ARC
(21,16),-0.984749 # DEPENDENCYPART_ARC
(21,19),-1.77391 # DEPENDENCYPART_ARC
(21,20),4.41005 # DEPENDENCYPART_ARC
(21,22),-0.472063 # DEPENDENCYPART_ARC
(21,23),-1.17121 # DEPENDENCYPART_ARC
(21,24),-2.2527 # DEPENDENCYPART_ARC
(21,25),0.273744 # DEPENDENCYPART_ARC
(21,26),-0.397754 # DEPENDENCYPART_ARC
(21,27),-1.51394 # DEPENDENCYPART_ARC
(22,1),-1.707 # DEPENDENCYPART_ARC
(22,5),-0.883084 # DEPENDENCYPART_ARC
(22,8),-0.195586 # DEPENDENCYPART_ARC
(22,11),-0.812111 # DEPENDENCYPART_ARC
(22,12),-0.426452 # DEPENDENCYPART_ARC
(22,13),-0.343002 # DEPENDENCYPART_ARC
(22,15),-0.132065 # DEPENDENCYPART_ARC
(22,16),0.162922 # DEPENDENCYPART_ARC
(22,17),0.122079 # DEPENDENCYPART_ARC
(22,18),0.344133 # DEPENDENCYPART_ARC
(22,19),1.60895 # DEPENDENCYPART_ARC
(22,20),0.76066 # DEPENDENCYPART_ARC
(22,21),2.15266 # DEPENDENCYPART_ARC
(22,23),0.881791 # DEPENDENCYPART_ARC
(22,24),1.46063 # DEPENDENCYPART_ARC
(22,25),1.25059 # DEPENDENCYPART_ARC
(22,26),0.714576 # DEPENDENCYPART_ARC
(22,27),0.496609 # DEPENDENCYPART_ARC
(22,28),-0.151301 # DEPENDENCYPART_ARC
(23,21),-3.33043 # DEPENDENCYPART_ARC
(23,22),0.0814514 # DEPENDENCYPART_ARC
(23,24),1.60939 # DEPENDENCYPART_ARC
(23,25),-1.15575 # DEPENDENCYPART_ARC
(23,26),0.519164 # DEPENDENCYPART_ARC
(23,27),-1.86879 # DEPENDENCYPART_ARC
(23,28),-0.828026 # DEPENDENCYPART_ARC
(24,20),-1.95387 # DEPENDENCYPART_ARC
(24,21),-4.49974 # DEPENDENCYPART_ARC
(24,22),0.217167 # DEPENDENCYPART_ARC
(24,23),-1.09571 # DEPENDENCYPART_ARC
(24,25),3.43355 # DEPENDENCYPART_ARC
(24,26),1.37205 # DEPENDENCYPART_ARC
(24,27),0.161654 # DEPENDENCYPART_ARC
(24,28),-0.836442 # DEPENDENCYPART_ARC
(25,19),-2.92218 # DEPENDENCYPART_ARC
(25,21),-2.35559 # DEPENDENCYPART_ARC
(25,23),-0.417179 # DEPENDENCYPART_ARC
(25,24),-0.670436 # DEPENDENCYPART_ARC
(25,27),-0.39369 # DEPENDENCYPART_ARC
(26,1),-2.06505 # DEPENDENCYPART_ARC
(26,3),-0.940859 # DEPENDENCYPART_ARC
(26,4),-2.16243 # DEPENDENCYPART_ARC
(26,5),-0.830038 # DEPENDENCYPART_ARC
(26,6),0.315537 # DEPENDENCYPART_ARC
(26,7),-0.0991393 # DEPENDENCYPART_ARC
(26,8),-3.439 # DEPENDENCYPART_ARC
(26,9),-0.0383553 # DEPENDENCYPART_ARC
(26,10),-0.145728 # DEPENDENCYPART_ARC
(26,12),0.380779 # DEPENDENCYPART_ARC
(26,13),-0.280261 # DEPENDENCYPART_ARC
(26,14),-1.09718 # DEPENDENCYPART_ARC
(26,15),-0.950131 # DEPENDENCYPART_ARC
(26,16),0.071421 # DEPENDENCYPART_ARC
(26,17),-0.188672 # DEPENDENCYPART_ARC
(26,18),0.182519 # DEPENDENCYPART_ARC
(26,19),1.36847 # DEPENDENCYPART_ARC
(26,20),0.451108 # DEPENDENCYPART_ARC
(26,21),1.62329 # DEPENDENCYPART_ARC
(26,22),-0.031319 # DEPENDENCYPART_ARC
(26,23),1.06245 # DEPENDENCYPART_ARC
(26,24),1.14318 # DEPENDENCYPART_ARC
(26,25),3.95248 # DEPENDENCYPART_ARC
(26,27),3.57561 # DEPENDENCYPART_ARC
(26,28),0.282465 # DEPENDENCYPART_ARC
(27,25),-5.76179 # DEPENDENCYPART_ARC
(27,28),-0.0390267 # DEPENDENCYPART_ARC
