# _root_ Je také patrné , že vyvratitelné jsou jen teorie , ne ( spolehlivé ) experimenty .
#goldHeads=0,1,1,5,1,7,5,9,10,7,15,13,15,13,10,0,
#predictedHeads=0,1,1,5,1,7,5,9,7,7,13,11,15,13,10,0,
(10,11),0.716405 # DEPENDENCYPART_ARC
(10,12),0.409036 # DEPENDENCYPART_ARC
(10,13),-0.578826 # DEPENDENCYPART_ARC
(10,14),0.749459 # DEPENDENCYPART_ARC
(10,15),0.773352 # DEPENDENCYPART_ARC
(10,16),-0.163058 # DEPENDENCYPART_ARC
(11,4),-1.04007 # DEPENDENCYPART_ARC
(11,7),-0.529195 # DEPENDENCYPART_ARC
(11,9),-0.152325 # DEPENDENCYPART_ARC
(11,10),0.358497 # DEPENDENCYPART_ARC
(11,12),1.45189 # DEPENDENCYPART_ARC
(11,13),0.179969 # DEPENDENCYPART_ARC
(11,14),0.441964 # DEPENDENCYPART_ARC
(11,16),-0.386669 # DEPENDENCYPART_ARC
(12,1),-1.29199 # DEPENDENCYPART_ARC
(12,3),-0.1001 # DEPENDENCYPART_ARC
(12,5),-0.543888 # DEPENDENCYPART_ARC
(12,6),0.0155699 # DEPENDENCYPART_ARC
(12,7),-0.625643 # DEPENDENCYPART_ARC
(12,8),-0.273566 # DEPENDENCYPART_ARC
(12,9),1.02716 # DEPENDENCYPART_ARC
(12,10),-0.233636 # DEPENDENCYPART_ARC
(12,11),0.702526 # DEPENDENCYPART_ARC
(12,13),0.303605 # DEPENDENCYPART_ARC
(12,14),0.811862 # DEPENDENCYPART_ARC
(12,15),0.140007 # DEPENDENCYPART_ARC
(12,16),-0.337583 # DEPENDENCYPART_ARC
(13,6),-3.70595 # DEPENDENCYPART_ARC
(13,9),-1.63299 # DEPENDENCYPART_ARC
(13,10),0.0346747 # DEPENDENCYPART_ARC
(13,11),0.858735 # DEPENDENCYPART_ARC
(13,12),0.823884 # DEPENDENCYPART_ARC
(13,14),1.77802 # DEPENDENCYPART_ARC
(13,15),-2.10719 # DEPENDENCYPART_ARC
(13,16),-1.1586 # DEPENDENCYPART_ARC
(14,1),-2.61785 # DEPENDENCYPART_ARC
(14,8),-1.64847 # DEPENDENCYPART_ARC
(14,9),-0.98528 # DEPENDENCYPART_ARC
(14,11),-1.11492 # DEPENDENCYPART_ARC
(14,12),-0.718904 # DEPENDENCYPART_ARC
(14,13),-0.556339 # DEPENDENCYPART_ARC
(14,15),-1.04818 # DEPENDENCYPART_ARC
(14,16),-1.83621 # DEPENDENCYPART_ARC
(15,2),-0.0595137 # DEPENDENCYPART_ARC
(15,6),-1.76504 # DEPENDENCYPART_ARC
(15,8),-0.00643353 # DEPENDENCYPART_ARC
(15,9),-1.78264 # DEPENDENCYPART_ARC
(15,10),-0.317383 # DEPENDENCYPART_ARC
(15,11),0.382041 # DEPENDENCYPART_ARC
(15,12),0.104342 # DEPENDENCYPART_ARC
(15,13),2.35279 # DEPENDENCYPART_ARC
(15,14),0.614022 # DEPENDENCYPART_ARC
(15,16),1.2324 # DEPENDENCYPART_ARC
(16,11),-3.38863 # DEPENDENCYPART_ARC
(16,13),-2.84738 # DEPENDENCYPART_ARC
(16,15),-2.88455 # DEPENDENCYPART_ARC
