# _root_ Poslanec FS Aleš Mucha ( LSU ) nevidí důvod , proč by stahoval svůj návrh kandidatury Jiřího Kotase na funkci prezidenta ČSFR , přestože se v minulých dnech LSU od kandidatury J . Kotase distancovala .
#goldHeads=4,1,4,8,4,4,4,0,8,13,13,13,9,15,13,15,18,16,16,19,20,21,24,8,35,35,28,26,35,35,30,34,32,31,24,0,
#predictedHeads=4,1,4,5,8,4,5,0,8,13,13,13,9,15,13,15,18,16,15,19,20,21,24,13,35,35,28,26,28,35,30,34,32,31,24,0,
(6,4),-2.24308 # DEPENDENCYPART_ARC
(6,5),0.130606 # DEPENDENCYPART_ARC
(6,7),0.189206 # DEPENDENCYPART_ARC
(6,8),-4.21664 # DEPENDENCYPART_ARC
(6,9),-6.02672 # DEPENDENCYPART_ARC
(7,8),-1.79316 # DEPENDENCYPART_ARC
(8,1),1.69266 # DEPENDENCYPART_ARC
(8,2),-0.0148978 # DEPENDENCYPART_ARC
(8,3),0.588295 # DEPENDENCYPART_ARC
(8,4),0.737466 # DEPENDENCYPART_ARC
(8,5),1.18263 # DEPENDENCYPART_ARC
(8,6),0.347979 # DEPENDENCYPART_ARC
(8,7),-0.0218551 # DEPENDENCYPART_ARC
(8,9),3.13372 # DEPENDENCYPART_ARC
(8,10),0.0302793 # DEPENDENCYPART_ARC
(8,11),-0.170526 # DEPENDENCYPART_ARC
(8,13),-1.7135 # DEPENDENCYPART_ARC
(8,15),-1.20894 # DEPENDENCYPART_ARC
(8,16),-2.52538 # DEPENDENCYPART_ARC
(8,17),-3.51882 # DEPENDENCYPART_ARC
(8,18),-2.82952 # DEPENDENCYPART_ARC
(8,19),-1.14598 # DEPENDENCYPART_ARC
(8,22),-4.16906 # DEPENDENCYPART_ARC
(8,23),-0.827298 # DEPENDENCYPART_ARC
(8,24),0.253138 # DEPENDENCYPART_ARC
(8,30),-1.97204 # DEPENDENCYPART_ARC
(9,10),0.342852 # DEPENDENCYPART_ARC
(9,11),0.592674 # DEPENDENCYPART_ARC
(9,12),1.63761 # DEPENDENCYPART_ARC
(9,13),0.744158 # DEPENDENCYPART_ARC
(9,35),0.201828 # DEPENDENCYPART_ARC
(10,1),0.18609 # DEPENDENCYPART_ARC
(10,2),0.160983 # DEPENDENCYPART_ARC
(10,3),0.146415 # DEPENDENCYPART_ARC
(10,4),0.754146 # DEPENDENCYPART_ARC
(10,5),-0.0396715 # DEPENDENCYPART_ARC
(10,6),0.301893 # DEPENDENCYPART_ARC
(10,7),-0.397003 # DEPENDENCYPART_ARC
(10,8),0.572753 # DEPENDENCYPART_ARC
(10,9),0.705894 # DEPENDENCYPART_ARC
(10,11),0.224606 # DEPENDENCYPART_ARC
(10,13),0.159598 # DEPENDENCYPART_ARC
(10,15),-1.30184 # DEPENDENCYPART_ARC
(10,23),0.0777522 # DEPENDENCYPART_ARC
(11,2),-1.40201 # DEPENDENCYPART_ARC
(11,3),-1.31322 # DEPENDENCYPART_ARC
(11,4),-0.883093 # DEPENDENCYPART_ARC
(11,6),-0.854801 # DEPENDENCYPART_ARC
(11,8),-0.250769 # DEPENDENCYPART_ARC
(11,9),0.15292 # DEPENDENCYPART_ARC
(11,10),-0.189999 # DEPENDENCYPART_ARC
(11,13),-0.23022 # DEPENDENCYPART_ARC
(11,15),-1.33268 # DEPENDENCYPART_ARC
(13,1),-0.158066 # DEPENDENCYPART_ARC
(13,2),-3.27967 # DEPENDENCYPART_ARC
(13,3),-1.10272 # DEPENDENCYPART_ARC
(13,4),-1.06784 # DEPENDENCYPART_ARC
(13,5),-0.240054 # DEPENDENCYPART_ARC
(13,6),-3.15925 # DEPENDENCYPART_ARC
(13,7),-0.594634 # DEPENDENCYPART_ARC
(13,8),-1.23293 # DEPENDENCYPART_ARC
(13,9),-0.110382 # DEPENDENCYPART_ARC
(13,10),1.15748 # DEPENDENCYPART_ARC
(13,11),2.09271 # DEPENDENCYPART_ARC
(13,12),4.19171 # DEPENDENCYPART_ARC
(13,14),0.302923 # DEPENDENCYPART_ARC
(13,15),3.35298 # DEPENDENCYPART_ARC
(13,16),-0.232131 # DEPENDENCYPART_ARC
(13,17),-0.995675 # DEPENDENCYPART_ARC
(13,18),0.287113 # DEPENDENCYPART_ARC
(13,19),0.987539 # DEPENDENCYPART_ARC
(13,20),-0.191571 # DEPENDENCYPART_ARC
(13,21),-1.87481 # DEPENDENCYPART_ARC
(13,22),-2.23828 # DEPENDENCYPART_ARC
(13,23),0.21956 # DEPENDENCYPART_ARC
(13,24),1.14838 # DEPENDENCYPART_ARC
(13,26),-0.669789 # DEPENDENCYPART_ARC
(13,28),-3.11655 # DEPENDENCYPART_ARC
(13,29),-4.35342 # DEPENDENCYPART_ARC
(13,30),0.173948 # DEPENDENCYPART_ARC
(13,31),-5.66795 # DEPENDENCYPART_ARC
(13,32),-4.74931 # DEPENDENCYPART_ARC
(13,34),-4.86081 # DEPENDENCYPART_ARC
(13,35),-2.10651 # DEPENDENCYPART_ARC
(15,11),-0.993809 # DEPENDENCYPART_ARC
(15,14),3.81068 # DEPENDENCYPART_ARC
(15,16),3.01317 # DEPENDENCYPART_ARC
(15,17),1.68652 # DEPENDENCYPART_ARC
(15,18),1.62981 # DEPENDENCYPART_ARC
(15,19),1.46932 # DEPENDENCYPART_ARC
(15,24),-0.359871 # DEPENDENCYPART_ARC
(15,26),-1.37992 # DEPENDENCYPART_ARC
(15,35),-0.722611 # DEPENDENCYPART_ARC
(16,14),-0.536861 # DEPENDENCYPART_ARC
(16,15),-1.6806 # DEPENDENCYPART_ARC
(16,17),2.80859 # DEPENDENCYPART_ARC
(16,18),2.35734 # DEPENDENCYPART_ARC
(16,19),1.07588 # DEPENDENCYPART_ARC
(16,20),-4.37201 # DEPENDENCYPART_ARC
(16,21),0.323409 # DEPENDENCYPART_ARC
(16,26),-0.913922 # DEPENDENCYPART_ARC
(17,14),-1.99269 # DEPENDENCYPART_ARC
(17,15),-2.24216 # DEPENDENCYPART_ARC
(17,16),-1.11923 # DEPENDENCYPART_ARC
(17,18),1.52096 # DEPENDENCYPART_ARC
(17,19),-0.46476 # DEPENDENCYPART_ARC
(17,20),-5.38191 # DEPENDENCYPART_ARC
(17,21),-1.24658 # DEPENDENCYPART_ARC
(17,22),-0.566215 # DEPENDENCYPART_ARC
(17,26),-2.28243 # DEPENDENCYPART_ARC
(18,1),0.543454 # DEPENDENCYPART_ARC
(18,9),-3.18252 # DEPENDENCYPART_ARC
(18,14),-1.56402 # DEPENDENCYPART_ARC
(18,15),-0.879925 # DEPENDENCYPART_ARC
(18,16),1.52533 # DEPENDENCYPART_ARC
(18,17),7.86501 # DEPENDENCYPART_ARC
(18,19),-0.558434 # DEPENDENCYPART_ARC
(18,20),-4.09567 # DEPENDENCYPART_ARC
(18,21),-0.963136 # DEPENDENCYPART_ARC
(18,22),0.38284 # DEPENDENCYPART_ARC
(18,24),-0.8251 # DEPENDENCYPART_ARC
(19,18),-1.17198 # DEPENDENCYPART_ARC
(19,20),3.96842 # DEPENDENCYPART_ARC
(19,21),-1.6764 # DEPENDENCYPART_ARC
(19,22),-1.72299 # DEPENDENCYPART_ARC
(19,23),-0.296904 # DEPENDENCYPART_ARC
(19,24),-0.961198 # DEPENDENCYPART_ARC
(20,19),0.942926 # DEPENDENCYPART_ARC
(20,21),3.52698 # DEPENDENCYPART_ARC
(20,22),2.59373 # DEPENDENCYPART_ARC
(20,23),0.0797015 # DEPENDENCYPART_ARC
(20,24),0.0755348 # DEPENDENCYPART_ARC
(20,26),-0.433974 # DEPENDENCYPART_ARC
(20,28),-0.815892 # DEPENDENCYPART_ARC
(20,30),0.0203993 # DEPENDENCYPART_ARC
(20,34),0.252818 # DEPENDENCYPART_ARC
(20,35),-0.731659 # DEPENDENCYPART_ARC
(21,16),-4.68466 # DEPENDENCYPART_ARC
(21,17),1.75358 # DEPENDENCYPART_ARC
(21,19),-1.16156 # DEPENDENCYPART_ARC
(21,20),-3.3929 # DEPENDENCYPART_ARC
(21,22),4.06725 # DEPENDENCYPART_ARC
(21,23),-0.56944 # DEPENDENCYPART_ARC
(21,24),-0.423702 # DEPENDENCYPART_ARC
(21,26),-1.41307 # DEPENDENCYPART_ARC
(21,28),-2.22408 # DEPENDENCYPART_ARC
(21,29),0.542945 # DEPENDENCYPART_ARC
(21,30),-0.436322 # DEPENDENCYPART_ARC
(21,32),-1.05788 # DEPENDENCYPART_ARC
(21,34),-1.37911 # DEPENDENCYPART_ARC
(22,15),-2.33377 # DEPENDENCYPART_ARC
(22,16),-3.11364 # DEPENDENCYPART_ARC
(22,17),-1.38652 # DEPENDENCYPART_ARC
(22,18),-3.02483 # DEPENDENCYPART_ARC
(22,19),-1.25548 # DEPENDENCYPART_ARC
(22,20),-0.486495 # DEPENDENCYPART_ARC
(22,21),-0.176052 # DEPENDENCYPART_ARC
(22,23),-0.826978 # DEPENDENCYPART_ARC
(22,24),-0.393556 # DEPENDENCYPART_ARC
(22,35),-4.01249 # DEPENDENCYPART_ARC
(23,5),-0.531262 # DEPENDENCYPART_ARC
(23,10),-0.851264 # DEPENDENCYPART_ARC
(23,13),-0.900475 # DEPENDENCYPART_ARC
(23,15),-0.42857 # DEPENDENCYPART_ARC
(23,16),-0.664329 # DEPENDENCYPART_ARC
(23,17),-0.645828 # DEPENDENCYPART_ARC
(23,18),-0.794645 # DEPENDENCYPART_ARC
(23,20),0.151143 # DEPENDENCYPART_ARC
(23,22),-0.485609 # DEPENDENCYPART_ARC
(23,24),0.0856589 # DEPENDENCYPART_ARC
(23,26),-0.672344 # DEPENDENCYPART_ARC
(23,35),-0.352607 # DEPENDENCYPART_ARC
(24,13),-1.49067 # DEPENDENCYPART_ARC
(24,18),-1.20487 # DEPENDENCYPART_ARC
(24,20),-0.234775 # DEPENDENCYPART_ARC
(24,21),-0.366706 # DEPENDENCYPART_ARC
(24,22),-0.732093 # DEPENDENCYPART_ARC
(24,23),1.31093 # DEPENDENCYPART_ARC
(24,26),-0.376431 # DEPENDENCYPART_ARC
(24,27),-0.210034 # DEPENDENCYPART_ARC
(24,28),-0.421684 # DEPENDENCYPART_ARC
(24,29),-0.666513 # DEPENDENCYPART_ARC
(24,31),-1.75652 # DEPENDENCYPART_ARC
(24,32),-1.24063 # DEPENDENCYPART_ARC
(24,33),0.182661 # DEPENDENCYPART_ARC
(24,35),1.48588 # DEPENDENCYPART_ARC
(24,36),-0.15303 # DEPENDENCYPART_ARC
(26,27),0.250889 # DEPENDENCYPART_ARC
(26,28),3.94495 # DEPENDENCYPART_ARC
(26,29),0.466013 # DEPENDENCYPART_ARC
(26,31),-3.80075 # DEPENDENCYPART_ARC
(26,33),-0.64667 # DEPENDENCYPART_ARC
(27,25),-1.71528 # DEPENDENCYPART_ARC
(27,29),-0.563453 # DEPENDENCYPART_ARC
(28,25),-2.34464 # DEPENDENCYPART_ARC
(28,26),-0.187766 # DEPENDENCYPART_ARC
(28,27),4.26783 # DEPENDENCYPART_ARC
(28,29),2.03693 # DEPENDENCYPART_ARC
(28,30),0.926083 # DEPENDENCYPART_ARC
(28,31),-0.614467 # DEPENDENCYPART_ARC
(28,32),-0.931854 # DEPENDENCYPART_ARC
(28,33),-1.21647 # DEPENDENCYPART_ARC
(28,34),-0.258128 # DEPENDENCYPART_ARC
(29,25),-3.92448 # DEPENDENCYPART_ARC
(29,27),-1.61097 # DEPENDENCYPART_ARC
(29,28),-3.19631 # DEPENDENCYPART_ARC
(29,30),0.247263 # DEPENDENCYPART_ARC
(29,31),-0.429849 # DEPENDENCYPART_ARC
(29,32),-1.96299 # DEPENDENCYPART_ARC
(29,33),-0.379786 # DEPENDENCYPART_ARC
(29,34),-2.83284 # DEPENDENCYPART_ARC
(30,28),-1.45146 # DEPENDENCYPART_ARC
(30,29),-1.24684 # DEPENDENCYPART_ARC
(30,31),3.56475 # DEPENDENCYPART_ARC
(30,32),0.817958 # DEPENDENCYPART_ARC
(30,33),0.0888703 # DEPENDENCYPART_ARC
(30,34),1.72681 # DEPENDENCYPART_ARC
(31,30),0.949169 # DEPENDENCYPART_ARC
(31,32),2.93952 # DEPENDENCYPART_ARC
(31,33),1.52046 # DEPENDENCYPART_ARC
(31,34),2.16201 # DEPENDENCYPART_ARC
(31,35),0.43674 # DEPENDENCYPART_ARC
(32,28),-6.86752 # DEPENDENCYPART_ARC
(32,29),-6.53675 # DEPENDENCYPART_ARC
(32,30),-1.80131 # DEPENDENCYPART_ARC
(32,31),-3.35863 # DEPENDENCYPART_ARC
(32,33),3.53197 # DEPENDENCYPART_ARC
(32,34),-1.64181 # DEPENDENCYPART_ARC
(32,35),-3.51561 # DEPENDENCYPART_ARC
(32,36),0.0460547 # DEPENDENCYPART_ARC
(33,31),-0.323661 # DEPENDENCYPART_ARC
(33,32),0.0762303 # DEPENDENCYPART_ARC
(33,34),-1.47369 # DEPENDENCYPART_ARC
(34,16),-3.44097 # DEPENDENCYPART_ARC
(34,17),2.00611 # DEPENDENCYPART_ARC
(34,21),1.63361 # DEPENDENCYPART_ARC
(34,28),-6.54869 # DEPENDENCYPART_ARC
(34,29),-1.96328 # DEPENDENCYPART_ARC
(34,30),-0.676782 # DEPENDENCYPART_ARC
(34,31),1.25489 # DEPENDENCYPART_ARC
(34,32),8.52927 # DEPENDENCYPART_ARC
(34,33),-0.156939 # DEPENDENCYPART_ARC
(34,36),-0.366971 # DEPENDENCYPART_ARC
(35,9),-1.45973 # DEPENDENCYPART_ARC
(35,10),-0.310732 # DEPENDENCYPART_ARC
(35,11),1.42984 # DEPENDENCYPART_ARC
(35,12),1.61979 # DEPENDENCYPART_ARC
(35,13),-3.77762 # DEPENDENCYPART_ARC
(35,15),0.950597 # DEPENDENCYPART_ARC
(35,16),-2.46539 # DEPENDENCYPART_ARC
(35,17),-3.84324 # DEPENDENCYPART_ARC
(35,18),-3.62133 # DEPENDENCYPART_ARC
(35,19),-0.919199 # DEPENDENCYPART_ARC
(35,20),-0.339891 # DEPENDENCYPART_ARC
(35,21),-3.37094 # DEPENDENCYPART_ARC
(35,22),-2.21255 # DEPENDENCYPART_ARC
(35,23),-0.153692 # DEPENDENCYPART_ARC
(35,24),1.82009 # DEPENDENCYPART_ARC
(35,25),2.85357 # DEPENDENCYPART_ARC
(35,26),1.56629 # DEPENDENCYPART_ARC
(35,27),-5.29819 # DEPENDENCYPART_ARC
(35,28),-0.519465 # DEPENDENCYPART_ARC
(35,29),1.18605 # DEPENDENCYPART_ARC
(35,30),1.32744 # DEPENDENCYPART_ARC
(35,31),-0.984243 # DEPENDENCYPART_ARC
(35,32),-0.945101 # DEPENDENCYPART_ARC
(35,33),0.693823 # DEPENDENCYPART_ARC
(35,34),-1.05924 # DEPENDENCYPART_ARC
(35,36),-0.0814305 # DEPENDENCYPART_ARC
