# _root_ Za to , co se stalo v Dublinu , nám před deseti roky Evropa uzavřela dveře .
#goldHeads=15,1,6,6,6,2,6,7,6,15,15,13,11,15,0,15,0,
#predictedHeads=15,1,15,6,6,2,6,7,15,15,15,13,11,15,0,15,0,
(6,5),3.93647 # DEPENDENCYPART_ARC
(6,7),2.19151 # DEPENDENCYPART_ARC
(6,8),-0.572225 # DEPENDENCYPART_ARC
(6,9),1.18794 # DEPENDENCYPART_ARC
(6,11),0.740429 # DEPENDENCYPART_ARC
(6,12),-2.55671 # DEPENDENCYPART_ARC
(6,13),-0.598848 # DEPENDENCYPART_ARC
(6,14),-0.712259 # DEPENDENCYPART_ARC
(6,15),-2.65153 # DEPENDENCYPART_ARC
(6,16),-1.35885 # DEPENDENCYPART_ARC
(6,17),-0.654342 # DEPENDENCYPART_ARC
(7,3),-1.05556 # DEPENDENCYPART_ARC
(7,8),4.02819 # DEPENDENCYPART_ARC
(7,9),-0.141357 # DEPENDENCYPART_ARC
(7,13),-2.86903 # DEPENDENCYPART_ARC
(7,14),-4.38929 # DEPENDENCYPART_ARC
(8,1),-1.66419 # DEPENDENCYPART_ARC
(8,2),-3.23773 # DEPENDENCYPART_ARC
(8,3),-1.40395 # DEPENDENCYPART_ARC
(8,5),-3.99398 # DEPENDENCYPART_ARC
(8,6),-3.91068 # DEPENDENCYPART_ARC
(8,7),0.329562 # DEPENDENCYPART_ARC
(8,9),-0.896534 # DEPENDENCYPART_ARC
(8,10),-3.14494 # DEPENDENCYPART_ARC
(8,11),-1.14762 # DEPENDENCYPART_ARC
(8,13),-3.90337 # DEPENDENCYPART_ARC
(8,14),-1.07482 # DEPENDENCYPART_ARC
(8,15),-0.0798585 # DEPENDENCYPART_ARC
(8,16),-7.13266 # DEPENDENCYPART_ARC
(9,1),-1.98714 # DEPENDENCYPART_ARC
(9,2),-0.850504 # DEPENDENCYPART_ARC
(9,3),0.1675 # DEPENDENCYPART_ARC
(9,5),-1.21027 # DEPENDENCYPART_ARC
(9,6),-0.0634355 # DEPENDENCYPART_ARC
(9,7),-0.901317 # DEPENDENCYPART_ARC
(9,8),-0.011412 # DEPENDENCYPART_ARC
(9,10),-0.416491 # DEPENDENCYPART_ARC
(9,11),-0.624341 # DEPENDENCYPART_ARC
(9,12),-0.713553 # DEPENDENCYPART_ARC
(9,13),-0.522846 # DEPENDENCYPART_ARC
(9,14),-0.965402 # DEPENDENCYPART_ARC
(9,15),0.0424422 # DEPENDENCYPART_ARC
(9,16),-1.89252 # DEPENDENCYPART_ARC
(10,6),-1.21925 # DEPENDENCYPART_ARC
(10,8),-1.52704 # DEPENDENCYPART_ARC
(10,9),0.0516308 # DEPENDENCYPART_ARC
(10,11),-0.541735 # DEPENDENCYPART_ARC
(10,13),-2.04351 # DEPENDENCYPART_ARC
(10,14),-2.80893 # DEPENDENCYPART_ARC
(10,16),-1.55785 # DEPENDENCYPART_ARC
(11,9),-0.192464 # DEPENDENCYPART_ARC
(11,12),1.12928 # DEPENDENCYPART_ARC
(11,13),4.35808 # DEPENDENCYPART_ARC
(11,14),-0.307807 # DEPENDENCYPART_ARC
(11,16),-2.48445 # DEPENDENCYPART_ARC
(12,8),-1.65387 # DEPENDENCYPART_ARC
(12,10),0.14042 # DEPENDENCYPART_ARC
(12,11),-0.335244 # DEPENDENCYPART_ARC
(12,13),1.49414 # DEPENDENCYPART_ARC
(12,14),-2.38463 # DEPENDENCYPART_ARC
(12,15),-2.43148 # DEPENDENCYPART_ARC
(12,16),-2.2537 # DEPENDENCYPART_ARC
(12,17),-0.869341 # DEPENDENCYPART_ARC
(13,1),-1.18199 # DEPENDENCYPART_ARC
(13,2),-2.9348 # DEPENDENCYPART_ARC
(13,6),-4.06071 # DEPENDENCYPART_ARC
(13,7),-1.3061 # DEPENDENCYPART_ARC
(13,8),-2.08039 # DEPENDENCYPART_ARC
(13,9),-0.00358814 # DEPENDENCYPART_ARC
(13,10),-1.54221 # DEPENDENCYPART_ARC
(13,11),-0.127826 # DEPENDENCYPART_ARC
(13,12),3.38231 # DEPENDENCYPART_ARC
(13,14),1.44032 # DEPENDENCYPART_ARC
(13,15),-2.29657 # DEPENDENCYPART_ARC
(13,16),-4.04653 # DEPENDENCYPART_ARC
(13,17),-1.52274 # DEPENDENCYPART_ARC
(14,1),-1.91453 # DEPENDENCYPART_ARC
(14,7),-2.11639 # DEPENDENCYPART_ARC
(14,8),-3.86988 # DEPENDENCYPART_ARC
(14,10),-3.99058 # DEPENDENCYPART_ARC
(14,11),-0.478744 # DEPENDENCYPART_ARC
(14,12),0.468181 # DEPENDENCYPART_ARC
(14,13),-3.13966 # DEPENDENCYPART_ARC
(14,15),-1.27369 # DEPENDENCYPART_ARC
(14,16),-5.23555 # DEPENDENCYPART_ARC
(14,17),-0.958862 # DEPENDENCYPART_ARC
(15,1),1.22391 # DEPENDENCYPART_ARC
(15,2),-1.62086 # DEPENDENCYPART_ARC
(15,3),2.08213 # DEPENDENCYPART_ARC
(15,4),1.30275 # DEPENDENCYPART_ARC
(15,5),1.65786 # DEPENDENCYPART_ARC
(15,6),-1.53994 # DEPENDENCYPART_ARC
(15,7),1.13703 # DEPENDENCYPART_ARC
(15,8),-2.85517 # DEPENDENCYPART_ARC
(15,9),2.24976 # DEPENDENCYPART_ARC
(15,10),3.43748 # DEPENDENCYPART_ARC
(15,11),2.46448 # DEPENDENCYPART_ARC
(15,12),0.154353 # DEPENDENCYPART_ARC
(15,13),1.11552 # DEPENDENCYPART_ARC
(15,14),1.93963 # DEPENDENCYPART_ARC
(15,16),3.09841 # DEPENDENCYPART_ARC
(15,17),-0.588931 # DEPENDENCYPART_ARC
(16,1),-1.0144 # DEPENDENCYPART_ARC
(16,10),-3.81041 # DEPENDENCYPART_ARC
(16,11),0.465448 # DEPENDENCYPART_ARC
(16,12),0.136246 # DEPENDENCYPART_ARC
(16,13),-1.63681 # DEPENDENCYPART_ARC
(16,14),-2.26127 # DEPENDENCYPART_ARC
(16,17),0.437047 # DEPENDENCYPART_ARC
(17,1),-5.40994 # DEPENDENCYPART_ARC
(17,15),-3.62871 # DEPENDENCYPART_ARC
(17,16),-2.92704 # DEPENDENCYPART_ARC
