# _root_ Za prvé bych chtěl připomenout to , že má být prodloužení věkové hranice postupné , že je rozloženo v čase a že k němu má dojít úplně až v roce 2007 .
#goldHeads=4,1,4,0,4,5,21,15,8,9,15,13,11,10,21,15,16,17,18,19,6,21,26,23,22,25,26,30,25,29,30,0,
#predictedHeads=4,1,4,0,4,5,8,6,8,9,9,13,11,10,16,21,16,17,18,19,9,21,26,23,22,25,26,30,26,29,30,0,
(11,10),-0.96957 # DEPENDENCYPART_ARC
(11,12),-0.144386 # DEPENDENCYPART_ARC
(11,13),2.82725 # DEPENDENCYPART_ARC
(11,14),0.807854 # DEPENDENCYPART_ARC
(11,15),-0.256121 # DEPENDENCYPART_ARC
(11,16),0.36115 # DEPENDENCYPART_ARC
(11,17),-1.9765 # DEPENDENCYPART_ARC
(11,18),-2.24668 # DEPENDENCYPART_ARC
(11,19),-1.88869 # DEPENDENCYPART_ARC
(11,20),-1.68656 # DEPENDENCYPART_ARC
(11,21),-0.736093 # DEPENDENCYPART_ARC
(12,6),-3.09286 # DEPENDENCYPART_ARC
(12,11),-1.85491 # DEPENDENCYPART_ARC
(12,13),0.821293 # DEPENDENCYPART_ARC
(12,14),-2.83595 # DEPENDENCYPART_ARC
(12,16),-0.2854 # DEPENDENCYPART_ARC
(13,11),-2.6284 # DEPENDENCYPART_ARC
(13,12),4.8179 # DEPENDENCYPART_ARC
(13,14),-0.514615 # DEPENDENCYPART_ARC
(13,16),0.854743 # DEPENDENCYPART_ARC
(13,17),-1.66333 # DEPENDENCYPART_ARC
(13,18),-1.93441 # DEPENDENCYPART_ARC
(13,20),-1.92284 # DEPENDENCYPART_ARC
(13,21),-0.601048 # DEPENDENCYPART_ARC
(13,22),-2.11101 # DEPENDENCYPART_ARC
(14,11),-0.206625 # DEPENDENCYPART_ARC
(14,12),-0.558079 # DEPENDENCYPART_ARC
(14,13),-0.515099 # DEPENDENCYPART_ARC
(14,15),0.0791291 # DEPENDENCYPART_ARC
(14,16),0.330683 # DEPENDENCYPART_ARC
(14,17),-1.79696 # DEPENDENCYPART_ARC
(14,18),-0.798953 # DEPENDENCYPART_ARC
(14,19),-1.66455 # DEPENDENCYPART_ARC
(14,22),-0.939518 # DEPENDENCYPART_ARC
(14,25),-2.32561 # DEPENDENCYPART_ARC
(14,26),-1.89986 # DEPENDENCYPART_ARC
(15,4),-1.81199 # DEPENDENCYPART_ARC
(15,5),-1.04784 # DEPENDENCYPART_ARC
(15,7),0.332548 # DEPENDENCYPART_ARC
(15,8),0.318118 # DEPENDENCYPART_ARC
(15,9),-0.524035 # DEPENDENCYPART_ARC
(15,10),-0.167014 # DEPENDENCYPART_ARC
(15,12),-0.411094 # DEPENDENCYPART_ARC
(15,14),-0.494781 # DEPENDENCYPART_ARC
(15,17),-0.365072 # DEPENDENCYPART_ARC
(15,18),-0.658519 # DEPENDENCYPART_ARC
(16,9),-1.12798 # DEPENDENCYPART_ARC
(16,11),-0.859121 # DEPENDENCYPART_ARC
(16,13),-1.01602 # DEPENDENCYPART_ARC
(16,14),-1.20567 # DEPENDENCYPART_ARC
(16,15),2.56081 # DEPENDENCYPART_ARC
(16,17),2.13704 # DEPENDENCYPART_ARC
(16,18),1.67652 # DEPENDENCYPART_ARC
(16,19),-1.81982 # DEPENDENCYPART_ARC
(16,21),-0.143679 # DEPENDENCYPART_ARC
(16,22),-1.16811 # DEPENDENCYPART_ARC
(16,25),-0.664659 # DEPENDENCYPART_ARC
(16,26),-1.10251 # DEPENDENCYPART_ARC
(17,2),-3.23995 # DEPENDENCYPART_ARC
(17,13),-3.55766 # DEPENDENCYPART_ARC
(17,18),3.27907 # DEPENDENCYPART_ARC
(17,19),1.31891 # DEPENDENCYPART_ARC
(17,20),-0.813115 # DEPENDENCYPART_ARC
(17,21),-0.0269771 # DEPENDENCYPART_ARC
(17,22),-0.841597 # DEPENDENCYPART_ARC
(17,23),-1.60017 # DEPENDENCYPART_ARC
(17,25),-2.69515 # DEPENDENCYPART_ARC
(17,26),-1.53463 # DEPENDENCYPART_ARC
(17,27),-1.83064 # DEPENDENCYPART_ARC
(17,28),-2.08428 # DEPENDENCYPART_ARC
(17,29),-1.07911 # DEPENDENCYPART_ARC
(17,31),-1.97757 # DEPENDENCYPART_ARC
(18,1),-1.31776 # DEPENDENCYPART_ARC
(18,4),-2.85541 # DEPENDENCYPART_ARC
(18,5),-0.706224 # DEPENDENCYPART_ARC
(18,9),-2.53101 # DEPENDENCYPART_ARC
(18,10),0.431686 # DEPENDENCYPART_ARC
(18,11),-0.244824 # DEPENDENCYPART_ARC
(18,12),-6.22057 # DEPENDENCYPART_ARC
(18,13),-2.61025 # DEPENDENCYPART_ARC
(18,14),-2.2999 # DEPENDENCYPART_ARC
(18,15),-0.534104 # DEPENDENCYPART_ARC
(18,16),-0.415273 # DEPENDENCYPART_ARC
(18,17),2.04042 # DEPENDENCYPART_ARC
(18,19),2.01367 # DEPENDENCYPART_ARC
(18,20),0.804542 # DEPENDENCYPART_ARC
(18,21),0.683351 # DEPENDENCYPART_ARC
(18,22),0.715827 # DEPENDENCYPART_ARC
(18,23),-0.922849 # DEPENDENCYPART_ARC
(18,25),-3.29691 # DEPENDENCYPART_ARC
(18,26),-1.14354 # DEPENDENCYPART_ARC
(18,27),-1.49369 # DEPENDENCYPART_ARC
(18,29),-1.70474 # DEPENDENCYPART_ARC
(19,20),4.12995 # DEPENDENCYPART_ARC
(19,21),0.482891 # DEPENDENCYPART_ARC
(19,22),-1.70633 # DEPENDENCYPART_ARC
(20,19),1.07981 # DEPENDENCYPART_ARC
(20,22),-0.810882 # DEPENDENCYPART_ARC
(21,1),-0.190083 # DEPENDENCYPART_ARC
(21,2),-3.31958 # DEPENDENCYPART_ARC
(21,4),-2.91412 # DEPENDENCYPART_ARC
(21,5),-1.30128 # DEPENDENCYPART_ARC
(21,6),-0.989368 # DEPENDENCYPART_ARC
(21,7),1.41395 # DEPENDENCYPART_ARC
(21,8),1.806 # DEPENDENCYPART_ARC
(21,9),-1.09032 # DEPENDENCYPART_ARC
(21,10),-0.905647 # DEPENDENCYPART_ARC
(21,11),-0.255177 # DEPENDENCYPART_ARC
(21,12),-1.18154 # DEPENDENCYPART_ARC
(21,13),-0.82065 # DEPENDENCYPART_ARC
(21,14),-1.03193 # DEPENDENCYPART_ARC
(21,15),1.60586 # DEPENDENCYPART_ARC
(21,16),2.42411 # DEPENDENCYPART_ARC
(21,17),1.02043 # DEPENDENCYPART_ARC
(21,18),1.7572 # DEPENDENCYPART_ARC
(21,19),1.24198 # DEPENDENCYPART_ARC
(21,20),2.18387 # DEPENDENCYPART_ARC
(21,22),1.80984 # DEPENDENCYPART_ARC
(21,23),0.82209 # DEPENDENCYPART_ARC
(21,25),1.48806 # DEPENDENCYPART_ARC
(21,26),0.669729 # DEPENDENCYPART_ARC
(21,27),-0.52749 # DEPENDENCYPART_ARC
(21,29),-0.635185 # DEPENDENCYPART_ARC
(21,31),-1.38148 # DEPENDENCYPART_ARC
(22,19),-1.27408 # DEPENDENCYPART_ARC
(22,23),-0.525276 # DEPENDENCYPART_ARC
(22,25),2.28929 # DEPENDENCYPART_ARC
(22,26),1.68449 # DEPENDENCYPART_ARC
(22,27),-0.829605 # DEPENDENCYPART_ARC
(22,29),-2.04275 # DEPENDENCYPART_ARC
(23,24),4.05807 # DEPENDENCYPART_ARC
(23,25),-1.47666 # DEPENDENCYPART_ARC
(23,27),-1.84871 # DEPENDENCYPART_ARC
(23,30),-1.22158 # DEPENDENCYPART_ARC
(25,1),-1.10532 # DEPENDENCYPART_ARC
(25,10),-1.96072 # DEPENDENCYPART_ARC
(25,11),-1.05269 # DEPENDENCYPART_ARC
(25,12),-3.94956 # DEPENDENCYPART_ARC
(25,13),-3.69242 # DEPENDENCYPART_ARC
(25,14),-0.780288 # DEPENDENCYPART_ARC
(25,17),-1.71505 # DEPENDENCYPART_ARC
(25,18),-2.25992 # DEPENDENCYPART_ARC
(25,19),-0.806156 # DEPENDENCYPART_ARC
(25,20),-1.68892 # DEPENDENCYPART_ARC
(25,22),-0.113827 # DEPENDENCYPART_ARC
(25,23),1.42537 # DEPENDENCYPART_ARC
(25,26),3.25854 # DEPENDENCYPART_ARC
(25,27),0.581955 # DEPENDENCYPART_ARC
(25,28),0.102687 # DEPENDENCYPART_ARC
(25,29),0.866066 # DEPENDENCYPART_ARC
(25,30),0.165026 # DEPENDENCYPART_ARC
(25,31),-0.552222 # DEPENDENCYPART_ARC
(26,6),-1.64515 # DEPENDENCYPART_ARC
(26,17),-2.93999 # DEPENDENCYPART_ARC
(26,19),-1.58319 # DEPENDENCYPART_ARC
(26,20),-2.19717 # DEPENDENCYPART_ARC
(26,22),-1.44643 # DEPENDENCYPART_ARC
(26,23),1.91475 # DEPENDENCYPART_ARC
(26,25),-0.751236 # DEPENDENCYPART_ARC
(26,27),1.59871 # DEPENDENCYPART_ARC
(26,28),-0.0175914 # DEPENDENCYPART_ARC
(26,29),1.23388 # DEPENDENCYPART_ARC
(26,30),0.958034 # DEPENDENCYPART_ARC
(26,31),0.136444 # DEPENDENCYPART_ARC
(27,23),-1.05723 # DEPENDENCYPART_ARC
(27,26),-0.500744 # DEPENDENCYPART_ARC
(27,29),-0.1636 # DEPENDENCYPART_ARC
(27,30),-1.18243 # DEPENDENCYPART_ARC
(28,23),-0.191384 # DEPENDENCYPART_ARC
(28,25),-0.436177 # DEPENDENCYPART_ARC
(28,27),0.556315 # DEPENDENCYPART_ARC
(28,29),0.0336668 # DEPENDENCYPART_ARC
(28,30),-0.0559122 # DEPENDENCYPART_ARC
(29,28),-0.154406 # DEPENDENCYPART_ARC
(29,30),4.63438 # DEPENDENCYPART_ARC
(29,31),-0.616228 # DEPENDENCYPART_ARC
(30,23),-0.786144 # DEPENDENCYPART_ARC
(30,27),0.380171 # DEPENDENCYPART_ARC
(30,28),2.0552 # DEPENDENCYPART_ARC
(30,29),0.710028 # DEPENDENCYPART_ARC
(30,31),2.09639 # DEPENDENCYPART_ARC
(30,32),0.0835473 # DEPENDENCYPART_ARC
(31,23),-0.513345 # DEPENDENCYPART_ARC
(31,29),-0.255664 # DEPENDENCYPART_ARC
(31,30),0.0969631 # DEPENDENCYPART_ARC
(31,32),0.345659 # DEPENDENCYPART_ARC
(32,31),-3.1007 # DEPENDENCYPART_ARC
