# _root_ Dochovala se v podobě překrásného iluminovaného rukopisu , v němž jsou nejen popsány , ale i vyobrazeny scény ze středověkého městského dění .
#goldHeads=0,1,1,3,7,7,4,11,11,9,7,13,15,15,11,17,15,11,18,22,22,19,0,
#predictedHeads=0,1,1,3,7,7,4,11,13,9,13,13,15,15,1,17,15,17,18,22,22,19,0,
(4,5),-0.348886 # DEPENDENCYPART_ARC
(4,6),-1.10021 # DEPENDENCYPART_ARC
(4,7),2.10304 # DEPENDENCYPART_ARC
(4,8),-0.0276546 # DEPENDENCYPART_ARC
(4,9),-0.603462 # DEPENDENCYPART_ARC
(4,11),-0.382296 # DEPENDENCYPART_ARC
(4,12),-0.202648 # DEPENDENCYPART_ARC
(4,13),-0.891074 # DEPENDENCYPART_ARC
(4,15),-0.120607 # DEPENDENCYPART_ARC
(4,17),-3.07526 # DEPENDENCYPART_ARC
(5,2),-1.02779 # DEPENDENCYPART_ARC
(5,3),-0.245032 # DEPENDENCYPART_ARC
(5,4),-2.01569 # DEPENDENCYPART_ARC
(5,6),-2.38807 # DEPENDENCYPART_ARC
(5,7),0.157613 # DEPENDENCYPART_ARC
(5,8),-0.486511 # DEPENDENCYPART_ARC
(5,9),-0.755406 # DEPENDENCYPART_ARC
(5,15),-1.37909 # DEPENDENCYPART_ARC
(5,22),-3.74587 # DEPENDENCYPART_ARC
(6,2),-1.27226 # DEPENDENCYPART_ARC
(6,5),-0.953627 # DEPENDENCYPART_ARC
(7,1),-3.23881 # DEPENDENCYPART_ARC
(7,2),-2.18795 # DEPENDENCYPART_ARC
(7,3),-0.674806 # DEPENDENCYPART_ARC
(7,4),-2.59706 # DEPENDENCYPART_ARC
(7,5),4.78668 # DEPENDENCYPART_ARC
(7,6),5.23731 # DEPENDENCYPART_ARC
(7,8),-0.649769 # DEPENDENCYPART_ARC
(7,9),-0.833034 # DEPENDENCYPART_ARC
(7,11),0.240556 # DEPENDENCYPART_ARC
(7,12),-0.482453 # DEPENDENCYPART_ARC
(7,13),-0.222174 # DEPENDENCYPART_ARC
(7,15),-0.29861 # DEPENDENCYPART_ARC
(7,16),-1.47594 # DEPENDENCYPART_ARC
(7,17),-2.7525 # DEPENDENCYPART_ARC
(8,1),-0.206537 # DEPENDENCYPART_ARC
(8,3),0.110813 # DEPENDENCYPART_ARC
(8,4),-0.165062 # DEPENDENCYPART_ARC
(8,5),-0.272623 # DEPENDENCYPART_ARC
(8,6),-0.301253 # DEPENDENCYPART_ARC
(8,7),-0.619931 # DEPENDENCYPART_ARC
(8,9),0.234094 # DEPENDENCYPART_ARC
(8,11),0.518075 # DEPENDENCYPART_ARC
(8,12),-0.385819 # DEPENDENCYPART_ARC
(8,13),-0.595925 # DEPENDENCYPART_ARC
(8,14),-0.233166 # DEPENDENCYPART_ARC
(8,15),-0.215229 # DEPENDENCYPART_ARC
(8,16),-1.14822 # DEPENDENCYPART_ARC
(8,17),-1.78966 # DEPENDENCYPART_ARC
(9,8),-0.865392 # DEPENDENCYPART_ARC
(9,10),3.52141 # DEPENDENCYPART_ARC
(11,1),-1.77672 # DEPENDENCYPART_ARC
(11,2),-0.2598 # DEPENDENCYPART_ARC
(11,3),0.199997 # DEPENDENCYPART_ARC
(11,4),-1.3814 # DEPENDENCYPART_ARC
(11,5),-4.33126 # DEPENDENCYPART_ARC
(11,6),-3.87482 # DEPENDENCYPART_ARC
(11,7),-3.22225 # DEPENDENCYPART_ARC
(11,8),1.53878 # DEPENDENCYPART_ARC
(11,9),2.21842 # DEPENDENCYPART_ARC
(11,12),0.508914 # DEPENDENCYPART_ARC
(11,13),2.21388 # DEPENDENCYPART_ARC
(11,14),0.543433 # DEPENDENCYPART_ARC
(11,15),1.528 # DEPENDENCYPART_ARC
(11,16),-0.861995 # DEPENDENCYPART_ARC
(11,17),-1.19344 # DEPENDENCYPART_ARC
(11,18),-0.373256 # DEPENDENCYPART_ARC
(11,19),-0.903214 # DEPENDENCYPART_ARC
(11,20),-5.86513 # DEPENDENCYPART_ARC
(11,22),-3.10787 # DEPENDENCYPART_ARC
(11,23),-0.511077 # DEPENDENCYPART_ARC
(12,9),-0.809024 # DEPENDENCYPART_ARC
(12,11),-0.246472 # DEPENDENCYPART_ARC
(12,13),0.15666 # DEPENDENCYPART_ARC
(12,14),-0.876431 # DEPENDENCYPART_ARC
(12,17),-1.34468 # DEPENDENCYPART_ARC
(13,1),1.19523 # DEPENDENCYPART_ARC
(13,3),1.23599 # DEPENDENCYPART_ARC
(13,4),-0.997738 # DEPENDENCYPART_ARC
(13,5),-5.60746 # DEPENDENCYPART_ARC
(13,6),-5.53385 # DEPENDENCYPART_ARC
(13,7),-2.27542 # DEPENDENCYPART_ARC
(13,8),0.885519 # DEPENDENCYPART_ARC
(13,9),2.64093 # DEPENDENCYPART_ARC
(13,11),2.30314 # DEPENDENCYPART_ARC
(13,12),2.14404 # DEPENDENCYPART_ARC
(13,14),0.317687 # DEPENDENCYPART_ARC
(13,15),1.06758 # DEPENDENCYPART_ARC
(13,16),-0.534791 # DEPENDENCYPART_ARC
(13,18),-1.20318 # DEPENDENCYPART_ARC
(13,19),-1.10069 # DEPENDENCYPART_ARC
(13,22),-3.78557 # DEPENDENCYPART_ARC
(14,1),-1.30508 # DEPENDENCYPART_ARC
(14,12),-0.563432 # DEPENDENCYPART_ARC
(14,13),-0.764017 # DEPENDENCYPART_ARC
(14,16),-0.786339 # DEPENDENCYPART_ARC
(14,17),-1.13156 # DEPENDENCYPART_ARC
(14,18),-1.97043 # DEPENDENCYPART_ARC
(14,19),-1.56921 # DEPENDENCYPART_ARC
(15,1),0.330381 # DEPENDENCYPART_ARC
(15,2),0.101016 # DEPENDENCYPART_ARC
(15,3),-0.199243 # DEPENDENCYPART_ARC
(15,4),0.337658 # DEPENDENCYPART_ARC
(15,5),-0.717027 # DEPENDENCYPART_ARC
(15,6),-0.27433 # DEPENDENCYPART_ARC
(15,7),0.111009 # DEPENDENCYPART_ARC
(15,8),0.834067 # DEPENDENCYPART_ARC
(15,9),-0.0968342 # DEPENDENCYPART_ARC
(15,11),0.385131 # DEPENDENCYPART_ARC
(15,12),0.939951 # DEPENDENCYPART_ARC
(15,13),1.59046 # DEPENDENCYPART_ARC
(15,14),3.7254 # DEPENDENCYPART_ARC
(15,16),0.920712 # DEPENDENCYPART_ARC
(15,17),1.1846 # DEPENDENCYPART_ARC
(15,18),-0.212234 # DEPENDENCYPART_ARC
(15,19),0.00146376 # DEPENDENCYPART_ARC
(15,20),-0.366866 # DEPENDENCYPART_ARC
(15,21),-0.595991 # DEPENDENCYPART_ARC
(15,22),-0.316412 # DEPENDENCYPART_ARC
(15,23),-0.122252 # DEPENDENCYPART_ARC
(16,1),-2.0706 # DEPENDENCYPART_ARC
(16,2),-1.27222 # DEPENDENCYPART_ARC
(16,11),-1.32171 # DEPENDENCYPART_ARC
(16,12),-0.7889 # DEPENDENCYPART_ARC
(16,13),-1.30719 # DEPENDENCYPART_ARC
(16,14),0.886008 # DEPENDENCYPART_ARC
(16,15),0.0445321 # DEPENDENCYPART_ARC
(16,17),0.486194 # DEPENDENCYPART_ARC
(16,18),0.149952 # DEPENDENCYPART_ARC
(16,19),-0.603207 # DEPENDENCYPART_ARC
(16,20),-1.23198 # DEPENDENCYPART_ARC
(16,22),-1.67197 # DEPENDENCYPART_ARC
(16,23),-0.910263 # DEPENDENCYPART_ARC
(17,1),0.340145 # DEPENDENCYPART_ARC
(17,3),-0.392083 # DEPENDENCYPART_ARC
(17,4),-2.20172 # DEPENDENCYPART_ARC
(17,7),-3.60782 # DEPENDENCYPART_ARC
(17,8),-0.310365 # DEPENDENCYPART_ARC
(17,9),0.69375 # DEPENDENCYPART_ARC
(17,11),0.300811 # DEPENDENCYPART_ARC
(17,12),0.323675 # DEPENDENCYPART_ARC
(17,14),0.893717 # DEPENDENCYPART_ARC
(17,15),0.897031 # DEPENDENCYPART_ARC
(17,16),1.97111 # DEPENDENCYPART_ARC
(17,18),2.34532 # DEPENDENCYPART_ARC
(17,19),1.22297 # DEPENDENCYPART_ARC
(17,20),-2.77145 # DEPENDENCYPART_ARC
(17,22),-1.28176 # DEPENDENCYPART_ARC
(17,23),-0.54312 # DEPENDENCYPART_ARC
(18,16),0.953655 # DEPENDENCYPART_ARC
(18,17),0.153615 # DEPENDENCYPART_ARC
(18,19),2.0506 # DEPENDENCYPART_ARC
(18,20),-3.08272 # DEPENDENCYPART_ARC
(18,21),-3.17616 # DEPENDENCYPART_ARC
(18,22),0.223843 # DEPENDENCYPART_ARC
(18,23),-1.10166 # DEPENDENCYPART_ARC
(19,18),-2.0767 # DEPENDENCYPART_ARC
(19,20),1.20142 # DEPENDENCYPART_ARC
(19,21),0.890643 # DEPENDENCYPART_ARC
(19,22),3.06166 # DEPENDENCYPART_ARC
(19,23),-0.165138 # DEPENDENCYPART_ARC
(20,18),-3.62893 # DEPENDENCYPART_ARC
(20,19),-0.914183 # DEPENDENCYPART_ARC
(20,21),-2.10474 # DEPENDENCYPART_ARC
(20,22),-0.807219 # DEPENDENCYPART_ARC
(20,23),-0.477424 # DEPENDENCYPART_ARC
(21,20),-0.673601 # DEPENDENCYPART_ARC
(22,12),-0.369327 # DEPENDENCYPART_ARC
(22,16),0.0822696 # DEPENDENCYPART_ARC
(22,18),-4.87284 # DEPENDENCYPART_ARC
(22,19),-0.0306961 # DEPENDENCYPART_ARC
(22,20),5.02328 # DEPENDENCYPART_ARC
(22,21),5.00429 # DEPENDENCYPART_ARC
(22,23),0.32201 # DEPENDENCYPART_ARC
