# _root_ Do oblasti Plitvických jezer , kde působí náš prapor jako součást ochranných sil OSN , se začnou přesunovat autobusy 10 . října .
#goldHeads=17,1,4,2,7,7,2,9,7,11,9,13,11,13,7,18,0,17,17,22,20,17,0,
#predictedHeads=7,1,4,2,7,7,0,9,7,11,9,13,11,13,17,18,13,17,18,22,20,19,0,
(5,17),-1.7344 # DEPENDENCYPART_ARC
(6,1),-1.03685 # DEPENDENCYPART_ARC
(6,2),-0.515026 # DEPENDENCYPART_ARC
(6,3),-0.514595 # DEPENDENCYPART_ARC
(6,4),-0.44275 # DEPENDENCYPART_ARC
(6,5),-0.437181 # DEPENDENCYPART_ARC
(6,7),-0.324692 # DEPENDENCYPART_ARC
(6,9),-1.7475 # DEPENDENCYPART_ARC
(6,10),-0.0924484 # DEPENDENCYPART_ARC
(6,11),-2.29648 # DEPENDENCYPART_ARC
(7,1),0.201554 # DEPENDENCYPART_ARC
(7,2),-2.29057 # DEPENDENCYPART_ARC
(7,3),-4.21578 # DEPENDENCYPART_ARC
(7,4),-3.31046 # DEPENDENCYPART_ARC
(7,5),0.97685 # DEPENDENCYPART_ARC
(7,6),2.40032 # DEPENDENCYPART_ARC
(7,8),-0.0459413 # DEPENDENCYPART_ARC
(7,9),3.66663 # DEPENDENCYPART_ARC
(7,10),1.15752 # DEPENDENCYPART_ARC
(7,11),0.825494 # DEPENDENCYPART_ARC
(7,12),-4.24296 # DEPENDENCYPART_ARC
(7,13),-2.01882 # DEPENDENCYPART_ARC
(7,14),-1.54734 # DEPENDENCYPART_ARC
(7,15),0.465301 # DEPENDENCYPART_ARC
(7,17),-1.89507 # DEPENDENCYPART_ARC
(7,18),-0.418997 # DEPENDENCYPART_ARC
(7,19),-1.82489 # DEPENDENCYPART_ARC
(7,20),-0.591412 # DEPENDENCYPART_ARC
(7,21),-0.467796 # DEPENDENCYPART_ARC
(7,22),-3.86751 # DEPENDENCYPART_ARC
(7,23),-0.77683 # DEPENDENCYPART_ARC
(9,3),-5.95428 # DEPENDENCYPART_ARC
(9,4),-6.1671 # DEPENDENCYPART_ARC
(9,6),-1.63499 # DEPENDENCYPART_ARC
(9,8),2.86976 # DEPENDENCYPART_ARC
(9,10),-0.118146 # DEPENDENCYPART_ARC
(9,11),1.39454 # DEPENDENCYPART_ARC
(9,12),-3.66079 # DEPENDENCYPART_ARC
(9,13),1.14515 # DEPENDENCYPART_ARC
(9,14),0.0352034 # DEPENDENCYPART_ARC
(9,18),-1.66398 # DEPENDENCYPART_ARC
(10,4),-1.86487 # DEPENDENCYPART_ARC
(10,5),-1.22607 # DEPENDENCYPART_ARC
(10,6),-1.36494 # DEPENDENCYPART_ARC
(10,7),-1.81596 # DEPENDENCYPART_ARC
(10,9),1.06393 # DEPENDENCYPART_ARC
(10,11),2.31688 # DEPENDENCYPART_ARC
(10,12),-0.60782 # DEPENDENCYPART_ARC
(10,13),0.235739 # DEPENDENCYPART_ARC
(10,14),0.171682 # DEPENDENCYPART_ARC
(10,15),-0.302064 # DEPENDENCYPART_ARC
(10,17),-1.89237 # DEPENDENCYPART_ARC
(10,18),-2.0621 # DEPENDENCYPART_ARC
(10,19),-2.36797 # DEPENDENCYPART_ARC
(10,22),-2.08702 # DEPENDENCYPART_ARC
(11,6),-1.23968 # DEPENDENCYPART_ARC
(11,8),0.6363 # DEPENDENCYPART_ARC
(11,9),-1.69638 # DEPENDENCYPART_ARC
(11,10),2.22707 # DEPENDENCYPART_ARC
(11,12),-0.294369 # DEPENDENCYPART_ARC
(11,13),2.20303 # DEPENDENCYPART_ARC
(11,14),0.662757 # DEPENDENCYPART_ARC
(11,15),-0.760158 # DEPENDENCYPART_ARC
(11,17),-1.04277 # DEPENDENCYPART_ARC
(11,18),-0.486462 # DEPENDENCYPART_ARC
(11,20),-1.95113 # DEPENDENCYPART_ARC
(12,1),-1.85621 # DEPENDENCYPART_ARC
(12,11),-1.29761 # DEPENDENCYPART_ARC
(12,13),0.451106 # DEPENDENCYPART_ARC
(12,14),-0.31514 # DEPENDENCYPART_ARC
(13,8),-4.12972 # DEPENDENCYPART_ARC
(13,10),-0.354229 # DEPENDENCYPART_ARC
(13,12),4.02425 # DEPENDENCYPART_ARC
(13,14),2.76797 # DEPENDENCYPART_ARC
(13,15),-0.498072 # DEPENDENCYPART_ARC
(13,17),0.696655 # DEPENDENCYPART_ARC
(13,18),-0.444259 # DEPENDENCYPART_ARC
(13,19),-5.41624 # DEPENDENCYPART_ARC
(13,20),-1.5549 # DEPENDENCYPART_ARC
(13,21),-1.73199 # DEPENDENCYPART_ARC
(13,22),-2.37436 # DEPENDENCYPART_ARC
(14,8),-3.27437 # DEPENDENCYPART_ARC
(14,9),-4.33753 # DEPENDENCYPART_ARC
(14,11),-2.41465 # DEPENDENCYPART_ARC
(14,12),0.607127 # DEPENDENCYPART_ARC
(14,13),-2.92034 # DEPENDENCYPART_ARC
(14,15),-0.698373 # DEPENDENCYPART_ARC
(14,17),-1.21274 # DEPENDENCYPART_ARC
(14,18),-0.47546 # DEPENDENCYPART_ARC
(14,19),-5.12052 # DEPENDENCYPART_ARC
(14,20),-0.87658 # DEPENDENCYPART_ARC
(14,21),-0.840999 # DEPENDENCYPART_ARC
(14,22),-3.63005 # DEPENDENCYPART_ARC
(15,2),-1.07332 # DEPENDENCYPART_ARC
(15,5),-0.195862 # DEPENDENCYPART_ARC
(15,7),-0.0577182 # DEPENDENCYPART_ARC
(15,11),-0.197838 # DEPENDENCYPART_ARC
(15,12),-0.455793 # DEPENDENCYPART_ARC
(15,13),-0.158172 # DEPENDENCYPART_ARC
(15,14),-0.219763 # DEPENDENCYPART_ARC
(15,17),0.57284 # DEPENDENCYPART_ARC
(15,18),-0.102623 # DEPENDENCYPART_ARC
(15,19),-1.82145 # DEPENDENCYPART_ARC
(15,20),-1.63183 # DEPENDENCYPART_ARC
(15,21),-0.66848 # DEPENDENCYPART_ARC
(15,22),-1.83082 # DEPENDENCYPART_ARC
(15,23),-0.851706 # DEPENDENCYPART_ARC
(17,1),-2.23261 # DEPENDENCYPART_ARC
(17,2),-4.94851 # DEPENDENCYPART_ARC
(17,5),-0.708843 # DEPENDENCYPART_ARC
(17,6),0.5409 # DEPENDENCYPART_ARC
(17,7),-3.06713 # DEPENDENCYPART_ARC
(17,9),-1.24686 # DEPENDENCYPART_ARC
(17,11),-0.340694 # DEPENDENCYPART_ARC
(17,12),-4.60351 # DEPENDENCYPART_ARC
(17,13),-2.05947 # DEPENDENCYPART_ARC
(17,14),-3.22419 # DEPENDENCYPART_ARC
(17,15),1.70597 # DEPENDENCYPART_ARC
(17,16),3.03077 # DEPENDENCYPART_ARC
(17,18),3.43577 # DEPENDENCYPART_ARC
(17,19),2.16788 # DEPENDENCYPART_ARC
(17,20),0.164253 # DEPENDENCYPART_ARC
(17,21),-0.146122 # DEPENDENCYPART_ARC
(17,22),-1.49942 # DEPENDENCYPART_ARC
(17,23),-0.0716756 # DEPENDENCYPART_ARC
(18,1),-1.9535 # DEPENDENCYPART_ARC
(18,2),-3.4405 # DEPENDENCYPART_ARC
(18,4),-3.82058 # DEPENDENCYPART_ARC
(18,5),-0.875889 # DEPENDENCYPART_ARC
(18,7),-4.19402 # DEPENDENCYPART_ARC
(18,9),-1.68567 # DEPENDENCYPART_ARC
(18,11),-0.571891 # DEPENDENCYPART_ARC
(18,13),-1.49895 # DEPENDENCYPART_ARC
(18,14),-2.35949 # DEPENDENCYPART_ARC
(18,15),0.812061 # DEPENDENCYPART_ARC
(18,16),3.16317 # DEPENDENCYPART_ARC
(18,17),0.01303 # DEPENDENCYPART_ARC
(18,19),3.66908 # DEPENDENCYPART_ARC
(18,20),0.296766 # DEPENDENCYPART_ARC
(18,21),-0.10771 # DEPENDENCYPART_ARC
(18,22),-0.394499 # DEPENDENCYPART_ARC
(18,23),-0.70267 # DEPENDENCYPART_ARC
(19,16),-3.68878 # DEPENDENCYPART_ARC
(19,20),1.11311 # DEPENDENCYPART_ARC
(19,21),0.879656 # DEPENDENCYPART_ARC
(19,22),1.0779 # DEPENDENCYPART_ARC
(19,23),-0.738209 # DEPENDENCYPART_ARC
(20,15),-0.910788 # DEPENDENCYPART_ARC
(20,19),-0.457548 # DEPENDENCYPART_ARC
(20,21),2.68517 # DEPENDENCYPART_ARC
(20,22),-0.0971507 # DEPENDENCYPART_ARC
(20,23),-0.375218 # DEPENDENCYPART_ARC
(21,19),-0.613565 # DEPENDENCYPART_ARC
(21,20),-1.61215 # DEPENDENCYPART_ARC
(21,22),-0.929123 # DEPENDENCYPART_ARC
(21,23),-0.926838 # DEPENDENCYPART_ARC
(22,14),-1.89055 # DEPENDENCYPART_ARC
(22,16),-2.69404 # DEPENDENCYPART_ARC
(22,19),-2.75451 # DEPENDENCYPART_ARC
(22,20),2.67219 # DEPENDENCYPART_ARC
(22,21),0.983042 # DEPENDENCYPART_ARC
(22,23),0.523949 # DEPENDENCYPART_ARC
