# _root_ Jestliže však byla tak váhavá dokonce i země , která ostatní Evropany k unii před lety vyzvala a potom tlačila , neznamená to snad konec snu o integraci ?
#goldHeads=22,0,1,5,3,8,8,3,18,18,12,18,18,13,17,15,18,8,20,18,1,2,22,22,22,25,26,27,0,
#predictedHeads=22,3,1,5,3,8,8,3,1,17,12,17,17,13,14,15,18,1,20,18,1,0,22,22,22,25,26,27,0,
(2,21),0.976972 # DEPENDENCYPART_ARC
(2,22),-1.8628 # DEPENDENCYPART_ARC
(2,29),-0.897598 # DEPENDENCYPART_ARC
(3,1),0.481321 # DEPENDENCYPART_ARC
(3,2),1.47651 # DEPENDENCYPART_ARC
(3,4),0.979522 # DEPENDENCYPART_ARC
(3,5),1.99167 # DEPENDENCYPART_ARC
(3,6),0.165251 # DEPENDENCYPART_ARC
(3,7),-0.418095 # DEPENDENCYPART_ARC
(3,8),1.41922 # DEPENDENCYPART_ARC
(3,9),-0.26838 # DEPENDENCYPART_ARC
(3,11),-2.90217 # DEPENDENCYPART_ARC
(3,12),-0.390248 # DEPENDENCYPART_ARC
(3,13),-0.484081 # DEPENDENCYPART_ARC
(3,14),-0.888812 # DEPENDENCYPART_ARC
(3,15),-0.514807 # DEPENDENCYPART_ARC
(3,18),-0.183859 # DEPENDENCYPART_ARC
(3,19),-1.29923 # DEPENDENCYPART_ARC
(3,21),-0.759372 # DEPENDENCYPART_ARC
(3,24),-0.883944 # DEPENDENCYPART_ARC
(4,1),0.245745 # DEPENDENCYPART_ARC
(4,2),0.477786 # DEPENDENCYPART_ARC
(4,3),0.898258 # DEPENDENCYPART_ARC
(4,5),-0.190601 # DEPENDENCYPART_ARC
(4,6),-0.515875 # DEPENDENCYPART_ARC
(5,2),-0.169728 # DEPENDENCYPART_ARC
(5,4),2.18567 # DEPENDENCYPART_ARC
(5,6),0.471097 # DEPENDENCYPART_ARC
(5,7),0.185499 # DEPENDENCYPART_ARC
(5,8),-1.2548 # DEPENDENCYPART_ARC
(5,9),0.216463 # DEPENDENCYPART_ARC
(5,15),-0.714824 # DEPENDENCYPART_ARC
(5,21),-0.0149041 # DEPENDENCYPART_ARC
(6,4),0.287458 # DEPENDENCYPART_ARC
(6,5),-0.257353 # DEPENDENCYPART_ARC
(6,7),-0.377149 # DEPENDENCYPART_ARC
(6,8),-0.487103 # DEPENDENCYPART_ARC
(7,1),-0.527752 # DEPENDENCYPART_ARC
(7,2),-0.640921 # DEPENDENCYPART_ARC
(7,4),-0.437734 # DEPENDENCYPART_ARC
(7,5),0.130826 # DEPENDENCYPART_ARC
(7,6),0.0291439 # DEPENDENCYPART_ARC
(7,8),1.22409 # DEPENDENCYPART_ARC
(7,9),-0.731767 # DEPENDENCYPART_ARC
(7,10),-1.02484 # DEPENDENCYPART_ARC
(7,11),-1.06486 # DEPENDENCYPART_ARC
(7,12),-0.71965 # DEPENDENCYPART_ARC
(8,1),-0.951971 # DEPENDENCYPART_ARC
(8,4),-0.0756202 # DEPENDENCYPART_ARC
(8,5),1.39525 # DEPENDENCYPART_ARC
(8,6),1.65434 # DEPENDENCYPART_ARC
(8,7),2.32725 # DEPENDENCYPART_ARC
(8,9),-0.248681 # DEPENDENCYPART_ARC
(8,10),0.201075 # DEPENDENCYPART_ARC
(8,11),-1.80605 # DEPENDENCYPART_ARC
(8,12),-3.46056 # DEPENDENCYPART_ARC
(8,13),-0.040939 # DEPENDENCYPART_ARC
(8,15),-0.190017 # DEPENDENCYPART_ARC
(8,17),0.609083 # DEPENDENCYPART_ARC
(8,18),0.414595 # DEPENDENCYPART_ARC
(8,20),-1.45487 # DEPENDENCYPART_ARC
(9,3),-0.182721 # DEPENDENCYPART_ARC
(9,8),-0.708366 # DEPENDENCYPART_ARC
(9,11),-1.00975 # DEPENDENCYPART_ARC
(9,12),-0.861759 # DEPENDENCYPART_ARC
(9,17),-1.00769 # DEPENDENCYPART_ARC
(9,20),-1.63173 # DEPENDENCYPART_ARC
(10,11),-1.00789 # DEPENDENCYPART_ARC
(10,12),-1.81776 # DEPENDENCYPART_ARC
(10,14),-1.22577 # DEPENDENCYPART_ARC
(11,13),-0.133315 # DEPENDENCYPART_ARC
(12,5),-5.66236 # DEPENDENCYPART_ARC
(12,6),0.540609 # DEPENDENCYPART_ARC
(12,7),0.367241 # DEPENDENCYPART_ARC
(12,8),-7.02269 # DEPENDENCYPART_ARC
(12,10),-2.28962 # DEPENDENCYPART_ARC
(12,11),5.44633 # DEPENDENCYPART_ARC
(12,13),-0.147345 # DEPENDENCYPART_ARC
(12,14),-2.53949 # DEPENDENCYPART_ARC
(12,15),-0.274963 # DEPENDENCYPART_ARC
(13,12),-2.64999 # DEPENDENCYPART_ARC
(13,14),4.04531 # DEPENDENCYPART_ARC
(13,16),0.360989 # DEPENDENCYPART_ARC
(14,10),-1.20311 # DEPENDENCYPART_ARC
(14,11),-5.49049 # DEPENDENCYPART_ARC
(14,13),-0.852754 # DEPENDENCYPART_ARC
(14,15),1.66449 # DEPENDENCYPART_ARC
(14,16),-1.1753 # DEPENDENCYPART_ARC
(14,17),-0.799914 # DEPENDENCYPART_ARC
(14,18),-0.421704 # DEPENDENCYPART_ARC
(14,19),-0.646428 # DEPENDENCYPART_ARC
(14,20),-2.5251 # DEPENDENCYPART_ARC
(15,13),-1.03007 # DEPENDENCYPART_ARC
(15,14),0.524361 # DEPENDENCYPART_ARC
(15,16),6.23609 # DEPENDENCYPART_ARC
(15,19),-1.09513 # DEPENDENCYPART_ARC
(16,10),-3.50667 # DEPENDENCYPART_ARC
(16,14),-2.63804 # DEPENDENCYPART_ARC
(17,1),1.69228 # DEPENDENCYPART_ARC
(17,2),0.225497 # DEPENDENCYPART_ARC
(17,3),0.113242 # DEPENDENCYPART_ARC
(17,4),-0.287641 # DEPENDENCYPART_ARC
(17,5),-1.54005 # DEPENDENCYPART_ARC
(17,6),0.400553 # DEPENDENCYPART_ARC
(17,7),0.132993 # DEPENDENCYPART_ARC
(17,8),0.765624 # DEPENDENCYPART_ARC
(17,9),1.03411 # DEPENDENCYPART_ARC
(17,10),2.14354 # DEPENDENCYPART_ARC
(17,11),-2.8845 # DEPENDENCYPART_ARC
(17,12),0.576139 # DEPENDENCYPART_ARC
(17,13),0.944323 # DEPENDENCYPART_ARC
(17,14),1.79248 # DEPENDENCYPART_ARC
(17,15),1.64059 # DEPENDENCYPART_ARC
(17,16),1.09684 # DEPENDENCYPART_ARC
(17,18),-0.645188 # DEPENDENCYPART_ARC
(17,19),0.0551931 # DEPENDENCYPART_ARC
(17,20),-2.67631 # DEPENDENCYPART_ARC
(17,21),-0.335403 # DEPENDENCYPART_ARC
(17,22),-4.10491 # DEPENDENCYPART_ARC
(17,23),-1.97399 # DEPENDENCYPART_ARC
(17,24),-1.15633 # DEPENDENCYPART_ARC
(17,25),-1.29129 # DEPENDENCYPART_ARC
(17,26),-2.9658 # DEPENDENCYPART_ARC
(17,27),-2.28451 # DEPENDENCYPART_ARC
(18,1),0.678208 # DEPENDENCYPART_ARC
(18,2),-0.147843 # DEPENDENCYPART_ARC
(18,3),0.611372 # DEPENDENCYPART_ARC
(18,4),-0.474437 # DEPENDENCYPART_ARC
(18,6),0.122765 # DEPENDENCYPART_ARC
(18,7),-0.228576 # DEPENDENCYPART_ARC
(18,8),-0.057293 # DEPENDENCYPART_ARC
(18,9),1.12734 # DEPENDENCYPART_ARC
(18,10),1.3857 # DEPENDENCYPART_ARC
(18,11),-0.721934 # DEPENDENCYPART_ARC
(18,12),0.574753 # DEPENDENCYPART_ARC
(18,13),0.328152 # DEPENDENCYPART_ARC
(18,14),1.07251 # DEPENDENCYPART_ARC
(18,15),0.563493 # DEPENDENCYPART_ARC
(18,16),1.34945 # DEPENDENCYPART_ARC
(18,17),2.59867 # DEPENDENCYPART_ARC
(18,19),0.756331 # DEPENDENCYPART_ARC
(18,20),2.11878 # DEPENDENCYPART_ARC
(18,21),0.96109 # DEPENDENCYPART_ARC
(18,22),0.523871 # DEPENDENCYPART_ARC
(18,23),-1.25998 # DEPENDENCYPART_ARC
(18,24),-0.735939 # DEPENDENCYPART_ARC
(18,25),-1.69635 # DEPENDENCYPART_ARC
(18,26),-1.72344 # DEPENDENCYPART_ARC
(18,27),-1.06099 # DEPENDENCYPART_ARC
(18,29),-0.646085 # DEPENDENCYPART_ARC
(19,22),-1.66831 # DEPENDENCYPART_ARC
(20,1),1.73057 # DEPENDENCYPART_ARC
(20,2),0.596574 # DEPENDENCYPART_ARC
(20,3),-0.385691 # DEPENDENCYPART_ARC
(20,4),-0.737479 # DEPENDENCYPART_ARC
(20,5),-1.19598 # DEPENDENCYPART_ARC
(20,6),-0.118253 # DEPENDENCYPART_ARC
(20,7),0.136565 # DEPENDENCYPART_ARC
(20,8),1.27629 # DEPENDENCYPART_ARC
(20,9),0.704134 # DEPENDENCYPART_ARC
(20,10),1.50549 # DEPENDENCYPART_ARC
(20,11),-2.57835 # DEPENDENCYPART_ARC
(20,12),-0.127129 # DEPENDENCYPART_ARC
(20,13),0.12865 # DEPENDENCYPART_ARC
(20,14),1.25894 # DEPENDENCYPART_ARC
(20,15),0.581276 # DEPENDENCYPART_ARC
(20,16),0.243452 # DEPENDENCYPART_ARC
(20,17),-1.22863 # DEPENDENCYPART_ARC
(20,18),0.355567 # DEPENDENCYPART_ARC
(20,19),2.65868 # DEPENDENCYPART_ARC
(20,21),1.1525 # DEPENDENCYPART_ARC
(20,22),-2.08142 # DEPENDENCYPART_ARC
(20,23),-0.191004 # DEPENDENCYPART_ARC
(20,24),-0.281495 # DEPENDENCYPART_ARC
(20,25),-0.123116 # DEPENDENCYPART_ARC
(20,26),-2.33459 # DEPENDENCYPART_ARC
(20,27),-1.30034 # DEPENDENCYPART_ARC
(20,28),-2.99867 # DEPENDENCYPART_ARC
(20,29),-0.592785 # DEPENDENCYPART_ARC
(21,3),-0.209726 # DEPENDENCYPART_ARC
(21,15),-0.397915 # DEPENDENCYPART_ARC
(21,17),0.531303 # DEPENDENCYPART_ARC
(21,18),0.590255 # DEPENDENCYPART_ARC
(21,19),0.205436 # DEPENDENCYPART_ARC
(21,20),0.726578 # DEPENDENCYPART_ARC
(21,22),0.351236 # DEPENDENCYPART_ARC
(21,23),-0.589597 # DEPENDENCYPART_ARC
(21,24),-0.597173 # DEPENDENCYPART_ARC
(21,25),-1.79149 # DEPENDENCYPART_ARC
(21,26),-2.09676 # DEPENDENCYPART_ARC
(21,27),-1.02769 # DEPENDENCYPART_ARC
(22,1),2.18705 # DEPENDENCYPART_ARC
(22,2),0.98828 # DEPENDENCYPART_ARC
(22,3),-0.923702 # DEPENDENCYPART_ARC
(22,7),-1.01937 # DEPENDENCYPART_ARC
(22,8),0.156825 # DEPENDENCYPART_ARC
(22,10),-0.370551 # DEPENDENCYPART_ARC
(22,12),-1.83795 # DEPENDENCYPART_ARC
(22,13),-1.12824 # DEPENDENCYPART_ARC
(22,14),0.156027 # DEPENDENCYPART_ARC
(22,15),-1.44404 # DEPENDENCYPART_ARC
(22,17),-1.52091 # DEPENDENCYPART_ARC
(22,18),-0.0402773 # DEPENDENCYPART_ARC
(22,19),0.716476 # DEPENDENCYPART_ARC
(22,20),-0.718397 # DEPENDENCYPART_ARC
(22,21),0.0891492 # DEPENDENCYPART_ARC
(22,23),3.28456 # DEPENDENCYPART_ARC
(22,24),2.16412 # DEPENDENCYPART_ARC
(22,25),2.45147 # DEPENDENCYPART_ARC
(22,26),1.65217 # DEPENDENCYPART_ARC
(22,27),1.01518 # DEPENDENCYPART_ARC
(22,28),-0.127452 # DEPENDENCYPART_ARC
(22,29),1.01608 # DEPENDENCYPART_ARC
(23,19),-0.654562 # DEPENDENCYPART_ARC
(23,21),-0.657196 # DEPENDENCYPART_ARC
(23,22),-1.0426 # DEPENDENCYPART_ARC
(23,24),-0.467119 # DEPENDENCYPART_ARC
(23,25),-2.00861 # DEPENDENCYPART_ARC
(23,26),-1.74734 # DEPENDENCYPART_ARC
(23,27),-1.59853 # DEPENDENCYPART_ARC
(23,28),-1.59021 # DEPENDENCYPART_ARC
(24,19),-1.63288 # DEPENDENCYPART_ARC
(24,23),-0.593474 # DEPENDENCYPART_ARC
(24,25),-0.820262 # DEPENDENCYPART_ARC
(24,26),-1.38579 # DEPENDENCYPART_ARC
(24,27),-1.78609 # DEPENDENCYPART_ARC
(24,28),-2.46704 # DEPENDENCYPART_ARC
(25,23),-1.82025 # DEPENDENCYPART_ARC
(25,24),1.01617 # DEPENDENCYPART_ARC
(25,26),4.28707 # DEPENDENCYPART_ARC
(25,27),1.39923 # DEPENDENCYPART_ARC
(25,28),0.0947522 # DEPENDENCYPART_ARC
(25,29),-0.335457 # DEPENDENCYPART_ARC
(26,23),-1.72864 # DEPENDENCYPART_ARC
(26,24),0.508984 # DEPENDENCYPART_ARC
(26,25),-0.426503 # DEPENDENCYPART_ARC
(26,27),1.76359 # DEPENDENCYPART_ARC
(26,28),-1.30163 # DEPENDENCYPART_ARC
(26,29),-0.556773 # DEPENDENCYPART_ARC
(27,25),-2.05886 # DEPENDENCYPART_ARC
(27,26),-1.52522 # DEPENDENCYPART_ARC
(27,28),3.88169 # DEPENDENCYPART_ARC
(27,29),-0.331044 # DEPENDENCYPART_ARC
(28,23),-2.10557 # DEPENDENCYPART_ARC
(28,24),-0.804022 # DEPENDENCYPART_ARC
(28,25),-1.64378 # DEPENDENCYPART_ARC
(28,26),-1.81833 # DEPENDENCYPART_ARC
(28,27),0.195475 # DEPENDENCYPART_ARC
(28,29),-0.285448 # DEPENDENCYPART_ARC
(29,22),-3.17273 # DEPENDENCYPART_ARC
(29,23),-3.14632 # DEPENDENCYPART_ARC
(29,28),-2.13288 # DEPENDENCYPART_ARC
