# _root_ Náš brankář Hnilička inteligentní není a přesně to , co navrhoval agent Winter Hrbkovi , udělal .
#goldHeads=2,3,6,5,6,0,8,16,11,11,8,13,11,11,11,6,0,
#predictedHeads=2,3,5,3,6,8,11,16,11,11,8,13,11,11,11,0,0,
(8,17),0.233872 # DEPENDENCYPART_ARC
(9,2),-0.96397 # DEPENDENCYPART_ARC
(9,3),-1.00118 # DEPENDENCYPART_ARC
(9,4),-1.29077 # DEPENDENCYPART_ARC
(9,5),0.183518 # DEPENDENCYPART_ARC
(9,6),-0.254037 # DEPENDENCYPART_ARC
(9,7),-0.767528 # DEPENDENCYPART_ARC
(9,8),-0.228905 # DEPENDENCYPART_ARC
(9,10),0.0351887 # DEPENDENCYPART_ARC
(9,11),0.488483 # DEPENDENCYPART_ARC
(9,12),-1.17375 # DEPENDENCYPART_ARC
(9,13),-1.37453 # DEPENDENCYPART_ARC
(9,14),-1.49346 # DEPENDENCYPART_ARC
(9,15),-0.23995 # DEPENDENCYPART_ARC
(9,16),-0.831089 # DEPENDENCYPART_ARC
(10,9),0.195808 # DEPENDENCYPART_ARC
(10,11),-0.909307 # DEPENDENCYPART_ARC
(10,12),-0.468112 # DEPENDENCYPART_ARC
(10,13),-0.554524 # DEPENDENCYPART_ARC
(10,14),-0.322889 # DEPENDENCYPART_ARC
(11,2),-0.285584 # DEPENDENCYPART_ARC
(11,3),-0.540245 # DEPENDENCYPART_ARC
(11,4),-0.20186 # DEPENDENCYPART_ARC
(11,5),-1.81343 # DEPENDENCYPART_ARC
(11,6),-0.806146 # DEPENDENCYPART_ARC
(11,7),1.20839 # DEPENDENCYPART_ARC
(11,8),0.229348 # DEPENDENCYPART_ARC
(11,9),2.42624 # DEPENDENCYPART_ARC
(11,10),3.00948 # DEPENDENCYPART_ARC
(11,12),3.17007 # DEPENDENCYPART_ARC
(11,13),2.84084 # DEPENDENCYPART_ARC
(11,14),2.4405 # DEPENDENCYPART_ARC
(11,15),1.55996 # DEPENDENCYPART_ARC
(11,16),-1.98368 # DEPENDENCYPART_ARC
(11,17),-0.342224 # DEPENDENCYPART_ARC
(12,7),-1.32592 # DEPENDENCYPART_ARC
(12,13),1.31296 # DEPENDENCYPART_ARC
(12,14),-0.584543 # DEPENDENCYPART_ARC
(12,15),-0.537425 # DEPENDENCYPART_ARC
(12,16),-1.2855 # DEPENDENCYPART_ARC
(13,12),4.52888 # DEPENDENCYPART_ARC
(13,14),-0.0460629 # DEPENDENCYPART_ARC
(13,15),-0.225604 # DEPENDENCYPART_ARC
(13,16),-0.701693 # DEPENDENCYPART_ARC
(13,17),-0.682438 # DEPENDENCYPART_ARC
(14,3),-1.80146 # DEPENDENCYPART_ARC
(14,12),3.61822 # DEPENDENCYPART_ARC
(14,13),2.0305 # DEPENDENCYPART_ARC
(14,15),-0.61863 # DEPENDENCYPART_ARC
(14,16),-0.840263 # DEPENDENCYPART_ARC
(14,17),-0.649361 # DEPENDENCYPART_ARC
(15,2),-1.09593 # DEPENDENCYPART_ARC
(15,4),-1.96215 # DEPENDENCYPART_ARC
(15,5),0.112803 # DEPENDENCYPART_ARC
(15,6),0.00473573 # DEPENDENCYPART_ARC
(15,8),-0.192993 # DEPENDENCYPART_ARC
(15,9),0.494891 # DEPENDENCYPART_ARC
(15,11),0.400734 # DEPENDENCYPART_ARC
(15,12),0.876836 # DEPENDENCYPART_ARC
(15,13),0.337835 # DEPENDENCYPART_ARC
(15,14),0.0394872 # DEPENDENCYPART_ARC
(15,16),0.0295079 # DEPENDENCYPART_ARC
(15,17),-0.325899 # DEPENDENCYPART_ARC
(16,2),-0.00123981 # DEPENDENCYPART_ARC
(16,3),0.280252 # DEPENDENCYPART_ARC
(16,4),-0.765569 # DEPENDENCYPART_ARC
(16,5),-1.75921 # DEPENDENCYPART_ARC
(16,6),-0.132017 # DEPENDENCYPART_ARC
(16,7),0.0932898 # DEPENDENCYPART_ARC
(16,8),-0.0152325 # DEPENDENCYPART_ARC
(16,9),0.789022 # DEPENDENCYPART_ARC
(16,10),1.18291 # DEPENDENCYPART_ARC
(16,11),-0.623353 # DEPENDENCYPART_ARC
(16,12),1.23724 # DEPENDENCYPART_ARC
(16,13),2.1501 # DEPENDENCYPART_ARC
(16,14),1.76357 # DEPENDENCYPART_ARC
(16,15),0.778811 # DEPENDENCYPART_ARC
(16,17),0.136912 # DEPENDENCYPART_ARC
