# _root_ Psaní je pro mne paralelní život - i když hlubší než můj život veřejný , a navíc si myslím , že být spisovatelem z povolání je nebezpečné . . .
#goldHeads=2,16,2,3,6,2,9,9,5,9,10,13,11,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
#predictedHeads=2,16,2,3,6,2,9,9,2,9,10,13,16,13,16,0,19,19,16,21,19,26,22,23,24,21,26,0,0,0,
(7,2),-0.386862 # DEPENDENCYPART_ARC
(7,3),-0.374122 # DEPENDENCYPART_ARC
(7,4),0.115985 # DEPENDENCYPART_ARC
(7,5),-0.342511 # DEPENDENCYPART_ARC
(7,6),0.309337 # DEPENDENCYPART_ARC
(7,8),0.764622 # DEPENDENCYPART_ARC
(7,9),0.0159792 # DEPENDENCYPART_ARC
(7,10),-0.236252 # DEPENDENCYPART_ARC
(7,11),0.0973378 # DEPENDENCYPART_ARC
(7,14),-0.947381 # DEPENDENCYPART_ARC
(7,16),-0.529616 # DEPENDENCYPART_ARC
(8,1),-1.09631 # DEPENDENCYPART_ARC
(8,2),-1.71335 # DEPENDENCYPART_ARC
(8,3),-0.268564 # DEPENDENCYPART_ARC
(8,4),-0.18345 # DEPENDENCYPART_ARC
(8,5),-0.076883 # DEPENDENCYPART_ARC
(8,6),0.418576 # DEPENDENCYPART_ARC
(8,7),0.439501 # DEPENDENCYPART_ARC
(8,9),-0.190949 # DEPENDENCYPART_ARC
(8,10),0.17566 # DEPENDENCYPART_ARC
(8,11),-0.263371 # DEPENDENCYPART_ARC
(8,13),-0.520035 # DEPENDENCYPART_ARC
(8,14),-1.42363 # DEPENDENCYPART_ARC
(8,15),-0.354144 # DEPENDENCYPART_ARC
(8,16),-0.637855 # DEPENDENCYPART_ARC
(8,19),-1.64778 # DEPENDENCYPART_ARC
(8,20),-1.22815 # DEPENDENCYPART_ARC
(9,2),-1.87711 # DEPENDENCYPART_ARC
(9,6),0.146974 # DEPENDENCYPART_ARC
(9,7),1.02959 # DEPENDENCYPART_ARC
(9,8),2.40307 # DEPENDENCYPART_ARC
(9,10),1.63379 # DEPENDENCYPART_ARC
(9,11),0.692711 # DEPENDENCYPART_ARC
(9,13),-1.13758 # DEPENDENCYPART_ARC
(9,15),1.32207 # DEPENDENCYPART_ARC
(9,16),-0.126452 # DEPENDENCYPART_ARC
(9,17),-1.15974 # DEPENDENCYPART_ARC
(9,19),0.286227 # DEPENDENCYPART_ARC
(9,20),0.427526 # DEPENDENCYPART_ARC
(9,21),-2.04813 # DEPENDENCYPART_ARC
(9,22),-2.11395 # DEPENDENCYPART_ARC
(9,26),-1.80654 # DEPENDENCYPART_ARC
(9,29),-2.1092 # DEPENDENCYPART_ARC
(10,4),-2.78513 # DEPENDENCYPART_ARC
(10,8),-1.21299 # DEPENDENCYPART_ARC
(10,9),-0.502157 # DEPENDENCYPART_ARC
(10,11),1.96141 # DEPENDENCYPART_ARC
(10,13),-2.6413 # DEPENDENCYPART_ARC
(11,2),-1.79697 # DEPENDENCYPART_ARC
(11,7),-0.803036 # DEPENDENCYPART_ARC
(11,10),-0.76751 # DEPENDENCYPART_ARC
(11,13),1.35003 # DEPENDENCYPART_ARC
(11,14),0.507803 # DEPENDENCYPART_ARC
(11,15),0.0138539 # DEPENDENCYPART_ARC
(11,16),-0.0369585 # DEPENDENCYPART_ARC
(11,17),-0.600291 # DEPENDENCYPART_ARC
(11,19),-0.189685 # DEPENDENCYPART_ARC
(11,20),-0.432172 # DEPENDENCYPART_ARC
(11,21),-1.65723 # DEPENDENCYPART_ARC
(11,22),-2.40067 # DEPENDENCYPART_ARC
(13,4),-4.22276 # DEPENDENCYPART_ARC
(13,8),-0.444215 # DEPENDENCYPART_ARC
(13,10),-0.194657 # DEPENDENCYPART_ARC
(13,11),-0.152274 # DEPENDENCYPART_ARC
(13,12),3.84408 # DEPENDENCYPART_ARC
(13,14),1.98501 # DEPENDENCYPART_ARC
(13,15),-0.44035 # DEPENDENCYPART_ARC
(13,16),0.1996 # DEPENDENCYPART_ARC
(13,17),-0.27347 # DEPENDENCYPART_ARC
(13,19),-0.194875 # DEPENDENCYPART_ARC
(13,20),-0.378896 # DEPENDENCYPART_ARC
(13,21),-1.34545 # DEPENDENCYPART_ARC
(13,22),-2.00698 # DEPENDENCYPART_ARC
(13,23),-4.15667 # DEPENDENCYPART_ARC
(14,3),-0.324491 # DEPENDENCYPART_ARC
(14,5),-1.88866 # DEPENDENCYPART_ARC
(14,10),-1.00179 # DEPENDENCYPART_ARC
(14,11),0.209863 # DEPENDENCYPART_ARC
(14,12),-0.0547236 # DEPENDENCYPART_ARC
(14,13),0.416213 # DEPENDENCYPART_ARC
(14,15),0.0838274 # DEPENDENCYPART_ARC
(14,16),0.208228 # DEPENDENCYPART_ARC
(14,17),-0.248382 # DEPENDENCYPART_ARC
(14,19),-1.00459 # DEPENDENCYPART_ARC
(14,21),-0.732253 # DEPENDENCYPART_ARC
(14,24),-1.62947 # DEPENDENCYPART_ARC
(15,2),-0.41658 # DEPENDENCYPART_ARC
(15,12),-0.341753 # DEPENDENCYPART_ARC
(15,13),-0.528801 # DEPENDENCYPART_ARC
(15,14),-0.343067 # DEPENDENCYPART_ARC
(15,19),-1.36812 # DEPENDENCYPART_ARC
(16,1),0.086683 # DEPENDENCYPART_ARC
(16,2),1.84275 # DEPENDENCYPART_ARC
(16,3),-0.572821 # DEPENDENCYPART_ARC
(16,4),-0.179882 # DEPENDENCYPART_ARC
(16,5),-0.386926 # DEPENDENCYPART_ARC
(16,6),0.208324 # DEPENDENCYPART_ARC
(16,7),0.411732 # DEPENDENCYPART_ARC
(16,8),-0.232689 # DEPENDENCYPART_ARC
(16,9),0.104098 # DEPENDENCYPART_ARC
(16,10),0.620782 # DEPENDENCYPART_ARC
(16,11),0.337058 # DEPENDENCYPART_ARC
(16,12),0.894968 # DEPENDENCYPART_ARC
(16,13),1.70707 # DEPENDENCYPART_ARC
(16,14),1.92035 # DEPENDENCYPART_ARC
(16,15),2.4217 # DEPENDENCYPART_ARC
(16,17),0.865363 # DEPENDENCYPART_ARC
(16,18),0.0880353 # DEPENDENCYPART_ARC
(16,19),2.31572 # DEPENDENCYPART_ARC
(16,20),0.829051 # DEPENDENCYPART_ARC
(16,21),0.279384 # DEPENDENCYPART_ARC
(16,22),-0.278194 # DEPENDENCYPART_ARC
(16,23),-2.0593 # DEPENDENCYPART_ARC
(16,24),-0.857593 # DEPENDENCYPART_ARC
(16,26),-0.195546 # DEPENDENCYPART_ARC
(16,27),-1.59976 # DEPENDENCYPART_ARC
(16,28),-0.40252 # DEPENDENCYPART_ARC
(16,29),-0.266962 # DEPENDENCYPART_ARC
(16,30),-0.586128 # DEPENDENCYPART_ARC
(17,21),-1.6008 # DEPENDENCYPART_ARC
(19,1),-2.49156 # DEPENDENCYPART_ARC
(19,2),-3.17229 # DEPENDENCYPART_ARC
(19,3),-1.74555 # DEPENDENCYPART_ARC
(19,7),-0.675402 # DEPENDENCYPART_ARC
(19,9),-0.347088 # DEPENDENCYPART_ARC
(19,10),-1.56453 # DEPENDENCYPART_ARC
(19,11),-0.625138 # DEPENDENCYPART_ARC
(19,13),-0.614093 # DEPENDENCYPART_ARC
(19,14),-2.09976 # DEPENDENCYPART_ARC
(19,15),0.224399 # DEPENDENCYPART_ARC
(19,16),-0.177273 # DEPENDENCYPART_ARC
(19,17),2.46948 # DEPENDENCYPART_ARC
(19,18),3.29074 # DEPENDENCYPART_ARC
(19,20),0.998744 # DEPENDENCYPART_ARC
(19,21),2.20464 # DEPENDENCYPART_ARC
(19,22),0.332252 # DEPENDENCYPART_ARC
(19,23),-1.27286 # DEPENDENCYPART_ARC
(19,24),-1.24143 # DEPENDENCYPART_ARC
(19,26),-2.75086 # DEPENDENCYPART_ARC
(19,27),-2.23892 # DEPENDENCYPART_ARC
(19,28),-0.343022 # DEPENDENCYPART_ARC
(19,29),-0.354096 # DEPENDENCYPART_ARC
(20,2),-1.05091 # DEPENDENCYPART_ARC
(20,18),-0.410534 # DEPENDENCYPART_ARC
(20,22),-0.748233 # DEPENDENCYPART_ARC
(21,15),-0.224021 # DEPENDENCYPART_ARC
(21,17),-0.942174 # DEPENDENCYPART_ARC
(21,19),-0.707909 # DEPENDENCYPART_ARC
(21,20),2.85052 # DEPENDENCYPART_ARC
(21,22),2.59531 # DEPENDENCYPART_ARC
(21,23),-1.15366 # DEPENDENCYPART_ARC
(21,24),-0.951753 # DEPENDENCYPART_ARC
(21,26),1.58394 # DEPENDENCYPART_ARC
(21,28),-0.0201113 # DEPENDENCYPART_ARC
(21,29),0.321383 # DEPENDENCYPART_ARC
(21,30),0.171889 # DEPENDENCYPART_ARC
(22,17),-1.00442 # DEPENDENCYPART_ARC
(22,18),0.21708 # DEPENDENCYPART_ARC
(22,23),2.76673 # DEPENDENCYPART_ARC
(22,24),0.978369 # DEPENDENCYPART_ARC
(22,25),-1.21943 # DEPENDENCYPART_ARC
(22,26),-1.22336 # DEPENDENCYPART_ARC
(22,27),1.39633 # DEPENDENCYPART_ARC
(22,28),-0.91632 # DEPENDENCYPART_ARC
(22,29),-1.03415 # DEPENDENCYPART_ARC
(23,18),-5.08079 # DEPENDENCYPART_ARC
(23,22),-0.604809 # DEPENDENCYPART_ARC
(23,24),1.95024 # DEPENDENCYPART_ARC
(23,25),1.1531 # DEPENDENCYPART_ARC
(23,26),-1.08233 # DEPENDENCYPART_ARC
(23,27),-2.79272 # DEPENDENCYPART_ARC
(23,28),-1.03382 # DEPENDENCYPART_ARC
(23,29),-1.5284 # DEPENDENCYPART_ARC
(24,23),-1.52403 # DEPENDENCYPART_ARC
(24,25),5.3186 # DEPENDENCYPART_ARC
(24,27),-2.27612 # DEPENDENCYPART_ARC
(25,23),-2.41441 # DEPENDENCYPART_ARC
(25,24),0.760552 # DEPENDENCYPART_ARC
(25,26),-0.808893 # DEPENDENCYPART_ARC
(25,27),-1.92931 # DEPENDENCYPART_ARC
(25,28),-0.556772 # DEPENDENCYPART_ARC
(26,1),-0.860493 # DEPENDENCYPART_ARC
(26,9),0.0882076 # DEPENDENCYPART_ARC
(26,11),-0.532743 # DEPENDENCYPART_ARC
(26,13),0.0872166 # DEPENDENCYPART_ARC
(26,14),-1.60545 # DEPENDENCYPART_ARC
(26,17),0.837649 # DEPENDENCYPART_ARC
(26,18),0.264754 # DEPENDENCYPART_ARC
(26,20),-1.00658 # DEPENDENCYPART_ARC
(26,21),-0.888366 # DEPENDENCYPART_ARC
(26,22),2.90523 # DEPENDENCYPART_ARC
(26,23),1.64332 # DEPENDENCYPART_ARC
(26,24),0.0530859 # DEPENDENCYPART_ARC
(26,25),-0.875554 # DEPENDENCYPART_ARC
(26,27),4.31223 # DEPENDENCYPART_ARC
(26,28),-0.22108 # DEPENDENCYPART_ARC
(26,29),-0.0240741 # DEPENDENCYPART_ARC
(26,30),-0.464009 # DEPENDENCYPART_ARC
(27,23),-0.715059 # DEPENDENCYPART_ARC
(27,24),0.282474 # DEPENDENCYPART_ARC
(27,25),-2.23744 # DEPENDENCYPART_ARC
(27,28),0.420437 # DEPENDENCYPART_ARC
(27,29),-0.461966 # DEPENDENCYPART_ARC
(27,30),-1.07953 # DEPENDENCYPART_ARC
(28,26),-2.25753 # DEPENDENCYPART_ARC
(28,27),-0.360443 # DEPENDENCYPART_ARC
(28,29),-0.573112 # DEPENDENCYPART_ARC
(29,21),-2.69991 # DEPENDENCYPART_ARC
(29,23),-2.1317 # DEPENDENCYPART_ARC
(29,24),-2.37855 # DEPENDENCYPART_ARC
(29,26),-2.04528 # DEPENDENCYPART_ARC
(29,27),-1.41968 # DEPENDENCYPART_ARC
(29,28),-0.482439 # DEPENDENCYPART_ARC
