# _root_ Tím , že Schumpeter opouští abstraktní schéma tržní ekonomiky a zkoumá kapitalistický systém , je blíž klasické škole a Marxovi než Marshallovi a Walrasovi .
#goldHeads=15,3,1,10,10,7,5,9,7,3,10,13,11,3,0,15,18,19,16,19,16,23,21,23,0,
#predictedHeads=19,3,1,5,10,7,5,9,7,3,10,13,11,11,0,15,18,19,15,19,16,21,21,23,0,
(7,10),0.55404 # DEPENDENCYPART_ARC
(7,11),-1.0732 # DEPENDENCYPART_ARC
(7,12),-0.378183 # DEPENDENCYPART_ARC
(7,13),-0.673233 # DEPENDENCYPART_ARC
(7,17),-2.97603 # DEPENDENCYPART_ARC
(7,19),-0.279893 # DEPENDENCYPART_ARC
(8,6),-2.55747 # DEPENDENCYPART_ARC
(8,7),-1.33155 # DEPENDENCYPART_ARC
(8,9),0.337311 # DEPENDENCYPART_ARC
(8,10),-0.0271412 # DEPENDENCYPART_ARC
(8,13),-2.86409 # DEPENDENCYPART_ARC
(8,21),0.307646 # DEPENDENCYPART_ARC
(9,4),-2.01792 # DEPENDENCYPART_ARC
(9,6),-1.01495 # DEPENDENCYPART_ARC
(9,7),-1.86773 # DEPENDENCYPART_ARC
(9,8),5.19618 # DEPENDENCYPART_ARC
(10,1),0.735803 # DEPENDENCYPART_ARC
(10,2),0.899346 # DEPENDENCYPART_ARC
(10,3),0.129556 # DEPENDENCYPART_ARC
(10,4),1.81287 # DEPENDENCYPART_ARC
(10,5),2.74971 # DEPENDENCYPART_ARC
(10,6),0.239285 # DEPENDENCYPART_ARC
(10,7),1.33731 # DEPENDENCYPART_ARC
(10,8),0.524132 # DEPENDENCYPART_ARC
(10,9),0.0862064 # DEPENDENCYPART_ARC
(10,11),2.35049 # DEPENDENCYPART_ARC
(10,12),0.121803 # DEPENDENCYPART_ARC
(10,13),0.887678 # DEPENDENCYPART_ARC
(10,14),0.719892 # DEPENDENCYPART_ARC
(10,15),-0.885614 # DEPENDENCYPART_ARC
(10,16),-1.06072 # DEPENDENCYPART_ARC
(10,17),-1.8182 # DEPENDENCYPART_ARC
(10,18),-0.522898 # DEPENDENCYPART_ARC
(10,20),-1.09164 # DEPENDENCYPART_ARC
(10,22),-1.618 # DEPENDENCYPART_ARC
(10,23),-1.43079 # DEPENDENCYPART_ARC
(11,1),-1.63089 # DEPENDENCYPART_ARC
(11,4),0.195222 # DEPENDENCYPART_ARC
(11,7),-0.891321 # DEPENDENCYPART_ARC
(11,8),-3.94038 # DEPENDENCYPART_ARC
(11,9),-2.34234 # DEPENDENCYPART_ARC
(11,10),0.251043 # DEPENDENCYPART_ARC
(11,12),-0.385009 # DEPENDENCYPART_ARC
(11,13),3.32164 # DEPENDENCYPART_ARC
(11,14),0.920257 # DEPENDENCYPART_ARC
(11,15),-1.08672 # DEPENDENCYPART_ARC
(11,16),0.0278902 # DEPENDENCYPART_ARC
(11,17),-2.8503 # DEPENDENCYPART_ARC
(11,18),0.258967 # DEPENDENCYPART_ARC
(11,19),0.41506 # DEPENDENCYPART_ARC
(11,20),-1.11952 # DEPENDENCYPART_ARC
(11,21),-0.506686 # DEPENDENCYPART_ARC
(11,22),-2.56834 # DEPENDENCYPART_ARC
(11,23),-0.257359 # DEPENDENCYPART_ARC
(11,24),-2.14534 # DEPENDENCYPART_ARC
(12,21),0.420376 # DEPENDENCYPART_ARC
(13,6),0.251386 # DEPENDENCYPART_ARC
(13,8),-0.845525 # DEPENDENCYPART_ARC
(13,11),-0.815761 # DEPENDENCYPART_ARC
(13,12),5.35591 # DEPENDENCYPART_ARC
(13,14),-0.349397 # DEPENDENCYPART_ARC
(13,15),-1.06375 # DEPENDENCYPART_ARC
(13,16),-1.31445 # DEPENDENCYPART_ARC
(13,17),-2.74392 # DEPENDENCYPART_ARC
(13,18),-1.86508 # DEPENDENCYPART_ARC
(13,19),-0.546952 # DEPENDENCYPART_ARC
(14,2),-0.468437 # DEPENDENCYPART_ARC
(14,3),-0.277072 # DEPENDENCYPART_ARC
(14,5),0.167132 # DEPENDENCYPART_ARC
(14,7),-0.53105 # DEPENDENCYPART_ARC
(14,8),-0.85187 # DEPENDENCYPART_ARC
(14,9),-0.184756 # DEPENDENCYPART_ARC
(14,10),0.093909 # DEPENDENCYPART_ARC
(14,11),0.648201 # DEPENDENCYPART_ARC
(14,12),-0.00625782 # DEPENDENCYPART_ARC
(14,13),-0.175455 # DEPENDENCYPART_ARC
(14,15),-0.0547022 # DEPENDENCYPART_ARC
(14,16),-0.576161 # DEPENDENCYPART_ARC
(14,17),-1.10999 # DEPENDENCYPART_ARC
(14,19),-0.576482 # DEPENDENCYPART_ARC
(14,23),-1.03954 # DEPENDENCYPART_ARC
(15,1),-0.349288 # DEPENDENCYPART_ARC
(15,3),-1.25743 # DEPENDENCYPART_ARC
(15,4),0.851062 # DEPENDENCYPART_ARC
(15,5),-1.66649 # DEPENDENCYPART_ARC
(15,6),-3.48003 # DEPENDENCYPART_ARC
(15,7),-0.29081 # DEPENDENCYPART_ARC
(15,8),-3.95299 # DEPENDENCYPART_ARC
(15,9),-2.24598 # DEPENDENCYPART_ARC
(15,10),0.0766993 # DEPENDENCYPART_ARC
(15,11),-0.289762 # DEPENDENCYPART_ARC
(15,12),-2.2423 # DEPENDENCYPART_ARC
(15,13),0.616316 # DEPENDENCYPART_ARC
(15,14),0.0953481 # DEPENDENCYPART_ARC
(15,16),2.32015 # DEPENDENCYPART_ARC
(15,17),0.915018 # DEPENDENCYPART_ARC
(15,18),2.00127 # DEPENDENCYPART_ARC
(15,19),0.867037 # DEPENDENCYPART_ARC
(15,20),0.52488 # DEPENDENCYPART_ARC
(15,21),0.132236 # DEPENDENCYPART_ARC
(15,22),-1.74225 # DEPENDENCYPART_ARC
(15,23),0.189932 # DEPENDENCYPART_ARC
(15,24),-1.31157 # DEPENDENCYPART_ARC
(15,25),0.154945 # DEPENDENCYPART_ARC
(16,13),-0.716308 # DEPENDENCYPART_ARC
(16,17),-0.966785 # DEPENDENCYPART_ARC
(16,18),-0.216927 # DEPENDENCYPART_ARC
(16,19),0.425936 # DEPENDENCYPART_ARC
(16,20),-1.49846 # DEPENDENCYPART_ARC
(16,21),1.50671 # DEPENDENCYPART_ARC
(16,22),-2.13431 # DEPENDENCYPART_ARC
(16,24),-2.45825 # DEPENDENCYPART_ARC
(17,14),-0.979669 # DEPENDENCYPART_ARC
(17,15),-2.85739 # DEPENDENCYPART_ARC
(17,16),1.32399 # DEPENDENCYPART_ARC
(17,18),0.162234 # DEPENDENCYPART_ARC
(17,20),-0.329135 # DEPENDENCYPART_ARC
(17,21),0.813365 # DEPENDENCYPART_ARC
(18,12),-3.86264 # DEPENDENCYPART_ARC
(18,16),-0.694186 # DEPENDENCYPART_ARC
(18,17),2.92824 # DEPENDENCYPART_ARC
(18,20),-0.862798 # DEPENDENCYPART_ARC
(18,22),-1.48291 # DEPENDENCYPART_ARC
(19,1),0.188447 # DEPENDENCYPART_ARC
(19,2),-0.0996028 # DEPENDENCYPART_ARC
(19,3),0.144015 # DEPENDENCYPART_ARC
(19,4),-0.303805 # DEPENDENCYPART_ARC
(19,5),-0.291867 # DEPENDENCYPART_ARC
(19,6),0.0372304 # DEPENDENCYPART_ARC
(19,7),-0.0730992 # DEPENDENCYPART_ARC
(19,8),-0.257481 # DEPENDENCYPART_ARC
(19,9),0.610206 # DEPENDENCYPART_ARC
(19,10),0.271402 # DEPENDENCYPART_ARC
(19,11),0.309645 # DEPENDENCYPART_ARC
(19,12),0.919126 # DEPENDENCYPART_ARC
(19,13),1.81489 # DEPENDENCYPART_ARC
(19,14),0.516494 # DEPENDENCYPART_ARC
(19,15),1.50396 # DEPENDENCYPART_ARC
(19,16),1.11404 # DEPENDENCYPART_ARC
(19,17),2.01187 # DEPENDENCYPART_ARC
(19,18),3.82861 # DEPENDENCYPART_ARC
(19,20),3.95902 # DEPENDENCYPART_ARC
(19,21),0.521527 # DEPENDENCYPART_ARC
(19,22),1.27568 # DEPENDENCYPART_ARC
(19,23),0.0441598 # DEPENDENCYPART_ARC
(19,24),0.189367 # DEPENDENCYPART_ARC
(19,25),-0.434669 # DEPENDENCYPART_ARC
(20,21),0.166282 # DEPENDENCYPART_ARC
(20,22),-1.37143 # DEPENDENCYPART_ARC
(20,23),-0.66134 # DEPENDENCYPART_ARC
(20,24),-4.6747 # DEPENDENCYPART_ARC
(21,15),-1.73446 # DEPENDENCYPART_ARC
(21,18),-0.469029 # DEPENDENCYPART_ARC
(21,20),1.25568 # DEPENDENCYPART_ARC
(21,22),4.28869 # DEPENDENCYPART_ARC
(21,23),0.68118 # DEPENDENCYPART_ARC
(21,24),1.46769 # DEPENDENCYPART_ARC
(21,25),0.127892 # DEPENDENCYPART_ARC
(22,20),-0.411389 # DEPENDENCYPART_ARC
(22,21),-1.66883 # DEPENDENCYPART_ARC
(22,24),-5.24061 # DEPENDENCYPART_ARC
(23,1),0.0967511 # DEPENDENCYPART_ARC
(23,2),-0.796819 # DEPENDENCYPART_ARC
(23,3),-0.282035 # DEPENDENCYPART_ARC
(23,4),-1.3812 # DEPENDENCYPART_ARC
(23,5),-0.963495 # DEPENDENCYPART_ARC
(23,7),-1.13154 # DEPENDENCYPART_ARC
(23,9),-0.4671 # DEPENDENCYPART_ARC
(23,11),-0.569594 # DEPENDENCYPART_ARC
(23,12),-0.593639 # DEPENDENCYPART_ARC
(23,13),0.821374 # DEPENDENCYPART_ARC
(23,14),-0.251189 # DEPENDENCYPART_ARC
(23,15),0.365125 # DEPENDENCYPART_ARC
(23,16),-0.225108 # DEPENDENCYPART_ARC
(23,17),-0.330418 # DEPENDENCYPART_ARC
(23,18),0.812923 # DEPENDENCYPART_ARC
(23,19),-0.401807 # DEPENDENCYPART_ARC
(23,20),1.50976 # DEPENDENCYPART_ARC
(23,21),0.275248 # DEPENDENCYPART_ARC
(23,22),3.51731 # DEPENDENCYPART_ARC
(23,24),3.46197 # DEPENDENCYPART_ARC
(23,25),0.131729 # DEPENDENCYPART_ARC
(24,22),0.938907 # DEPENDENCYPART_ARC
(24,25),-0.0883052 # DEPENDENCYPART_ARC
