# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,0,10,8,10,11,12,13,13,13,16,16,18,19,22,10,22,23,22,25,22,27,0,
(12,16),1.47776 # DEPENDENCYPART_ARC
(12,17),-0.67212 # DEPENDENCYPART_ARC
(12,18),-0.809695 # DEPENDENCYPART_ARC
(12,19),-1.50383 # DEPENDENCYPART_ARC
(12,20),-0.49357 # DEPENDENCYPART_ARC
(12,21),-0.611373 # DEPENDENCYPART_ARC
(12,22),-0.639884 # DEPENDENCYPART_ARC
(12,23),-1.90876 # DEPENDENCYPART_ARC
(12,24),-0.652211 # DEPENDENCYPART_ARC
(12,25),-0.956258 # DEPENDENCYPART_ARC
(12,26),-1.71054 # DEPENDENCYPART_ARC
(12,27),-2.05013 # DEPENDENCYPART_ARC
(12,28),-1.22771 # DEPENDENCYPART_ARC
(12,29),-1.8797 # DEPENDENCYPART_ARC
(13,1),-1.27626 # DEPENDENCYPART_ARC
(13,2),-2.25599 # DEPENDENCYPART_ARC
(13,3),-0.687539 # DEPENDENCYPART_ARC
(13,4),-1.46551 # DEPENDENCYPART_ARC
(13,5),-3.75318 # DEPENDENCYPART_ARC
(13,6),-3.11534 # DEPENDENCYPART_ARC
(13,7),-1.10753 # DEPENDENCYPART_ARC
(13,8),-1.05268 # DEPENDENCYPART_ARC
(13,9),-0.76758 # DEPENDENCYPART_ARC
(13,10),-1.2856 # DEPENDENCYPART_ARC
(13,11),-0.546501 # DEPENDENCYPART_ARC
(13,12),-2.07209 # DEPENDENCYPART_ARC
(13,14),3.708 # DEPENDENCYPART_ARC
(13,15),2.04193 # DEPENDENCYPART_ARC
(13,16),1.68223 # DEPENDENCYPART_ARC
(13,17),-1.98243 # DEPENDENCYPART_ARC
(13,18),-1.04727 # DEPENDENCYPART_ARC
(13,19),-0.0822892 # DEPENDENCYPART_ARC
(13,20),-0.0286714 # DEPENDENCYPART_ARC
(13,21),-0.587695 # DEPENDENCYPART_ARC
(13,22),-1.13369 # DEPENDENCYPART_ARC
(13,23),-1.77505 # DEPENDENCYPART_ARC
(13,24),-1.16382 # DEPENDENCYPART_ARC
(13,25),-0.938515 # DEPENDENCYPART_ARC
(13,26),-2.66676 # DEPENDENCYPART_ARC
(13,27),-3.68914 # DEPENDENCYPART_ARC
(13,28),-2.43057 # DEPENDENCYPART_ARC
(13,29),-1.36668 # DEPENDENCYPART_ARC
(14,1),-1.33154 # DEPENDENCYPART_ARC
(14,2),-1.54265 # DEPENDENCYPART_ARC
(14,3),-0.933535 # DEPENDENCYPART_ARC
(14,4),-1.43854 # DEPENDENCYPART_ARC
(14,5),-4.05232 # DEPENDENCYPART_ARC
(14,6),-3.86755 # DEPENDENCYPART_ARC
(14,7),-0.873014 # DEPENDENCYPART_ARC
(14,8),-1.04728 # DEPENDENCYPART_ARC
(14,9),-1.12125 # DEPENDENCYPART_ARC
(14,10),-1.61573 # DEPENDENCYPART_ARC
(14,11),-0.695427 # DEPENDENCYPART_ARC
(14,12),-1.40171 # DEPENDENCYPART_ARC
(14,13),-2.55884 # DEPENDENCYPART_ARC
(14,15),0.0552483 # DEPENDENCYPART_ARC
(14,16),-1.18893 # DEPENDENCYPART_ARC
(14,17),-1.51962 # DEPENDENCYPART_ARC
(14,18),-1.45921 # DEPENDENCYPART_ARC
(14,19),-2.00531 # DEPENDENCYPART_ARC
(14,20),-0.845522 # DEPENDENCYPART_ARC
(14,21),-1.37955 # DEPENDENCYPART_ARC
(14,22),-2.7998 # DEPENDENCYPART_ARC
(14,23),-2.99027 # DEPENDENCYPART_ARC
(14,24),-1.92957 # DEPENDENCYPART_ARC
(14,25),-1.04099 # DEPENDENCYPART_ARC
(14,26),-1.3807 # DEPENDENCYPART_ARC
(14,27),-1.77572 # DEPENDENCYPART_ARC
(14,28),-2.10553 # DEPENDENCYPART_ARC
(14,29),-1.58836 # DEPENDENCYPART_ARC
(15,1),-1.15026 # DEPENDENCYPART_ARC
(15,2),-0.606573 # DEPENDENCYPART_ARC
(15,3),-0.824163 # DEPENDENCYPART_ARC
(15,4),-0.373341 # DEPENDENCYPART_ARC
(15,5),-0.498102 # DEPENDENCYPART_ARC
(15,6),-0.599583 # DEPENDENCYPART_ARC
(15,7),-0.76933 # DEPENDENCYPART_ARC
(15,8),-0.335605 # DEPENDENCYPART_ARC
(15,9),-0.38569 # DEPENDENCYPART_ARC
(15,10),-0.353386 # DEPENDENCYPART_ARC
(15,11),-0.306535 # DEPENDENCYPART_ARC
(15,12),-0.0979631 # DEPENDENCYPART_ARC
(15,13),-0.115677 # DEPENDENCYPART_ARC
(15,14),-0.0961536 # DEPENDENCYPART_ARC
(15,16),-0.136692 # DEPENDENCYPART_ARC
(15,17),-1.01542 # DEPENDENCYPART_ARC
(15,18),-1.53242 # DEPENDENCYPART_ARC
(15,19),-1.46723 # DEPENDENCYPART_ARC
(15,20),-1.42484 # DEPENDENCYPART_ARC
(15,21),-1.65711 # DEPENDENCYPART_ARC
(15,22),-2.44785 # DEPENDENCYPART_ARC
(15,23),-1.86732 # DEPENDENCYPART_ARC
(15,24),-1.85475 # DEPENDENCYPART_ARC
(15,25),-1.71185 # DEPENDENCYPART_ARC
(15,26),-1.66752 # DEPENDENCYPART_ARC
(15,27),-1.81447 # DEPENDENCYPART_ARC
(15,28),-1.83926 # DEPENDENCYPART_ARC
(15,29),-1.78516 # DEPENDENCYPART_ARC
(16,1),-2.00009 # DEPENDENCYPART_ARC
(16,2),-3.06247 # DEPENDENCYPART_ARC
(16,3),-1.39156 # DEPENDENCYPART_ARC
(16,4),-1.61059 # DEPENDENCYPART_ARC
(16,5),-5.5747 # DEPENDENCYPART_ARC
(16,6),-5.49113 # DEPENDENCYPART_ARC
(16,7),-2.14275 # DEPENDENCYPART_ARC
(16,8),-1.43874 # DEPENDENCYPART_ARC
(16,9),-2.10058 # DEPENDENCYPART_ARC
(16,10),-2.39402 # DEPENDENCYPART_ARC
(16,11),-1.05927 # DEPENDENCYPART_ARC
(16,12),-3.67638 # DEPENDENCYPART_ARC
(16,13),-3.92466 # DEPENDENCYPART_ARC
(16,14),-3.87508 # DEPENDENCYPART_ARC
(16,15),-0.698127 # DEPENDENCYPART_ARC
(16,17),3.47412 # DEPENDENCYPART_ARC
(16,18),2.20077 # DEPENDENCYPART_ARC
(16,19),-0.698359 # DEPENDENCYPART_ARC
(16,20),-0.0288537 # DEPENDENCYPART_ARC
(16,21),0.140344 # DEPENDENCYPART_ARC
(16,22),-1.67906 # DEPENDENCYPART_ARC
(16,23),-0.307513 # DEPENDENCYPART_ARC
(16,24),-2.23843 # DEPENDENCYPART_ARC
(16,25),-0.438666 # DEPENDENCYPART_ARC
(16,26),-1.69496 # DEPENDENCYPART_ARC
(16,27),0.547339 # DEPENDENCYPART_ARC
(16,28),-0.519833 # DEPENDENCYPART_ARC
(16,29),-0.413585 # DEPENDENCYPART_ARC
(17,1),-1.58346 # DEPENDENCYPART_ARC
(17,2),-3.70077 # DEPENDENCYPART_ARC
(17,3),-1.85264 # DEPENDENCYPART_ARC
(17,4),-1.59035 # DEPENDENCYPART_ARC
(17,5),-2.43692 # DEPENDENCYPART_ARC
(17,6),-1.73533 # DEPENDENCYPART_ARC
(17,7),-1.5401 # DEPENDENCYPART_ARC
(17,8),-1.39559 # DEPENDENCYPART_ARC
(17,9),-2.13271 # DEPENDENCYPART_ARC
(17,10),-1.38959 # DEPENDENCYPART_ARC
(17,11),-1.31159 # DEPENDENCYPART_ARC
(17,12),-1.67375 # DEPENDENCYPART_ARC
(17,13),-1.8991 # DEPENDENCYPART_ARC
(17,14),-1.87496 # DEPENDENCYPART_ARC
(17,15),-0.756634 # DEPENDENCYPART_ARC
(17,16),-1.1454 # DEPENDENCYPART_ARC
(17,18),-1.66517 # DEPENDENCYPART_ARC
(17,19),-2.47132 # DEPENDENCYPART_ARC
(17,20),-0.770736 # DEPENDENCYPART_ARC
