# _root_ تَجْدُرُ الإِشارَةُ إِلَى أَنَّ بونومى البالِغُ مِن العُمْرِ 44 عاماً , وَ هُوَ مُحام سابِقٌ , كانَ يَعْمَلُ رَئِيساً لِ مَجْلِسِ إِدارَةِ شَرِكَةِ / إِس آي أَي / المَسْؤُولَةِ عَن إِدارَةِ مَطارَيْ ليناتى ومالبينسا فِي مِيلانُو خِلالَ الفَتْرَةِ مِن 1997 ـ 1999 .
#goldHeads=0,1,2,3,6,12,6,7,8,9,10,4,14,12,14,15,14,17,18,19,20,21,22,27,27,27,23,27,23,29,30,31,34,32,32,35,29,37,38,41,39,41,0,
#predictedHeads=0,1,1,3,4,5,6,7,8,9,10,14,14,17,14,15,4,17,18,19,20,21,22,27,27,27,21,27,23,29,30,31,34,32,31,35,31,37,38,39,39,41,0,
(0,25),-1.99439 # DEPENDENCYPART_ARC
(0,26),-2.27836 # DEPENDENCYPART_ARC
(0,27),-1.87723 # DEPENDENCYPART_ARC
(0,28),-1.51165 # DEPENDENCYPART_ARC
(0,29),-2.82825 # DEPENDENCYPART_ARC
(0,30),-1.5321 # DEPENDENCYPART_ARC
(0,31),-2.87294 # DEPENDENCYPART_ARC
(0,32),-3.06727 # DEPENDENCYPART_ARC
(0,33),-2.06019 # DEPENDENCYPART_ARC
(0,34),-2.04312 # DEPENDENCYPART_ARC
(0,35),-2.30855 # DEPENDENCYPART_ARC
(0,36),-1.53107 # DEPENDENCYPART_ARC
(0,37),-2.26459 # DEPENDENCYPART_ARC
(0,38),-3.68178 # DEPENDENCYPART_ARC
(0,39),-3.30109 # DEPENDENCYPART_ARC
(0,40),-2.69353 # DEPENDENCYPART_ARC
(0,41),-2.75601 # DEPENDENCYPART_ARC
(0,42),-2.85368 # DEPENDENCYPART_ARC
(0,43),3.40785 # DEPENDENCYPART_ARC
(1,2),2.9861 # DEPENDENCYPART_ARC
(1,3),1.76862 # DEPENDENCYPART_ARC
(1,4),0.625615 # DEPENDENCYPART_ARC
(1,5),-0.215001 # DEPENDENCYPART_ARC
(1,6),-1.47738 # DEPENDENCYPART_ARC
(1,7),0.116774 # DEPENDENCYPART_ARC
(1,8),-2.44793 # DEPENDENCYPART_ARC
(1,9),-0.48598 # DEPENDENCYPART_ARC
(1,10),-0.316038 # DEPENDENCYPART_ARC
(1,11),-0.348256 # DEPENDENCYPART_ARC
(1,12),-0.357234 # DEPENDENCYPART_ARC
(1,13),-2.09054 # DEPENDENCYPART_ARC
(1,14),-1.41267 # DEPENDENCYPART_ARC
(1,15),-1.03739 # DEPENDENCYPART_ARC
(1,16),-0.546167 # DEPENDENCYPART_ARC
(1,17),-2.65529 # DEPENDENCYPART_ARC
(1,18),-2.96857 # DEPENDENCYPART_ARC
(1,19),-1.21766 # DEPENDENCYPART_ARC
(1,20),-1.33038 # DEPENDENCYPART_ARC
(1,21),-4.66241 # DEPENDENCYPART_ARC
(1,22),-4.21622 # DEPENDENCYPART_ARC
(1,23),-4.32254 # DEPENDENCYPART_ARC
(1,24),-2.11171 # DEPENDENCYPART_ARC
(1,25),-1.89442 # DEPENDENCYPART_ARC
(1,26),-1.79813 # DEPENDENCYPART_ARC
(1,27),-1.90942 # DEPENDENCYPART_ARC
(1,28),-2.35273 # DEPENDENCYPART_ARC
(1,29),-3.97337 # DEPENDENCYPART_ARC
(1,30),-2.17991 # DEPENDENCYPART_ARC
(1,31),-5.47974 # DEPENDENCYPART_ARC
(1,32),-4.21556 # DEPENDENCYPART_ARC
(1,33),-1.95001 # DEPENDENCYPART_ARC
(1,34),-1.63924 # DEPENDENCYPART_ARC
(1,35),-3.54047 # DEPENDENCYPART_ARC
(1,36),-3.57041 # DEPENDENCYPART_ARC
(1,37),-2.38107 # DEPENDENCYPART_ARC
(1,38),-5.89953 # DEPENDENCYPART_ARC
(1,39),-3.03853 # DEPENDENCYPART_ARC
(1,40),-3.31658 # DEPENDENCYPART_ARC
(1,41),-2.23784 # DEPENDENCYPART_ARC
(1,42),-3.83826 # DEPENDENCYPART_ARC
(1,43),-3.78174 # DEPENDENCYPART_ARC
(2,1),-1.65319 # DEPENDENCYPART_ARC
(2,3),1.58953 # DEPENDENCYPART_ARC
(2,4),0.439839 # DEPENDENCYPART_ARC
(2,5),0.114159 # DEPENDENCYPART_ARC
(2,6),-1.36972 # DEPENDENCYPART_ARC
(2,7),0.330633 # DEPENDENCYPART_ARC
(2,8),-1.28617 # DEPENDENCYPART_ARC
(2,9),-0.590773 # DEPENDENCYPART_ARC
(2,10),-2.48194 # DEPENDENCYPART_ARC
(2,11),-1.10479 # DEPENDENCYPART_ARC
(2,12),-0.660211 # DEPENDENCYPART_ARC
(2,13),-2.74953 # DEPENDENCYPART_ARC
(2,14),-1.18761 # DEPENDENCYPART_ARC
(2,15),-4.20032 # DEPENDENCYPART_ARC
(2,16),-1.4386 # DEPENDENCYPART_ARC
(2,17),-2.38259 # DEPENDENCYPART_ARC
(2,18),-2.79881 # DEPENDENCYPART_ARC
(2,19),-3.7474 # DEPENDENCYPART_ARC
(2,20),-1.23112 # DEPENDENCYPART_ARC
(2,21),-3.42137 # DEPENDENCYPART_ARC
(2,22),-3.86082 # DEPENDENCYPART_ARC
(2,23),-4.13295 # DEPENDENCYPART_ARC
(2,24),-2.75136 # DEPENDENCYPART_ARC
(2,25),-2.07668 # DEPENDENCYPART_ARC
(2,26),-1.92791 # DEPENDENCYPART_ARC
(2,27),-1.79663 # DEPENDENCYPART_ARC
(2,28),-3.06647 # DEPENDENCYPART_ARC
(2,29),-3.42578 # DEPENDENCYPART_ARC
(2,30),-2.50664 # DEPENDENCYPART_ARC
(2,31),-5.69433 # DEPENDENCYPART_ARC
(2,32),-4.95453 # DEPENDENCYPART_ARC
(2,33),-3.91987 # DEPENDENCYPART_ARC
(2,34),-3.277 # DEPENDENCYPART_ARC
(2,35),-2.98255 # DEPENDENCYPART_ARC
(2,36),-5.90471 # DEPENDENCYPART_ARC
(2,37),-2.09695 # DEPENDENCYPART_ARC
(2,38),-6.28848 # DEPENDENCYPART_ARC
(2,39),-4.34915 # DEPENDENCYPART_ARC
(2,40),-3.03545 # DEPENDENCYPART_ARC
(2,41),-4.38719 # DEPENDENCYPART_ARC
(2,42),-3.1143 # DEPENDENCYPART_ARC
(2,43),-4.59662 # DEPENDENCYPART_ARC
(3,1),-0.298469 # DEPENDENCYPART_ARC
(3,2),0.593916 # DEPENDENCYPART_ARC
(3,4),2.13579 # DEPENDENCYPART_ARC
(3,5),0.407847 # DEPENDENCYPART_ARC
(3,6),-0.548211 # DEPENDENCYPART_ARC
(3,7),-0.762679 # DEPENDENCYPART_ARC
(3,8),-0.551758 # DEPENDENCYPART_ARC
(3,9),-0.942003 # DEPENDENCYPART_ARC
(3,10),-1.0825 # DEPENDENCYPART_ARC
(3,11),-0.629652 # DEPENDENCYPART_ARC
(3,12),-0.98854 # DEPENDENCYPART_ARC
(3,13),-1.29941 # DEPENDENCYPART_ARC
(3,14),-1.51615 # DEPENDENCYPART_ARC
(3,15),-1.39311 # DEPENDENCYPART_ARC
(3,16),-0.846987 # DEPENDENCYPART_ARC
(3,17),-1.44794 # DEPENDENCYPART_ARC
(3,18),-2.0687 # DEPENDENCYPART_ARC
(3,19),-2.02151 # DEPENDENCYPART_ARC
(3,20),-1.79284 # DEPENDENCYPART_ARC
(3,21),-2.18735 # DEPENDENCYPART_ARC
(3,22),-2.6975 # DEPENDENCYPART_ARC
(3,23),-2.44446 # DEPENDENCYPART_ARC
(3,24),-2.09488 # DEPENDENCYPART_ARC
(3,25),-1.46763 # DEPENDENCYPART_ARC
(3,26),-1.63905 # DEPENDENCYPART_ARC
(3,27),-1.80336 # DEPENDENCYPART_ARC
(3,28),-2.42271 # DEPENDENCYPART_ARC
(3,29),-2.17852 # DEPENDENCYPART_ARC
(3,30),-2.1964 # DEPENDENCYPART_ARC
(3,31),-2.66334 # DEPENDENCYPART_ARC
(3,32),-3.24176 # DEPENDENCYPART_ARC
(3,33),-1.78482 # DEPENDENCYPART_ARC
(3,34),-1.69657 # DEPENDENCYPART_ARC
(3,35),-3.25916 # DEPENDENCYPART_ARC
(3,36),-3.43101 # DEPENDENCYPART_ARC
(3,37),-3.02999 # DEPENDENCYPART_ARC
(3,38),-3.15785 # DEPENDENCYPART_ARC
(3,39),-3.30609 # DEPENDENCYPART_ARC
(3,40),-3.27826 # DEPENDENCYPART_ARC
(3,41),-1.65335 # DEPENDENCYPART_ARC
(3,42),-3.1263 # DEPENDENCYPART_ARC
(3,43),-4.06309 # DEPENDENCYPART_ARC
(4,1),0.0429259 # DEPENDENCYPART_ARC
(4,2),-1.01512 # DEPENDENCYPART_ARC
(4,3),0.209664 # DEPENDENCYPART_ARC
(4,5),0.754068 # DEPENDENCYPART_ARC
(4,6),0.727778 # DEPENDENCYPART_ARC
(4,7),0.161421 # DEPENDENCYPART_ARC
(4,8),-0.582101 # DEPENDENCYPART_ARC
(4,9),-0.485603 # DEPENDENCYPART_ARC
(4,10),-0.436357 # DEPENDENCYPART_ARC
(4,11),0.102654 # DEPENDENCYPART_ARC
(4,12),0.598961 # DEPENDENCYPART_ARC
(4,13),-1.26115 # DEPENDENCYPART_ARC
(4,14),0.0954181 # DEPENDENCYPART_ARC
(4,15),0.111916 # DEPENDENCYPART_ARC
(4,16),-0.366598 # DEPENDENCYPART_ARC
(4,17),0.94117 # DEPENDENCYPART_ARC
(4,18),-0.21212 # DEPENDENCYPART_ARC
(4,19),-1.18137 # DEPENDENCYPART_ARC
(4,20),-1.68009 # DEPENDENCYPART_ARC
(4,21),-1.66414 # DEPENDENCYPART_ARC
(4,22),-1.66936 # DEPENDENCYPART_ARC
(4,23),-1.68771 # DEPENDENCYPART_ARC
(4,24),-2.39986 # DEPENDENCYPART_ARC
(4,25),-1.0984 # DEPENDENCYPART_ARC
(4,26),-1.0411 # DEPENDENCYPART_ARC
(4,27),-1.28693 # DEPENDENCYPART_ARC
(4,28),-2.9036 # DEPENDENCYPART_ARC
(4,29),-1.04167 # DEPENDENCYPART_ARC
(4,30),-2.2646 # DEPENDENCYPART_ARC
(4,31),-2.01744 # DEPENDENCYPART_ARC
(4,32),-2.10668 # DEPENDENCYPART_ARC
(4,33),-1.3248 # DEPENDENCYPART_ARC
(4,34),-1.41559 # DEPENDENCYPART_ARC
(4,35),-2.89079 # DEPENDENCYPART_ARC
(4,36),-3.22569 # DEPENDENCYPART_ARC
(4,37),-2.84371 # DEPENDENCYPART_ARC
(4,38),-2.57155 # DEPENDENCYPART_ARC
(4,39),-3.76501 # DEPENDENCYPART_ARC
(4,40),-2.74307 # DEPENDENCYPART_ARC
(4,41),-2.14707 # DEPENDENCYPART_ARC
(4,42),-2.83972 # DEPENDENCYPART_ARC
(4,43),-3.10734 # DEPENDENCYPART_ARC
(5,1),-0.552947 # DEPENDENCYPART_ARC
(5,2),-0.292276 # DEPENDENCYPART_ARC
(5,3),0.0609904 # DEPENDENCYPART_ARC
(5,4),0.208095 # DEPENDENCYPART_ARC
(5,6),1.8243 # DEPENDENCYPART_ARC
(5,7),0.76152 # DEPENDENCYPART_ARC
(5,8),0.481006 # DEPENDENCYPART_ARC
(5,9),0.10306 # DEPENDENCYPART_ARC
(5,10),0.466182 # DEPENDENCYPART_ARC
(5,11),-0.0321509 # DEPENDENCYPART_ARC
(5,12),0.153849 # DEPENDENCYPART_ARC
(5,13),-0.0785754 # DEPENDENCYPART_ARC
(5,14),0.0194059 # DEPENDENCYPART_ARC
(5,15),0.0563257 # DEPENDENCYPART_ARC
(5,16),-0.370449 # DEPENDENCYPART_ARC
(5,17),-0.30895 # DEPENDENCYPART_ARC
(5,18),-0.631719 # DEPENDENCYPART_ARC
(5,19),-0.755715 # DEPENDENCYPART_ARC
(5,20),-0.864921 # DEPENDENCYPART_ARC
(5,21),-1.0516 # DEPENDENCYPART_ARC
(5,22),-1.16204 # DEPENDENCYPART_ARC
(5,23),-1.01102 # DEPENDENCYPART_ARC
(5,24),-1.3318 # DEPENDENCYPART_ARC
(5,25),-0.4593 # DEPENDENCYPART_ARC
(5,26),-0.539353 # DEPENDENCYPART_ARC
(5,27),-0.402329 # DEPENDENCYPART_ARC
(5,28),-1.37448 # DEPENDENCYPART_ARC
(5,29),-1.01272 # DEPENDENCYPART_ARC
(5,30),-1.50299 # DEPENDENCYPART_ARC
(5,31),-2.03361 # DEPENDENCYPART_ARC
(5,32),-1.86158 # DEPENDENCYPART_ARC
(5,33),-0.972218 # DEPENDENCYPART_ARC
(5,34),-0.978315 # DEPENDENCYPART_ARC
(5,35),-1.42806 # DEPENDENCYPART_ARC
(5,36),-1.39556 # DEPENDENCYPART_ARC
(5,37),-1.60552 # DEPENDENCYPART_ARC
(5,38),-2.48796 # DEPENDENCYPART_ARC
(5,39),-2.01362 # DEPENDENCYPART_ARC
(5,40),-1.61478 # DEPENDENCYPART_ARC
(5,41),-1.23874 # DEPENDENCYPART_ARC
(5,42),-1.75155 # DEPENDENCYPART_ARC
(5,43),-3.29862 # DEPENDENCYPART_ARC
(6,1),-0.637836 # DEPENDENCYPART_ARC
(6,2),-1.05898 # DEPENDENCYPART_ARC
(6,3),-0.109705 # DEPENDENCYPART_ARC
(6,4),0.144073 # DEPENDENCYPART_ARC
(6,5),0.0781376 # DEPENDENCYPART_ARC
(6,7),1.01966 # DEPENDENCYPART_ARC
(6,8),-0.304798 # DEPENDENCYPART_ARC
(6,9),-0.0560445 # DEPENDENCYPART_ARC
(6,10),-0.652272 # DEPENDENCYPART_ARC
(6,11),-0.421921 # DEPENDENCYPART_ARC
(6,12),-0.333994 # DEPENDENCYPART_ARC
(6,13),-1.22423 # DEPENDENCYPART_ARC
(6,14),-0.699291 # DEPENDENCYPART_ARC
(6,15),-1.58144 # DEPENDENCYPART_ARC
(6,16),-0.704006 # DEPENDENCYPART_ARC
(6,17),-1.17282 # DEPENDENCYPART_ARC
(6,18),-1.8105 # DEPENDENCYPART_ARC
(6,19),-1.90531 # DEPENDENCYPART_ARC
(6,20),-1.54947 # DEPENDENCYPART_ARC
(6,21),-2.09035 # DEPENDENCYPART_ARC
(6,22),-2.75028 # DEPENDENCYPART_ARC
(6,23),-2.83407 # DEPENDENCYPART_ARC
(6,24),-2.03655 # DEPENDENCYPART_ARC
(6,25),-0.980125 # DEPENDENCYPART_ARC
(6,26),-0.994348 # DEPENDENCYPART_ARC
(6,27),-1.08466 # DEPENDENCYPART_ARC
(6,28),-1.98821 # DEPENDENCYPART_ARC
(6,29),-2.70116 # DEPENDENCYPART_ARC
(6,30),-2.15506 # DEPENDENCYPART_ARC
(6,31),-3.44531 # DEPENDENCYPART_ARC
(6,32),-3.13524 # DEPENDENCYPART_ARC
(6,33),-1.05916 # DEPENDENCYPART_ARC
(6,34),-1.09047 # DEPENDENCYPART_ARC
(6,35),-1.91676 # DEPENDENCYPART_ARC
(6,36),-1.88899 # DEPENDENCYPART_ARC
(6,37),-3.08653 # DEPENDENCYPART_ARC
(6,38),-4.06042 # DEPENDENCYPART_ARC
(6,39),-3.17252 # DEPENDENCYPART_ARC
(6,40),-1.49268 # DEPENDENCYPART_ARC
(6,41),-1.37011 # DEPENDENCYPART_ARC
(6,42),-1.41733 # DEPENDENCYPART_ARC
(6,43),-3.03392 # DEPENDENCYPART_ARC
(7,1),-0.595101 # DEPENDENCYPART_ARC
(7,2),-0.197689 # DEPENDENCYPART_ARC
(7,3),-0.457487 # DEPENDENCYPART_ARC
(7,4),-0.455207 # DEPENDENCYPART_ARC
(7,5),-0.246395 # DEPENDENCYPART_ARC
(7,6),-0.118948 # DEPENDENCYPART_ARC
(7,8),2.47763 # DEPENDENCYPART_ARC
(7,9),0.481154 # DEPENDENCYPART_ARC
(7,10),0.224586 # DEPENDENCYPART_ARC
(7,11),-0.114374 # DEPENDENCYPART_ARC
(7,12),-0.631803 # DEPENDENCYPART_ARC
(7,13),-0.66858 # DEPENDENCYPART_ARC
(7,14),-0.531802 # DEPENDENCYPART_ARC
(7,15),-1.07291 # DEPENDENCYPART_ARC
(7,16),-0.225098 # DEPENDENCYPART_ARC
(7,17),-1.31304 # DEPENDENCYPART_ARC
(7,18),-1.85466 # DEPENDENCYPART_ARC
(7,19),-1.16519 # DEPENDENCYPART_ARC
(7,20),-1.23895 # DEPENDENCYPART_ARC
(7,21),-1.24113 # DEPENDENCYPART_ARC
(7,22),-1.81844 # DEPENDENCYPART_ARC
(7,23),-1.44013 # DEPENDENCYPART_ARC
(7,24),-2.35365 # DEPENDENCYPART_ARC
(7,25),-1.59645 # DEPENDENCYPART_ARC
(7,26),-1.58267 # DEPENDENCYPART_ARC
(7,27),-1.61486 # DEPENDENCYPART_ARC
(7,28),-2.5673 # DEPENDENCYPART_ARC
(7,29),-1.72649 # DEPENDENCYPART_ARC
(7,30),-2.08914 # DEPENDENCYPART_ARC
(7,31),-1.63846 # DEPENDENCYPART_ARC
(7,32),-2.23814 # DEPENDENCYPART_ARC
(7,33),-2.0569 # DEPENDENCYPART_ARC
(7,34),-1.76518 # DEPENDENCYPART_ARC
(7,35),-2.98184 # DEPENDENCYPART_ARC
(7,36),-2.47019 # DEPENDENCYPART_ARC
(7,37),-2.46749 # DEPENDENCYPART_ARC
(7,38),-1.58848 # DEPENDENCYPART_ARC
(7,39),-2.86902 # DEPENDENCYPART_ARC
(7,40),-3.08189 # DEPENDENCYPART_ARC
(7,41),-2.07757 # DEPENDENCYPART_ARC
(7,42),-2.91007 # DEPENDENCYPART_ARC
(7,43),-4.35996 # DEPENDENCYPART_ARC
(8,1),-1.01567 # DEPENDENCYPART_ARC
(8,2),-1.68603 # DEPENDENCYPART_ARC
(8,3),-0.897428 # DEPENDENCYPART_ARC
(8,4),-0.677443 # DEPENDENCYPART_ARC
(8,5),-0.732149 # DEPENDENCYPART_ARC
(8,6),-0.929586 # DEPENDENCYPART_ARC
(8,7),0.223524 # DEPENDENCYPART_ARC
(8,9),1.14848 # DEPENDENCYPART_ARC
(8,10),-1.20583 # DEPENDENCYPART_ARC
(8,11),-0.489267 # DEPENDENCYPART_ARC
(8,12),-0.412796 # DEPENDENCYPART_ARC
(8,13),-2.32801 # DEPENDENCYPART_ARC
(8,14),-1.09667 # DEPENDENCYPART_ARC
(8,15),-3.32566 # DEPENDENCYPART_ARC
(8,16),-1.09236 # DEPENDENCYPART_ARC
(8,17),-1.63181 # DEPENDENCYPART_ARC
(8,18),-2.1198 # DEPENDENCYPART_ARC
(8,19),-3.30214 # DEPENDENCYPART_ARC
(8,20),-1.21415 # DEPENDENCYPART_ARC
(8,21),-3.01557 # DEPENDENCYPART_ARC
(8,22),-2.86699 # DEPENDENCYPART_ARC
(8,23),-3.14837 # DEPENDENCYPART_ARC
(8,24),-2.2606 # DEPENDENCYPART_ARC
(8,25),-1.99971 # DEPENDENCYPART_ARC
(8,26),-1.81257 # DEPENDENCYPART_ARC
(8,27),-1.73411 # DEPENDENCYPART_ARC
(8,28),-2.44801 # DEPENDENCYPART_ARC
(8,29),-2.77637 # DEPENDENCYPART_ARC
(8,30),-2.08599 # DEPENDENCYPART_ARC
(8,31),-4.71452 # DEPENDENCYPART_ARC
(8,32),-4.06681 # DEPENDENCYPART_ARC
(8,33),-3.5076 # DEPENDENCYPART_ARC
(8,34),-3.07014 # DEPENDENCYPART_ARC
(8,35),-2.1123 # DEPENDENCYPART_ARC
(8,36),-4.91586 # DEPENDENCYPART_ARC
(8,37),-1.85539 # DEPENDENCYPART_ARC
(8,38),-5.61539 # DEPENDENCYPART_ARC
(8,39),-4.08662 # DEPENDENCYPART_ARC
(8,40),-2.91473 # DEPENDENCYPART_ARC
(8,41),-4.17144 # DEPENDENCYPART_ARC
(8,42),-3.09966 # DEPENDENCYPART_ARC
(8,43),-3.79308 # DEPENDENCYPART_ARC
(9,1),-0.508782 # DEPENDENCYPART_ARC
(9,2),-0.156663 # DEPENDENCYPART_ARC
(9,3),-0.000167549 # DEPENDENCYPART_ARC
(9,4),-0.301507 # DEPENDENCYPART_ARC
(9,5),-0.29065 # DEPENDENCYPART_ARC
(9,6),-0.20076 # DEPENDENCYPART_ARC
(9,7),0.762657 # DEPENDENCYPART_ARC
(9,8),1.30693 # DEPENDENCYPART_ARC
(9,10),2.57418 # DEPENDENCYPART_ARC
(9,11),0.370246 # DEPENDENCYPART_ARC
(9,12),-0.348564 # DEPENDENCYPART_ARC
(9,13),-0.189529 # DEPENDENCYPART_ARC
(9,14),0.0316013 # DEPENDENCYPART_ARC
(9,15),-0.0786772 # DEPENDENCYPART_ARC
(9,16),-0.613949 # DEPENDENCYPART_ARC
(9,17),-0.463561 # DEPENDENCYPART_ARC
(9,18),-0.744817 # DEPENDENCYPART_ARC
(9,19),-0.87578 # DEPENDENCYPART_ARC
(9,20),-1.38591 # DEPENDENCYPART_ARC
(9,21),-1.24724 # DEPENDENCYPART_ARC
(9,22),-1.48509 # DEPENDENCYPART_ARC
(9,23),-1.51039 # DEPENDENCYPART_ARC
(9,24),-2.14883 # DEPENDENCYPART_ARC
(9,25),-0.526107 # DEPENDENCYPART_ARC
(9,26),-0.607495 # DEPENDENCYPART_ARC
(9,27),-0.717794 # DEPENDENCYPART_ARC
(9,28),-2.31696 # DEPENDENCYPART_ARC
(9,29),-0.806354 # DEPENDENCYPART_ARC
(9,30),-2.84697 # DEPENDENCYPART_ARC
(9,31),-1.90724 # DEPENDENCYPART_ARC
(9,32),-2.31402 # DEPENDENCYPART_ARC
(9,33),-0.984668 # DEPENDENCYPART_ARC
(9,34),-0.991467 # DEPENDENCYPART_ARC
(9,35),-3.78758 # DEPENDENCYPART_ARC
(9,36),-1.36959 # DEPENDENCYPART_ARC
(9,37),-2.29099 # DEPENDENCYPART_ARC
(9,38),-2.59202 # DEPENDENCYPART_ARC
(9,39),-2.63275 # DEPENDENCYPART_ARC
(9,40),-2.54252 # DEPENDENCYPART_ARC
(9,41),-1.29775 # DEPENDENCYPART_ARC
(9,42),-2.54657 # DEPENDENCYPART_ARC
(9,43),-2.82809 # DEPENDENCYPART_ARC
(10,1),-1.23449 # DEPENDENCYPART_ARC
(10,2),-1.07186 # DEPENDENCYPART_ARC
(10,3),-1.15503 # DEPENDENCYPART_ARC
(10,4),-0.673686 # DEPENDENCYPART_ARC
(10,5),-0.973504 # DEPENDENCYPART_ARC
(10,6),-1.3503 # DEPENDENCYPART_ARC
(10,7),-0.785043 # DEPENDENCYPART_ARC
(10,8),-0.862808 # DEPENDENCYPART_ARC
(10,9),-0.18867 # DEPENDENCYPART_ARC
(10,11),1.40796 # DEPENDENCYPART_ARC
(10,12),0.0446275 # DEPENDENCYPART_ARC
(10,13),-1.48233 # DEPENDENCYPART_ARC
(10,14),-0.365452 # DEPENDENCYPART_ARC
(10,15),-1.73668 # DEPENDENCYPART_ARC
(10,16),-0.461103 # DEPENDENCYPART_ARC
(10,17),-0.910352 # DEPENDENCYPART_ARC
(10,18),-1.91493 # DEPENDENCYPART_ARC
(10,19),-1.99051 # DEPENDENCYPART_ARC
(10,20),-1.62017 # DEPENDENCYPART_ARC
(10,21),-2.63746 # DEPENDENCYPART_ARC
(10,22),-2.23351 # DEPENDENCYPART_ARC
(10,23),-2.18384 # DEPENDENCYPART_ARC
(10,24),-2.05015 # DEPENDENCYPART_ARC
(10,25),-1.69308 # DEPENDENCYPART_ARC
(10,26),-1.42779 # DEPENDENCYPART_ARC
(10,27),-1.36729 # DEPENDENCYPART_ARC
(10,28),-2.31414 # DEPENDENCYPART_ARC
(10,29),-3.30341 # DEPENDENCYPART_ARC
(10,30),-2.47374 # DEPENDENCYPART_ARC
(10,31),-3.9242 # DEPENDENCYPART_ARC
(10,32),-3.78842 # DEPENDENCYPART_ARC
(10,33),-3.09365 # DEPENDENCYPART_ARC
(10,34),-2.8513 # DEPENDENCYPART_ARC
(10,35),-2.4925 # DEPENDENCYPART_ARC
(10,36),-4.35382 # DEPENDENCYPART_ARC
(10,37),-2.49293 # DEPENDENCYPART_ARC
(10,38),-4.89075 # DEPENDENCYPART_ARC
(10,39),-3.89247 # DEPENDENCYPART_ARC
(10,40),-2.55972 # DEPENDENCYPART_ARC
(10,41),-3.74204 # DEPENDENCYPART_ARC
(10,42),-3.01704 # DEPENDENCYPART_ARC
(10,43),-3.55153 # DEPENDENCYPART_ARC
(11,1),-0.821065 # DEPENDENCYPART_ARC
(11,2),-1.00261 # DEPENDENCYPART_ARC
(11,3),-1.16098 # DEPENDENCYPART_ARC
(11,4),-0.934066 # DEPENDENCYPART_ARC
(11,5),-1.23782 # DEPENDENCYPART_ARC
(11,6),-0.934179 # DEPENDENCYPART_ARC
(11,7),-0.890818 # DEPENDENCYPART_ARC
(11,8),-0.188445 # DEPENDENCYPART_ARC
(11,9),0.211766 # DEPENDENCYPART_ARC
(11,10),-0.0349824 # DEPENDENCYPART_ARC
(11,12),-0.673049 # DEPENDENCYPART_ARC
(11,13),-1.50536 # DEPENDENCYPART_ARC
(11,14),-1.4329 # DEPENDENCYPART_ARC
(11,15),-1.28748 # DEPENDENCYPART_ARC
(11,16),-1.21874 # DEPENDENCYPART_ARC
(11,17),-1.71444 # DEPENDENCYPART_ARC
(11,18),-1.92232 # DEPENDENCYPART_ARC
(11,19),-2.24697 # DEPENDENCYPART_ARC
(11,20),-2.15303 # DEPENDENCYPART_ARC
(11,21),-2.30651 # DEPENDENCYPART_ARC
(11,22),-2.50319 # DEPENDENCYPART_ARC
(11,23),-2.44682 # DEPENDENCYPART_ARC
(11,24),-1.80912 # DEPENDENCYPART_ARC
(11,25),-1.87601 # DEPENDENCYPART_ARC
(11,26),-1.79904 # DEPENDENCYPART_ARC
(11,27),-1.48334 # DEPENDENCYPART_ARC
