# _root_ خَصَّصَت الحُكُومَةُ المِصْرِيَّةُ 5,2 بِلْيُونِ جُنَيْهٍ ( 585 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ شَرِكَةِ الحَدِيدِ وَ الصُلْبِ وَ 5,1 بِلْيُونٍ ( 153 مِلْيُونَ دُولارٍ ) لِ إِصْلاحِ قِطاعِ الغَزْلِ وَ النَسِيجِ فِي الوَقْتِ الَّذِي سَ تَمْتَنِعُ عَن بَيْعِ 115 شَرِكَةً تابِعَةً سابِقاً لِ وِزارَةِ الاِقْتِصادِ قَبْلَ إِلْغائِ ها .
#goldHeads=18,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,32,21,19,18,21,22,23,21,18,26,27,30,28,30,0,32,32,36,32,36,37,38,39,40,41,41,43,44,41,46,47,0,
#predictedHeads=0,1,2,7,4,5,1,7,8,9,7,1,12,13,16,14,16,14,21,19,18,21,22,23,21,1,26,27,30,28,30,31,32,33,36,33,36,37,38,39,40,41,42,43,44,36,46,47,0,
(2,29),-5.64371 # DEPENDENCYPART_ARC
(2,30),-3.48815 # DEPENDENCYPART_ARC
(2,31),-6.61305 # DEPENDENCYPART_ARC
(2,32),-3.55897 # DEPENDENCYPART_ARC
(2,33),-7.16556 # DEPENDENCYPART_ARC
(2,34),-1.81029 # DEPENDENCYPART_ARC
(2,35),-4.01446 # DEPENDENCYPART_ARC
(2,36),-5.49283 # DEPENDENCYPART_ARC
(2,37),-4.87055 # DEPENDENCYPART_ARC
(2,38),-7.76513 # DEPENDENCYPART_ARC
(2,39),-4.66449 # DEPENDENCYPART_ARC
(2,40),-10.5382 # DEPENDENCYPART_ARC
(2,41),-9.4861 # DEPENDENCYPART_ARC
(2,42),-8.4392 # DEPENDENCYPART_ARC
(2,43),-5.61163 # DEPENDENCYPART_ARC
(2,44),-9.97667 # DEPENDENCYPART_ARC
(2,45),-8.76236 # DEPENDENCYPART_ARC
(2,46),-3.68938 # DEPENDENCYPART_ARC
(2,47),-9.54225 # DEPENDENCYPART_ARC
(2,48),-12.4695 # DEPENDENCYPART_ARC
(2,49),-6.39407 # DEPENDENCYPART_ARC
(3,1),-0.435016 # DEPENDENCYPART_ARC
(3,2),-0.703014 # DEPENDENCYPART_ARC
(3,4),0.0505812 # DEPENDENCYPART_ARC
(3,5),-0.54442 # DEPENDENCYPART_ARC
(3,6),-0.886975 # DEPENDENCYPART_ARC
(3,7),-1.16228 # DEPENDENCYPART_ARC
(3,8),-0.995009 # DEPENDENCYPART_ARC
(3,9),-1.53361 # DEPENDENCYPART_ARC
(3,10),-1.54143 # DEPENDENCYPART_ARC
(3,11),-1.25658 # DEPENDENCYPART_ARC
(3,12),-1.35077 # DEPENDENCYPART_ARC
(3,13),-1.87889 # DEPENDENCYPART_ARC
(3,14),-2.81165 # DEPENDENCYPART_ARC
(3,15),-2.33503 # DEPENDENCYPART_ARC
(3,16),-1.54765 # DEPENDENCYPART_ARC
(3,17),-2.48906 # DEPENDENCYPART_ARC
(3,18),-1.65035 # DEPENDENCYPART_ARC
(3,19),-1.19626 # DEPENDENCYPART_ARC
(3,20),-2.57727 # DEPENDENCYPART_ARC
(3,21),-2.27783 # DEPENDENCYPART_ARC
(3,22),-1.24344 # DEPENDENCYPART_ARC
(3,23),-2.89074 # DEPENDENCYPART_ARC
(3,24),-2.96509 # DEPENDENCYPART_ARC
(3,25),-2.17944 # DEPENDENCYPART_ARC
(3,26),-3.51497 # DEPENDENCYPART_ARC
(3,27),-3.50902 # DEPENDENCYPART_ARC
(3,28),-3.45219 # DEPENDENCYPART_ARC
(3,29),-3.78961 # DEPENDENCYPART_ARC
(3,30),-2.9486 # DEPENDENCYPART_ARC
(3,31),-4.18141 # DEPENDENCYPART_ARC
(3,32),-2.3391 # DEPENDENCYPART_ARC
(3,33),-4.37114 # DEPENDENCYPART_ARC
(3,34),-2.08948 # DEPENDENCYPART_ARC
(3,35),-2.06127 # DEPENDENCYPART_ARC
(3,36),-2.95027 # DEPENDENCYPART_ARC
(3,37),-3.92757 # DEPENDENCYPART_ARC
(3,38),-4.97093 # DEPENDENCYPART_ARC
(3,39),-2.01935 # DEPENDENCYPART_ARC
(3,40),-7.02333 # DEPENDENCYPART_ARC
(3,41),-4.73241 # DEPENDENCYPART_ARC
(3,42),-3.58992 # DEPENDENCYPART_ARC
(3,43),-5.97352 # DEPENDENCYPART_ARC
(3,44),-6.72683 # DEPENDENCYPART_ARC
(3,45),-6.18153 # DEPENDENCYPART_ARC
(3,46),-5.31624 # DEPENDENCYPART_ARC
(3,47),-6.14088 # DEPENDENCYPART_ARC
(3,48),-4.11426 # DEPENDENCYPART_ARC
(3,49),-5.09854 # DEPENDENCYPART_ARC
(4,1),-0.585222 # DEPENDENCYPART_ARC
(4,2),0.441143 # DEPENDENCYPART_ARC
(4,3),0.186666 # DEPENDENCYPART_ARC
(4,5),2.72919 # DEPENDENCYPART_ARC
(4,6),0.879106 # DEPENDENCYPART_ARC
(4,7),0.139331 # DEPENDENCYPART_ARC
(4,8),0.00800158 # DEPENDENCYPART_ARC
(4,9),1.1715 # DEPENDENCYPART_ARC
(4,10),-0.424215 # DEPENDENCYPART_ARC
(4,11),0.00610744 # DEPENDENCYPART_ARC
(4,12),-0.235789 # DEPENDENCYPART_ARC
(4,13),-0.337194 # DEPENDENCYPART_ARC
(4,14),-0.557796 # DEPENDENCYPART_ARC
(4,15),-0.670948 # DEPENDENCYPART_ARC
(4,16),-0.296405 # DEPENDENCYPART_ARC
(4,17),-0.632768 # DEPENDENCYPART_ARC
(4,18),-0.490433 # DEPENDENCYPART_ARC
(4,19),-1.20669 # DEPENDENCYPART_ARC
(4,20),-0.271274 # DEPENDENCYPART_ARC
(4,21),-1.78876 # DEPENDENCYPART_ARC
(4,22),-1.22444 # DEPENDENCYPART_ARC
(4,23),-0.314196 # DEPENDENCYPART_ARC
(4,24),-2.26156 # DEPENDENCYPART_ARC
(4,25),-0.770805 # DEPENDENCYPART_ARC
(4,26),-1.61537 # DEPENDENCYPART_ARC
(4,27),-1.84315 # DEPENDENCYPART_ARC
(4,28),-2.17531 # DEPENDENCYPART_ARC
(4,29),-2.06391 # DEPENDENCYPART_ARC
(4,30),-1.10032 # DEPENDENCYPART_ARC
(4,31),-2.16452 # DEPENDENCYPART_ARC
(4,32),-3.75363 # DEPENDENCYPART_ARC
(4,33),-2.51136 # DEPENDENCYPART_ARC
(4,34),-0.36957 # DEPENDENCYPART_ARC
(4,35),-0.724909 # DEPENDENCYPART_ARC
(4,36),-0.852991 # DEPENDENCYPART_ARC
(4,37),-4.57853 # DEPENDENCYPART_ARC
(4,38),-3.23609 # DEPENDENCYPART_ARC
(4,39),-3.04929 # DEPENDENCYPART_ARC
(4,40),-2.77234 # DEPENDENCYPART_ARC
(4,41),-0.987821 # DEPENDENCYPART_ARC
(4,42),-0.937569 # DEPENDENCYPART_ARC
(4,43),-4.03401 # DEPENDENCYPART_ARC
(4,44),-3.72401 # DEPENDENCYPART_ARC
(4,45),-4.43964 # DEPENDENCYPART_ARC
(4,46),-4.29929 # DEPENDENCYPART_ARC
(4,47),-4.58459 # DEPENDENCYPART_ARC
(4,48),-1.51832 # DEPENDENCYPART_ARC
(4,49),-4.50379 # DEPENDENCYPART_ARC
(5,1),-0.629957 # DEPENDENCYPART_ARC
(5,2),-0.998692 # DEPENDENCYPART_ARC
(5,3),-1.18241 # DEPENDENCYPART_ARC
(5,4),0.382898 # DEPENDENCYPART_ARC
(5,6),2.78185 # DEPENDENCYPART_ARC
(5,7),0.179911 # DEPENDENCYPART_ARC
(5,8),-0.271641 # DEPENDENCYPART_ARC
(5,9),-0.190642 # DEPENDENCYPART_ARC
(5,10),0.259565 # DEPENDENCYPART_ARC
(5,11),-0.477341 # DEPENDENCYPART_ARC
(5,12),-0.264276 # DEPENDENCYPART_ARC
(5,13),-1.50296 # DEPENDENCYPART_ARC
(5,14),-0.529958 # DEPENDENCYPART_ARC
(5,15),-0.759962 # DEPENDENCYPART_ARC
(5,16),-0.292365 # DEPENDENCYPART_ARC
(5,17),-2.0127 # DEPENDENCYPART_ARC
(5,18),-1.1279 # DEPENDENCYPART_ARC
(5,19),-1.54894 # DEPENDENCYPART_ARC
(5,20),-2.31791 # DEPENDENCYPART_ARC
(5,21),-1.44917 # DEPENDENCYPART_ARC
(5,22),-1.62452 # DEPENDENCYPART_ARC
(5,23),-2.76555 # DEPENDENCYPART_ARC
(5,24),-2.36616 # DEPENDENCYPART_ARC
(5,25),-1.73879 # DEPENDENCYPART_ARC
(5,26),-2.1244 # DEPENDENCYPART_ARC
(5,27),-4.08839 # DEPENDENCYPART_ARC
(5,28),-3.72979 # DEPENDENCYPART_ARC
(5,29),-3.56866 # DEPENDENCYPART_ARC
(5,30),-2.03206 # DEPENDENCYPART_ARC
(5,31),-4.8624 # DEPENDENCYPART_ARC
(5,32),-2.88174 # DEPENDENCYPART_ARC
(5,33),-5.34575 # DEPENDENCYPART_ARC
(5,34),-1.02577 # DEPENDENCYPART_ARC
(5,35),-2.77063 # DEPENDENCYPART_ARC
(5,36),-5.0038 # DEPENDENCYPART_ARC
(5,37),-4.22949 # DEPENDENCYPART_ARC
(5,38),-6.90674 # DEPENDENCYPART_ARC
(5,39),-3.61194 # DEPENDENCYPART_ARC
(5,40),-6.52521 # DEPENDENCYPART_ARC
(5,41),-7.49076 # DEPENDENCYPART_ARC
(5,42),-6.48906 # DEPENDENCYPART_ARC
(5,43),-4.82514 # DEPENDENCYPART_ARC
(5,44),-7.26482 # DEPENDENCYPART_ARC
(5,45),-6.30667 # DEPENDENCYPART_ARC
(5,46),-3.18774 # DEPENDENCYPART_ARC
(5,47),-8.70145 # DEPENDENCYPART_ARC
(5,48),-10.3234 # DEPENDENCYPART_ARC
(5,49),-5.32935 # DEPENDENCYPART_ARC
(6,1),-1.28936 # DEPENDENCYPART_ARC
(6,2),-1.2366 # DEPENDENCYPART_ARC
(6,3),-1.8501 # DEPENDENCYPART_ARC
(6,4),-0.293357 # DEPENDENCYPART_ARC
(6,5),-0.874271 # DEPENDENCYPART_ARC
(6,7),0.116405 # DEPENDENCYPART_ARC
(6,8),-0.38556 # DEPENDENCYPART_ARC
(6,9),-1.92692 # DEPENDENCYPART_ARC
(6,10),-0.509111 # DEPENDENCYPART_ARC
(6,11),-1.09826 # DEPENDENCYPART_ARC
(6,12),-0.524962 # DEPENDENCYPART_ARC
(6,13),-2.38922 # DEPENDENCYPART_ARC
(6,14),-1.8946 # DEPENDENCYPART_ARC
(6,15),-1.769 # DEPENDENCYPART_ARC
(6,16),-1.0827 # DEPENDENCYPART_ARC
(6,17),-2.72364 # DEPENDENCYPART_ARC
(6,18),-1.51188 # DEPENDENCYPART_ARC
(6,19),-2.12275 # DEPENDENCYPART_ARC
(6,20),-2.6931 # DEPENDENCYPART_ARC
(6,21),-2.13189 # DEPENDENCYPART_ARC
(6,22),-2.13091 # DEPENDENCYPART_ARC
(6,23),-4.44421 # DEPENDENCYPART_ARC
(6,24),-3.05468 # DEPENDENCYPART_ARC
(6,25),-2.31626 # DEPENDENCYPART_ARC
(6,26),-2.13025 # DEPENDENCYPART_ARC
(6,27),-4.93249 # DEPENDENCYPART_ARC
(6,28),-4.47506 # DEPENDENCYPART_ARC
(6,29),-4.32782 # DEPENDENCYPART_ARC
(6,30),-3.03185 # DEPENDENCYPART_ARC
(6,31),-5.57339 # DEPENDENCYPART_ARC
(6,32),-3.36889 # DEPENDENCYPART_ARC
(6,33),-5.9406 # DEPENDENCYPART_ARC
(6,34),-1.29499 # DEPENDENCYPART_ARC
(6,35),-3.23199 # DEPENDENCYPART_ARC
(6,36),-4.12338 # DEPENDENCYPART_ARC
(6,37),-4.38937 # DEPENDENCYPART_ARC
(6,38),-7.419 # DEPENDENCYPART_ARC
(6,39),-3.97807 # DEPENDENCYPART_ARC
(6,40),-7.72737 # DEPENDENCYPART_ARC
(6,41),-7.97797 # DEPENDENCYPART_ARC
(6,42),-7.1955 # DEPENDENCYPART_ARC
(6,43),-4.91478 # DEPENDENCYPART_ARC
(6,44),-8.06994 # DEPENDENCYPART_ARC
(6,45),-7.3302 # DEPENDENCYPART_ARC
(6,46),-3.00664 # DEPENDENCYPART_ARC
(6,47),-9.09823 # DEPENDENCYPART_ARC
(6,48),-11.6048 # DEPENDENCYPART_ARC
(6,49),-5.66989 # DEPENDENCYPART_ARC
(7,1),0.197927 # DEPENDENCYPART_ARC
(7,2),0.653051 # DEPENDENCYPART_ARC
(7,3),0.548024 # DEPENDENCYPART_ARC
(7,4),1.97559 # DEPENDENCYPART_ARC
(7,5),1.07553 # DEPENDENCYPART_ARC
(7,6),1.32408 # DEPENDENCYPART_ARC
(7,8),1.44415 # DEPENDENCYPART_ARC
(7,9),0.893569 # DEPENDENCYPART_ARC
(7,10),0.733038 # DEPENDENCYPART_ARC
(7,11),1.53057 # DEPENDENCYPART_ARC
(7,12),0.404015 # DEPENDENCYPART_ARC
(7,13),0.197906 # DEPENDENCYPART_ARC
(7,14),0.0705554 # DEPENDENCYPART_ARC
(7,15),-0.0745677 # DEPENDENCYPART_ARC
(7,16),0.0627216 # DEPENDENCYPART_ARC
(7,17),-0.222076 # DEPENDENCYPART_ARC
(7,18),-0.147568 # DEPENDENCYPART_ARC
(7,19),-0.0939034 # DEPENDENCYPART_ARC
(7,20),-0.27058 # DEPENDENCYPART_ARC
(7,21),-0.858136 # DEPENDENCYPART_ARC
(7,22),-0.142981 # DEPENDENCYPART_ARC
(7,23),-0.440165 # DEPENDENCYPART_ARC
(7,24),-0.703317 # DEPENDENCYPART_ARC
(7,25),-0.932719 # DEPENDENCYPART_ARC
(7,26),-0.581537 # DEPENDENCYPART_ARC
(7,27),-0.881834 # DEPENDENCYPART_ARC
(7,28),-1.08118 # DEPENDENCYPART_ARC
(7,29),-1.12251 # DEPENDENCYPART_ARC
(7,30),-0.812759 # DEPENDENCYPART_ARC
(7,31),-1.58612 # DEPENDENCYPART_ARC
(7,32),-2.51535 # DEPENDENCYPART_ARC
(7,33),-1.85765 # DEPENDENCYPART_ARC
(7,34),-0.517549 # DEPENDENCYPART_ARC
(7,35),-0.324477 # DEPENDENCYPART_ARC
(7,36),-0.557888 # DEPENDENCYPART_ARC
(7,37),-1.64061 # DEPENDENCYPART_ARC
(7,38),-2.67663 # DEPENDENCYPART_ARC
(7,39),-1.12308 # DEPENDENCYPART_ARC
(7,40),-2.87117 # DEPENDENCYPART_ARC
(7,41),-2.45756 # DEPENDENCYPART_ARC
(7,42),-2.4773 # DEPENDENCYPART_ARC
(7,43),-2.40399 # DEPENDENCYPART_ARC
(7,44),-3.30734 # DEPENDENCYPART_ARC
(7,45),-3.38483 # DEPENDENCYPART_ARC
(7,46),-2.43284 # DEPENDENCYPART_ARC
(7,47),-3.60227 # DEPENDENCYPART_ARC
(7,48),-1.54014 # DEPENDENCYPART_ARC
(7,49),-5.39216 # DEPENDENCYPART_ARC
(8,1),-0.390752 # DEPENDENCYPART_ARC
(8,2),-0.117726 # DEPENDENCYPART_ARC
(8,3),-0.3898 # DEPENDENCYPART_ARC
(8,4),-0.167027 # DEPENDENCYPART_ARC
(8,5),0.371897 # DEPENDENCYPART_ARC
(8,6),0.914471 # DEPENDENCYPART_ARC
(8,7),0.815251 # DEPENDENCYPART_ARC
(8,9),2.53506 # DEPENDENCYPART_ARC
(8,10),0.593077 # DEPENDENCYPART_ARC
(8,11),0.561019 # DEPENDENCYPART_ARC
(8,12),-0.463586 # DEPENDENCYPART_ARC
(8,13),-0.132435 # DEPENDENCYPART_ARC
(8,14),-0.431709 # DEPENDENCYPART_ARC
(8,15),-0.443398 # DEPENDENCYPART_ARC
(8,16),-0.40716 # DEPENDENCYPART_ARC
(8,17),-0.509698 # DEPENDENCYPART_ARC
(8,18),-0.684223 # DEPENDENCYPART_ARC
(8,19),-1.45245 # DEPENDENCYPART_ARC
(8,20),-0.321594 # DEPENDENCYPART_ARC
(8,21),-1.27847 # DEPENDENCYPART_ARC
(8,22),-1.27039 # DEPENDENCYPART_ARC
(8,23),-0.297244 # DEPENDENCYPART_ARC
(8,24),-1.93647 # DEPENDENCYPART_ARC
(8,25),-0.494622 # DEPENDENCYPART_ARC
(8,26),-2.13036 # DEPENDENCYPART_ARC
(8,27),-1.64291 # DEPENDENCYPART_ARC
(8,28),-1.76912 # DEPENDENCYPART_ARC
(8,29),-1.83689 # DEPENDENCYPART_ARC
(8,30),-1.08108 # DEPENDENCYPART_ARC
(8,31),-2.12197 # DEPENDENCYPART_ARC
(8,32),-4.0306 # DEPENDENCYPART_ARC
(8,33),-2.5015 # DEPENDENCYPART_ARC
(8,34),-0.782406 # DEPENDENCYPART_ARC
(8,35),-0.897694 # DEPENDENCYPART_ARC
(8,36),-1.00677 # DEPENDENCYPART_ARC
(8,37),-4.49028 # DEPENDENCYPART_ARC
(8,38),-3.00252 # DEPENDENCYPART_ARC
(8,39),-3.17579 # DEPENDENCYPART_ARC
(8,40),-2.78104 # DEPENDENCYPART_ARC
(8,41),-1.32543 # DEPENDENCYPART_ARC
(8,42),-1.37665 # DEPENDENCYPART_ARC
(8,43),-4.36786 # DEPENDENCYPART_ARC
(8,44),-3.69368 # DEPENDENCYPART_ARC
(8,45),-3.98145 # DEPENDENCYPART_ARC
(8,46),-4.29475 # DEPENDENCYPART_ARC
(8,47),-4.24809 # DEPENDENCYPART_ARC
(8,48),-1.40631 # DEPENDENCYPART_ARC
(8,49),-4.20827 # DEPENDENCYPART_ARC
(9,1),-0.888935 # DEPENDENCYPART_ARC
(9,2),-1.22788 # DEPENDENCYPART_ARC
(9,3),-1.99301 # DEPENDENCYPART_ARC
(9,4),-0.895981 # DEPENDENCYPART_ARC
(9,5),-1.20141 # DEPENDENCYPART_ARC
(9,6),-1.11414 # DEPENDENCYPART_ARC
(9,7),-0.236656 # DEPENDENCYPART_ARC
(9,8),-0.169168 # DEPENDENCYPART_ARC
(9,10),2.60544 # DEPENDENCYPART_ARC
(9,11),-0.249024 # DEPENDENCYPART_ARC
(9,12),-0.300579 # DEPENDENCYPART_ARC
(9,13),-1.43153 # DEPENDENCYPART_ARC
(9,14),-0.645948 # DEPENDENCYPART_ARC
(9,15),-0.715491 # DEPENDENCYPART_ARC
(9,16),-0.352943 # DEPENDENCYPART_ARC
(9,17),-1.98064 # DEPENDENCYPART_ARC
(9,18),-1.2438 # DEPENDENCYPART_ARC
(9,19),-1.46528 # DEPENDENCYPART_ARC
(9,20),-2.20682 # DEPENDENCYPART_ARC
(9,21),-1.82313 # DEPENDENCYPART_ARC
(9,22),-1.60892 # DEPENDENCYPART_ARC
(9,23),-2.74277 # DEPENDENCYPART_ARC
(9,24),-2.26784 # DEPENDENCYPART_ARC
(9,25),-2.07121 # DEPENDENCYPART_ARC
(9,26),-2.56848 # DEPENDENCYPART_ARC
(9,27),-4.26585 # DEPENDENCYPART_ARC
(9,28),-3.69669 # DEPENDENCYPART_ARC
(9,29),-3.50996 # DEPENDENCYPART_ARC
(9,30),-2.18744 # DEPENDENCYPART_ARC
(9,31),-4.91557 # DEPENDENCYPART_ARC
(9,32),-3.31644 # DEPENDENCYPART_ARC
(9,33),-5.79011 # DEPENDENCYPART_ARC
(9,34),-1.44538 # DEPENDENCYPART_ARC
(9,35),-2.92924 # DEPENDENCYPART_ARC
(9,36),-5.01139 # DEPENDENCYPART_ARC
(9,37),-4.45457 # DEPENDENCYPART_ARC
(9,38),-6.99647 # DEPENDENCYPART_ARC
(9,39),-3.35881 # DEPENDENCYPART_ARC
(9,40),-6.6758 # DEPENDENCYPART_ARC
(9,41),-7.49151 # DEPENDENCYPART_ARC
(9,42),-5.98664 # DEPENDENCYPART_ARC
(9,43),-5.85785 # DEPENDENCYPART_ARC
(9,44),-7.76881 # DEPENDENCYPART_ARC
(9,45),-6.83534 # DEPENDENCYPART_ARC
(9,46),-3.64021 # DEPENDENCYPART_ARC
(9,47),-8.75483 # DEPENDENCYPART_ARC
(9,48),-9.56082 # DEPENDENCYPART_ARC
(9,49),-5.60698 # DEPENDENCYPART_ARC
