# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(1,7),-2.85628 # DEPENDENCYPART_ARC
(1,8),-2.58505 # DEPENDENCYPART_ARC
(1,9),-2.62619 # DEPENDENCYPART_ARC
(1,10),-2.46927 # DEPENDENCYPART_ARC
(1,11),-3.07315 # DEPENDENCYPART_ARC
(1,12),-2.72547 # DEPENDENCYPART_ARC
(1,13),-2.46301 # DEPENDENCYPART_ARC
(1,14),-2.6634 # DEPENDENCYPART_ARC
(1,15),-3.25507 # DEPENDENCYPART_ARC
(1,16),-3.41181 # DEPENDENCYPART_ARC
(1,17),-3.53891 # DEPENDENCYPART_ARC
(1,18),-3.07016 # DEPENDENCYPART_ARC
(1,19),-2.60377 # DEPENDENCYPART_ARC
(1,20),-3.39922 # DEPENDENCYPART_ARC
(1,21),-3.54518 # DEPENDENCYPART_ARC
(1,22),-3.8601 # DEPENDENCYPART_ARC
(1,23),-2.89351 # DEPENDENCYPART_ARC
(1,24),-3.34899 # DEPENDENCYPART_ARC
(1,25),-4.03055 # DEPENDENCYPART_ARC
(1,26),-4.72343 # DEPENDENCYPART_ARC
(1,27),-3.71302 # DEPENDENCYPART_ARC
(1,28),-4.13821 # DEPENDENCYPART_ARC
(1,29),-4.43523 # DEPENDENCYPART_ARC
(1,30),-4.16907 # DEPENDENCYPART_ARC
(1,31),-4.34039 # DEPENDENCYPART_ARC
(1,32),-5.56283 # DEPENDENCYPART_ARC
(1,33),-5.41975 # DEPENDENCYPART_ARC
(1,34),-3.72575 # DEPENDENCYPART_ARC
(2,1),0.204293 # DEPENDENCYPART_ARC
(2,3),2.53149 # DEPENDENCYPART_ARC
(2,4),0.0175846 # DEPENDENCYPART_ARC
(2,5),-0.835108 # DEPENDENCYPART_ARC
(2,6),-0.124049 # DEPENDENCYPART_ARC
(2,7),1.36952 # DEPENDENCYPART_ARC
(2,8),-0.0564417 # DEPENDENCYPART_ARC
(2,9),-2.54372 # DEPENDENCYPART_ARC
(2,10),-0.598239 # DEPENDENCYPART_ARC
(2,11),-0.954958 # DEPENDENCYPART_ARC
(2,12),-0.0751233 # DEPENDENCYPART_ARC
(2,13),-0.434517 # DEPENDENCYPART_ARC
(2,14),-0.13419 # DEPENDENCYPART_ARC
(2,15),-2.76238 # DEPENDENCYPART_ARC
(2,16),-3.45251 # DEPENDENCYPART_ARC
(2,17),-2.50945 # DEPENDENCYPART_ARC
(2,18),-0.596848 # DEPENDENCYPART_ARC
(2,19),-0.45261 # DEPENDENCYPART_ARC
(2,20),-2.75688 # DEPENDENCYPART_ARC
(2,21),-3.61441 # DEPENDENCYPART_ARC
(2,22),-0.0296146 # DEPENDENCYPART_ARC
(2,23),-0.91466 # DEPENDENCYPART_ARC
(2,24),-0.845108 # DEPENDENCYPART_ARC
(2,25),-4.44743 # DEPENDENCYPART_ARC
(2,26),-5.39222 # DEPENDENCYPART_ARC
(2,27),-1.97541 # DEPENDENCYPART_ARC
(2,28),-1.57259 # DEPENDENCYPART_ARC
(2,29),-4.70366 # DEPENDENCYPART_ARC
(2,30),-1.67087 # DEPENDENCYPART_ARC
(2,31),-7.7259 # DEPENDENCYPART_ARC
(2,32),-4.73871 # DEPENDENCYPART_ARC
(2,33),-4.45864 # DEPENDENCYPART_ARC
(2,34),-2.01478 # DEPENDENCYPART_ARC
(3,1),-0.949452 # DEPENDENCYPART_ARC
(3,2),0.278836 # DEPENDENCYPART_ARC
(3,4),3.10541 # DEPENDENCYPART_ARC
(3,5),1.23008 # DEPENDENCYPART_ARC
(3,6),0.60673 # DEPENDENCYPART_ARC
(3,7),0.764952 # DEPENDENCYPART_ARC
(3,8),0.533043 # DEPENDENCYPART_ARC
(3,9),0.217205 # DEPENDENCYPART_ARC
(3,10),0.629631 # DEPENDENCYPART_ARC
(3,11),-0.815797 # DEPENDENCYPART_ARC
(3,12),0.144903 # DEPENDENCYPART_ARC
(3,13),0.120469 # DEPENDENCYPART_ARC
(3,14),0.614387 # DEPENDENCYPART_ARC
(3,15),-0.985518 # DEPENDENCYPART_ARC
(3,16),-0.628711 # DEPENDENCYPART_ARC
(3,17),-0.855115 # DEPENDENCYPART_ARC
(3,18),-0.769631 # DEPENDENCYPART_ARC
(3,19),-0.357802 # DEPENDENCYPART_ARC
(3,20),-1.20568 # DEPENDENCYPART_ARC
(3,21),-1.15905 # DEPENDENCYPART_ARC
(3,22),-2.01554 # DEPENDENCYPART_ARC
(3,23),-1.21955 # DEPENDENCYPART_ARC
(3,24),-0.515212 # DEPENDENCYPART_ARC
(3,25),-2.13251 # DEPENDENCYPART_ARC
(3,26),-2.02555 # DEPENDENCYPART_ARC
(3,27),-1.45646 # DEPENDENCYPART_ARC
(3,28),-2.22303 # DEPENDENCYPART_ARC
(3,29),-2.43118 # DEPENDENCYPART_ARC
(3,30),-1.19437 # DEPENDENCYPART_ARC
(3,31),-3.79904 # DEPENDENCYPART_ARC
(3,32),-3.761 # DEPENDENCYPART_ARC
(3,33),-3.84174 # DEPENDENCYPART_ARC
(3,34),-2.35818 # DEPENDENCYPART_ARC
(4,1),-1.03348 # DEPENDENCYPART_ARC
(4,2),-0.193557 # DEPENDENCYPART_ARC
(4,3),-0.547167 # DEPENDENCYPART_ARC
(4,5),1.49547 # DEPENDENCYPART_ARC
(4,6),-0.212946 # DEPENDENCYPART_ARC
(4,7),0.611891 # DEPENDENCYPART_ARC
(4,8),-2.24553 # DEPENDENCYPART_ARC
(4,9),-0.905206 # DEPENDENCYPART_ARC
(4,10),-0.0933281 # DEPENDENCYPART_ARC
(4,11),-1.87724 # DEPENDENCYPART_ARC
(4,12),-1.0413 # DEPENDENCYPART_ARC
(4,13),-0.764942 # DEPENDENCYPART_ARC
(4,14),-0.75959 # DEPENDENCYPART_ARC
(4,15),-3.4893 # DEPENDENCYPART_ARC
(4,16),-1.97518 # DEPENDENCYPART_ARC
(4,17),-2.73336 # DEPENDENCYPART_ARC
(4,18),-1.75756 # DEPENDENCYPART_ARC
(4,19),-1.65116 # DEPENDENCYPART_ARC
(4,20),-3.20752 # DEPENDENCYPART_ARC
(4,21),-2.34146 # DEPENDENCYPART_ARC
(4,22),-4.56183 # DEPENDENCYPART_ARC
(4,23),-2.07864 # DEPENDENCYPART_ARC
(4,24),-1.6473 # DEPENDENCYPART_ARC
(4,25),-4.90226 # DEPENDENCYPART_ARC
(4,26),-3.8481 # DEPENDENCYPART_ARC
(4,27),-2.13557 # DEPENDENCYPART_ARC
(4,28),-4.70329 # DEPENDENCYPART_ARC
(4,29),-3.29152 # DEPENDENCYPART_ARC
(4,30),-2.71874 # DEPENDENCYPART_ARC
(4,31),-5.10254 # DEPENDENCYPART_ARC
(4,32),-3.87252 # DEPENDENCYPART_ARC
(4,33),-3.98985 # DEPENDENCYPART_ARC
(4,34),-3.22468 # DEPENDENCYPART_ARC
(5,1),-1.04336 # DEPENDENCYPART_ARC
(5,2),-1.17569 # DEPENDENCYPART_ARC
(5,3),-0.464863 # DEPENDENCYPART_ARC
(5,4),-0.39824 # DEPENDENCYPART_ARC
(5,7),-1.16422 # DEPENDENCYPART_ARC
(5,8),-1.23216 # DEPENDENCYPART_ARC
(5,9),-1.69123 # DEPENDENCYPART_ARC
(5,10),-1.49187 # DEPENDENCYPART_ARC
(5,13),-1.26073 # DEPENDENCYPART_ARC
(5,14),-1.51682 # DEPENDENCYPART_ARC
(5,15),-2.0601 # DEPENDENCYPART_ARC
(5,16),-1.90521 # DEPENDENCYPART_ARC
(5,17),-2.30866 # DEPENDENCYPART_ARC
(5,20),-1.79709 # DEPENDENCYPART_ARC
(5,21),-1.75451 # DEPENDENCYPART_ARC
(5,22),-1.90892 # DEPENDENCYPART_ARC
(5,23),-1.64352 # DEPENDENCYPART_ARC
(5,24),-1.96299 # DEPENDENCYPART_ARC
(5,25),-2.02327 # DEPENDENCYPART_ARC
(5,26),-2.19474 # DEPENDENCYPART_ARC
(5,27),-2.6579 # DEPENDENCYPART_ARC
(5,28),-2.15657 # DEPENDENCYPART_ARC
(5,29),-2.46883 # DEPENDENCYPART_ARC
(5,30),-2.49101 # DEPENDENCYPART_ARC
(5,31),-2.57892 # DEPENDENCYPART_ARC
(5,32),-2.62775 # DEPENDENCYPART_ARC
(5,33),-2.63119 # DEPENDENCYPART_ARC
(5,34),-2.3124 # DEPENDENCYPART_ARC
(6,1),-0.561714 # DEPENDENCYPART_ARC
(6,2),-0.172662 # DEPENDENCYPART_ARC
(6,3),-0.0920786 # DEPENDENCYPART_ARC
(6,4),0.0912081 # DEPENDENCYPART_ARC
(6,7),-0.352859 # DEPENDENCYPART_ARC
(6,8),-0.722741 # DEPENDENCYPART_ARC
(6,9),-1.33417 # DEPENDENCYPART_ARC
(6,10),-1.22965 # DEPENDENCYPART_ARC
(6,11),-1.21916 # DEPENDENCYPART_ARC
(6,12),-1.63985 # DEPENDENCYPART_ARC
(6,13),-1.45515 # DEPENDENCYPART_ARC
(6,14),-1.45793 # DEPENDENCYPART_ARC
(6,15),-1.78227 # DEPENDENCYPART_ARC
(6,16),-1.59793 # DEPENDENCYPART_ARC
(6,17),-1.98308 # DEPENDENCYPART_ARC
(6,18),-1.68967 # DEPENDENCYPART_ARC
(6,19),-1.72704 # DEPENDENCYPART_ARC
(6,20),-1.87982 # DEPENDENCYPART_ARC
(6,21),-2.07665 # DEPENDENCYPART_ARC
(6,22),-2.16271 # DEPENDENCYPART_ARC
(6,23),-1.88838 # DEPENDENCYPART_ARC
(6,24),-2.25083 # DEPENDENCYPART_ARC
(6,25),-2.4045 # DEPENDENCYPART_ARC
(6,26),-1.88159 # DEPENDENCYPART_ARC
(6,27),-2.41431 # DEPENDENCYPART_ARC
(6,28),-2.51877 # DEPENDENCYPART_ARC
(6,29),-2.84717 # DEPENDENCYPART_ARC
(6,30),-3.03724 # DEPENDENCYPART_ARC
(6,31),-3.00612 # DEPENDENCYPART_ARC
(6,32),-3.09156 # DEPENDENCYPART_ARC
(6,33),-3.04702 # DEPENDENCYPART_ARC
(6,34),-2.78184 # DEPENDENCYPART_ARC
(7,1),0.0813151 # DEPENDENCYPART_ARC
(7,2),-1.62678 # DEPENDENCYPART_ARC
(7,3),-0.210421 # DEPENDENCYPART_ARC
(7,4),-1.53838 # DEPENDENCYPART_ARC
(7,5),0.0521978 # DEPENDENCYPART_ARC
(7,6),2.41097 # DEPENDENCYPART_ARC
(7,8),2.97423 # DEPENDENCYPART_ARC
(7,9),-0.704314 # DEPENDENCYPART_ARC
(7,10),1.62659 # DEPENDENCYPART_ARC
(7,11),0.269865 # DEPENDENCYPART_ARC
(7,12),0.566632 # DEPENDENCYPART_ARC
(7,13),0.154121 # DEPENDENCYPART_ARC
(7,14),0.436355 # DEPENDENCYPART_ARC
(7,15),-0.674221 # DEPENDENCYPART_ARC
(7,16),-2.28284 # DEPENDENCYPART_ARC
(7,17),-1.63662 # DEPENDENCYPART_ARC
(7,18),0.0329044 # DEPENDENCYPART_ARC
(7,19),-0.183167 # DEPENDENCYPART_ARC
(7,20),-0.332528 # DEPENDENCYPART_ARC
(7,21),-1.35974 # DEPENDENCYPART_ARC
(7,22),0.857166 # DEPENDENCYPART_ARC
(7,23),-0.348419 # DEPENDENCYPART_ARC
(7,24),-0.442563 # DEPENDENCYPART_ARC
(7,25),-1.61104 # DEPENDENCYPART_ARC
(7,26),-3.91238 # DEPENDENCYPART_ARC
(7,27),-2.43784 # DEPENDENCYPART_ARC
(7,28),0.554189 # DEPENDENCYPART_ARC
(7,29),-2.52483 # DEPENDENCYPART_ARC
(7,30),-1.60588 # DEPENDENCYPART_ARC
(7,31),-5.02365 # DEPENDENCYPART_ARC
(7,32),-4.07343 # DEPENDENCYPART_ARC
(7,33),-3.80868 # DEPENDENCYPART_ARC
(7,34),-1.12069 # DEPENDENCYPART_ARC
(8,1),-1.28252 # DEPENDENCYPART_ARC
(8,2),-1.15626 # DEPENDENCYPART_ARC
(8,3),-1.02691 # DEPENDENCYPART_ARC
(8,4),-1.24095 # DEPENDENCYPART_ARC
(8,5),-0.394954 # DEPENDENCYPART_ARC
(8,6),-0.539637 # DEPENDENCYPART_ARC
(8,7),-0.137537 # DEPENDENCYPART_ARC
(8,9),3.27692 # DEPENDENCYPART_ARC
(8,10),1.38415 # DEPENDENCYPART_ARC
(8,11),0.0661638 # DEPENDENCYPART_ARC
(8,12),0.12064 # DEPENDENCYPART_ARC
(8,13),0.2769 # DEPENDENCYPART_ARC
(8,14),0.109551 # DEPENDENCYPART_ARC
(8,15),-0.224166 # DEPENDENCYPART_ARC
(8,16),0.831509 # DEPENDENCYPART_ARC
(8,17),-0.220542 # DEPENDENCYPART_ARC
(8,18),-0.167099 # DEPENDENCYPART_ARC
(8,19),-0.574251 # DEPENDENCYPART_ARC
(8,20),-0.614735 # DEPENDENCYPART_ARC
(8,21),-0.499746 # DEPENDENCYPART_ARC
(8,22),-1.4672 # DEPENDENCYPART_ARC
(8,23),-1.03135 # DEPENDENCYPART_ARC
(8,24),-0.726381 # DEPENDENCYPART_ARC
(8,25),-1.3803 # DEPENDENCYPART_ARC
(8,26),-1.01672 # DEPENDENCYPART_ARC
(8,27),-1.11997 # DEPENDENCYPART_ARC
(8,28),-1.9467 # DEPENDENCYPART_ARC
(8,29),-2.11731 # DEPENDENCYPART_ARC
(8,30),-1.48555 # DEPENDENCYPART_ARC
(8,31),-3.62774 # DEPENDENCYPART_ARC
(8,32),-4.0483 # DEPENDENCYPART_ARC
(8,33),-3.96232 # DEPENDENCYPART_ARC
(8,34),-2.25487 # DEPENDENCYPART_ARC
(9,1),-1.07563 # DEPENDENCYPART_ARC
(9,2),-2.64784 # DEPENDENCYPART_ARC
(9,3),-1.26813 # DEPENDENCYPART_ARC
(9,4),-1.87884 # DEPENDENCYPART_ARC
(9,6),-0.779266 # DEPENDENCYPART_ARC
(9,7),-1.94615 # DEPENDENCYPART_ARC
(9,8),-0.43289 # DEPENDENCYPART_ARC
(9,10),-0.311725 # DEPENDENCYPART_ARC
(9,11),-0.820539 # DEPENDENCYPART_ARC
(9,13),-0.859732 # DEPENDENCYPART_ARC
(9,14),-1.44939 # DEPENDENCYPART_ARC
(9,15),-2.36039 # DEPENDENCYPART_ARC
(9,17),-2.94743 # DEPENDENCYPART_ARC
(9,18),-1.23465 # DEPENDENCYPART_ARC
(9,20),-1.86075 # DEPENDENCYPART_ARC
(9,21),-2.23753 # DEPENDENCYPART_ARC
(9,22),-2.23514 # DEPENDENCYPART_ARC
(9,23),-1.19043 # DEPENDENCYPART_ARC
(9,24),-1.80543 # DEPENDENCYPART_ARC
(9,25),-2.08593 # DEPENDENCYPART_ARC
(9,27),-2.69841 # DEPENDENCYPART_ARC
(9,28),-2.01051 # DEPENDENCYPART_ARC
(9,29),-3.12625 # DEPENDENCYPART_ARC
(9,30),-2.34827 # DEPENDENCYPART_ARC
(9,31),-3.82834 # DEPENDENCYPART_ARC
(9,32),-3.65403 # DEPENDENCYPART_ARC
(9,33),-3.74703 # DEPENDENCYPART_ARC
(9,34),-2.41715 # DEPENDENCYPART_ARC
(10,1),-1.38191 # DEPENDENCYPART_ARC
(10,2),-1.30516 # DEPENDENCYPART_ARC
(10,3),-1.1499 # DEPENDENCYPART_ARC
(10,4),-1.0521 # DEPENDENCYPART_ARC
(10,5),-1.07112 # DEPENDENCYPART_ARC
(10,6),-0.800966 # DEPENDENCYPART_ARC
(10,7),-0.815123 # DEPENDENCYPART_ARC
(10,8),-0.316906 # DEPENDENCYPART_ARC
(10,9),-0.251862 # DEPENDENCYPART_ARC
(10,11),1.77492 # DEPENDENCYPART_ARC
(10,12),0.145169 # DEPENDENCYPART_ARC
(10,13),-0.0480205 # DEPENDENCYPART_ARC
(10,14),-0.0146321 # DEPENDENCYPART_ARC
(10,15),-0.985007 # DEPENDENCYPART_ARC
(10,16),-0.864272 # DEPENDENCYPART_ARC
(10,17),-1.18058 # DEPENDENCYPART_ARC
(10,18),-0.3593 # DEPENDENCYPART_ARC
(10,19),-0.793363 # DEPENDENCYPART_ARC
(10,20),-1.57813 # DEPENDENCYPART_ARC
(10,21),-1.92074 # DEPENDENCYPART_ARC
(10,22),-1.55331 # DEPENDENCYPART_ARC
(10,23),-0.645338 # DEPENDENCYPART_ARC
(10,24),-1.195 # DEPENDENCYPART_ARC
(10,25),-2.43032 # DEPENDENCYPART_ARC
(10,26),-1.64055 # DEPENDENCYPART_ARC
(10,27),-1.75355 # DEPENDENCYPART_ARC
(10,28),-3.15895 # DEPENDENCYPART_ARC
(10,29),-3.52057 # DEPENDENCYPART_ARC
(10,30),-2.42148 # DEPENDENCYPART_ARC
(10,31),-3.71691 # DEPENDENCYPART_ARC
(10,32),-2.19551 # DEPENDENCYPART_ARC
(10,33),-2.52351 # DEPENDENCYPART_ARC
(10,34),-2.2135 # DEPENDENCYPART_ARC
(11,1),-2.14452 # DEPENDENCYPART_ARC
(11,2),-2.15731 # DEPENDENCYPART_ARC
(11,3),-2.11935 # DEPENDENCYPART_ARC
(11,4),-1.92302 # DEPENDENCYPART_ARC
(11,5),-1.98562 # DEPENDENCYPART_ARC
(11,7),-1.68924 # DEPENDENCYPART_ARC
(11,8),-1.33101 # DEPENDENCYPART_ARC
(11,9),-0.842779 # DEPENDENCYPART_ARC
(11,10),-0.77216 # DEPENDENCYPART_ARC
(11,12),1.22242 # DEPENDENCYPART_ARC
(11,13),0.371947 # DEPENDENCYPART_ARC
(11,14),-0.500806 # DEPENDENCYPART_ARC
(11,15),-0.593156 # DEPENDENCYPART_ARC
(11,16),-0.181859 # DEPENDENCYPART_ARC
(11,17),-0.557878 # DEPENDENCYPART_ARC
(11,18),-0.724205 # DEPENDENCYPART_ARC
(11,19),-0.939797 # DEPENDENCYPART_ARC
(11,20),-0.934103 # DEPENDENCYPART_ARC
(11,21),-0.991035 # DEPENDENCYPART_ARC
(11,22),-0.887901 # DEPENDENCYPART_ARC
(11,23),-0.703204 # DEPENDENCYPART_ARC
(11,24),-1.1864 # DEPENDENCYPART_ARC
(11,25),-1.28609 # DEPENDENCYPART_ARC
(11,26),-0.562372 # DEPENDENCYPART_ARC
(11,27),-0.802825 # DEPENDENCYPART_ARC
(11,28),-1.78979 # DEPENDENCYPART_ARC
(11,29),-1.87525 # DEPENDENCYPART_ARC
(11,30),-1.53598 # DEPENDENCYPART_ARC
(11,31),-1.97467 # DEPENDENCYPART_ARC
(11,32),-1.65062 # DEPENDENCYPART_ARC
(11,33),-1.56075 # DEPENDENCYPART_ARC
(11,34),-2.11407 # DEPENDENCYPART_ARC
(12,1),-1.3731 # DEPENDENCYPART_ARC
(12,2),-1.35025 # DEPENDENCYPART_ARC
(12,3),-1.21638 # DEPENDENCYPART_ARC
(12,4),-0.853995 # DEPENDENCYPART_ARC
(12,7),-1.07777 # DEPENDENCYPART_ARC
(12,8),-0.144643 # DEPENDENCYPART_ARC
(12,9),-1.00262 # DEPENDENCYPART_ARC
(12,10),-0.135016 # DEPENDENCYPART_ARC
(12,11),-0.554383 # DEPENDENCYPART_ARC
(12,13),0.83571 # DEPENDENCYPART_ARC
(12,14),-0.302473 # DEPENDENCYPART_ARC
(12,15),-0.409352 # DEPENDENCYPART_ARC
(12,16),-0.769607 # DEPENDENCYPART_ARC
(12,17),-0.464409 # DEPENDENCYPART_ARC
(12,18),-0.727115 # DEPENDENCYPART_ARC
(12,19),-1.22645 # DEPENDENCYPART_ARC
(12,20),-0.482083 # DEPENDENCYPART_ARC
(12,21),-0.988972 # DEPENDENCYPART_ARC
(12,22),-0.492259 # DEPENDENCYPART_ARC
(12,23),-1.35407 # DEPENDENCYPART_ARC
(12,24),-1.32559 # DEPENDENCYPART_ARC
(12,25),-1.5145 # DEPENDENCYPART_ARC
(12,26),-0.988184 # DEPENDENCYPART_ARC
(12,27),-1.21837 # DEPENDENCYPART_ARC
(12,28),-2.01203 # DEPENDENCYPART_ARC
(12,29),-2.14832 # DEPENDENCYPART_ARC
(12,30),-1.72651 # DEPENDENCYPART_ARC
(12,31),-2.30086 # DEPENDENCYPART_ARC
(12,32),-1.34471 # DEPENDENCYPART_ARC
(12,33),-1.4229 # DEPENDENCYPART_ARC
(12,34),-2.4014 # DEPENDENCYPART_ARC
(13,1),-1.70036 # DEPENDENCYPART_ARC
(13,2),-1.55341 # DEPENDENCYPART_ARC
(13,3),-1.4579 # DEPENDENCYPART_ARC
(13,4),-1.55679 # DEPENDENCYPART_ARC
(13,5),-1.64728 # DEPENDENCYPART_ARC
(13,7),-0.929673 # DEPENDENCYPART_ARC
(13,8),-1.14864 # DEPENDENCYPART_ARC
(13,9),-1.09999 # DEPENDENCYPART_ARC
(13,10),-1.23006 # DEPENDENCYPART_ARC
(13,11),-0.747781 # DEPENDENCYPART_ARC
(13,12),0.187222 # DEPENDENCYPART_ARC
(13,14),-0.186798 # DEPENDENCYPART_ARC
(13,15),-0.96046 # DEPENDENCYPART_ARC
(13,16),-1.02611 # DEPENDENCYPART_ARC
(13,17),-0.717897 # DEPENDENCYPART_ARC
(13,18),-1.08741 # DEPENDENCYPART_ARC
(13,19),-1.06734 # DEPENDENCYPART_ARC
(13,20),-1.1877 # DEPENDENCYPART_ARC
(13,21),-1.39989 # DEPENDENCYPART_ARC
(13,22),-1.24535 # DEPENDENCYPART_ARC
(13,23),-1.03149 # DEPENDENCYPART_ARC
(13,24),-1.60152 # DEPENDENCYPART_ARC
(13,25),-1.56181 # DEPENDENCYPART_ARC
(13,26),-1.38148 # DEPENDENCYPART_ARC
(13,27),-0.877573 # DEPENDENCYPART_ARC
(13,28),-2.05823 # DEPENDENCYPART_ARC
(13,29),-2.03873 # DEPENDENCYPART_ARC
(13,30),-2.15603 # DEPENDENCYPART_ARC
(13,31),-2.31163 # DEPENDENCYPART_ARC
(13,32),-2.29797 # DEPENDENCYPART_ARC
(13,33),-2.34021 # DEPENDENCYPART_ARC
(13,34),-2.57758 # DEPENDENCYPART_ARC
(14,1),-1.17009 # DEPENDENCYPART_ARC
(14,2),0.529504 # DEPENDENCYPART_ARC
(14,3),1.25618 # DEPENDENCYPART_ARC
(14,4),0.429554 # DEPENDENCYPART_ARC
(14,5),-0.167355 # DEPENDENCYPART_ARC
(14,6),0.345349 # DEPENDENCYPART_ARC
(14,7),0.386905 # DEPENDENCYPART_ARC
(14,8),1.35831 # DEPENDENCYPART_ARC
(14,9),0.0492745 # DEPENDENCYPART_ARC
(14,10),-0.179192 # DEPENDENCYPART_ARC
(14,11),0.446085 # DEPENDENCYPART_ARC
(14,12),0.0761443 # DEPENDENCYPART_ARC
(14,13),0.248936 # DEPENDENCYPART_ARC
(14,15),1.19337 # DEPENDENCYPART_ARC
(14,16),0.470205 # DEPENDENCYPART_ARC
(14,17),0.275288 # DEPENDENCYPART_ARC
(14,18),0.0637549 # DEPENDENCYPART_ARC
(14,19),0.152205 # DEPENDENCYPART_ARC
(14,20),0.516598 # DEPENDENCYPART_ARC
(14,21),0.238378 # DEPENDENCYPART_ARC
(14,22),-0.11351 # DEPENDENCYPART_ARC
(14,23),0.232449 # DEPENDENCYPART_ARC
(14,24),1.22345 # DEPENDENCYPART_ARC
(14,25),0.491646 # DEPENDENCYPART_ARC
(14,26),-0.605151 # DEPENDENCYPART_ARC
(14,27),-0.303109 # DEPENDENCYPART_ARC
(14,28),-0.60921 # DEPENDENCYPART_ARC
(14,29),-0.849775 # DEPENDENCYPART_ARC
(14,30),-0.124149 # DEPENDENCYPART_ARC
(14,31),-0.293597 # DEPENDENCYPART_ARC
(14,32),-1.77271 # DEPENDENCYPART_ARC
(14,33),-1.58505 # DEPENDENCYPART_ARC
(14,34),-0.340699 # DEPENDENCYPART_ARC
(15,1),-1.76193 # DEPENDENCYPART_ARC
(15,2),-2.09254 # DEPENDENCYPART_ARC
(15,3),-1.60922 # DEPENDENCYPART_ARC
(15,4),-2.13325 # DEPENDENCYPART_ARC
(15,5),-1.45108 # DEPENDENCYPART_ARC
(15,6),-1.05414 # DEPENDENCYPART_ARC
(15,7),-1.6205 # DEPENDENCYPART_ARC
(15,8),-0.919332 # DEPENDENCYPART_ARC
(15,9),-4.06527 # DEPENDENCYPART_ARC
(15,10),-0.664455 # DEPENDENCYPART_ARC
(15,11),-0.58127 # DEPENDENCYPART_ARC
(15,12),-0.429237 # DEPENDENCYPART_ARC
(15,13),0.0544681 # DEPENDENCYPART_ARC
(15,14),0.0487893 # DEPENDENCYPART_ARC
(15,16),3.27758 # DEPENDENCYPART_ARC
