# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,16,21,26,23,24,16,26,27,28,29,30,31,32,33,34,35,35,37,38,0,
(2,25),-2.28885 # DEPENDENCYPART_ARC
(2,26),-2.99382 # DEPENDENCYPART_ARC
(2,27),-0.982551 # DEPENDENCYPART_ARC
(2,28),-3.43613 # DEPENDENCYPART_ARC
(2,29),-1.81272 # DEPENDENCYPART_ARC
(2,30),-1.13452 # DEPENDENCYPART_ARC
(2,31),-2.53053 # DEPENDENCYPART_ARC
(2,32),-1.52438 # DEPENDENCYPART_ARC
(2,33),-3.6869 # DEPENDENCYPART_ARC
(2,34),-2.09214 # DEPENDENCYPART_ARC
(2,35),-4.06312 # DEPENDENCYPART_ARC
(2,36),-5.83907 # DEPENDENCYPART_ARC
(2,37),-3.52097 # DEPENDENCYPART_ARC
(2,38),-4.91483 # DEPENDENCYPART_ARC
(2,39),-3.9068 # DEPENDENCYPART_ARC
(2,40),-2.9135 # DEPENDENCYPART_ARC
(3,1),-0.802164 # DEPENDENCYPART_ARC
(3,2),-0.659506 # DEPENDENCYPART_ARC
(3,4),1.23482 # DEPENDENCYPART_ARC
(3,5),0.331865 # DEPENDENCYPART_ARC
(3,6),-0.18324 # DEPENDENCYPART_ARC
(3,7),-0.190519 # DEPENDENCYPART_ARC
(3,8),-0.113275 # DEPENDENCYPART_ARC
(3,9),-0.204786 # DEPENDENCYPART_ARC
(3,10),-0.195655 # DEPENDENCYPART_ARC
(3,11),-1.08818 # DEPENDENCYPART_ARC
(3,12),0.109116 # DEPENDENCYPART_ARC
(3,13),-0.888821 # DEPENDENCYPART_ARC
(3,14),-1.10121 # DEPENDENCYPART_ARC
(3,15),-0.973356 # DEPENDENCYPART_ARC
(3,16),-1.11099 # DEPENDENCYPART_ARC
(3,17),-0.852297 # DEPENDENCYPART_ARC
(3,18),-1.17316 # DEPENDENCYPART_ARC
(3,19),-0.873048 # DEPENDENCYPART_ARC
(3,20),-0.927355 # DEPENDENCYPART_ARC
(3,21),-1.02337 # DEPENDENCYPART_ARC
(3,22),-1.10836 # DEPENDENCYPART_ARC
(3,23),-1.57824 # DEPENDENCYPART_ARC
(3,24),-1.2277 # DEPENDENCYPART_ARC
(3,25),-1.30897 # DEPENDENCYPART_ARC
(3,26),-2.64376 # DEPENDENCYPART_ARC
(3,27),-1.46306 # DEPENDENCYPART_ARC
(3,28),-1.33108 # DEPENDENCYPART_ARC
(3,29),-2.49787 # DEPENDENCYPART_ARC
(3,30),-2.23575 # DEPENDENCYPART_ARC
(3,31),-1.81216 # DEPENDENCYPART_ARC
(3,32),-1.6162 # DEPENDENCYPART_ARC
(3,33),-1.56654 # DEPENDENCYPART_ARC
(3,34),-1.72207 # DEPENDENCYPART_ARC
(3,35),-2.07546 # DEPENDENCYPART_ARC
(3,36),-1.72313 # DEPENDENCYPART_ARC
(3,37),-2.21781 # DEPENDENCYPART_ARC
(3,38),-2.32315 # DEPENDENCYPART_ARC
(3,39),-1.9008 # DEPENDENCYPART_ARC
(3,40),-2.85153 # DEPENDENCYPART_ARC
(4,1),-0.175667 # DEPENDENCYPART_ARC
(4,2),0.317014 # DEPENDENCYPART_ARC
(4,3),0.66472 # DEPENDENCYPART_ARC
(4,5),0.0387386 # DEPENDENCYPART_ARC
(4,6),0.142372 # DEPENDENCYPART_ARC
(4,7),-0.506504 # DEPENDENCYPART_ARC
(4,8),-0.638873 # DEPENDENCYPART_ARC
(4,9),-0.883128 # DEPENDENCYPART_ARC
(4,10),-0.850442 # DEPENDENCYPART_ARC
(4,11),-0.371099 # DEPENDENCYPART_ARC
(4,12),-0.516103 # DEPENDENCYPART_ARC
(4,13),-0.58126 # DEPENDENCYPART_ARC
(4,14),-1.63073 # DEPENDENCYPART_ARC
(4,15),-1.17369 # DEPENDENCYPART_ARC
(4,16),-1.29289 # DEPENDENCYPART_ARC
(4,17),-1.60918 # DEPENDENCYPART_ARC
(4,18),-1.73488 # DEPENDENCYPART_ARC
(4,19),-1.62496 # DEPENDENCYPART_ARC
(4,20),-1.99613 # DEPENDENCYPART_ARC
(4,21),-1.40787 # DEPENDENCYPART_ARC
(4,22),-1.22205 # DEPENDENCYPART_ARC
(4,23),-1.35921 # DEPENDENCYPART_ARC
(4,24),-2.0947 # DEPENDENCYPART_ARC
(4,25),-2.38802 # DEPENDENCYPART_ARC
(4,26),-2.23147 # DEPENDENCYPART_ARC
(4,27),-1.8788 # DEPENDENCYPART_ARC
(4,28),-2.57755 # DEPENDENCYPART_ARC
(4,29),-1.53422 # DEPENDENCYPART_ARC
(4,30),-2.98292 # DEPENDENCYPART_ARC
(4,31),-2.67413 # DEPENDENCYPART_ARC
(4,32),-2.12742 # DEPENDENCYPART_ARC
(4,33),-2.95389 # DEPENDENCYPART_ARC
(4,34),-2.05597 # DEPENDENCYPART_ARC
(4,35),-3.30667 # DEPENDENCYPART_ARC
(4,36),-1.70126 # DEPENDENCYPART_ARC
(4,37),-2.48074 # DEPENDENCYPART_ARC
(4,38),-3.7014 # DEPENDENCYPART_ARC
(4,39),-3.46324 # DEPENDENCYPART_ARC
(4,40),-1.9025 # DEPENDENCYPART_ARC
(5,1),-0.67224 # DEPENDENCYPART_ARC
(5,2),-0.231484 # DEPENDENCYPART_ARC
(5,3),-0.00850546 # DEPENDENCYPART_ARC
(5,4),0.445343 # DEPENDENCYPART_ARC
(5,6),2.25922 # DEPENDENCYPART_ARC
(5,7),0.959872 # DEPENDENCYPART_ARC
(5,8),0.846784 # DEPENDENCYPART_ARC
(5,9),-0.50416 # DEPENDENCYPART_ARC
(5,10),0.650683 # DEPENDENCYPART_ARC
(5,11),-0.718087 # DEPENDENCYPART_ARC
(5,12),0.230701 # DEPENDENCYPART_ARC
(5,13),-1.00763 # DEPENDENCYPART_ARC
(5,14),-1.161 # DEPENDENCYPART_ARC
(5,15),-1.33278 # DEPENDENCYPART_ARC
(5,16),-0.956556 # DEPENDENCYPART_ARC
(5,17),-1.51564 # DEPENDENCYPART_ARC
(5,18),-1.49565 # DEPENDENCYPART_ARC
(5,19),-0.983791 # DEPENDENCYPART_ARC
(5,20),-2.67018 # DEPENDENCYPART_ARC
(5,21),-1.87662 # DEPENDENCYPART_ARC
(5,22),-3.37742 # DEPENDENCYPART_ARC
(5,23),-1.34509 # DEPENDENCYPART_ARC
(5,24),-2.54847 # DEPENDENCYPART_ARC
(5,25),-2.47823 # DEPENDENCYPART_ARC
(5,26),-3.56662 # DEPENDENCYPART_ARC
(5,27),-1.61943 # DEPENDENCYPART_ARC
(5,28),-3.51758 # DEPENDENCYPART_ARC
(5,29),-1.89435 # DEPENDENCYPART_ARC
(5,30),-3.43461 # DEPENDENCYPART_ARC
(5,31),-3.66442 # DEPENDENCYPART_ARC
(5,32),-2.95653 # DEPENDENCYPART_ARC
(5,33),-4.55334 # DEPENDENCYPART_ARC
(5,34),-1.70411 # DEPENDENCYPART_ARC
(5,35),-4.8539 # DEPENDENCYPART_ARC
(5,36),-6.87231 # DEPENDENCYPART_ARC
(5,37),-3.79133 # DEPENDENCYPART_ARC
(5,38),-5.52369 # DEPENDENCYPART_ARC
(5,39),-4.93463 # DEPENDENCYPART_ARC
(5,40),-2.24427 # DEPENDENCYPART_ARC
(6,1),-0.823537 # DEPENDENCYPART_ARC
(6,2),-1.15634 # DEPENDENCYPART_ARC
(6,3),-1.35357 # DEPENDENCYPART_ARC
(6,4),-0.211733 # DEPENDENCYPART_ARC
(6,5),0.507825 # DEPENDENCYPART_ARC
(6,7),1.93558 # DEPENDENCYPART_ARC
(6,8),0.382717 # DEPENDENCYPART_ARC
(6,9),0.554135 # DEPENDENCYPART_ARC
(6,10),0.406183 # DEPENDENCYPART_ARC
(6,11),-0.522042 # DEPENDENCYPART_ARC
(6,12),-0.425915 # DEPENDENCYPART_ARC
(6,13),-1.09408 # DEPENDENCYPART_ARC
(6,14),-1.45117 # DEPENDENCYPART_ARC
(6,15),0.0549922 # DEPENDENCYPART_ARC
(6,16),-0.926725 # DEPENDENCYPART_ARC
(6,17),-1.4433 # DEPENDENCYPART_ARC
(6,18),-0.574516 # DEPENDENCYPART_ARC
(6,19),-0.659205 # DEPENDENCYPART_ARC
(6,20),-0.863566 # DEPENDENCYPART_ARC
(6,21),-1.55386 # DEPENDENCYPART_ARC
(6,22),-0.345823 # DEPENDENCYPART_ARC
(6,23),-1.12576 # DEPENDENCYPART_ARC
(6,24),-2.0012 # DEPENDENCYPART_ARC
(6,25),-1.2279 # DEPENDENCYPART_ARC
(6,26),-1.79676 # DEPENDENCYPART_ARC
(6,27),-2.91135 # DEPENDENCYPART_ARC
(6,28),-1.39395 # DEPENDENCYPART_ARC
(6,29),-3.82108 # DEPENDENCYPART_ARC
(6,30),-2.50261 # DEPENDENCYPART_ARC
(6,31),-1.83555 # DEPENDENCYPART_ARC
(6,32),-3.80511 # DEPENDENCYPART_ARC
(6,33),-2.15974 # DEPENDENCYPART_ARC
(6,34),-1.73785 # DEPENDENCYPART_ARC
(6,35),-2.75903 # DEPENDENCYPART_ARC
(6,36),-1.03075 # DEPENDENCYPART_ARC
(6,37),-3.61139 # DEPENDENCYPART_ARC
(6,38),-2.59236 # DEPENDENCYPART_ARC
(6,39),-2.84321 # DEPENDENCYPART_ARC
(6,40),-3.47877 # DEPENDENCYPART_ARC
(7,1),-0.725362 # DEPENDENCYPART_ARC
(7,2),-1.10245 # DEPENDENCYPART_ARC
(7,3),-0.657672 # DEPENDENCYPART_ARC
(7,4),-0.463942 # DEPENDENCYPART_ARC
(7,5),0.213869 # DEPENDENCYPART_ARC
(7,6),-0.763919 # DEPENDENCYPART_ARC
(7,8),1.89171 # DEPENDENCYPART_ARC
(7,9),0.438256 # DEPENDENCYPART_ARC
(7,10),0.859695 # DEPENDENCYPART_ARC
(7,11),-0.613056 # DEPENDENCYPART_ARC
(7,12),0.240987 # DEPENDENCYPART_ARC
(7,13),-0.0521522 # DEPENDENCYPART_ARC
(7,14),-2.41359 # DEPENDENCYPART_ARC
(7,15),-1.61211 # DEPENDENCYPART_ARC
(7,16),-0.566268 # DEPENDENCYPART_ARC
(7,17),-1.17791 # DEPENDENCYPART_ARC
(7,18),-1.22218 # DEPENDENCYPART_ARC
(7,19),-0.687625 # DEPENDENCYPART_ARC
(7,20),-2.36874 # DEPENDENCYPART_ARC
(7,21),-1.51476 # DEPENDENCYPART_ARC
(7,22),-3.61233 # DEPENDENCYPART_ARC
(7,23),-1.09786 # DEPENDENCYPART_ARC
(7,24),-2.25609 # DEPENDENCYPART_ARC
(7,25),-2.37841 # DEPENDENCYPART_ARC
(7,26),-3.44439 # DEPENDENCYPART_ARC
(7,27),-1.39857 # DEPENDENCYPART_ARC
(7,28),-3.42114 # DEPENDENCYPART_ARC
(7,29),-2.02855 # DEPENDENCYPART_ARC
(7,30),-4.11366 # DEPENDENCYPART_ARC
(7,31),-3.38242 # DEPENDENCYPART_ARC
(7,32),-2.45743 # DEPENDENCYPART_ARC
(7,33),-4.32974 # DEPENDENCYPART_ARC
(7,34),-1.23819 # DEPENDENCYPART_ARC
(7,35),-5.07375 # DEPENDENCYPART_ARC
(7,36),-6.8539 # DEPENDENCYPART_ARC
(7,37),-3.04144 # DEPENDENCYPART_ARC
(7,38),-5.61402 # DEPENDENCYPART_ARC
(7,39),-4.80401 # DEPENDENCYPART_ARC
(7,40),-2.97816 # DEPENDENCYPART_ARC
(8,1),-1.07705 # DEPENDENCYPART_ARC
(8,2),-0.882362 # DEPENDENCYPART_ARC
(8,3),-1.02082 # DEPENDENCYPART_ARC
(8,4),-0.811397 # DEPENDENCYPART_ARC
(8,5),-0.0871778 # DEPENDENCYPART_ARC
(8,6),-0.444558 # DEPENDENCYPART_ARC
(8,7),0.824549 # DEPENDENCYPART_ARC
(8,9),2.78679 # DEPENDENCYPART_ARC
(8,10),-0.228757 # DEPENDENCYPART_ARC
(8,11),0.0469485 # DEPENDENCYPART_ARC
(8,12),-0.428555 # DEPENDENCYPART_ARC
(8,13),-1.15848 # DEPENDENCYPART_ARC
(8,14),-1.31099 # DEPENDENCYPART_ARC
(8,15),-0.646744 # DEPENDENCYPART_ARC
(8,16),-1.33524 # DEPENDENCYPART_ARC
(8,17),-1.80847 # DEPENDENCYPART_ARC
(8,18),-2.27902 # DEPENDENCYPART_ARC
(8,19),-1.87334 # DEPENDENCYPART_ARC
(8,20),-1.43042 # DEPENDENCYPART_ARC
(8,21),-1.57737 # DEPENDENCYPART_ARC
(8,22),-0.52415 # DEPENDENCYPART_ARC
(8,23),-2.05265 # DEPENDENCYPART_ARC
(8,24),-3.19196 # DEPENDENCYPART_ARC
(8,25),-3.77271 # DEPENDENCYPART_ARC
(8,26),-1.89147 # DEPENDENCYPART_ARC
(8,27),-2.32621 # DEPENDENCYPART_ARC
(8,28),-3.01922 # DEPENDENCYPART_ARC
(8,29),-3.24308 # DEPENDENCYPART_ARC
(8,30),-4.71494 # DEPENDENCYPART_ARC
(8,31),-5.38985 # DEPENDENCYPART_ARC
(8,32),-3.13307 # DEPENDENCYPART_ARC
(8,33),-4.82822 # DEPENDENCYPART_ARC
(8,34),-2.626 # DEPENDENCYPART_ARC
(8,35),-5.63084 # DEPENDENCYPART_ARC
(8,36),-1.90786 # DEPENDENCYPART_ARC
(8,37),-3.23503 # DEPENDENCYPART_ARC
(8,38),-6.09935 # DEPENDENCYPART_ARC
(8,39),-7.68847 # DEPENDENCYPART_ARC
(8,40),-5.56612 # DEPENDENCYPART_ARC
(9,1),-1.70927 # DEPENDENCYPART_ARC
(9,2),-1.15058 # DEPENDENCYPART_ARC
(9,3),-1.75416 # DEPENDENCYPART_ARC
(9,4),-1.3606 # DEPENDENCYPART_ARC
(9,5),-0.874626 # DEPENDENCYPART_ARC
(9,6),-1.89675 # DEPENDENCYPART_ARC
(9,7),-1.47365 # DEPENDENCYPART_ARC
(9,8),-0.0904432 # DEPENDENCYPART_ARC
(9,10),1.0632 # DEPENDENCYPART_ARC
(9,11),-0.515136 # DEPENDENCYPART_ARC
(9,12),0.0775456 # DEPENDENCYPART_ARC
(9,13),-0.589743 # DEPENDENCYPART_ARC
(9,14),-2.23648 # DEPENDENCYPART_ARC
(9,15),-1.91596 # DEPENDENCYPART_ARC
(9,16),-0.819141 # DEPENDENCYPART_ARC
(9,17),-1.36882 # DEPENDENCYPART_ARC
(9,18),-1.89833 # DEPENDENCYPART_ARC
(9,19),-1.15528 # DEPENDENCYPART_ARC
(9,20),-2.79994 # DEPENDENCYPART_ARC
(9,21),-2.15037 # DEPENDENCYPART_ARC
(9,22),-4.05126 # DEPENDENCYPART_ARC
(9,23),-1.2527 # DEPENDENCYPART_ARC
(9,24),-2.39199 # DEPENDENCYPART_ARC
(9,25),-3.06099 # DEPENDENCYPART_ARC
(9,26),-4.1582 # DEPENDENCYPART_ARC
(9,27),-1.96496 # DEPENDENCYPART_ARC
(9,28),-3.59947 # DEPENDENCYPART_ARC
(9,29),-2.51649 # DEPENDENCYPART_ARC
(9,30),-4.01966 # DEPENDENCYPART_ARC
(9,31),-3.82535 # DEPENDENCYPART_ARC
(9,32),-3.00457 # DEPENDENCYPART_ARC
(9,33),-4.76376 # DEPENDENCYPART_ARC
(9,34),-1.99875 # DEPENDENCYPART_ARC
(9,35),-5.18487 # DEPENDENCYPART_ARC
(9,36),-7.10118 # DEPENDENCYPART_ARC
(9,37),-3.60712 # DEPENDENCYPART_ARC
(9,38),-6.13924 # DEPENDENCYPART_ARC
(9,39),-4.84444 # DEPENDENCYPART_ARC
(9,40),-2.92924 # DEPENDENCYPART_ARC
(10,1),-1.2862 # DEPENDENCYPART_ARC
(10,2),-0.737013 # DEPENDENCYPART_ARC
(10,3),-1.01338 # DEPENDENCYPART_ARC
(10,4),-0.498049 # DEPENDENCYPART_ARC
(10,5),-0.601516 # DEPENDENCYPART_ARC
(10,6),-0.748655 # DEPENDENCYPART_ARC
(10,7),-0.235526 # DEPENDENCYPART_ARC
(10,8),-0.22773 # DEPENDENCYPART_ARC
(10,9),0.760473 # DEPENDENCYPART_ARC
(10,11),2.2656 # DEPENDENCYPART_ARC
(10,12),0.400154 # DEPENDENCYPART_ARC
(10,13),-0.591488 # DEPENDENCYPART_ARC
(10,14),-0.659392 # DEPENDENCYPART_ARC
(10,15),-0.34847 # DEPENDENCYPART_ARC
(10,16),-0.873439 # DEPENDENCYPART_ARC
(10,17),-1.26331 # DEPENDENCYPART_ARC
(10,18),-1.53197 # DEPENDENCYPART_ARC
(10,19),-1.25996 # DEPENDENCYPART_ARC
(10,20),-1.20058 # DEPENDENCYPART_ARC
(10,21),-1.02986 # DEPENDENCYPART_ARC
(10,22),-0.314048 # DEPENDENCYPART_ARC
(10,23),-1.56997 # DEPENDENCYPART_ARC
(10,24),-2.20403 # DEPENDENCYPART_ARC
(10,25),-2.69029 # DEPENDENCYPART_ARC
(10,26),-1.74382 # DEPENDENCYPART_ARC
(10,27),-1.74502 # DEPENDENCYPART_ARC
(10,28),-2.17561 # DEPENDENCYPART_ARC
(10,29),-1.83777 # DEPENDENCYPART_ARC
(10,30),-3.44805 # DEPENDENCYPART_ARC
(10,31),-3.7069 # DEPENDENCYPART_ARC
(10,32),-2.10848 # DEPENDENCYPART_ARC
(10,33),-3.60415 # DEPENDENCYPART_ARC
(10,34),-2.13914 # DEPENDENCYPART_ARC
(10,35),-4.10523 # DEPENDENCYPART_ARC
(10,36),-1.54226 # DEPENDENCYPART_ARC
(10,37),-2.60511 # DEPENDENCYPART_ARC
(10,38),-4.45038 # DEPENDENCYPART_ARC
(10,39),-5.28006 # DEPENDENCYPART_ARC
(10,40),-3.73863 # DEPENDENCYPART_ARC
(11,1),-1.73504 # DEPENDENCYPART_ARC
(11,2),-1.55414 # DEPENDENCYPART_ARC
(11,3),-1.77435 # DEPENDENCYPART_ARC
(11,4),-1.85559 # DEPENDENCYPART_ARC
(11,5),-1.322 # DEPENDENCYPART_ARC
(11,6),-1.14506 # DEPENDENCYPART_ARC
(11,7),-0.882749 # DEPENDENCYPART_ARC
(11,8),-1.20361 # DEPENDENCYPART_ARC
(11,9),-0.341566 # DEPENDENCYPART_ARC
(11,10),-0.293415 # DEPENDENCYPART_ARC
(11,12),0.826071 # DEPENDENCYPART_ARC
(11,13),-0.321428 # DEPENDENCYPART_ARC
(11,14),-1.12733 # DEPENDENCYPART_ARC
(11,15),-0.851449 # DEPENDENCYPART_ARC
(11,16),-1.13103 # DEPENDENCYPART_ARC
(11,17),-1.58274 # DEPENDENCYPART_ARC
(11,18),-1.67649 # DEPENDENCYPART_ARC
(11,19),-1.22689 # DEPENDENCYPART_ARC
(11,20),-1.72008 # DEPENDENCYPART_ARC
(11,21),-1.32866 # DEPENDENCYPART_ARC
(11,22),-1.36304 # DEPENDENCYPART_ARC
(11,23),-2.05144 # DEPENDENCYPART_ARC
(11,24),-1.86742 # DEPENDENCYPART_ARC
(11,25),-1.8598 # DEPENDENCYPART_ARC
(11,26),-2.16069 # DEPENDENCYPART_ARC
(11,27),-1.59979 # DEPENDENCYPART_ARC
(11,28),-2.15058 # DEPENDENCYPART_ARC
(11,29),-2.32906 # DEPENDENCYPART_ARC
(11,30),-2.14497 # DEPENDENCYPART_ARC
(11,31),-2.24955 # DEPENDENCYPART_ARC
(11,32),-1.8982 # DEPENDENCYPART_ARC
(11,33),-2.28836 # DEPENDENCYPART_ARC
(11,34),-1.95381 # DEPENDENCYPART_ARC
(11,35),-2.62242 # DEPENDENCYPART_ARC
(11,36),-1.6332 # DEPENDENCYPART_ARC
(11,37),-2.41079 # DEPENDENCYPART_ARC
(11,38),-2.56654 # DEPENDENCYPART_ARC
(11,39),-2.6982 # DEPENDENCYPART_ARC
(11,40),-2.92263 # DEPENDENCYPART_ARC
(12,1),-0.682897 # DEPENDENCYPART_ARC
(12,2),0.677494 # DEPENDENCYPART_ARC
(12,3),-0.694602 # DEPENDENCYPART_ARC
(12,4),-0.61144 # DEPENDENCYPART_ARC
(12,5),-0.0764513 # DEPENDENCYPART_ARC
(12,6),-0.424656 # DEPENDENCYPART_ARC
(12,7),-0.115116 # DEPENDENCYPART_ARC
(12,8),-0.200004 # DEPENDENCYPART_ARC
(12,9),0.113706 # DEPENDENCYPART_ARC
(12,10),0.0382339 # DEPENDENCYPART_ARC
(12,11),0.173069 # DEPENDENCYPART_ARC
(12,13),2.22167 # DEPENDENCYPART_ARC
(12,14),0.124604 # DEPENDENCYPART_ARC
(12,15),-0.026444 # DEPENDENCYPART_ARC
(12,16),-0.311431 # DEPENDENCYPART_ARC
(12,17),-0.291826 # DEPENDENCYPART_ARC
(12,18),-0.105192 # DEPENDENCYPART_ARC
(12,19),-0.0188786 # DEPENDENCYPART_ARC
(12,20),-0.192802 # DEPENDENCYPART_ARC
(12,21),-0.149567 # DEPENDENCYPART_ARC
(12,22),-0.149801 # DEPENDENCYPART_ARC
