# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,8,8,2,8,9,10,9,12,13,14,15,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(1,3),-2.29762 # DEPENDENCYPART_ARC
(1,4),-1.60103 # DEPENDENCYPART_ARC
(1,5),-2.01099 # DEPENDENCYPART_ARC
(1,6),-2.07844 # DEPENDENCYPART_ARC
(1,7),-2.38669 # DEPENDENCYPART_ARC
(1,8),-1.97746 # DEPENDENCYPART_ARC
(1,9),-2.76234 # DEPENDENCYPART_ARC
(1,10),-2.77969 # DEPENDENCYPART_ARC
(1,11),-3.1143 # DEPENDENCYPART_ARC
(1,12),-2.24245 # DEPENDENCYPART_ARC
(1,13),-3.55863 # DEPENDENCYPART_ARC
(1,14),-3.89986 # DEPENDENCYPART_ARC
(1,15),-3.37259 # DEPENDENCYPART_ARC
(1,16),-3.68572 # DEPENDENCYPART_ARC
(1,17),-3.19835 # DEPENDENCYPART_ARC
(1,18),-3.31686 # DEPENDENCYPART_ARC
(1,19),-4.02913 # DEPENDENCYPART_ARC
(1,20),-3.25666 # DEPENDENCYPART_ARC
(1,21),-4.18448 # DEPENDENCYPART_ARC
(1,22),-4.41037 # DEPENDENCYPART_ARC
(1,23),-4.92168 # DEPENDENCYPART_ARC
(1,24),-3.17992 # DEPENDENCYPART_ARC
(1,25),-4.87848 # DEPENDENCYPART_ARC
(1,26),-4.80395 # DEPENDENCYPART_ARC
(1,27),-4.32959 # DEPENDENCYPART_ARC
(1,28),-6.1816 # DEPENDENCYPART_ARC
(1,29),-3.97667 # DEPENDENCYPART_ARC
(1,30),-4.77966 # DEPENDENCYPART_ARC
(1,31),-3.84289 # DEPENDENCYPART_ARC
(1,32),-4.68238 # DEPENDENCYPART_ARC
(1,33),-4.65503 # DEPENDENCYPART_ARC
(1,34),-5.32334 # DEPENDENCYPART_ARC
(1,35),-8.13751 # DEPENDENCYPART_ARC
(1,36),-4.35418 # DEPENDENCYPART_ARC
(1,37),-5.30848 # DEPENDENCYPART_ARC
(1,38),-5.76538 # DEPENDENCYPART_ARC
(1,39),-4.91948 # DEPENDENCYPART_ARC
(1,40),-6.05814 # DEPENDENCYPART_ARC
(1,41),-4.46168 # DEPENDENCYPART_ARC
(1,42),-5.64951 # DEPENDENCYPART_ARC
(1,43),-5.57875 # DEPENDENCYPART_ARC
(1,44),-8.24068 # DEPENDENCYPART_ARC
(1,45),-5.79487 # DEPENDENCYPART_ARC
(1,46),-9.43084 # DEPENDENCYPART_ARC
(1,47),-6.0464 # DEPENDENCYPART_ARC
(2,1),0.200206 # DEPENDENCYPART_ARC
(2,3),1.57936 # DEPENDENCYPART_ARC
(2,4),2.20193 # DEPENDENCYPART_ARC
(2,5),0.31914 # DEPENDENCYPART_ARC
(2,6),1.51415 # DEPENDENCYPART_ARC
(2,7),-1.91938 # DEPENDENCYPART_ARC
(2,8),0.872335 # DEPENDENCYPART_ARC
(2,9),-2.72209 # DEPENDENCYPART_ARC
(2,10),-1.8675 # DEPENDENCYPART_ARC
(2,11),-2.65346 # DEPENDENCYPART_ARC
(2,12),0.149156 # DEPENDENCYPART_ARC
(2,13),-1.04237 # DEPENDENCYPART_ARC
(2,14),-0.875799 # DEPENDENCYPART_ARC
(2,15),-0.025453 # DEPENDENCYPART_ARC
(2,16),-0.0367918 # DEPENDENCYPART_ARC
(2,17),-0.169164 # DEPENDENCYPART_ARC
(2,18),-0.229756 # DEPENDENCYPART_ARC
(2,19),-3.48171 # DEPENDENCYPART_ARC
(2,20),-1.09882 # DEPENDENCYPART_ARC
(2,21),-3.70906 # DEPENDENCYPART_ARC
(2,22),-3.17416 # DEPENDENCYPART_ARC
(2,23),-3.54057 # DEPENDENCYPART_ARC
(2,24),-1.36773 # DEPENDENCYPART_ARC
(2,25),-4.54574 # DEPENDENCYPART_ARC
(2,26),-3.78242 # DEPENDENCYPART_ARC
(2,27),-1.11943 # DEPENDENCYPART_ARC
(2,28),-4.01706 # DEPENDENCYPART_ARC
(2,29),-1.44566 # DEPENDENCYPART_ARC
(2,30),-5.35721 # DEPENDENCYPART_ARC
(2,31),-0.797052 # DEPENDENCYPART_ARC
(2,32),-1.36499 # DEPENDENCYPART_ARC
(2,33),-3.09505 # DEPENDENCYPART_ARC
(2,34),-6.22199 # DEPENDENCYPART_ARC
(2,35),-2.86217 # DEPENDENCYPART_ARC
(2,36),-6.49273 # DEPENDENCYPART_ARC
(2,37),-4.8475 # DEPENDENCYPART_ARC
(2,38),-6.81617 # DEPENDENCYPART_ARC
(2,39),-6.9366 # DEPENDENCYPART_ARC
(2,40),-4.75486 # DEPENDENCYPART_ARC
(2,41),-5.94903 # DEPENDENCYPART_ARC
(2,42),-4.35535 # DEPENDENCYPART_ARC
(2,43),-3.85516 # DEPENDENCYPART_ARC
(2,44),-7.31898 # DEPENDENCYPART_ARC
(2,45),-7.97384 # DEPENDENCYPART_ARC
(2,46),-5.08831 # DEPENDENCYPART_ARC
(2,47),-2.67207 # DEPENDENCYPART_ARC
(3,1),-0.828325 # DEPENDENCYPART_ARC
(3,2),-0.539551 # DEPENDENCYPART_ARC
(3,4),-0.1917 # DEPENDENCYPART_ARC
(3,5),-0.364945 # DEPENDENCYPART_ARC
(3,6),-0.200035 # DEPENDENCYPART_ARC
(3,7),-1.51849 # DEPENDENCYPART_ARC
(3,8),-0.538178 # DEPENDENCYPART_ARC
(3,9),-1.56804 # DEPENDENCYPART_ARC
(3,10),-1.18611 # DEPENDENCYPART_ARC
(3,11),-0.990308 # DEPENDENCYPART_ARC
(3,12),-1.27854 # DEPENDENCYPART_ARC
(3,13),-1.11224 # DEPENDENCYPART_ARC
(3,14),-1.2256 # DEPENDENCYPART_ARC
(3,15),-1.08441 # DEPENDENCYPART_ARC
(3,16),-1.72332 # DEPENDENCYPART_ARC
(3,17),-0.937524 # DEPENDENCYPART_ARC
(3,18),-1.22524 # DEPENDENCYPART_ARC
(3,19),-1.78064 # DEPENDENCYPART_ARC
(3,20),-1.12035 # DEPENDENCYPART_ARC
(3,21),-1.42093 # DEPENDENCYPART_ARC
(3,22),-1.41466 # DEPENDENCYPART_ARC
(3,23),-1.33539 # DEPENDENCYPART_ARC
(3,24),-1.57573 # DEPENDENCYPART_ARC
(3,25),-1.84914 # DEPENDENCYPART_ARC
(3,26),-1.88515 # DEPENDENCYPART_ARC
(3,27),-2.30019 # DEPENDENCYPART_ARC
(3,28),-1.9805 # DEPENDENCYPART_ARC
(3,29),-1.32939 # DEPENDENCYPART_ARC
(3,30),-1.51781 # DEPENDENCYPART_ARC
(3,31),-1.96375 # DEPENDENCYPART_ARC
(3,32),-2.52308 # DEPENDENCYPART_ARC
(3,33),-1.94229 # DEPENDENCYPART_ARC
(3,34),-2.09222 # DEPENDENCYPART_ARC
(3,35),-2.42705 # DEPENDENCYPART_ARC
(3,36),-2.65235 # DEPENDENCYPART_ARC
(3,37),-2.7654 # DEPENDENCYPART_ARC
(3,38),-2.3295 # DEPENDENCYPART_ARC
(3,39),-2.5852 # DEPENDENCYPART_ARC
(3,40),-2.31289 # DEPENDENCYPART_ARC
(3,41),-3.18839 # DEPENDENCYPART_ARC
(3,42),-3.15636 # DEPENDENCYPART_ARC
(3,43),-2.05087 # DEPENDENCYPART_ARC
(3,44),-2.90744 # DEPENDENCYPART_ARC
(3,45),-2.79843 # DEPENDENCYPART_ARC
(3,46),-3.28652 # DEPENDENCYPART_ARC
(3,47),-3.7487 # DEPENDENCYPART_ARC
(4,1),-0.207762 # DEPENDENCYPART_ARC
(4,2),0.599229 # DEPENDENCYPART_ARC
(4,3),4.00363 # DEPENDENCYPART_ARC
(4,5),1.27798 # DEPENDENCYPART_ARC
(4,6),0.283901 # DEPENDENCYPART_ARC
(4,7),-1.00038 # DEPENDENCYPART_ARC
(4,8),-0.176507 # DEPENDENCYPART_ARC
(4,9),-1.91293 # DEPENDENCYPART_ARC
(4,10),-0.955661 # DEPENDENCYPART_ARC
(4,11),-1.96734 # DEPENDENCYPART_ARC
(4,12),-0.508085 # DEPENDENCYPART_ARC
(4,13),-2.14917 # DEPENDENCYPART_ARC
(4,14),-1.49552 # DEPENDENCYPART_ARC
(4,15),-1.45739 # DEPENDENCYPART_ARC
(4,16),-3.01169 # DEPENDENCYPART_ARC
(4,17),-1.34104 # DEPENDENCYPART_ARC
(4,18),-0.634358 # DEPENDENCYPART_ARC
(4,19),-2.65367 # DEPENDENCYPART_ARC
(4,20),-1.74891 # DEPENDENCYPART_ARC
(4,21),-2.87987 # DEPENDENCYPART_ARC
(4,22),-2.63625 # DEPENDENCYPART_ARC
(4,23),-2.91219 # DEPENDENCYPART_ARC
(4,24),-1.81716 # DEPENDENCYPART_ARC
(4,25),-4.75839 # DEPENDENCYPART_ARC
(4,26),-3.55473 # DEPENDENCYPART_ARC
(4,27),-1.67297 # DEPENDENCYPART_ARC
(4,28),-4.41148 # DEPENDENCYPART_ARC
(4,29),-2.44741 # DEPENDENCYPART_ARC
(4,30),-4.75185 # DEPENDENCYPART_ARC
(4,31),-2.3888 # DEPENDENCYPART_ARC
(4,32),-2.83919 # DEPENDENCYPART_ARC
(4,33),-4.19387 # DEPENDENCYPART_ARC
(4,34),-5.40719 # DEPENDENCYPART_ARC
(4,35),-4.03965 # DEPENDENCYPART_ARC
(4,36),-6.1417 # DEPENDENCYPART_ARC
(4,37),-6.65461 # DEPENDENCYPART_ARC
(4,38),-6.21166 # DEPENDENCYPART_ARC
(4,39),-6.75721 # DEPENDENCYPART_ARC
(4,40),-8.17392 # DEPENDENCYPART_ARC
(4,41),-6.33235 # DEPENDENCYPART_ARC
(4,42),-6.15841 # DEPENDENCYPART_ARC
(4,43),-4.01537 # DEPENDENCYPART_ARC
(4,44),-8.11761 # DEPENDENCYPART_ARC
(4,45),-8.55014 # DEPENDENCYPART_ARC
(4,46),-10.6786 # DEPENDENCYPART_ARC
(4,47),-5.2506 # DEPENDENCYPART_ARC
(5,1),-0.857331 # DEPENDENCYPART_ARC
(5,2),-0.535774 # DEPENDENCYPART_ARC
(5,3),-0.346747 # DEPENDENCYPART_ARC
(5,4),-0.0533635 # DEPENDENCYPART_ARC
(5,6),-0.071272 # DEPENDENCYPART_ARC
(5,7),-0.491502 # DEPENDENCYPART_ARC
(5,8),-0.582046 # DEPENDENCYPART_ARC
(5,9),-0.771981 # DEPENDENCYPART_ARC
(5,10),-0.868756 # DEPENDENCYPART_ARC
(5,11),-1.04283 # DEPENDENCYPART_ARC
(5,12),-1.38185 # DEPENDENCYPART_ARC
(5,13),-0.810807 # DEPENDENCYPART_ARC
(5,14),-0.846815 # DEPENDENCYPART_ARC
(5,15),-0.425336 # DEPENDENCYPART_ARC
(5,16),-1.17138 # DEPENDENCYPART_ARC
(5,17),-0.989923 # DEPENDENCYPART_ARC
(5,18),-1.26433 # DEPENDENCYPART_ARC
(5,19),-1.28616 # DEPENDENCYPART_ARC
(5,20),-1.24499 # DEPENDENCYPART_ARC
(5,21),-1.48822 # DEPENDENCYPART_ARC
(5,22),-1.58375 # DEPENDENCYPART_ARC
(5,23),-1.66801 # DEPENDENCYPART_ARC
(5,24),-1.79621 # DEPENDENCYPART_ARC
(5,25),-1.78965 # DEPENDENCYPART_ARC
(5,26),-1.91932 # DEPENDENCYPART_ARC
(5,27),-1.93829 # DEPENDENCYPART_ARC
(5,28),-2.14645 # DEPENDENCYPART_ARC
(5,29),-1.16705 # DEPENDENCYPART_ARC
(5,30),-2.00718 # DEPENDENCYPART_ARC
(5,31),-1.74869 # DEPENDENCYPART_ARC
(5,32),-2.28949 # DEPENDENCYPART_ARC
(5,33),-1.96456 # DEPENDENCYPART_ARC
(5,34),-2.33643 # DEPENDENCYPART_ARC
(5,35),-2.0886 # DEPENDENCYPART_ARC
(5,36),-0.848233 # DEPENDENCYPART_ARC
(5,37),-3.11294 # DEPENDENCYPART_ARC
(5,38),-3.17021 # DEPENDENCYPART_ARC
(5,39),-3.21401 # DEPENDENCYPART_ARC
(5,40),-3.26677 # DEPENDENCYPART_ARC
(5,41),-1.11244 # DEPENDENCYPART_ARC
(5,42),-3.04461 # DEPENDENCYPART_ARC
(5,43),-1.7707 # DEPENDENCYPART_ARC
(5,44),-3.5264 # DEPENDENCYPART_ARC
(5,45),-3.64873 # DEPENDENCYPART_ARC
(5,46),-4.42901 # DEPENDENCYPART_ARC
(5,47),-4.26285 # DEPENDENCYPART_ARC
(6,1),-0.615265 # DEPENDENCYPART_ARC
(6,2),-0.262537 # DEPENDENCYPART_ARC
(6,3),-0.24498 # DEPENDENCYPART_ARC
(6,4),-0.134547 # DEPENDENCYPART_ARC
(6,5),0.287767 # DEPENDENCYPART_ARC
(6,7),1.98021 # DEPENDENCYPART_ARC
(6,8),0.0349964 # DEPENDENCYPART_ARC
(6,9),0.62372 # DEPENDENCYPART_ARC
(6,10),-0.542769 # DEPENDENCYPART_ARC
(6,11),-0.571649 # DEPENDENCYPART_ARC
(6,12),-0.906745 # DEPENDENCYPART_ARC
(6,13),-0.678464 # DEPENDENCYPART_ARC
(6,14),-0.777894 # DEPENDENCYPART_ARC
(6,15),-0.0052014 # DEPENDENCYPART_ARC
(6,16),-1.38236 # DEPENDENCYPART_ARC
(6,17),-1.60984 # DEPENDENCYPART_ARC
(6,18),-1.25566 # DEPENDENCYPART_ARC
(6,19),-0.411881 # DEPENDENCYPART_ARC
(6,20),-1.22348 # DEPENDENCYPART_ARC
(6,21),-0.735344 # DEPENDENCYPART_ARC
(6,22),-1.7913 # DEPENDENCYPART_ARC
(6,23),-1.77683 # DEPENDENCYPART_ARC
(6,24),-1.72045 # DEPENDENCYPART_ARC
(6,25),-1.24155 # DEPENDENCYPART_ARC
(6,26),-2.17013 # DEPENDENCYPART_ARC
(6,27),-1.55886 # DEPENDENCYPART_ARC
(6,28),-1.20478 # DEPENDENCYPART_ARC
(6,29),-2.52986 # DEPENDENCYPART_ARC
(6,30),-2.79587 # DEPENDENCYPART_ARC
(6,31),-2.64123 # DEPENDENCYPART_ARC
(6,32),-2.80794 # DEPENDENCYPART_ARC
(6,33),-2.12311 # DEPENDENCYPART_ARC
(6,34),-2.36724 # DEPENDENCYPART_ARC
(6,35),-2.3157 # DEPENDENCYPART_ARC
(6,36),-3.14069 # DEPENDENCYPART_ARC
(6,37),-4.0978 # DEPENDENCYPART_ARC
(6,38),-4.52555 # DEPENDENCYPART_ARC
(6,39),-4.72099 # DEPENDENCYPART_ARC
(6,40),-4.7339 # DEPENDENCYPART_ARC
(6,41),-4.2436 # DEPENDENCYPART_ARC
(6,42),-3.17253 # DEPENDENCYPART_ARC
(6,43),-4.39807 # DEPENDENCYPART_ARC
(6,44),-4.97266 # DEPENDENCYPART_ARC
(6,45),-5.18602 # DEPENDENCYPART_ARC
(6,46),-2.8759 # DEPENDENCYPART_ARC
(6,47),-5.4747 # DEPENDENCYPART_ARC
(7,1),-1.46788 # DEPENDENCYPART_ARC
(7,2),-2.69371 # DEPENDENCYPART_ARC
(7,3),0.015426 # DEPENDENCYPART_ARC
(7,4),-1.45031 # DEPENDENCYPART_ARC
(7,5),-0.65781 # DEPENDENCYPART_ARC
(7,6),-0.0374965 # DEPENDENCYPART_ARC
(7,8),0.720705 # DEPENDENCYPART_ARC
(7,9),-1.2115 # DEPENDENCYPART_ARC
(7,10),-0.879992 # DEPENDENCYPART_ARC
(7,11),-2.43992 # DEPENDENCYPART_ARC
(7,12),-0.332969 # DEPENDENCYPART_ARC
(7,13),-2.35324 # DEPENDENCYPART_ARC
(7,14),-2.02088 # DEPENDENCYPART_ARC
(7,15),-1.46454 # DEPENDENCYPART_ARC
(7,16),-3.28677 # DEPENDENCYPART_ARC
(7,17),-1.27395 # DEPENDENCYPART_ARC
(7,18),-0.785616 # DEPENDENCYPART_ARC
(7,19),-2.38672 # DEPENDENCYPART_ARC
(7,20),-1.45571 # DEPENDENCYPART_ARC
(7,21),-2.94355 # DEPENDENCYPART_ARC
(7,22),-2.56054 # DEPENDENCYPART_ARC
(7,23),-2.88678 # DEPENDENCYPART_ARC
(7,24),-1.58937 # DEPENDENCYPART_ARC
(7,25),-4.60495 # DEPENDENCYPART_ARC
(7,26),-3.43075 # DEPENDENCYPART_ARC
(7,27),-1.5508 # DEPENDENCYPART_ARC
(7,28),-5.40538 # DEPENDENCYPART_ARC
(7,29),-2.25693 # DEPENDENCYPART_ARC
(7,30),-5.1102 # DEPENDENCYPART_ARC
(7,31),-3.55809 # DEPENDENCYPART_ARC
(7,32),-2.9129 # DEPENDENCYPART_ARC
(7,33),-4.241 # DEPENDENCYPART_ARC
(7,34),-5.45035 # DEPENDENCYPART_ARC
(7,35),-3.84593 # DEPENDENCYPART_ARC
(7,36),-6.2798 # DEPENDENCYPART_ARC
(7,37),-6.5799 # DEPENDENCYPART_ARC
(7,38),-6.13058 # DEPENDENCYPART_ARC
(7,39),-6.65562 # DEPENDENCYPART_ARC
(7,40),-7.96785 # DEPENDENCYPART_ARC
(7,41),-6.66919 # DEPENDENCYPART_ARC
(7,42),-6.06298 # DEPENDENCYPART_ARC
(7,43),-3.84792 # DEPENDENCYPART_ARC
(7,44),-7.78991 # DEPENDENCYPART_ARC
(7,45),-8.42654 # DEPENDENCYPART_ARC
(7,46),-10.2823 # DEPENDENCYPART_ARC
(7,47),-5.23932 # DEPENDENCYPART_ARC
(8,1),0.348895 # DEPENDENCYPART_ARC
(8,2),0.3432 # DEPENDENCYPART_ARC
(8,3),0.345968 # DEPENDENCYPART_ARC
(8,4),0.540552 # DEPENDENCYPART_ARC
(8,5),0.251159 # DEPENDENCYPART_ARC
(8,6),1.74107 # DEPENDENCYPART_ARC
(8,7),2.42219 # DEPENDENCYPART_ARC
(8,9),2.33964 # DEPENDENCYPART_ARC
(8,10),0.481132 # DEPENDENCYPART_ARC
(8,11),-0.281568 # DEPENDENCYPART_ARC
(8,12),-0.454819 # DEPENDENCYPART_ARC
(8,13),-0.369001 # DEPENDENCYPART_ARC
(8,14),-0.693722 # DEPENDENCYPART_ARC
(8,15),-0.179393 # DEPENDENCYPART_ARC
(8,16),-1.04569 # DEPENDENCYPART_ARC
(8,17),-1.06583 # DEPENDENCYPART_ARC
(8,18),-0.863653 # DEPENDENCYPART_ARC
(8,19),0.0565228 # DEPENDENCYPART_ARC
(8,20),-1.12834 # DEPENDENCYPART_ARC
(8,21),-0.42611 # DEPENDENCYPART_ARC
(8,22),-1.43104 # DEPENDENCYPART_ARC
(8,23),-1.51256 # DEPENDENCYPART_ARC
(8,24),-1.29832 # DEPENDENCYPART_ARC
(8,25),-0.961308 # DEPENDENCYPART_ARC
(8,26),-1.84583 # DEPENDENCYPART_ARC
(8,27),-0.818785 # DEPENDENCYPART_ARC
(8,28),-1.12361 # DEPENDENCYPART_ARC
(8,29),-1.89097 # DEPENDENCYPART_ARC
(8,30),-2.0065 # DEPENDENCYPART_ARC
(8,31),-2.34917 # DEPENDENCYPART_ARC
(8,32),-2.27723 # DEPENDENCYPART_ARC
(8,33),-1.98916 # DEPENDENCYPART_ARC
(8,34),-1.73578 # DEPENDENCYPART_ARC
(8,35),-3.01459 # DEPENDENCYPART_ARC
(8,36),-2.86521 # DEPENDENCYPART_ARC
(8,37),-3.35619 # DEPENDENCYPART_ARC
(8,38),-3.73412 # DEPENDENCYPART_ARC
(8,39),-4.14855 # DEPENDENCYPART_ARC
(8,40),-4.19508 # DEPENDENCYPART_ARC
(8,41),-3.91792 # DEPENDENCYPART_ARC
(8,42),-3.21247 # DEPENDENCYPART_ARC
(8,43),-3.58874 # DEPENDENCYPART_ARC
(8,44),-4.37554 # DEPENDENCYPART_ARC
(8,45),-4.76194 # DEPENDENCYPART_ARC
(8,46),-2.87366 # DEPENDENCYPART_ARC
(8,47),-4.48651 # DEPENDENCYPART_ARC
(9,1),-1.6143 # DEPENDENCYPART_ARC
(9,2),-2.58906 # DEPENDENCYPART_ARC
(9,3),-1.2461 # DEPENDENCYPART_ARC
(9,4),-1.33879 # DEPENDENCYPART_ARC
(9,5),-0.84784 # DEPENDENCYPART_ARC
(9,6),-0.618782 # DEPENDENCYPART_ARC
(9,7),-2.57026 # DEPENDENCYPART_ARC
(9,8),0.0412433 # DEPENDENCYPART_ARC
(9,10),2.62364 # DEPENDENCYPART_ARC
(9,11),1.09258 # DEPENDENCYPART_ARC
(9,12),1.17667 # DEPENDENCYPART_ARC
(9,13),-0.570554 # DEPENDENCYPART_ARC
(9,14),0.0363322 # DEPENDENCYPART_ARC
(9,15),-0.0743145 # DEPENDENCYPART_ARC
(9,16),-0.633576 # DEPENDENCYPART_ARC
(9,17),-0.230054 # DEPENDENCYPART_ARC
(9,18),0.46743 # DEPENDENCYPART_ARC
(9,19),-0.531985 # DEPENDENCYPART_ARC
(9,20),-0.132812 # DEPENDENCYPART_ARC
(9,21),-1.16284 # DEPENDENCYPART_ARC
(9,22),-0.647875 # DEPENDENCYPART_ARC
(9,23),-0.717882 # DEPENDENCYPART_ARC
(9,24),-0.198459 # DEPENDENCYPART_ARC
(9,25),-2.16572 # DEPENDENCYPART_ARC
(9,26),-1.33912 # DEPENDENCYPART_ARC
(9,27),-0.252693 # DEPENDENCYPART_ARC
(9,28),-3.48639 # DEPENDENCYPART_ARC
(9,29),-1.07502 # DEPENDENCYPART_ARC
(9,30),-2.52893 # DEPENDENCYPART_ARC
(9,31),-1.89736 # DEPENDENCYPART_ARC
(9,32),-1.76132 # DEPENDENCYPART_ARC
(9,33),-2.76768 # DEPENDENCYPART_ARC
(9,34),-3.51222 # DEPENDENCYPART_ARC
(9,35),-2.71948 # DEPENDENCYPART_ARC
(9,36),-4.98164 # DEPENDENCYPART_ARC
(9,37),-4.46638 # DEPENDENCYPART_ARC
(9,38),-4.11437 # DEPENDENCYPART_ARC
(9,39),-4.40103 # DEPENDENCYPART_ARC
(9,40),-5.11161 # DEPENDENCYPART_ARC
(9,41),-5.36411 # DEPENDENCYPART_ARC
(9,42),-4.23539 # DEPENDENCYPART_ARC
(9,43),-2.7621 # DEPENDENCYPART_ARC
(9,44),-5.67107 # DEPENDENCYPART_ARC
(9,45),-6.12261 # DEPENDENCYPART_ARC
(9,46),-8.19092 # DEPENDENCYPART_ARC
(9,47),-4.07564 # DEPENDENCYPART_ARC
(10,1),-1.14416 # DEPENDENCYPART_ARC
(10,2),-1.45805 # DEPENDENCYPART_ARC
(10,3),-0.34064 # DEPENDENCYPART_ARC
(10,4),-1.21815 # DEPENDENCYPART_ARC
(10,5),-0.546579 # DEPENDENCYPART_ARC
(10,6),-0.220466 # DEPENDENCYPART_ARC
(10,7),-1.59838 # DEPENDENCYPART_ARC
(10,8),-0.0585255 # DEPENDENCYPART_ARC
(10,9),-0.696667 # DEPENDENCYPART_ARC
(10,11),2.94679 # DEPENDENCYPART_ARC
(10,12),0.968355 # DEPENDENCYPART_ARC
(10,13),-0.4883 # DEPENDENCYPART_ARC
(10,14),0.00253345 # DEPENDENCYPART_ARC
(10,15),-0.362241 # DEPENDENCYPART_ARC
(10,16),-0.00975201 # DEPENDENCYPART_ARC
(10,17),-0.612206 # DEPENDENCYPART_ARC
(10,18),0.0617998 # DEPENDENCYPART_ARC
(10,19),-1.16861 # DEPENDENCYPART_ARC
(10,20),-0.298986 # DEPENDENCYPART_ARC
(10,21),-1.94144 # DEPENDENCYPART_ARC
(10,22),-1.20154 # DEPENDENCYPART_ARC
