# _root_ وَ كانَ خَطُّ الإِنْتاجِ هٰذا قَد بَدَأَ بِناؤُ هُ فِي مايُو 2002 , وَ طاقَتُ هُ الإِنْتاجِيَّةُ التصميمية 150 أَلْفَ طُنِّ سَنَوِيّاً , وَ مُنْتَجاتُ هُ تُناسِبُ قِطاعَيْ العُمْرانِ وَ الأَجْهِزَةِ الكَهْرَبائِيَّةِ المَنْزِلِيَّةِ .
#goldHeads=0,14,2,3,3,7,2,7,8,7,10,11,12,0,19,15,15,15,14,19,20,19,22,14,27,25,14,27,30,28,30,31,31,0,
#predictedHeads=0,0,2,3,4,7,2,7,8,7,10,11,12,3,14,15,15,15,18,19,20,21,22,14,24,25,25,27,30,28,30,31,31,0,
(7,21),-1.75783 # DEPENDENCYPART_ARC
(7,22),0.617623 # DEPENDENCYPART_ARC
(7,23),-0.468538 # DEPENDENCYPART_ARC
(7,24),-0.333584 # DEPENDENCYPART_ARC
(7,25),-1.3487 # DEPENDENCYPART_ARC
(7,28),-0.30687 # DEPENDENCYPART_ARC
(7,29),-2.79621 # DEPENDENCYPART_ARC
(7,30),-0.974887 # DEPENDENCYPART_ARC
(7,32),-3.01538 # DEPENDENCYPART_ARC
(7,33),-2.91683 # DEPENDENCYPART_ARC
(7,34),-0.803622 # DEPENDENCYPART_ARC
(8,2),-0.530743 # DEPENDENCYPART_ARC
(8,6),-0.687318 # DEPENDENCYPART_ARC
(8,9),2.37798 # DEPENDENCYPART_ARC
(8,10),0.711219 # DEPENDENCYPART_ARC
(8,11),-0.132763 # DEPENDENCYPART_ARC
(8,12),-0.230669 # DEPENDENCYPART_ARC
(8,13),-0.170368 # DEPENDENCYPART_ARC
(8,14),-0.179703 # DEPENDENCYPART_ARC
(8,15),-0.356049 # DEPENDENCYPART_ARC
(8,16),0.194597 # DEPENDENCYPART_ARC
(8,17),-0.398923 # DEPENDENCYPART_ARC
(8,18),-0.238276 # DEPENDENCYPART_ARC
(8,20),-0.400708 # DEPENDENCYPART_ARC
(9,10),-0.315532 # DEPENDENCYPART_ARC
(9,11),-1.16878 # DEPENDENCYPART_ARC
(10,1),-0.656364 # DEPENDENCYPART_ARC
(10,6),-0.978102 # DEPENDENCYPART_ARC
(10,8),-1.0292 # DEPENDENCYPART_ARC
(10,9),-0.553384 # DEPENDENCYPART_ARC
(10,11),1.54177 # DEPENDENCYPART_ARC
(10,12),0.0303856 # DEPENDENCYPART_ARC
(10,13),-0.40311 # DEPENDENCYPART_ARC
(10,14),-0.129458 # DEPENDENCYPART_ARC
(10,15),-1.23624 # DEPENDENCYPART_ARC
(10,18),-0.627861 # DEPENDENCYPART_ARC
(11,12),0.494145 # DEPENDENCYPART_ARC
(11,13),-0.396752 # DEPENDENCYPART_ARC
(11,17),-0.72782 # DEPENDENCYPART_ARC
(12,8),-0.493586 # DEPENDENCYPART_ARC
(12,10),-0.297941 # DEPENDENCYPART_ARC
(12,13),0.458163 # DEPENDENCYPART_ARC
(12,14),-0.275989 # DEPENDENCYPART_ARC
(12,15),-0.234203 # DEPENDENCYPART_ARC
(12,17),-0.659931 # DEPENDENCYPART_ARC
(12,18),-0.613792 # DEPENDENCYPART_ARC
(13,2),-1.06622 # DEPENDENCYPART_ARC
(13,11),-1.0097 # DEPENDENCYPART_ARC
(13,12),-0.218438 # DEPENDENCYPART_ARC
(14,1),-0.342643 # DEPENDENCYPART_ARC
(14,2),-0.567857 # DEPENDENCYPART_ARC
(14,3),0.103783 # DEPENDENCYPART_ARC
(14,4),-0.149255 # DEPENDENCYPART_ARC
(14,5),-0.695646 # DEPENDENCYPART_ARC
(14,6),-0.345427 # DEPENDENCYPART_ARC
(14,7),-0.165922 # DEPENDENCYPART_ARC
(14,8),0.249526 # DEPENDENCYPART_ARC
(14,9),-0.71599 # DEPENDENCYPART_ARC
(14,10),-0.536186 # DEPENDENCYPART_ARC
(14,11),-0.545453 # DEPENDENCYPART_ARC
(14,12),-0.338067 # DEPENDENCYPART_ARC
(14,13),0.00841455 # DEPENDENCYPART_ARC
(14,15),0.82765 # DEPENDENCYPART_ARC
(14,16),-0.39437 # DEPENDENCYPART_ARC
(14,17),-0.298846 # DEPENDENCYPART_ARC
(14,18),-0.353983 # DEPENDENCYPART_ARC
(14,19),-0.671491 # DEPENDENCYPART_ARC
(14,20),-0.673239 # DEPENDENCYPART_ARC
(14,21),-0.887034 # DEPENDENCYPART_ARC
(14,22),-0.766438 # DEPENDENCYPART_ARC
(14,23),-0.536873 # DEPENDENCYPART_ARC
(14,24),0.62357 # DEPENDENCYPART_ARC
(14,25),-0.805418 # DEPENDENCYPART_ARC
(14,26),-0.932857 # DEPENDENCYPART_ARC
(14,27),-1.16776 # DEPENDENCYPART_ARC
(14,28),-1.45071 # DEPENDENCYPART_ARC
(14,29),-1.60492 # DEPENDENCYPART_ARC
(14,30),0.0763193 # DEPENDENCYPART_ARC
(14,31),-1.23596 # DEPENDENCYPART_ARC
(14,34),-0.558739 # DEPENDENCYPART_ARC
(15,16),2.4389 # DEPENDENCYPART_ARC
(15,17),1.97552 # DEPENDENCYPART_ARC
(15,18),0.380609 # DEPENDENCYPART_ARC
(15,19),-0.119785 # DEPENDENCYPART_ARC
(15,20),-0.195171 # DEPENDENCYPART_ARC
(15,21),0.301154 # DEPENDENCYPART_ARC
(15,22),-1.13945 # DEPENDENCYPART_ARC
(15,23),-0.182265 # DEPENDENCYPART_ARC
(15,24),0.0235692 # DEPENDENCYPART_ARC
(15,25),-0.544356 # DEPENDENCYPART_ARC
(15,27),-0.238207 # DEPENDENCYPART_ARC
(15,30),0.215351 # DEPENDENCYPART_ARC
(16,17),-1.35437 # DEPENDENCYPART_ARC
(17,12),-0.882035 # DEPENDENCYPART_ARC
(17,13),-0.79842 # DEPENDENCYPART_ARC
(17,15),-1.18147 # DEPENDENCYPART_ARC
(17,16),-0.752409 # DEPENDENCYPART_ARC
(17,18),0.195334 # DEPENDENCYPART_ARC
(17,19),-0.590042 # DEPENDENCYPART_ARC
(17,20),-0.922171 # DEPENDENCYPART_ARC
(18,14),-0.433464 # DEPENDENCYPART_ARC
(18,15),-0.583545 # DEPENDENCYPART_ARC
(18,17),0.208369 # DEPENDENCYPART_ARC
(18,19),0.712487 # DEPENDENCYPART_ARC
(18,20),0.00465933 # DEPENDENCYPART_ARC
(18,21),-0.233515 # DEPENDENCYPART_ARC
(18,22),-0.280091 # DEPENDENCYPART_ARC
(18,23),-0.550673 # DEPENDENCYPART_ARC
(18,24),-0.257992 # DEPENDENCYPART_ARC
(18,25),-0.546175 # DEPENDENCYPART_ARC
(18,28),-0.772382 # DEPENDENCYPART_ARC
(18,31),-0.869222 # DEPENDENCYPART_ARC
(19,15),-0.233608 # DEPENDENCYPART_ARC
(19,18),0.0473391 # DEPENDENCYPART_ARC
(19,20),1.82552 # DEPENDENCYPART_ARC
(19,21),0.278869 # DEPENDENCYPART_ARC
(19,22),-0.220302 # DEPENDENCYPART_ARC
(19,23),-0.547107 # DEPENDENCYPART_ARC
(19,24),-0.595477 # DEPENDENCYPART_ARC
(19,27),-0.584292 # DEPENDENCYPART_ARC
(20,2),-0.332517 # DEPENDENCYPART_ARC
(20,16),-2.65664 # DEPENDENCYPART_ARC
(20,21),1.9437 # DEPENDENCYPART_ARC
(20,22),0.62663 # DEPENDENCYPART_ARC
(20,23),-0.205897 # DEPENDENCYPART_ARC
(20,24),-0.17816 # DEPENDENCYPART_ARC
(20,25),-0.990253 # DEPENDENCYPART_ARC
(20,26),-0.377145 # DEPENDENCYPART_ARC
(20,27),-1.15058 # DEPENDENCYPART_ARC
(20,30),-0.224142 # DEPENDENCYPART_ARC
(21,16),-1.90752 # DEPENDENCYPART_ARC
(21,22),1.15525 # DEPENDENCYPART_ARC
(21,23),-0.285044 # DEPENDENCYPART_ARC
(21,24),-0.486483 # DEPENDENCYPART_ARC
(21,25),-0.931624 # DEPENDENCYPART_ARC
(21,26),-0.366295 # DEPENDENCYPART_ARC
(21,27),-1.15893 # DEPENDENCYPART_ARC
(22,21),-0.697356 # DEPENDENCYPART_ARC
(22,23),0.661452 # DEPENDENCYPART_ARC
(22,25),-1.0969 # DEPENDENCYPART_ARC
(23,19),-0.78146 # DEPENDENCYPART_ARC
(23,21),-0.737975 # DEPENDENCYPART_ARC
(23,22),-0.406698 # DEPENDENCYPART_ARC
(24,2),-1.1511 # DEPENDENCYPART_ARC
(24,3),-0.405418 # DEPENDENCYPART_ARC
(24,4),-0.547453 # DEPENDENCYPART_ARC
(24,6),-0.548391 # DEPENDENCYPART_ARC
(24,7),-0.599759 # DEPENDENCYPART_ARC
(24,8),-0.205009 # DEPENDENCYPART_ARC
(24,9),-0.85198 # DEPENDENCYPART_ARC
(24,10),-0.492006 # DEPENDENCYPART_ARC
(24,11),-0.731791 # DEPENDENCYPART_ARC
(24,12),-0.852452 # DEPENDENCYPART_ARC
(24,13),-0.747 # DEPENDENCYPART_ARC
(24,15),-0.607188 # DEPENDENCYPART_ARC
(24,16),-0.780356 # DEPENDENCYPART_ARC
(24,17),-0.900257 # DEPENDENCYPART_ARC
(24,18),-0.510204 # DEPENDENCYPART_ARC
(24,19),-0.668318 # DEPENDENCYPART_ARC
(24,20),0.00563404 # DEPENDENCYPART_ARC
(24,21),0.239466 # DEPENDENCYPART_ARC
(24,22),-0.450078 # DEPENDENCYPART_ARC
(24,23),0.0644772 # DEPENDENCYPART_ARC
(24,25),0.788504 # DEPENDENCYPART_ARC
(24,26),-0.329724 # DEPENDENCYPART_ARC
(24,27),-0.296083 # DEPENDENCYPART_ARC
(24,28),-0.725686 # DEPENDENCYPART_ARC
(24,29),-0.935498 # DEPENDENCYPART_ARC
(24,30),0.563588 # DEPENDENCYPART_ARC
(24,31),-0.565748 # DEPENDENCYPART_ARC
(24,32),-1.2239 # DEPENDENCYPART_ARC
(24,33),-1.27238 # DEPENDENCYPART_ARC
(24,34),-0.469979 # DEPENDENCYPART_ARC
(25,26),2.22745 # DEPENDENCYPART_ARC
(25,27),0.987684 # DEPENDENCYPART_ARC
(25,28),-0.421268 # DEPENDENCYPART_ARC
(25,29),0.173933 # DEPENDENCYPART_ARC
(25,30),0.269088 # DEPENDENCYPART_ARC
(25,32),-0.0322599 # DEPENDENCYPART_ARC
(25,33),-0.0133696 # DEPENDENCYPART_ARC
(26,27),-0.432321 # DEPENDENCYPART_ARC
(27,1),-0.570175 # DEPENDENCYPART_ARC
(27,6),-1.42408 # DEPENDENCYPART_ARC
(27,10),-0.96451 # DEPENDENCYPART_ARC
(27,15),-0.0893672 # DEPENDENCYPART_ARC
(27,16),-2.71948 # DEPENDENCYPART_ARC
(27,19),-0.889803 # DEPENDENCYPART_ARC
(27,20),-0.893406 # DEPENDENCYPART_ARC
(27,24),-0.376276 # DEPENDENCYPART_ARC
(27,25),0.517606 # DEPENDENCYPART_ARC
(27,26),-1.28058 # DEPENDENCYPART_ARC
(27,28),2.88307 # DEPENDENCYPART_ARC
(27,29),-0.954577 # DEPENDENCYPART_ARC
(27,30),0.501393 # DEPENDENCYPART_ARC
(27,31),-2.43266 # DEPENDENCYPART_ARC
(27,32),-2.61493 # DEPENDENCYPART_ARC
(27,33),-2.59077 # DEPENDENCYPART_ARC
(27,34),-0.633386 # DEPENDENCYPART_ARC
(28,26),-3.24517 # DEPENDENCYPART_ARC
(28,29),1.22608 # DEPENDENCYPART_ARC
(28,30),0.377845 # DEPENDENCYPART_ARC
(28,31),-0.932236 # DEPENDENCYPART_ARC
(28,32),-0.53676 # DEPENDENCYPART_ARC
(28,33),-0.724442 # DEPENDENCYPART_ARC
(28,34),-0.58015 # DEPENDENCYPART_ARC
(29,26),-1.9622 # DEPENDENCYPART_ARC
(29,28),-0.99118 # DEPENDENCYPART_ARC
(29,30),-0.209553 # DEPENDENCYPART_ARC
(29,31),-1.35256 # DEPENDENCYPART_ARC
(29,32),-0.863578 # DEPENDENCYPART_ARC
(29,33),-0.989214 # DEPENDENCYPART_ARC
(30,2),-1.84454 # DEPENDENCYPART_ARC
(30,3),-0.741635 # DEPENDENCYPART_ARC
(30,4),-1.00609 # DEPENDENCYPART_ARC
(30,7),-1.51852 # DEPENDENCYPART_ARC
(30,8),-0.669116 # DEPENDENCYPART_ARC
(30,9),-1.03393 # DEPENDENCYPART_ARC
(30,16),-0.880088 # DEPENDENCYPART_ARC
(30,19),-0.749924 # DEPENDENCYPART_ARC
(30,20),-0.535607 # DEPENDENCYPART_ARC
(30,21),-0.390238 # DEPENDENCYPART_ARC
(30,25),-0.629612 # DEPENDENCYPART_ARC
(30,26),-0.628765 # DEPENDENCYPART_ARC
(30,27),-0.332822 # DEPENDENCYPART_ARC
(30,28),0.608999 # DEPENDENCYPART_ARC
(30,29),1.54398 # DEPENDENCYPART_ARC
(30,31),1.51939 # DEPENDENCYPART_ARC
(30,32),0.134947 # DEPENDENCYPART_ARC
(30,33),-0.11176 # DEPENDENCYPART_ARC
(30,34),-0.249609 # DEPENDENCYPART_ARC
(31,26),-2.90602 # DEPENDENCYPART_ARC
(31,29),-1.89264 # DEPENDENCYPART_ARC
(31,32),2.01937 # DEPENDENCYPART_ARC
(31,33),1.19649 # DEPENDENCYPART_ARC
(31,34),-0.48451 # DEPENDENCYPART_ARC
(32,28),-1.04194 # DEPENDENCYPART_ARC
(32,29),-1.76377 # DEPENDENCYPART_ARC
(32,31),-1.69033 # DEPENDENCYPART_ARC
(32,33),-0.334733 # DEPENDENCYPART_ARC
(32,34),-0.823695 # DEPENDENCYPART_ARC
(33,28),-1.01588 # DEPENDENCYPART_ARC
(33,29),-1.67168 # DEPENDENCYPART_ARC
(33,31),-2.00811 # DEPENDENCYPART_ARC
(33,32),-1.10077 # DEPENDENCYPART_ARC
(33,34),0.190358 # DEPENDENCYPART_ARC
(34,31),-0.995664 # DEPENDENCYPART_ARC
(34,32),-0.998475 # DEPENDENCYPART_ARC
(34,33),-0.656184 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0850235 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0743001 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0743655 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.110455 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0439942 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.071791 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0435959 # DEPENDENCYPART_SIBL
(0,1),(0,12),0.0217466 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0725827 # DEPENDENCYPART_SIBL
(0,1),(0,14),-0.11437 # DEPENDENCYPART_SIBL
(0,1),(0,23),-0.0725827 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.11437 # DEPENDENCYPART_SIBL
(0,1),(0,27),0.0772322 # DEPENDENCYPART_SIBL
(0,1),(0,34),-0.00197136 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.02833 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0283077 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0884975 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0467497 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.128967 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.096919 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0267911 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0358873 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0611097 # DEPENDENCYPART_SIBL
(0,2),(0,23),-0.0358873 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0611097 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.131781 # DEPENDENCYPART_SIBL
(0,2),(0,34),0.0657673 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0364585 # DEPENDENCYPART_SIBL
(0,3),(0,5),-0.0472863 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.0432494 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0953871 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.0139299 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.012804 # DEPENDENCYPART_SIBL
(0,3),(0,13),-0.0774407 # DEPENDENCYPART_SIBL
(0,3),(0,14),-0.0644719 # DEPENDENCYPART_SIBL
(0,3),(0,23),-0.0774407 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.0644719 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.10788 # DEPENDENCYPART_SIBL
(0,3),(0,34),-0.0407791 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0482216 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0432387 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0893767 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0139191 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.0144687 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0774125 # DEPENDENCYPART_SIBL
(0,4),(0,14),-0.0652813 # DEPENDENCYPART_SIBL
(0,4),(0,23),-0.0774125 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0652813 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.105108 # DEPENDENCYPART_SIBL
(0,4),(0,34),-0.0407388 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0496112 # DEPENDENCYPART_SIBL
(0,5),(0,7),0.0040464 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.068912 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0765039 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.0591998 # DEPENDENCYPART_SIBL
(0,5),(0,14),0.119004 # DEPENDENCYPART_SIBL
(0,5),(0,23),-0.0591998 # DEPENDENCYPART_SIBL
(0,5),(0,24),0.119004 # DEPENDENCYPART_SIBL
(0,5),(0,27),0.0011895 # DEPENDENCYPART_SIBL
(0,5),(0,34),-0.044756 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.161629 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.109743 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0888232 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.145532 # DEPENDENCYPART_SIBL
(0,6),(0,14),-0.163669 # DEPENDENCYPART_SIBL
(0,6),(0,23),-0.145532 # DEPENDENCYPART_SIBL
(0,6),(0,24),-0.163669 # DEPENDENCYPART_SIBL
(0,6),(0,27),-0.163076 # DEPENDENCYPART_SIBL
(0,6),(0,34),-0.200247 # DEPENDENCYPART_SIBL
(0,7),(0,11),-0.0480002 # DEPENDENCYPART_SIBL
(0,7),(0,12),0.0223445 # DEPENDENCYPART_SIBL
(0,7),(0,13),0.0213656 # DEPENDENCYPART_SIBL
(0,7),(0,14),-0.0178659 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0213656 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0178659 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.0249202 # DEPENDENCYPART_SIBL
(0,7),(0,34),0.116398 # DEPENDENCYPART_SIBL
(0,11),(0,12),-0.0719198 # DEPENDENCYPART_SIBL
(0,11),(0,13),-0.110302 # DEPENDENCYPART_SIBL
(0,11),(0,14),-0.185008 # DEPENDENCYPART_SIBL
(0,11),(0,23),-0.110302 # DEPENDENCYPART_SIBL
(0,11),(0,24),-0.185008 # DEPENDENCYPART_SIBL
(0,11),(0,27),-0.0668623 # DEPENDENCYPART_SIBL
(0,11),(0,34),-0.0478578 # DEPENDENCYPART_SIBL
(0,12),(0,13),0.0111074 # DEPENDENCYPART_SIBL
(0,12),(0,14),-0.0925165 # DEPENDENCYPART_SIBL
(0,12),(0,23),0.0111074 # DEPENDENCYPART_SIBL
(0,12),(0,24),-0.0925165 # DEPENDENCYPART_SIBL
(0,12),(0,27),-0.0370702 # DEPENDENCYPART_SIBL
(0,12),(0,34),0.0331363 # DEPENDENCYPART_SIBL
(0,13),(0,14),0.0523667 # DEPENDENCYPART_SIBL
(0,13),(0,23),-0.212957 # DEPENDENCYPART_SIBL
(0,13),(0,24),0.0523667 # DEPENDENCYPART_SIBL
(0,13),(0,27),0.0113457 # DEPENDENCYPART_SIBL
(0,13),(0,34),-0.297019 # DEPENDENCYPART_SIBL
(0,14),(0,23),-0.0725827 # DEPENDENCYPART_SIBL
(0,14),(0,24),-0.11437 # DEPENDENCYPART_SIBL
(0,14),(0,27),0.0772322 # DEPENDENCYPART_SIBL
(0,14),(0,34),-0.00197136 # DEPENDENCYPART_SIBL
(0,23),(0,24),0.0523667 # DEPENDENCYPART_SIBL
(0,23),(0,27),0.0113457 # DEPENDENCYPART_SIBL
(0,23),(0,34),-0.297019 # DEPENDENCYPART_SIBL
(0,24),(0,27),0.0772322 # DEPENDENCYPART_SIBL
(0,24),(0,34),-0.00197136 # DEPENDENCYPART_SIBL
(0,27),(0,34),0.0717513 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.0379583 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0370909 # DEPENDENCYPART_SIBL
(1,2),(1,7),0.0943464 # DEPENDENCYPART_SIBL
(1,2),(1,14),0.114848 # DEPENDENCYPART_SIBL
(1,3),(1,4),0.0130889 # DEPENDENCYPART_SIBL
(1,3),(1,7),-0.0199015 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.0361839 # DEPENDENCYPART_SIBL
(1,4),(1,7),-0.0155256 # DEPENDENCYPART_SIBL
(1,4),(1,14),0.0332256 # DEPENDENCYPART_SIBL
(1,7),(1,14),0.0135268 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.010671 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00627043 # DEPENDENCYPART_SIBL
(2,1),(2,6),-0.021288 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0139077 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.00627754 # DEPENDENCYPART_SIBL
(2,1),(2,10),-0.0464633 # DEPENDENCYPART_SIBL
(2,1),(2,11),-0.0443556 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0512633 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.023555 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0639906 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0369175 # DEPENDENCYPART_SIBL
(2,1),(2,18),-0.0122974 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0518473 # DEPENDENCYPART_SIBL
(2,1),(2,22),-0.033025 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0639906 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.0639906 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.101764 # DEPENDENCYPART_SIBL
