# _root_ وَ تُعارِضُ إِيرانُ ، ثانِي أَكْبَرِ مُنْتِجٍ لِ النَفْطِ فِي أُوبِك حَيْثُ يَبْلُغُ إِنْتاجُ ها 3,7 مِلْيُون بَرْمِيلٍ فِي اليَوْمِ بَيْنَ ها 2,4 مِلْيُون بَرْمِيلٍ مُخَصَّصَةٍ لِ التَصْدِيرِ ، أَيَّ رَفْعٍ لِ الإِنْتاجِ رَغْمَ اِعْتِمادِ ها عَلَى عائِداتِ النَفْطِ .
#goldHeads=0,0,4,2,4,5,6,7,8,6,10,11,12,13,14,13,16,17,18,19,16,21,21,23,24,23,26,27,4,2,30,31,32,2,34,35,35,37,38,0,
#predictedHeads=0,0,2,3,2,5,6,7,8,9,10,11,12,13,14,13,16,17,13,19,23,21,26,23,24,16,26,27,28,13,30,31,32,30,34,35,35,37,38,0,
(19,22),-0.283859 # DEPENDENCYPART_ARC
(19,23),-0.712496 # DEPENDENCYPART_ARC
(19,24),-1.03083 # DEPENDENCYPART_ARC
(19,28),-0.999544 # DEPENDENCYPART_ARC
(20,15),-2.02023 # DEPENDENCYPART_ARC
(20,21),0.732506 # DEPENDENCYPART_ARC
(20,22),-1.15096 # DEPENDENCYPART_ARC
(20,23),-0.646909 # DEPENDENCYPART_ARC
(20,24),-0.952376 # DEPENDENCYPART_ARC
(20,25),-1.77706 # DEPENDENCYPART_ARC
(20,26),-1.5847 # DEPENDENCYPART_ARC
(20,27),-0.421181 # DEPENDENCYPART_ARC
(21,1),-0.0879252 # DEPENDENCYPART_ARC
(21,14),-0.675804 # DEPENDENCYPART_ARC
(21,17),-0.79458 # DEPENDENCYPART_ARC
(21,18),-0.570097 # DEPENDENCYPART_ARC
(21,19),-0.0700311 # DEPENDENCYPART_ARC
(21,20),0.196658 # DEPENDENCYPART_ARC
(21,22),1.7537 # DEPENDENCYPART_ARC
(21,23),-0.052316 # DEPENDENCYPART_ARC
(21,24),-0.886472 # DEPENDENCYPART_ARC
(21,25),-1.32768 # DEPENDENCYPART_ARC
(21,26),-1.01297 # DEPENDENCYPART_ARC
(21,28),-1.1401 # DEPENDENCYPART_ARC
(22,18),-1.00522 # DEPENDENCYPART_ARC
(22,20),-1.06108 # DEPENDENCYPART_ARC
(22,24),-1.23508 # DEPENDENCYPART_ARC
(23,18),-0.27139 # DEPENDENCYPART_ARC
(23,20),-0.228555 # DEPENDENCYPART_ARC
(23,21),0.00411933 # DEPENDENCYPART_ARC
(23,22),0.0651606 # DEPENDENCYPART_ARC
(23,24),1.96325 # DEPENDENCYPART_ARC
(23,25),0.367223 # DEPENDENCYPART_ARC
(23,26),-0.139561 # DEPENDENCYPART_ARC
(23,27),-0.23165 # DEPENDENCYPART_ARC
(23,29),-0.636852 # DEPENDENCYPART_ARC
(23,32),-0.445567 # DEPENDENCYPART_ARC
(23,40),-1.34587 # DEPENDENCYPART_ARC
(24,22),-0.551852 # DEPENDENCYPART_ARC
(24,23),-0.543116 # DEPENDENCYPART_ARC
(24,25),1.70426 # DEPENDENCYPART_ARC
(24,26),0.373489 # DEPENDENCYPART_ARC
(24,27),0.131705 # DEPENDENCYPART_ARC
(24,28),-0.693604 # DEPENDENCYPART_ARC
(24,29),-0.413552 # DEPENDENCYPART_ARC
(24,30),-0.807752 # DEPENDENCYPART_ARC
(24,31),-0.617573 # DEPENDENCYPART_ARC
(24,32),-0.49435 # DEPENDENCYPART_ARC
(24,33),-1.34817 # DEPENDENCYPART_ARC
(24,34),-0.455862 # DEPENDENCYPART_ARC
(24,37),-0.866017 # DEPENDENCYPART_ARC
(25,22),-1.58037 # DEPENDENCYPART_ARC
(25,26),1.21314 # DEPENDENCYPART_ARC
(25,27),0.466811 # DEPENDENCYPART_ARC
(25,28),-1.04446 # DEPENDENCYPART_ARC
(25,29),-0.661723 # DEPENDENCYPART_ARC
(25,30),-1.77005 # DEPENDENCYPART_ARC
(25,31),-1.19831 # DEPENDENCYPART_ARC
(25,32),-0.556706 # DEPENDENCYPART_ARC
(25,34),-0.601565 # DEPENDENCYPART_ARC
(25,37),-0.979012 # DEPENDENCYPART_ARC
(26,17),-0.995421 # DEPENDENCYPART_ARC
(26,22),-1.26624 # DEPENDENCYPART_ARC
(26,23),-0.453254 # DEPENDENCYPART_ARC
(26,24),-0.617981 # DEPENDENCYPART_ARC
(26,25),-1.09002 # DEPENDENCYPART_ARC
(26,27),0.536437 # DEPENDENCYPART_ARC
(26,28),-0.385794 # DEPENDENCYPART_ARC
(26,29),-0.205543 # DEPENDENCYPART_ARC
(26,30),-0.971214 # DEPENDENCYPART_ARC
(27,25),-0.628855 # DEPENDENCYPART_ARC
(27,26),-0.619676 # DEPENDENCYPART_ARC
(27,28),2.24025 # DEPENDENCYPART_ARC
(27,29),-0.333959 # DEPENDENCYPART_ARC
(27,30),-0.894421 # DEPENDENCYPART_ARC
(27,31),-1.48311 # DEPENDENCYPART_ARC
(27,33),-1.18378 # DEPENDENCYPART_ARC
(28,29),0.740849 # DEPENDENCYPART_ARC
(28,30),-0.383774 # DEPENDENCYPART_ARC
(28,31),-0.949911 # DEPENDENCYPART_ARC
(28,32),0.177518 # DEPENDENCYPART_ARC
(28,33),-1.18948 # DEPENDENCYPART_ARC
(28,34),-0.0848408 # DEPENDENCYPART_ARC
(28,35),-1.41161 # DEPENDENCYPART_ARC
(28,36),-1.86127 # DEPENDENCYPART_ARC
(28,37),-0.238957 # DEPENDENCYPART_ARC
(28,39),-1.27476 # DEPENDENCYPART_ARC
(29,25),-0.722115 # DEPENDENCYPART_ARC
(29,26),-0.966044 # DEPENDENCYPART_ARC
(29,28),-0.281943 # DEPENDENCYPART_ARC
(29,30),-0.460764 # DEPENDENCYPART_ARC
(29,31),-1.28955 # DEPENDENCYPART_ARC
(29,35),-1.6171 # DEPENDENCYPART_ARC
(30,28),-1.13261 # DEPENDENCYPART_ARC
(30,29),0.0607348 # DEPENDENCYPART_ARC
(30,31),1.82757 # DEPENDENCYPART_ARC
(30,32),0.577846 # DEPENDENCYPART_ARC
(30,33),-0.277674 # DEPENDENCYPART_ARC
(30,34),0.173405 # DEPENDENCYPART_ARC
(30,35),-0.882784 # DEPENDENCYPART_ARC
(30,36),-0.390594 # DEPENDENCYPART_ARC
(30,37),-0.194381 # DEPENDENCYPART_ARC
(30,38),-0.908151 # DEPENDENCYPART_ARC
(30,39),-0.316926 # DEPENDENCYPART_ARC
(30,40),-0.362964 # DEPENDENCYPART_ARC
(31,29),-0.761928 # DEPENDENCYPART_ARC
(31,32),1.16553 # DEPENDENCYPART_ARC
(31,33),-0.325529 # DEPENDENCYPART_ARC
(31,34),0.12854 # DEPENDENCYPART_ARC
(31,35),-1.33386 # DEPENDENCYPART_ARC
(31,36),-1.25355 # DEPENDENCYPART_ARC
(31,37),-0.288094 # DEPENDENCYPART_ARC
(31,39),-0.985646 # DEPENDENCYPART_ARC
(32,28),-0.593372 # DEPENDENCYPART_ARC
(32,30),-0.4872 # DEPENDENCYPART_ARC
(32,31),0.146218 # DEPENDENCYPART_ARC
(32,33),2.17103 # DEPENDENCYPART_ARC
(32,34),-0.255353 # DEPENDENCYPART_ARC
(32,35),-0.264758 # DEPENDENCYPART_ARC
(32,38),-0.785088 # DEPENDENCYPART_ARC
(33,34),0.814536 # DEPENDENCYPART_ARC
(33,35),-0.63301 # DEPENDENCYPART_ARC
(33,36),-1.3679 # DEPENDENCYPART_ARC
(33,37),-0.0824591 # DEPENDENCYPART_ARC
(33,38),-1.89576 # DEPENDENCYPART_ARC
(33,39),-1.09563 # DEPENDENCYPART_ARC
(34,30),-0.786709 # DEPENDENCYPART_ARC
(34,31),-0.683472 # DEPENDENCYPART_ARC
(34,32),-0.313954 # DEPENDENCYPART_ARC
(34,33),0.0879236 # DEPENDENCYPART_ARC
(34,35),1.76793 # DEPENDENCYPART_ARC
(34,36),-0.0695892 # DEPENDENCYPART_ARC
(34,37),-0.824985 # DEPENDENCYPART_ARC
(34,38),-0.453992 # DEPENDENCYPART_ARC
(34,39),-1.58781 # DEPENDENCYPART_ARC
(35,36),2.43427 # DEPENDENCYPART_ARC
(35,37),0.814933 # DEPENDENCYPART_ARC
(35,38),-0.131592 # DEPENDENCYPART_ARC
(35,39),0.161029 # DEPENDENCYPART_ARC
(35,40),-0.376972 # DEPENDENCYPART_ARC
(36,33),-1.39198 # DEPENDENCYPART_ARC
(36,35),-0.901268 # DEPENDENCYPART_ARC
(36,37),-0.0925572 # DEPENDENCYPART_ARC
(36,38),-1.43196 # DEPENDENCYPART_ARC
(37,33),-0.595664 # DEPENDENCYPART_ARC
(37,35),-0.515994 # DEPENDENCYPART_ARC
(37,36),-0.180989 # DEPENDENCYPART_ARC
(37,38),2.05313 # DEPENDENCYPART_ARC
(37,39),-0.0239025 # DEPENDENCYPART_ARC
(37,40),-0.453814 # DEPENDENCYPART_ARC
(38,36),-3.21205 # DEPENDENCYPART_ARC
(38,39),1.93345 # DEPENDENCYPART_ARC
(38,40),-0.115516 # DEPENDENCYPART_ARC
(39,36),-1.73219 # DEPENDENCYPART_ARC
(39,38),-1.66453 # DEPENDENCYPART_ARC
(39,40),0.00943886 # DEPENDENCYPART_ARC
(40,38),-0.910727 # DEPENDENCYPART_ARC
(40,39),-0.483904 # DEPENDENCYPART_ARC
(0,1),(0,2),0.081482 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.0338977 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0800757 # DEPENDENCYPART_SIBL
(0,1),(0,5),0.0645535 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0433027 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0743759 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.081145 # DEPENDENCYPART_SIBL
(0,1),(0,10),0.00295004 # DEPENDENCYPART_SIBL
(0,1),(0,11),-0.0304205 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.0285788 # DEPENDENCYPART_SIBL
(0,1),(0,13),0.0769502 # DEPENDENCYPART_SIBL
(0,1),(0,16),0.0478694 # DEPENDENCYPART_SIBL
(0,1),(0,23),0.0478754 # DEPENDENCYPART_SIBL
(0,1),(0,40),-0.00197136 # DEPENDENCYPART_SIBL
(0,2),(0,3),0.0031366 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0190931 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0177864 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0319675 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0152827 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.0166718 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0147178 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0659593 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.0658888 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.075865 # DEPENDENCYPART_SIBL
(0,2),(0,16),0.0229242 # DEPENDENCYPART_SIBL
(0,2),(0,23),0.02293 # DEPENDENCYPART_SIBL
(0,2),(0,40),0.10357 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0285037 # DEPENDENCYPART_SIBL
(0,3),(0,5),0.0147117 # DEPENDENCYPART_SIBL
(0,3),(0,6),0.0210836 # DEPENDENCYPART_SIBL
(0,3),(0,7),0.0172166 # DEPENDENCYPART_SIBL
(0,3),(0,8),0.0188327 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0112664 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.020282 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.0313718 # DEPENDENCYPART_SIBL
(0,3),(0,13),0.0214774 # DEPENDENCYPART_SIBL
(0,3),(0,16),0.0983031 # DEPENDENCYPART_SIBL
(0,3),(0,23),0.0983082 # DEPENDENCYPART_SIBL
(0,3),(0,40),0.091296 # DEPENDENCYPART_SIBL
(0,4),(0,5),-0.0636398 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.108212 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0611431 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0760158 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0890862 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0562486 # DEPENDENCYPART_SIBL
(0,4),(0,12),-0.178771 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.0710738 # DEPENDENCYPART_SIBL
(0,4),(0,16),0.0674835 # DEPENDENCYPART_SIBL
(0,4),(0,23),0.0674882 # DEPENDENCYPART_SIBL
(0,4),(0,40),-0.219931 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.0567536 # DEPENDENCYPART_SIBL
(0,5),(0,7),-0.0361715 # DEPENDENCYPART_SIBL
(0,5),(0,8),0.0280563 # DEPENDENCYPART_SIBL
(0,5),(0,10),0.0371424 # DEPENDENCYPART_SIBL
(0,5),(0,11),0.0232728 # DEPENDENCYPART_SIBL
(0,5),(0,12),-0.0941871 # DEPENDENCYPART_SIBL
(0,5),(0,13),-0.106579 # DEPENDENCYPART_SIBL
(0,5),(0,16),0.0191801 # DEPENDENCYPART_SIBL
(0,5),(0,23),0.0191833 # DEPENDENCYPART_SIBL
(0,5),(0,40),-0.0540266 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.0361252 # DEPENDENCYPART_SIBL
(0,6),(0,8),0.0384645 # DEPENDENCYPART_SIBL
(0,6),(0,10),0.00861603 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.0356253 # DEPENDENCYPART_SIBL
(0,6),(0,12),-0.0354247 # DEPENDENCYPART_SIBL
(0,6),(0,13),-0.054009 # DEPENDENCYPART_SIBL
(0,6),(0,16),0.00360411 # DEPENDENCYPART_SIBL
(0,6),(0,23),0.0036075 # DEPENDENCYPART_SIBL
(0,6),(0,40),-0.0048327 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0239942 # DEPENDENCYPART_SIBL
(0,7),(0,10),0.0495271 # DEPENDENCYPART_SIBL
(0,7),(0,11),0.0273521 # DEPENDENCYPART_SIBL
(0,7),(0,12),-0.0901078 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.102499 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.023769 # DEPENDENCYPART_SIBL
(0,7),(0,23),0.0237721 # DEPENDENCYPART_SIBL
(0,7),(0,40),-0.0407696 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.0584255 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.0552835 # DEPENDENCYPART_SIBL
