# _root_ كَما أَعْلَنَت أَنَّ طائِراتِ مُكافَحَةِ المُخَدِّراتِ , وَ هِيَ جُزْءٌ مِن بَرْنامَجِ المُراقَبَةِ الجَوِّيَّةِ الَّذِي تُمَوِّلُ هُ الوِلاياتُ المُتَّحِدَةُ , سَ يَتِمُّ اِسْتِئْنافُ العَمَلِ بِ ها قَرِيباً جِدّاً .
#goldHeads=0,0,2,22,4,5,10,10,10,4,10,11,12,13,12,12,16,16,18,10,22,3,22,23,24,25,22,27,0,
#predictedHeads=0,0,2,10,4,5,6,10,10,3,10,11,12,13,12,12,16,16,18,19,22,3,22,23,24,25,22,27,0,
(8,2),-0.247174 # DEPENDENCYPART_ARC
(8,3),-0.307874 # DEPENDENCYPART_ARC
(8,4),-0.771693 # DEPENDENCYPART_ARC
(8,5),-0.557385 # DEPENDENCYPART_ARC
(8,6),-0.391282 # DEPENDENCYPART_ARC
(8,7),-0.142064 # DEPENDENCYPART_ARC
(8,9),-0.496587 # DEPENDENCYPART_ARC
(8,10),-0.411265 # DEPENDENCYPART_ARC
(8,11),-0.643121 # DEPENDENCYPART_ARC
(8,12),-0.868239 # DEPENDENCYPART_ARC
(8,13),-0.982061 # DEPENDENCYPART_ARC
(8,14),-1.20362 # DEPENDENCYPART_ARC
(8,16),-1.17967 # DEPENDENCYPART_ARC
(8,17),-1.56379 # DEPENDENCYPART_ARC
(8,19),-1.8214 # DEPENDENCYPART_ARC
(8,20),-0.909837 # DEPENDENCYPART_ARC
(8,22),-1.7004 # DEPENDENCYPART_ARC
(8,29),-0.84714 # DEPENDENCYPART_ARC
(9,5),-1.17685 # DEPENDENCYPART_ARC
(9,6),-0.738657 # DEPENDENCYPART_ARC
(9,8),0.0854463 # DEPENDENCYPART_ARC
(9,11),-0.838747 # DEPENDENCYPART_ARC
(10,1),0.112026 # DEPENDENCYPART_ARC
(10,2),-0.3871 # DEPENDENCYPART_ARC
(10,3),0.293485 # DEPENDENCYPART_ARC
(10,4),0.528853 # DEPENDENCYPART_ARC
(10,5),-0.636697 # DEPENDENCYPART_ARC
(10,6),-0.187411 # DEPENDENCYPART_ARC
(10,7),-0.325735 # DEPENDENCYPART_ARC
(10,8),-0.14323 # DEPENDENCYPART_ARC
(10,9),1.7066 # DEPENDENCYPART_ARC
(10,11),1.2734 # DEPENDENCYPART_ARC
(10,12),-0.29772 # DEPENDENCYPART_ARC
(10,13),-0.503863 # DEPENDENCYPART_ARC
(10,14),-0.470089 # DEPENDENCYPART_ARC
(10,15),0.000835897 # DEPENDENCYPART_ARC
(10,16),0.395101 # DEPENDENCYPART_ARC
(10,17),-1.78799 # DEPENDENCYPART_ARC
(11,1),-0.594647 # DEPENDENCYPART_ARC
(11,4),-0.827434 # DEPENDENCYPART_ARC
(11,5),-0.798915 # DEPENDENCYPART_ARC
(11,6),-0.798253 # DEPENDENCYPART_ARC
(11,7),-0.901803 # DEPENDENCYPART_ARC
(11,9),-0.488277 # DEPENDENCYPART_ARC
(11,10),-0.152292 # DEPENDENCYPART_ARC
(11,12),2.32908 # DEPENDENCYPART_ARC
(11,13),0.0681681 # DEPENDENCYPART_ARC
(11,14),-0.653626 # DEPENDENCYPART_ARC
(11,15),-0.687403 # DEPENDENCYPART_ARC
(11,21),-0.979081 # DEPENDENCYPART_ARC
(12,13),2.06186 # DEPENDENCYPART_ARC
(12,14),0.559792 # DEPENDENCYPART_ARC
(12,15),0.303905 # DEPENDENCYPART_ARC
(12,16),-0.144971 # DEPENDENCYPART_ARC
(12,17),-1.05655 # DEPENDENCYPART_ARC
(12,18),-0.678988 # DEPENDENCYPART_ARC
(12,19),-1.23031 # DEPENDENCYPART_ARC
(12,22),-1.22631 # DEPENDENCYPART_ARC
(12,24),-0.328668 # DEPENDENCYPART_ARC
(12,25),-0.494421 # DEPENDENCYPART_ARC
(13,9),-0.901423 # DEPENDENCYPART_ARC
(13,12),-2.17025 # DEPENDENCYPART_ARC
(13,14),2.35267 # DEPENDENCYPART_ARC
(13,15),0.873666 # DEPENDENCYPART_ARC
(13,16),0.100431 # DEPENDENCYPART_ARC
(13,17),-2.00467 # DEPENDENCYPART_ARC
(13,18),-1.3403 # DEPENDENCYPART_ARC
(13,19),-0.430554 # DEPENDENCYPART_ARC
(13,22),-1.69847 # DEPENDENCYPART_ARC
(14,4),-1.04144 # DEPENDENCYPART_ARC
(14,12),-1.75696 # DEPENDENCYPART_ARC
(14,13),-1.89174 # DEPENDENCYPART_ARC
(14,15),-0.156983 # DEPENDENCYPART_ARC
(14,19),-1.7161 # DEPENDENCYPART_ARC
(15,1),-0.530686 # DEPENDENCYPART_ARC
(15,2),-0.624508 # DEPENDENCYPART_ARC
(15,3),-0.416789 # DEPENDENCYPART_ARC
(15,14),-0.415057 # DEPENDENCYPART_ARC
(15,16),0.117299 # DEPENDENCYPART_ARC
(15,17),-0.975951 # DEPENDENCYPART_ARC
(15,26),-1.29918 # DEPENDENCYPART_ARC
(16,1),-1.12861 # DEPENDENCYPART_ARC
(16,3),-1.12236 # DEPENDENCYPART_ARC
(16,4),-0.901089 # DEPENDENCYPART_ARC
(16,9),-1.38424 # DEPENDENCYPART_ARC
(16,10),-1.70386 # DEPENDENCYPART_ARC
(16,11),-1.05288 # DEPENDENCYPART_ARC
(16,12),-2.88895 # DEPENDENCYPART_ARC
(16,13),-2.85031 # DEPENDENCYPART_ARC
(16,14),-2.35597 # DEPENDENCYPART_ARC
(16,15),-0.71054 # DEPENDENCYPART_ARC
(16,17),3.26376 # DEPENDENCYPART_ARC
(16,18),1.54527 # DEPENDENCYPART_ARC
(16,19),-0.863786 # DEPENDENCYPART_ARC
(16,20),-0.060234 # DEPENDENCYPART_ARC
(16,21),-0.351855 # DEPENDENCYPART_ARC
(16,22),-0.972325 # DEPENDENCYPART_ARC
(16,23),-0.160206 # DEPENDENCYPART_ARC
(16,24),-2.267 # DEPENDENCYPART_ARC
(16,25),-0.328119 # DEPENDENCYPART_ARC
(16,27),0.167315 # DEPENDENCYPART_ARC
(16,28),-0.392151 # DEPENDENCYPART_ARC
(16,29),-0.478196 # DEPENDENCYPART_ARC
(17,18),-1.35993 # DEPENDENCYPART_ARC
(17,20),-1.00717 # DEPENDENCYPART_ARC
(17,22),-1.75786 # DEPENDENCYPART_ARC
(18,17),0.198369 # DEPENDENCYPART_ARC
(18,19),2.32077 # DEPENDENCYPART_ARC
(18,20),-0.194201 # DEPENDENCYPART_ARC
(18,21),-0.849997 # DEPENDENCYPART_ARC
(18,22),-0.912262 # DEPENDENCYPART_ARC
(18,23),-2.1803 # DEPENDENCYPART_ARC
(18,24),-1.60172 # DEPENDENCYPART_ARC
(18,25),-0.783172 # DEPENDENCYPART_ARC
(18,26),-1.58328 # DEPENDENCYPART_ARC
(19,17),-0.539641 # DEPENDENCYPART_ARC
(19,18),-0.901017 # DEPENDENCYPART_ARC
(19,20),0.449801 # DEPENDENCYPART_ARC
(19,22),-1.05993 # DEPENDENCYPART_ARC
(19,25),-0.737006 # DEPENDENCYPART_ARC
(20,18),-0.582823 # DEPENDENCYPART_ARC
(20,19),-0.204371 # DEPENDENCYPART_ARC
(20,22),-0.836865 # DEPENDENCYPART_ARC
(21,18),-0.787136 # DEPENDENCYPART_ARC
(21,20),-0.236015 # DEPENDENCYPART_ARC
(21,23),-0.154864 # DEPENDENCYPART_ARC
(21,29),-0.820425 # DEPENDENCYPART_ARC
(22,1),-0.24049 # DEPENDENCYPART_ARC
(22,3),-0.258299 # DEPENDENCYPART_ARC
(22,4),-0.729794 # DEPENDENCYPART_ARC
(22,5),-3.41705 # DEPENDENCYPART_ARC
(22,6),-3.5016 # DEPENDENCYPART_ARC
(22,7),-0.846975 # DEPENDENCYPART_ARC
(22,8),-0.0462953 # DEPENDENCYPART_ARC
(22,9),-0.615392 # DEPENDENCYPART_ARC
(22,10),-0.831544 # DEPENDENCYPART_ARC
(22,11),-0.639347 # DEPENDENCYPART_ARC
(22,12),-2.17765 # DEPENDENCYPART_ARC
(22,13),-2.99268 # DEPENDENCYPART_ARC
(22,15),-0.789977 # DEPENDENCYPART_ARC
(22,16),-1.39518 # DEPENDENCYPART_ARC
(22,17),-0.867538 # DEPENDENCYPART_ARC
(22,18),-0.650112 # DEPENDENCYPART_ARC
(22,19),-0.823798 # DEPENDENCYPART_ARC
(22,20),0.0563683 # DEPENDENCYPART_ARC
(22,21),2.01534 # DEPENDENCYPART_ARC
(22,23),2.47923 # DEPENDENCYPART_ARC
(22,24),-0.784109 # DEPENDENCYPART_ARC
(22,25),0.70254 # DEPENDENCYPART_ARC
(22,27),0.770682 # DEPENDENCYPART_ARC
(22,28),0.332885 # DEPENDENCYPART_ARC
(22,29),-0.353063 # DEPENDENCYPART_ARC
(23,21),-0.626642 # DEPENDENCYPART_ARC
(23,24),2.09692 # DEPENDENCYPART_ARC
(23,25),0.542163 # DEPENDENCYPART_ARC
(23,26),0.327466 # DEPENDENCYPART_ARC
(23,27),-0.81023 # DEPENDENCYPART_ARC
(23,28),-0.49496 # DEPENDENCYPART_ARC
(23,29),-0.496247 # DEPENDENCYPART_ARC
(24,21),-1.03156 # DEPENDENCYPART_ARC
(24,23),-1.23992 # DEPENDENCYPART_ARC
(24,25),0.651044 # DEPENDENCYPART_ARC
(24,26),-1.03358 # DEPENDENCYPART_ARC
(24,27),-2.04275 # DEPENDENCYPART_ARC
(24,28),-1.74064 # DEPENDENCYPART_ARC
(25,21),-0.807757 # DEPENDENCYPART_ARC
(25,23),-0.862086 # DEPENDENCYPART_ARC
(25,24),-0.128712 # DEPENDENCYPART_ARC
(25,26),1.92658 # DEPENDENCYPART_ARC
(25,27),0.127704 # DEPENDENCYPART_ARC
(25,28),-0.588429 # DEPENDENCYPART_ARC
(25,29),-0.435061 # DEPENDENCYPART_ARC
(26,23),-0.958426 # DEPENDENCYPART_ARC
(26,24),-1.10594 # DEPENDENCYPART_ARC
(26,27),-0.438844 # DEPENDENCYPART_ARC
(26,28),-1.31182 # DEPENDENCYPART_ARC
(26,29),-0.967272 # DEPENDENCYPART_ARC
(27,18),-1.15786 # DEPENDENCYPART_ARC
(27,20),-0.469273 # DEPENDENCYPART_ARC
(27,23),-0.61956 # DEPENDENCYPART_ARC
(27,24),-0.785111 # DEPENDENCYPART_ARC
(27,25),-0.36541 # DEPENDENCYPART_ARC
(27,26),-0.306414 # DEPENDENCYPART_ARC
(27,28),0.959904 # DEPENDENCYPART_ARC
(27,29),-0.37461 # DEPENDENCYPART_ARC
(28,21),-0.940394 # DEPENDENCYPART_ARC
(28,23),-0.961511 # DEPENDENCYPART_ARC
(28,24),-1.16568 # DEPENDENCYPART_ARC
(28,25),-0.861083 # DEPENDENCYPART_ARC
(28,26),-1.94868 # DEPENDENCYPART_ARC
(28,27),-0.713504 # DEPENDENCYPART_ARC
(28,29),0.396933 # DEPENDENCYPART_ARC
(29,27),-1.05717 # DEPENDENCYPART_ARC
(29,28),-0.661768 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0310495 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.117235 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.108092 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.112807 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.246161 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.108096 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.0938935 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0630076 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.112807 # DEPENDENCYPART_SIBL
(0,1),(0,21),-0.0794829 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.108811 # DEPENDENCYPART_SIBL
(0,1),(0,24),-0.11437 # DEPENDENCYPART_SIBL
(0,1),(0,25),-0.130851 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.0621115 # DEPENDENCYPART_SIBL
(0,1),(0,28),-0.110435 # DEPENDENCYPART_SIBL
(0,1),(0,29),-0.100535 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.172351 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0399152 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.00215021 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.143329 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0399152 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.106374 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0579486 # DEPENDENCYPART_SIBL
(0,2),(0,20),-0.00215021 # DEPENDENCYPART_SIBL
(0,2),(0,21),-0.0476825 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.112015 # DEPENDENCYPART_SIBL
(0,2),(0,24),-0.0415412 # DEPENDENCYPART_SIBL
(0,2),(0,25),-0.106939 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.0540026 # DEPENDENCYPART_SIBL
(0,2),(0,28),-0.0399152 # DEPENDENCYPART_SIBL
(0,2),(0,29),0.109388 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.187799 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.113809 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.216539 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.187803 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.145674 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0225078 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.113809 # DEPENDENCYPART_SIBL
(0,3),(0,21),-0.074326 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.160731 # DEPENDENCYPART_SIBL
(0,3),(0,24),-0.194078 # DEPENDENCYPART_SIBL
(0,3),(0,25),-0.167161 # DEPENDENCYPART_SIBL
(0,3),(0,27),-0.0221991 # DEPENDENCYPART_SIBL
(0,3),(0,28),-0.192486 # DEPENDENCYPART_SIBL
(0,3),(0,29),-0.134363 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0774123 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0644612 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0347447 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.101006 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0517001 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0774123 # DEPENDENCYPART_SIBL
(0,4),(0,21),-0.0462586 # DEPENDENCYPART_SIBL
(0,4),(0,22),-0.103926 # DEPENDENCYPART_SIBL
(0,4),(0,24),-0.0471489 # DEPENDENCYPART_SIBL
(0,4),(0,25),0.0250127 # DEPENDENCYPART_SIBL
(0,4),(0,27),-0.0300677 # DEPENDENCYPART_SIBL
(0,4),(0,28),-0.0380118 # DEPENDENCYPART_SIBL
(0,4),(0,29),-0.0407386 # DEPENDENCYPART_SIBL
(0,7),(0,8),0.0523667 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.0588501 # DEPENDENCYPART_SIBL
(0,7),(0,16),0.0136191 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0692774 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.212957 # DEPENDENCYPART_SIBL
(0,7),(0,21),-0.130972 # DEPENDENCYPART_SIBL
(0,7),(0,22),0.00989692 # DEPENDENCYPART_SIBL
(0,7),(0,24),-0.0620772 # DEPENDENCYPART_SIBL
(0,7),(0,25),-0.0977326 # DEPENDENCYPART_SIBL
(0,7),(0,27),-0.0633824 # DEPENDENCYPART_SIBL
(0,7),(0,28),-0.0589142 # DEPENDENCYPART_SIBL
(0,7),(0,29),-0.297019 # DEPENDENCYPART_SIBL
(0,8),(0,10),0.0743705 # DEPENDENCYPART_SIBL
(0,8),(0,16),0.081751 # DEPENDENCYPART_SIBL
(0,8),(0,19),0.0400626 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.0725827 # DEPENDENCYPART_SIBL
(0,8),(0,21),0.0401043 # DEPENDENCYPART_SIBL
(0,8),(0,22),0.0663049 # DEPENDENCYPART_SIBL
(0,8),(0,24),0.0637692 # DEPENDENCYPART_SIBL
(0,8),(0,25),0.0107693 # DEPENDENCYPART_SIBL
(0,8),(0,27),0.0389337 # DEPENDENCYPART_SIBL
(0,8),(0,28),0.0720326 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.00197136 # DEPENDENCYPART_SIBL
(0,10),(0,16),-0.0954608 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.0517611 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.0776132 # DEPENDENCYPART_SIBL
(0,10),(0,21),-0.0462595 # DEPENDENCYPART_SIBL
(0,10),(0,22),-0.0983809 # DEPENDENCYPART_SIBL
(0,10),(0,24),-0.0471494 # DEPENDENCYPART_SIBL
(0,10),(0,25),0.0248555 # DEPENDENCYPART_SIBL
(0,10),(0,27),-0.0301287 # DEPENDENCYPART_SIBL
(0,10),(0,28),-0.0380124 # DEPENDENCYPART_SIBL
(0,10),(0,29),-0.0409394 # DEPENDENCYPART_SIBL
(0,16),(0,19),-0.0439427 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.0135969 # DEPENDENCYPART_SIBL
(0,16),(0,21),-0.0340885 # DEPENDENCYPART_SIBL
(0,16),(0,22),-0.085455 # DEPENDENCYPART_SIBL
(0,16),(0,24),-0.0249433 # DEPENDENCYPART_SIBL
(0,16),(0,25),-0.0926662 # DEPENDENCYPART_SIBL
(0,16),(0,27),-0.0399966 # DEPENDENCYPART_SIBL
(0,16),(0,28),-0.0233173 # DEPENDENCYPART_SIBL
(0,16),(0,29),0.0785765 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.0285398 # DEPENDENCYPART_SIBL
(0,19),(0,21),-0.0451668 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.0979332 # DEPENDENCYPART_SIBL
(0,19),(0,24),-0.0438396 # DEPENDENCYPART_SIBL
(0,19),(0,25),-0.102715 # DEPENDENCYPART_SIBL
(0,19),(0,27),-0.0174237 # DEPENDENCYPART_SIBL
(0,19),(0,28),-0.0575233 # DEPENDENCYPART_SIBL
(0,19),(0,29),-0.0335455 # DEPENDENCYPART_SIBL
(0,20),(0,21),-0.130972 # DEPENDENCYPART_SIBL
(0,20),(0,22),0.00989692 # DEPENDENCYPART_SIBL
(0,20),(0,24),-0.0620772 # DEPENDENCYPART_SIBL
(0,20),(0,25),-0.0977326 # DEPENDENCYPART_SIBL
(0,20),(0,27),-0.0633824 # DEPENDENCYPART_SIBL
(0,20),(0,28),-0.0589142 # DEPENDENCYPART_SIBL
(0,20),(0,29),-0.297019 # DEPENDENCYPART_SIBL
(0,21),(0,22),-0.17384 # DEPENDENCYPART_SIBL
(0,21),(0,24),-0.109799 # DEPENDENCYPART_SIBL
(0,21),(0,25),-0.138667 # DEPENDENCYPART_SIBL
(0,21),(0,27),-0.119354 # DEPENDENCYPART_SIBL
(0,21),(0,28),-0.108225 # DEPENDENCYPART_SIBL
(0,21),(0,29),-0.204856 # DEPENDENCYPART_SIBL
(0,22),(0,24),-0.00284652 # DEPENDENCYPART_SIBL
(0,22),(0,25),-0.0620121 # DEPENDENCYPART_SIBL
(0,22),(0,27),-0.0174399 # DEPENDENCYPART_SIBL
(0,22),(0,28),-0.00122059 # DEPENDENCYPART_SIBL
(0,22),(0,29),0.109892 # DEPENDENCYPART_SIBL
(0,24),(0,25),0.0184869 # DEPENDENCYPART_SIBL
(0,24),(0,27),-0.0234 # DEPENDENCYPART_SIBL
(0,24),(0,28),-0.0515752 # DEPENDENCYPART_SIBL
(0,24),(0,29),-0.0548263 # DEPENDENCYPART_SIBL
(0,25),(0,27),-0.0950941 # DEPENDENCYPART_SIBL
(0,25),(0,28),-0.103416 # DEPENDENCYPART_SIBL
(0,25),(0,29),-0.283098 # DEPENDENCYPART_SIBL
(0,27),(0,28),-0.0442951 # DEPENDENCYPART_SIBL
(0,27),(0,29),-0.00217443 # DEPENDENCYPART_SIBL
(0,28),(0,29),-0.0453128 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.175469 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.220095 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.164924 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.00738409 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.00872203 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.0087174 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00872133 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00856761 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0412243 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0110409 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.0384144 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.00855262 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00872276 # DEPENDENCYPART_SIBL
(2,1),(2,14),-0.0213778 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.0223112 # DEPENDENCYPART_SIBL
(2,1),(2,21),-0.00367793 # DEPENDENCYPART_SIBL
(2,1),(2,27),-0.0085461 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.39327 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.394053 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.393282 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.116662 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.409717 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.390631 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.308651 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.395884 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.39327 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.0748087 # DEPENDENCYPART_SIBL
(2,3),(2,19),-0.0751969 # DEPENDENCYPART_SIBL
(2,3),(2,21),-0.155645 # DEPENDENCYPART_SIBL
(2,3),(2,27),-0.0584659 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0639738 # DEPENDENCYPART_SIBL
(2,4),(2,6),-0.070067 # DEPENDENCYPART_SIBL
