# _root_ تَوَقَّعَت الحُكُومَةُ المِصْرِيَّةُ زِيادَةً فِي حَجْمِ مُوازَنَةِ السَنَةِ المُقْبِلَةِ بِ نِسْبَةِ 13 فِي المِئَةِ إِلَى 140 بِلْيُونَ جُنَيْهٍ ( 33 بِلْيُونَ دُولارٍ ) اِرْتِفاعاً مِن 8,126 بِلْيُونَ جُنَيْهٍ ( 7,29 بِلْيُونَ دُولارٍ ) لِ المُوازَنَةِ الحالِيَّةِ . وَ شَدَّدَ وَزِيرُ المالِ مِدْحَت حَسانَيْن فِي تَصْرِيحٍ لِ » الحَياَةِ « عَلَى ضَرُورَةِ أَن تَتَحَوَّلَ مُوازَنَةُ الدَوْلَةِ إِلَى » مُوازَنَةِ مَوارِدَ وَ بَرامِجَ وَ أَداءٍ وَ لَيْسَت مُوازَنَةِ إِنْفاقٍ « مُشِيراً إِلَى أَنَّ المُشْكِلَةَ تَكْمُنُ فِي تَراجُعِ حَجْمِ الإِيراداتِ وَ اِرْتِفاعِ حَجْمِ الإِنْفاقِ سَنَوِيّاً .
#goldHeads=0,1,2,1,4,5,6,7,8,4,10,11,12,13,4,19,16,17,15,19,20,21,19,4,24,29,26,27,25,29,30,31,29,24,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,64,64,60,58,60,60,60,56,66,64,66,64,39,69,70,73,71,73,78,75,76,74,78,79,80,78,0,
#predictedHeads=0,1,2,1,1,5,6,7,8,1,10,11,12,13,1,19,16,17,15,19,20,21,19,19,24,29,26,27,25,29,30,31,29,1,34,35,0,0,0,39,40,43,40,39,44,45,48,46,48,39,50,51,52,53,54,53,58,56,60,58,60,60,60,60,64,65,66,58,39,69,70,73,71,73,74,75,78,76,78,79,80,39,0,
(19,22),-0.537069 # DEPENDENCYPART_ARC
(19,23),0.539616 # DEPENDENCYPART_ARC
(19,24),-0.773536 # DEPENDENCYPART_ARC
(19,25),-0.241191 # DEPENDENCYPART_ARC
(19,27),-0.772719 # DEPENDENCYPART_ARC
(19,28),-0.795866 # DEPENDENCYPART_ARC
(19,29),-0.55313 # DEPENDENCYPART_ARC
(19,31),-0.800422 # DEPENDENCYPART_ARC
(19,33),-0.631032 # DEPENDENCYPART_ARC
(19,35),-0.834282 # DEPENDENCYPART_ARC
(19,37),-1.19036 # DEPENDENCYPART_ARC
(20,17),-0.471504 # DEPENDENCYPART_ARC
(20,18),-0.253625 # DEPENDENCYPART_ARC
(20,19),0.10953 # DEPENDENCYPART_ARC
(20,21),1.88043 # DEPENDENCYPART_ARC
(20,22),0.271335 # DEPENDENCYPART_ARC
(20,23),-0.190122 # DEPENDENCYPART_ARC
(20,24),-0.173532 # DEPENDENCYPART_ARC
(20,25),-0.181218 # DEPENDENCYPART_ARC
(20,29),-0.976219 # DEPENDENCYPART_ARC
(20,33),-0.938992 # DEPENDENCYPART_ARC
(21,20),-0.651791 # DEPENDENCYPART_ARC
(21,22),1.856 # DEPENDENCYPART_ARC
(21,23),-0.183191 # DEPENDENCYPART_ARC
(21,24),-0.418495 # DEPENDENCYPART_ARC
(21,25),-0.214188 # DEPENDENCYPART_ARC
(21,26),-0.742464 # DEPENDENCYPART_ARC
(21,27),-0.70752 # DEPENDENCYPART_ARC
(21,28),-0.452868 # DEPENDENCYPART_ARC
(22,23),-0.510327 # DEPENDENCYPART_ARC
(22,24),-1.28704 # DEPENDENCYPART_ARC
(22,25),-1.02696 # DEPENDENCYPART_ARC
(22,26),-1.43841 # DEPENDENCYPART_ARC
(23,20),-0.748105 # DEPENDENCYPART_ARC
(23,21),-0.669578 # DEPENDENCYPART_ARC
(23,22),-0.11717 # DEPENDENCYPART_ARC
(23,24),-0.23351 # DEPENDENCYPART_ARC
(23,25),-0.85072 # DEPENDENCYPART_ARC
(23,26),-0.767699 # DEPENDENCYPART_ARC
(23,29),-0.315522 # DEPENDENCYPART_ARC
(24,21),-1.09857 # DEPENDENCYPART_ARC
(24,22),-1.40197 # DEPENDENCYPART_ARC
(24,23),-0.169508 # DEPENDENCYPART_ARC
(24,25),1.16927 # DEPENDENCYPART_ARC
(24,26),-0.0310307 # DEPENDENCYPART_ARC
(24,27),-1.272 # DEPENDENCYPART_ARC
(24,28),-0.570184 # DEPENDENCYPART_ARC
(24,29),-0.0863739 # DEPENDENCYPART_ARC
(24,30),-0.792996 # DEPENDENCYPART_ARC
(24,33),-0.304043 # DEPENDENCYPART_ARC
(24,34),-0.239125 # DEPENDENCYPART_ARC
(25,21),-0.786162 # DEPENDENCYPART_ARC
(25,22),-0.694992 # DEPENDENCYPART_ARC
(25,23),-0.609508 # DEPENDENCYPART_ARC
(25,24),0.0757756 # DEPENDENCYPART_ARC
(25,26),1.50013 # DEPENDENCYPART_ARC
(25,27),0.22967 # DEPENDENCYPART_ARC
(25,28),-0.777158 # DEPENDENCYPART_ARC
(25,29),-0.308276 # DEPENDENCYPART_ARC
(25,30),-0.589367 # DEPENDENCYPART_ARC
(25,31),-1.35795 # DEPENDENCYPART_ARC
(25,38),-0.762758 # DEPENDENCYPART_ARC
(26,21),-0.562533 # DEPENDENCYPART_ARC
(26,22),-0.458508 # DEPENDENCYPART_ARC
(26,24),-0.34416 # DEPENDENCYPART_ARC
(26,25),0.336198 # DEPENDENCYPART_ARC
(26,27),2.1243 # DEPENDENCYPART_ARC
(26,28),0.331691 # DEPENDENCYPART_ARC
(26,29),-0.469653 # DEPENDENCYPART_ARC
(26,33),-0.773681 # DEPENDENCYPART_ARC
(26,34),-0.602698 # DEPENDENCYPART_ARC
(26,36),-0.499494 # DEPENDENCYPART_ARC
(26,37),-1.10111 # DEPENDENCYPART_ARC
(27,26),-0.658862 # DEPENDENCYPART_ARC
(27,28),1.83438 # DEPENDENCYPART_ARC
(27,29),-0.0716469 # DEPENDENCYPART_ARC
(27,30),-0.550221 # DEPENDENCYPART_ARC
(27,31),-0.505818 # DEPENDENCYPART_ARC
(27,32),-0.301456 # DEPENDENCYPART_ARC
(27,34),-0.341672 # DEPENDENCYPART_ARC
(28,27),-0.739068 # DEPENDENCYPART_ARC
(28,29),0.202636 # DEPENDENCYPART_ARC
(28,30),-0.414922 # DEPENDENCYPART_ARC
(28,31),-1.63877 # DEPENDENCYPART_ARC
(28,32),-1.04144 # DEPENDENCYPART_ARC
(28,34),-0.561767 # DEPENDENCYPART_ARC
(29,14),-0.858041 # DEPENDENCYPART_ARC
(29,17),-0.687724 # DEPENDENCYPART_ARC
(29,21),-0.692318 # DEPENDENCYPART_ARC
(29,24),-0.655634 # DEPENDENCYPART_ARC
(29,26),0.173664 # DEPENDENCYPART_ARC
(29,27),-0.284558 # DEPENDENCYPART_ARC
(29,28),0.169392 # DEPENDENCYPART_ARC
(29,30),0.640401 # DEPENDENCYPART_ARC
(29,31),-0.377961 # DEPENDENCYPART_ARC
(29,32),-0.540448 # DEPENDENCYPART_ARC
(29,33),0.562452 # DEPENDENCYPART_ARC
(29,35),-0.768773 # DEPENDENCYPART_ARC
(29,37),-0.375628 # DEPENDENCYPART_ARC
(29,38),-0.222951 # DEPENDENCYPART_ARC
(29,39),-0.538835 # DEPENDENCYPART_ARC
(30,27),-0.478341 # DEPENDENCYPART_ARC
(30,28),-0.261222 # DEPENDENCYPART_ARC
(30,29),0.097486 # DEPENDENCYPART_ARC
(30,31),1.87515 # DEPENDENCYPART_ARC
(30,32),0.267815 # DEPENDENCYPART_ARC
(30,33),-0.215264 # DEPENDENCYPART_ARC
(30,34),-0.351246 # DEPENDENCYPART_ARC
(30,36),-0.461557 # DEPENDENCYPART_ARC
(30,37),-0.730591 # DEPENDENCYPART_ARC
(30,38),-0.583898 # DEPENDENCYPART_ARC
(30,39),-0.548862 # DEPENDENCYPART_ARC
(31,28),-1.47856 # DEPENDENCYPART_ARC
(31,32),1.85738 # DEPENDENCYPART_ARC
(31,33),-0.117115 # DEPENDENCYPART_ARC
(31,34),0.0447124 # DEPENDENCYPART_ARC
(31,35),-0.560251 # DEPENDENCYPART_ARC
(31,36),-0.99331 # DEPENDENCYPART_ARC
(31,38),-0.416139 # DEPENDENCYPART_ARC
(31,39),-1.49688 # DEPENDENCYPART_ARC
(32,33),-0.38166 # DEPENDENCYPART_ARC
(32,34),-0.630861 # DEPENDENCYPART_ARC
(32,35),-1.82816 # DEPENDENCYPART_ARC
(32,36),-1.20251 # DEPENDENCYPART_ARC
(33,30),-0.750838 # DEPENDENCYPART_ARC
(33,31),-0.765072 # DEPENDENCYPART_ARC
(33,32),-0.335799 # DEPENDENCYPART_ARC
(33,34),-0.434641 # DEPENDENCYPART_ARC
(33,35),-1.13503 # DEPENDENCYPART_ARC
(33,36),-0.861673 # DEPENDENCYPART_ARC
(34,31),-0.825455 # DEPENDENCYPART_ARC
(34,32),-0.494922 # DEPENDENCYPART_ARC
(34,33),-0.129917 # DEPENDENCYPART_ARC
(34,35),1.99463 # DEPENDENCYPART_ARC
(34,36),-0.00517378 # DEPENDENCYPART_ARC
(34,37),-0.0939362 # DEPENDENCYPART_ARC
(34,38),-0.303172 # DEPENDENCYPART_ARC
(35,36),2.15481 # DEPENDENCYPART_ARC
(35,37),-0.319883 # DEPENDENCYPART_ARC
(35,38),-0.406102 # DEPENDENCYPART_ARC
(35,39),-1.63467 # DEPENDENCYPART_ARC
(35,40),-1.95093 # DEPENDENCYPART_ARC
(35,42),-1.08787 # DEPENDENCYPART_ARC
(35,43),-0.888555 # DEPENDENCYPART_ARC
(35,44),-0.499841 # DEPENDENCYPART_ARC
(36,30),-0.791188 # DEPENDENCYPART_ARC
(36,32),-2.16831 # DEPENDENCYPART_ARC
(36,37),0.319504 # DEPENDENCYPART_ARC
(36,38),-0.628977 # DEPENDENCYPART_ARC
(36,39),-1.54938 # DEPENDENCYPART_ARC
(37,35),-0.805073 # DEPENDENCYPART_ARC
(37,36),-0.467451 # DEPENDENCYPART_ARC
(37,38),-0.518766 # DEPENDENCYPART_ARC
(37,39),-1.46217 # DEPENDENCYPART_ARC
(38,1),-0.776775 # DEPENDENCYPART_ARC
(38,5),-0.969798 # DEPENDENCYPART_ARC
(38,26),-1.03214 # DEPENDENCYPART_ARC
(38,27),-1.1672 # DEPENDENCYPART_ARC
(38,30),-0.996528 # DEPENDENCYPART_ARC
(38,31),-0.960481 # DEPENDENCYPART_ARC
(38,32),-1.01537 # DEPENDENCYPART_ARC
(38,34),-0.81305 # DEPENDENCYPART_ARC
(38,35),-0.584955 # DEPENDENCYPART_ARC
(38,36),-0.556234 # DEPENDENCYPART_ARC
(38,37),-0.251812 # DEPENDENCYPART_ARC
(38,39),0.634364 # DEPENDENCYPART_ARC
(38,40),-0.64307 # DEPENDENCYPART_ARC
(38,41),-0.858121 # DEPENDENCYPART_ARC
(38,42),-1.14382 # DEPENDENCYPART_ARC
(38,52),-1.59147 # DEPENDENCYPART_ARC
(38,64),-0.996881 # DEPENDENCYPART_ARC
(39,5),-1.31688 # DEPENDENCYPART_ARC
(39,30),-0.936869 # DEPENDENCYPART_ARC
(39,35),-2.84044 # DEPENDENCYPART_ARC
(39,37),-0.473874 # DEPENDENCYPART_ARC
(39,38),-0.306214 # DEPENDENCYPART_ARC
(39,40),2.49525 # DEPENDENCYPART_ARC
(39,41),-0.291407 # DEPENDENCYPART_ARC
(39,42),0.0957835 # DEPENDENCYPART_ARC
(39,43),0.0130345 # DEPENDENCYPART_ARC
(39,44),1.10318 # DEPENDENCYPART_ARC
(39,45),-1.47667 # DEPENDENCYPART_ARC
(39,46),0.690695 # DEPENDENCYPART_ARC
(39,47),-0.516016 # DEPENDENCYPART_ARC
(39,48),-1.36569 # DEPENDENCYPART_ARC
(39,49),-0.719723 # DEPENDENCYPART_ARC
(39,50),0.496084 # DEPENDENCYPART_ARC
(39,51),-1.94701 # DEPENDENCYPART_ARC
(39,52),0.0838113 # DEPENDENCYPART_ARC
(39,53),-1.28319 # DEPENDENCYPART_ARC
(39,54),-0.610496 # DEPENDENCYPART_ARC
(39,55),-2.14661 # DEPENDENCYPART_ARC
(39,56),-0.538146 # DEPENDENCYPART_ARC
(39,58),-2.68489 # DEPENDENCYPART_ARC
(39,59),-2.5902 # DEPENDENCYPART_ARC
(39,69),2.77991 # DEPENDENCYPART_ARC
(39,82),-0.0128115 # DEPENDENCYPART_ARC
(40,41),2.15895 # DEPENDENCYPART_ARC
(40,42),0.422255 # DEPENDENCYPART_ARC
(40,43),0.396658 # DEPENDENCYPART_ARC
(40,44),0.272278 # DEPENDENCYPART_ARC
(40,45),-0.943358 # DEPENDENCYPART_ARC
(40,46),-0.221869 # DEPENDENCYPART_ARC
(40,47),-0.48169 # DEPENDENCYPART_ARC
(40,48),-0.646984 # DEPENDENCYPART_ARC
(40,49),-0.482886 # DEPENDENCYPART_ARC
(40,50),-0.302031 # DEPENDENCYPART_ARC
(40,51),-0.681819 # DEPENDENCYPART_ARC
(40,52),-0.251356 # DEPENDENCYPART_ARC
(41,42),0.419307 # DEPENDENCYPART_ARC
(41,43),-0.136699 # DEPENDENCYPART_ARC
(41,44),-0.527087 # DEPENDENCYPART_ARC
(41,45),-1.97966 # DEPENDENCYPART_ARC
(41,46),-0.949453 # DEPENDENCYPART_ARC
(41,48),-1.20789 # DEPENDENCYPART_ARC
(41,50),-1.04959 # DEPENDENCYPART_ARC
(42,40),-0.628368 # DEPENDENCYPART_ARC
(42,41),-0.169713 # DEPENDENCYPART_ARC
(42,43),0.387092 # DEPENDENCYPART_ARC
(42,44),-0.698168 # DEPENDENCYPART_ARC
(42,45),-0.777826 # DEPENDENCYPART_ARC
(42,46),-0.693266 # DEPENDENCYPART_ARC
(42,47),-0.809953 # DEPENDENCYPART_ARC
(42,49),-0.860969 # DEPENDENCYPART_ARC
(43,41),-0.347994 # DEPENDENCYPART_ARC
(43,42),1.62384 # DEPENDENCYPART_ARC
(43,44),-0.114696 # DEPENDENCYPART_ARC
(43,45),-0.781467 # DEPENDENCYPART_ARC
(43,46),-0.772333 # DEPENDENCYPART_ARC
(43,47),-0.728243 # DEPENDENCYPART_ARC
(43,49),-0.716468 # DEPENDENCYPART_ARC
