# _root_ وَ يُشَكِّلُ هٰذا الخَفْضُ , بِ الإِضافَةِ إِلَى ثَلاثَةِ آلافِ آخَرِينَ فِي مارِس الماضِي , نِسْبَةَ 11 بِ المِائَةِ مِن مَجْمُوعِ عَدَدِ العامِلِينَ عَلَى أَجْهِزَةِ الفَحْصِ وَ البالِغِ 55600 شَخْصٍ . وَ مِن المُتَوَقَّعِ أَن تُوَفِّرَ إِدارَةُ أَمْنِ النَقْلِ مَبْلَغاً يَقْرَبُ مِن 280 مِلْيُونَ دُولارٍ أَمْرِيكِيٍّ .
#goldHeads=0,0,4,8,4,8,8,2,8,9,10,11,12,13,14,2,16,17,18,17,20,21,22,23,24,25,28,22,28,29,0,0,0,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
#predictedHeads=0,0,4,2,4,2,6,7,8,9,10,9,12,13,16,2,16,17,18,17,20,21,22,23,24,25,25,27,28,29,0,0,29,33,33,35,36,37,38,36,40,41,42,43,44,45,0,
(4,7),-1.16529 # DEPENDENCYPART_ARC
(4,8),-0.439576 # DEPENDENCYPART_ARC
(4,9),-1.84225 # DEPENDENCYPART_ARC
(4,12),-0.719085 # DEPENDENCYPART_ARC
(5,2),-0.905693 # DEPENDENCYPART_ARC
(5,4),-0.453143 # DEPENDENCYPART_ARC
(5,6),-0.351318 # DEPENDENCYPART_ARC
(5,7),-1.03128 # DEPENDENCYPART_ARC
(5,8),-0.954837 # DEPENDENCYPART_ARC
(6,1),-0.518991 # DEPENDENCYPART_ARC
(6,4),-0.747772 # DEPENDENCYPART_ARC
(6,5),-0.152496 # DEPENDENCYPART_ARC
(6,7),1.85787 # DEPENDENCYPART_ARC
(6,8),-0.048272 # DEPENDENCYPART_ARC
(6,9),-0.105756 # DEPENDENCYPART_ARC
(6,10),-1.21676 # DEPENDENCYPART_ARC
(6,11),-1.66127 # DEPENDENCYPART_ARC
(6,15),-0.268149 # DEPENDENCYPART_ARC
(7,5),-0.609434 # DEPENDENCYPART_ARC
(7,8),0.667673 # DEPENDENCYPART_ARC
(7,9),-0.751752 # DEPENDENCYPART_ARC
(7,10),-1.07211 # DEPENDENCYPART_ARC
(7,12),-0.356252 # DEPENDENCYPART_ARC
(7,18),-0.688723 # DEPENDENCYPART_ARC
(8,1),0.0553134 # DEPENDENCYPART_ARC
(8,2),-0.154391 # DEPENDENCYPART_ARC
(8,4),-0.421111 # DEPENDENCYPART_ARC
(8,5),-0.513538 # DEPENDENCYPART_ARC
(8,6),0.456444 # DEPENDENCYPART_ARC
(8,7),0.635954 # DEPENDENCYPART_ARC
(8,9),2.02638 # DEPENDENCYPART_ARC
(8,10),-0.151154 # DEPENDENCYPART_ARC
(8,11),-1.3736 # DEPENDENCYPART_ARC
(8,13),-0.855219 # DEPENDENCYPART_ARC
(8,27),-0.317601 # DEPENDENCYPART_ARC
(9,7),-1.64151 # DEPENDENCYPART_ARC
(9,10),1.96402 # DEPENDENCYPART_ARC
(9,11),0.672608 # DEPENDENCYPART_ARC
(9,12),0.52542 # DEPENDENCYPART_ARC
(9,13),-0.450017 # DEPENDENCYPART_ARC
(9,14),-0.492816 # DEPENDENCYPART_ARC
(9,15),-0.36387 # DEPENDENCYPART_ARC
(9,16),-0.656609 # DEPENDENCYPART_ARC
(9,17),-0.397407 # DEPENDENCYPART_ARC
(9,18),-0.0639255 # DEPENDENCYPART_ARC
(9,19),-0.289302 # DEPENDENCYPART_ARC
(9,20),-0.342529 # DEPENDENCYPART_ARC
(9,22),-0.368915 # DEPENDENCYPART_ARC
(9,24),-0.210148 # DEPENDENCYPART_ARC
(9,27),0.834617 # DEPENDENCYPART_ARC
(10,5),-1.06941 # DEPENDENCYPART_ARC
(10,9),-1.23937 # DEPENDENCYPART_ARC
(10,11),2.24371 # DEPENDENCYPART_ARC
(10,12),0.394931 # DEPENDENCYPART_ARC
(10,13),-0.526708 # DEPENDENCYPART_ARC
(10,14),-0.222949 # DEPENDENCYPART_ARC
(10,15),-0.598913 # DEPENDENCYPART_ARC
(10,16),-0.250303 # DEPENDENCYPART_ARC
(10,18),-0.347403 # DEPENDENCYPART_ARC
(10,19),-0.778926 # DEPENDENCYPART_ARC
(10,20),-0.448098 # DEPENDENCYPART_ARC
(10,24),-0.445412 # DEPENDENCYPART_ARC
(11,10),-1.73792 # DEPENDENCYPART_ARC
(11,12),0.858339 # DEPENDENCYPART_ARC
(11,13),-0.270874 # DEPENDENCYPART_ARC
(11,14),-0.517591 # DEPENDENCYPART_ARC
(11,16),-1.21588 # DEPENDENCYPART_ARC
(11,18),-0.509942 # DEPENDENCYPART_ARC
(11,20),-0.651547 # DEPENDENCYPART_ARC
(12,1),-0.538363 # DEPENDENCYPART_ARC
(12,5),-0.822513 # DEPENDENCYPART_ARC
(12,8),-0.758996 # DEPENDENCYPART_ARC
(12,10),-0.959351 # DEPENDENCYPART_ARC
(12,11),-0.37415 # DEPENDENCYPART_ARC
(12,13),1.55594 # DEPENDENCYPART_ARC
(12,14),-0.162282 # DEPENDENCYPART_ARC
(12,15),-0.158356 # DEPENDENCYPART_ARC
(12,16),-1.06501 # DEPENDENCYPART_ARC
(12,17),-0.70475 # DEPENDENCYPART_ARC
(12,19),-1.18932 # DEPENDENCYPART_ARC
(13,11),-0.566384 # DEPENDENCYPART_ARC
(13,14),0.781205 # DEPENDENCYPART_ARC
(13,15),-0.504346 # DEPENDENCYPART_ARC
(13,16),-0.934462 # DEPENDENCYPART_ARC
(14,4),-1.25619 # DEPENDENCYPART_ARC
(14,6),-0.659897 # DEPENDENCYPART_ARC
(14,7),-1.37778 # DEPENDENCYPART_ARC
(14,9),-1.31731 # DEPENDENCYPART_ARC
(14,10),-1.06176 # DEPENDENCYPART_ARC
(14,11),-1.28097 # DEPENDENCYPART_ARC
(14,12),-0.46393 # DEPENDENCYPART_ARC
(14,13),-0.201706 # DEPENDENCYPART_ARC
(14,15),0.437368 # DEPENDENCYPART_ARC
(14,16),-0.880668 # DEPENDENCYPART_ARC
(14,17),-0.616759 # DEPENDENCYPART_ARC
(14,18),-0.5304 # DEPENDENCYPART_ARC
(14,20),-0.731902 # DEPENDENCYPART_ARC
(14,35),-0.285508 # DEPENDENCYPART_ARC
(15,2),-0.639254 # DEPENDENCYPART_ARC
(15,4),-0.643259 # DEPENDENCYPART_ARC
(15,7),-0.648735 # DEPENDENCYPART_ARC
(15,9),-0.529877 # DEPENDENCYPART_ARC
(15,10),-0.594838 # DEPENDENCYPART_ARC
(15,11),-0.642008 # DEPENDENCYPART_ARC
(15,12),-0.821548 # DEPENDENCYPART_ARC
(15,13),-0.416893 # DEPENDENCYPART_ARC
(15,14),-0.38603 # DEPENDENCYPART_ARC
(15,16),-0.203078 # DEPENDENCYPART_ARC
(15,17),-0.705071 # DEPENDENCYPART_ARC
(16,2),-1.28753 # DEPENDENCYPART_ARC
(16,5),-1.33702 # DEPENDENCYPART_ARC
(16,12),-0.838276 # DEPENDENCYPART_ARC
(16,13),-1.07869 # DEPENDENCYPART_ARC
(16,14),-1.07649 # DEPENDENCYPART_ARC
(16,15),-0.0847274 # DEPENDENCYPART_ARC
(16,17),1.1352 # DEPENDENCYPART_ARC
(16,18),0.215354 # DEPENDENCYPART_ARC
(16,19),-0.4376 # DEPENDENCYPART_ARC
(16,20),0.0468409 # DEPENDENCYPART_ARC
(16,21),-0.545923 # DEPENDENCYPART_ARC
(16,22),-0.299289 # DEPENDENCYPART_ARC
(16,23),-0.698718 # DEPENDENCYPART_ARC
(16,24),-0.368968 # DEPENDENCYPART_ARC
(16,31),-0.626128 # DEPENDENCYPART_ARC
(17,16),-0.202123 # DEPENDENCYPART_ARC
(17,18),1.08398 # DEPENDENCYPART_ARC
(17,19),0.511262 # DEPENDENCYPART_ARC
(17,20),0.412667 # DEPENDENCYPART_ARC
(17,21),-0.0388023 # DEPENDENCYPART_ARC
(17,24),-0.11445 # DEPENDENCYPART_ARC
(18,17),-0.655932 # DEPENDENCYPART_ARC
(18,19),2.00778 # DEPENDENCYPART_ARC
(18,20),-0.10499 # DEPENDENCYPART_ARC
(18,21),-0.176811 # DEPENDENCYPART_ARC
(18,22),-1.33736 # DEPENDENCYPART_ARC
(18,23),-1.75806 # DEPENDENCYPART_ARC
(18,25),-1.33552 # DEPENDENCYPART_ARC
(18,27),-0.232294 # DEPENDENCYPART_ARC
(19,20),0.786156 # DEPENDENCYPART_ARC
(19,21),-0.750293 # DEPENDENCYPART_ARC
(19,22),-1.02755 # DEPENDENCYPART_ARC
(19,23),-1.31229 # DEPENDENCYPART_ARC
(19,24),-0.350055 # DEPENDENCYPART_ARC
(20,18),0.0561311 # DEPENDENCYPART_ARC
(20,19),0.216953 # DEPENDENCYPART_ARC
(20,21),2.35967 # DEPENDENCYPART_ARC
(20,22),0.225335 # DEPENDENCYPART_ARC
(20,23),-0.944485 # DEPENDENCYPART_ARC
(20,25),-0.508201 # DEPENDENCYPART_ARC
(20,27),-0.272806 # DEPENDENCYPART_ARC
(21,22),1.43431 # DEPENDENCYPART_ARC
(21,23),0.801456 # DEPENDENCYPART_ARC
(21,24),0.220696 # DEPENDENCYPART_ARC
(21,25),-0.790385 # DEPENDENCYPART_ARC
(21,26),-0.349333 # DEPENDENCYPART_ARC
(21,27),0.193035 # DEPENDENCYPART_ARC
(21,28),-0.600243 # DEPENDENCYPART_ARC
(21,29),-0.70139 # DEPENDENCYPART_ARC
(21,30),-1.22458 # DEPENDENCYPART_ARC
(22,21),-1.27845 # DEPENDENCYPART_ARC
(22,23),2.38914 # DEPENDENCYPART_ARC
(22,24),0.408179 # DEPENDENCYPART_ARC
(22,25),-0.582633 # DEPENDENCYPART_ARC
(22,26),-0.00488307 # DEPENDENCYPART_ARC
(22,27),0.333972 # DEPENDENCYPART_ARC
(22,28),-0.566389 # DEPENDENCYPART_ARC
(22,29),-0.797745 # DEPENDENCYPART_ARC
(22,30),-1.08153 # DEPENDENCYPART_ARC
(22,32),0.0567784 # DEPENDENCYPART_ARC
(23,24),1.03355 # DEPENDENCYPART_ARC
(23,25),-0.459438 # DEPENDENCYPART_ARC
(23,26),-1.03994 # DEPENDENCYPART_ARC
(23,27),0.135696 # DEPENDENCYPART_ARC
(23,28),-1.38788 # DEPENDENCYPART_ARC
(23,33),-0.682146 # DEPENDENCYPART_ARC
(24,21),-0.811744 # DEPENDENCYPART_ARC
(24,22),-0.729369 # DEPENDENCYPART_ARC
(24,23),-0.0685705 # DEPENDENCYPART_ARC
(24,25),2.25671 # DEPENDENCYPART_ARC
(24,26),0.0237133 # DEPENDENCYPART_ARC
(24,27),0.121699 # DEPENDENCYPART_ARC
(24,28),-0.516754 # DEPENDENCYPART_ARC
(24,29),-0.661522 # DEPENDENCYPART_ARC
(24,32),-0.850617 # DEPENDENCYPART_ARC
(24,34),-1.21815 # DEPENDENCYPART_ARC
(25,26),1.80538 # DEPENDENCYPART_ARC
(25,27),0.603959 # DEPENDENCYPART_ARC
(25,28),-0.676443 # DEPENDENCYPART_ARC
(25,29),-0.320171 # DEPENDENCYPART_ARC
(25,30),-0.554177 # DEPENDENCYPART_ARC
(25,31),-0.65005 # DEPENDENCYPART_ARC
(25,32),-0.14689 # DEPENDENCYPART_ARC
(25,33),-0.449819 # DEPENDENCYPART_ARC
(25,34),-0.831795 # DEPENDENCYPART_ARC
(25,35),-0.341483 # DEPENDENCYPART_ARC
(25,36),-1.7652 # DEPENDENCYPART_ARC
(26,27),0.0586196 # DEPENDENCYPART_ARC
(26,28),-0.156727 # DEPENDENCYPART_ARC
(27,2),-1.22909 # DEPENDENCYPART_ARC
(27,4),-1.37182 # DEPENDENCYPART_ARC
(27,5),-0.945368 # DEPENDENCYPART_ARC
(27,6),-0.637259 # DEPENDENCYPART_ARC
(27,7),-1.0255 # DEPENDENCYPART_ARC
(27,8),-0.568356 # DEPENDENCYPART_ARC
(27,9),-0.964841 # DEPENDENCYPART_ARC
(27,10),-1.06791 # DEPENDENCYPART_ARC
(27,11),-0.946618 # DEPENDENCYPART_ARC
(27,12),-0.567182 # DEPENDENCYPART_ARC
(27,13),-0.671958 # DEPENDENCYPART_ARC
(27,14),-0.563255 # DEPENDENCYPART_ARC
(27,15),-0.556746 # DEPENDENCYPART_ARC
(27,16),-0.597163 # DEPENDENCYPART_ARC
(27,17),-0.327349 # DEPENDENCYPART_ARC
(27,18),-0.369964 # DEPENDENCYPART_ARC
(27,19),-0.607894 # DEPENDENCYPART_ARC
(27,20),-0.395251 # DEPENDENCYPART_ARC
(27,21),-0.456933 # DEPENDENCYPART_ARC
(27,22),-0.610152 # DEPENDENCYPART_ARC
(27,23),-0.421688 # DEPENDENCYPART_ARC
(27,24),-0.296846 # DEPENDENCYPART_ARC
(27,25),0.0520415 # DEPENDENCYPART_ARC
(27,26),0.530927 # DEPENDENCYPART_ARC
(27,28),1.28045 # DEPENDENCYPART_ARC
(27,29),-0.367601 # DEPENDENCYPART_ARC
(27,30),-0.230405 # DEPENDENCYPART_ARC
(27,31),-0.396708 # DEPENDENCYPART_ARC
(27,32),-0.172607 # DEPENDENCYPART_ARC
(27,33),-0.763146 # DEPENDENCYPART_ARC
(27,34),-0.752238 # DEPENDENCYPART_ARC
(27,35),-1.02742 # DEPENDENCYPART_ARC
(27,36),-0.690073 # DEPENDENCYPART_ARC
(27,37),-1.07427 # DEPENDENCYPART_ARC
(27,38),-1.36334 # DEPENDENCYPART_ARC
(27,39),-1.28727 # DEPENDENCYPART_ARC
(27,40),-1.44754 # DEPENDENCYPART_ARC
(27,41),-1.45827 # DEPENDENCYPART_ARC
(27,42),-1.00329 # DEPENDENCYPART_ARC
(27,43),-1.59283 # DEPENDENCYPART_ARC
(27,44),-1.94096 # DEPENDENCYPART_ARC
(27,45),-1.5967 # DEPENDENCYPART_ARC
(28,26),-1.42649 # DEPENDENCYPART_ARC
(28,29),0.486804 # DEPENDENCYPART_ARC
(28,30),-0.600657 # DEPENDENCYPART_ARC
(28,31),-0.456477 # DEPENDENCYPART_ARC
(28,32),-0.498189 # DEPENDENCYPART_ARC
(28,33),-0.634055 # DEPENDENCYPART_ARC
(28,34),-1.10809 # DEPENDENCYPART_ARC
(28,35),-0.508523 # DEPENDENCYPART_ARC
(29,25),-0.514468 # DEPENDENCYPART_ARC
(29,26),-0.48617 # DEPENDENCYPART_ARC
(29,28),-0.114875 # DEPENDENCYPART_ARC
(29,30),1.97814 # DEPENDENCYPART_ARC
(29,31),-0.097161 # DEPENDENCYPART_ARC
(29,32),-0.181909 # DEPENDENCYPART_ARC
(29,33),0.143667 # DEPENDENCYPART_ARC
(29,35),-0.333107 # DEPENDENCYPART_ARC
(29,36),-0.359224 # DEPENDENCYPART_ARC
(29,41),-0.518339 # DEPENDENCYPART_ARC
(30,29),-0.599699 # DEPENDENCYPART_ARC
(30,31),0.530448 # DEPENDENCYPART_ARC
(30,32),-0.20076 # DEPENDENCYPART_ARC
(30,33),-0.49654 # DEPENDENCYPART_ARC
(30,34),-1.2087 # DEPENDENCYPART_ARC
(30,36),-1.2074 # DEPENDENCYPART_ARC
(31,29),-0.714881 # DEPENDENCYPART_ARC
(31,30),-0.605439 # DEPENDENCYPART_ARC
(32,2),-1.83917 # DEPENDENCYPART_ARC
(32,6),-0.740899 # DEPENDENCYPART_ARC
(32,8),-0.728273 # DEPENDENCYPART_ARC
(32,9),-1.70145 # DEPENDENCYPART_ARC
(32,17),-0.972664 # DEPENDENCYPART_ARC
(32,19),-1.27531 # DEPENDENCYPART_ARC
(32,21),-1.16913 # DEPENDENCYPART_ARC
(32,22),-1.20259 # DEPENDENCYPART_ARC
(32,23),-1.07238 # DEPENDENCYPART_ARC
(32,25),-0.892167 # DEPENDENCYPART_ARC
(32,26),-0.925906 # DEPENDENCYPART_ARC
(32,28),-0.929127 # DEPENDENCYPART_ARC
(32,29),-0.767308 # DEPENDENCYPART_ARC
(32,30),-0.507486 # DEPENDENCYPART_ARC
(32,31),-0.238454 # DEPENDENCYPART_ARC
(32,33),0.0878634 # DEPENDENCYPART_ARC
(32,34),-0.795648 # DEPENDENCYPART_ARC
(32,35),-0.493453 # DEPENDENCYPART_ARC
(32,36),-0.710878 # DEPENDENCYPART_ARC
(32,37),-1.12915 # DEPENDENCYPART_ARC
(32,38),-1.29964 # DEPENDENCYPART_ARC
(32,39),-1.29268 # DEPENDENCYPART_ARC
(32,40),-1.56766 # DEPENDENCYPART_ARC
(32,41),-1.7242 # DEPENDENCYPART_ARC
(33,30),-0.796752 # DEPENDENCYPART_ARC
(33,31),-0.590243 # DEPENDENCYPART_ARC
(33,32),0.0591497 # DEPENDENCYPART_ARC
(33,34),2.27976 # DEPENDENCYPART_ARC
(33,35),1.06412 # DEPENDENCYPART_ARC
(33,36),-0.553825 # DEPENDENCYPART_ARC
(33,37),-0.564605 # DEPENDENCYPART_ARC
(33,38),-1.01513 # DEPENDENCYPART_ARC
(33,39),-1.2132 # DEPENDENCYPART_ARC
(33,42),-0.124385 # DEPENDENCYPART_ARC
(34,35),0.191328 # DEPENDENCYPART_ARC
(34,36),-1.2301 # DEPENDENCYPART_ARC
(34,37),-2.32516 # DEPENDENCYPART_ARC
(35,2),-1.68777 # DEPENDENCYPART_ARC
(35,25),-1.55392 # DEPENDENCYPART_ARC
(35,29),-1.05549 # DEPENDENCYPART_ARC
(35,30),-1.48983 # DEPENDENCYPART_ARC
(35,32),-0.820332 # DEPENDENCYPART_ARC
(35,33),-0.658492 # DEPENDENCYPART_ARC
(35,34),-0.680495 # DEPENDENCYPART_ARC
(35,36),2.25083 # DEPENDENCYPART_ARC
(35,37),-0.468034 # DEPENDENCYPART_ARC
(35,38),-0.58016 # DEPENDENCYPART_ARC
(35,39),-0.623038 # DEPENDENCYPART_ARC
(35,40),-0.772651 # DEPENDENCYPART_ARC
(35,41),-0.272445 # DEPENDENCYPART_ARC
(35,42),-0.356441 # DEPENDENCYPART_ARC
(35,43),-0.869773 # DEPENDENCYPART_ARC
(35,44),-0.915142 # DEPENDENCYPART_ARC
(35,45),-0.78728 # DEPENDENCYPART_ARC
(35,46),-0.823411 # DEPENDENCYPART_ARC
(36,33),-0.404979 # DEPENDENCYPART_ARC
(36,34),-2.64587 # DEPENDENCYPART_ARC
(36,35),-0.493002 # DEPENDENCYPART_ARC
(36,37),2.92148 # DEPENDENCYPART_ARC
(36,38),-0.509459 # DEPENDENCYPART_ARC
(36,39),-0.750424 # DEPENDENCYPART_ARC
(36,40),1.30642 # DEPENDENCYPART_ARC
(36,41),-0.524194 # DEPENDENCYPART_ARC
(36,42),0.062512 # DEPENDENCYPART_ARC
(36,43),-0.494091 # DEPENDENCYPART_ARC
(36,44),-0.225625 # DEPENDENCYPART_ARC
(36,45),-2.1225 # DEPENDENCYPART_ARC
(36,46),-1.98377 # DEPENDENCYPART_ARC
(37,38),1.93339 # DEPENDENCYPART_ARC
(37,39),0.6783 # DEPENDENCYPART_ARC
(37,40),-0.527905 # DEPENDENCYPART_ARC
(37,41),-0.579149 # DEPENDENCYPART_ARC
(37,42),-0.239423 # DEPENDENCYPART_ARC
(38,37),-0.987297 # DEPENDENCYPART_ARC
(38,39),2.01384 # DEPENDENCYPART_ARC
(38,40),0.431069 # DEPENDENCYPART_ARC
(38,41),-0.669679 # DEPENDENCYPART_ARC
(38,42),-0.405119 # DEPENDENCYPART_ARC
(38,43),-1.03114 # DEPENDENCYPART_ARC
(38,46),-1.66727 # DEPENDENCYPART_ARC
(39,37),-1.52967 # DEPENDENCYPART_ARC
(39,38),-1.51328 # DEPENDENCYPART_ARC
(39,40),0.515725 # DEPENDENCYPART_ARC
(39,41),-0.183743 # DEPENDENCYPART_ARC
(39,42),-0.361023 # DEPENDENCYPART_ARC
(39,43),-1.02247 # DEPENDENCYPART_ARC
(39,44),-2.0687 # DEPENDENCYPART_ARC
(39,45),-1.54412 # DEPENDENCYPART_ARC
(39,46),-1.99497 # DEPENDENCYPART_ARC
(40,37),-1.03819 # DEPENDENCYPART_ARC
(40,38),-1.3653 # DEPENDENCYPART_ARC
(40,39),-0.815633 # DEPENDENCYPART_ARC
(40,41),0.673847 # DEPENDENCYPART_ARC
(40,42),-0.231855 # DEPENDENCYPART_ARC
(40,43),-0.982816 # DEPENDENCYPART_ARC
(41,33),-0.252747 # DEPENDENCYPART_ARC
(41,34),-2.78782 # DEPENDENCYPART_ARC
(41,36),-1.50683 # DEPENDENCYPART_ARC
(41,37),-0.847119 # DEPENDENCYPART_ARC
(41,38),-2.09276 # DEPENDENCYPART_ARC
(41,39),-2.02119 # DEPENDENCYPART_ARC
(41,40),0.0385782 # DEPENDENCYPART_ARC
(41,42),1.82891 # DEPENDENCYPART_ARC
(41,43),0.0038997 # DEPENDENCYPART_ARC
(41,44),0.622895 # DEPENDENCYPART_ARC
(41,45),-1.84921 # DEPENDENCYPART_ARC
(41,46),-1.63719 # DEPENDENCYPART_ARC
(42,40),-0.647037 # DEPENDENCYPART_ARC
(42,43),1.45165 # DEPENDENCYPART_ARC
(42,44),0.0835975 # DEPENDENCYPART_ARC
(42,45),-1.02522 # DEPENDENCYPART_ARC
(42,46),-0.721153 # DEPENDENCYPART_ARC
(43,38),-0.563278 # DEPENDENCYPART_ARC
(43,39),-0.488173 # DEPENDENCYPART_ARC
(43,40),-0.483402 # DEPENDENCYPART_ARC
(43,42),0.459992 # DEPENDENCYPART_ARC
(43,44),2.14611 # DEPENDENCYPART_ARC
(43,45),0.242338 # DEPENDENCYPART_ARC
(43,46),-0.272332 # DEPENDENCYPART_ARC
(44,43),-0.821051 # DEPENDENCYPART_ARC
(44,45),1.74473 # DEPENDENCYPART_ARC
(44,46),-0.414891 # DEPENDENCYPART_ARC
(45,44),-0.601294 # DEPENDENCYPART_ARC
(45,46),1.19095 # DEPENDENCYPART_ARC
(46,44),-0.58938 # DEPENDENCYPART_ARC
(46,45),-1.06717 # DEPENDENCYPART_ARC
(46,47),0.00600744 # DEPENDENCYPART_ARC
(47,43),-0.87554 # DEPENDENCYPART_ARC
(47,44),-0.936816 # DEPENDENCYPART_ARC
(47,45),-0.860858 # DEPENDENCYPART_ARC
(47,46),-0.477877 # DEPENDENCYPART_ARC
(0,1),(0,2),0.0987846 # DEPENDENCYPART_SIBL
(0,1),(0,3),0.110455 # DEPENDENCYPART_SIBL
(0,1),(0,4),0.0743759 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0725827 # DEPENDENCYPART_SIBL
(0,1),(0,6),0.0107693 # DEPENDENCYPART_SIBL
(0,1),(0,7),0.0743759 # DEPENDENCYPART_SIBL
(0,1),(0,8),0.0805126 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.00683357 # DEPENDENCYPART_SIBL
(0,1),(0,14),0.0422932 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.0725827 # DEPENDENCYPART_SIBL
(0,1),(0,17),0.0429724 # DEPENDENCYPART_SIBL
(0,1),(0,31),-0.00197136 # DEPENDENCYPART_SIBL
(0,1),(0,32),-0.11437 # DEPENDENCYPART_SIBL
(0,1),(0,36),0.0817949 # DEPENDENCYPART_SIBL
(0,1),(0,41),0.081794 # DEPENDENCYPART_SIBL
(0,1),(0,47),-0.00197136 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.0764312 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0256497 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0111473 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0958014 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0256497 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.00190591 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0479501 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0429989 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.0111473 # DEPENDENCYPART_SIBL
(0,2),(0,17),0.0176423 # DEPENDENCYPART_SIBL
(0,2),(0,31),0.0890442 # DEPENDENCYPART_SIBL
