# _root_ ertzaintzaren_arabera , indar handiko suziri bat bota zioten , banketxearen eta goiko etxebizitza baten leihoak hautsiz .
#goldHeads=7,1,5,3,7,5,0,7,8,11,15,13,11,13,16,7,16,
#predictedHeads=7,3,7,3,7,5,0,7,8,11,13,11,15,13,16,7,16,
(5,11),-0.396571 # DEPENDENCYPART_ARC
(5,13),-0.988455 # DEPENDENCYPART_ARC
(5,14),-0.329108 # DEPENDENCYPART_ARC
(5,15),-0.931904 # DEPENDENCYPART_ARC
(5,16),-0.560472 # DEPENDENCYPART_ARC
(5,17),-1.00192 # DEPENDENCYPART_ARC
(6,3),-1.16957 # DEPENDENCYPART_ARC
(6,5),-0.111846 # DEPENDENCYPART_ARC
(7,1),1.47352 # DEPENDENCYPART_ARC
(7,2),-0.982193 # DEPENDENCYPART_ARC
(7,3),1.06678 # DEPENDENCYPART_ARC
(7,4),-0.892649 # DEPENDENCYPART_ARC
(7,5),1.79621 # DEPENDENCYPART_ARC
(7,6),0.523525 # DEPENDENCYPART_ARC
(7,8),2.41968 # DEPENDENCYPART_ARC
(7,9),-0.526622 # DEPENDENCYPART_ARC
(7,10),-0.931752 # DEPENDENCYPART_ARC
(7,11),-0.400691 # DEPENDENCYPART_ARC
(7,12),-2.12783 # DEPENDENCYPART_ARC
(7,13),-1.29518 # DEPENDENCYPART_ARC
(7,15),-1.39172 # DEPENDENCYPART_ARC
(7,16),0.531156 # DEPENDENCYPART_ARC
(8,1),-1.66113 # DEPENDENCYPART_ARC
(8,5),-0.469524 # DEPENDENCYPART_ARC
(8,6),-0.725877 # DEPENDENCYPART_ARC
(8,7),-1.70825 # DEPENDENCYPART_ARC
(8,9),1.09171 # DEPENDENCYPART_ARC
(8,10),-2.91201 # DEPENDENCYPART_ARC
(8,11),-1.87037 # DEPENDENCYPART_ARC
(8,12),-2.88431 # DEPENDENCYPART_ARC
(8,13),-2.04168 # DEPENDENCYPART_ARC
(8,16),-2.7364 # DEPENDENCYPART_ARC
(9,1),-0.712065 # DEPENDENCYPART_ARC
(9,7),-0.219732 # DEPENDENCYPART_ARC
(9,8),-0.0836125 # DEPENDENCYPART_ARC
(9,10),-0.809102 # DEPENDENCYPART_ARC
(9,11),-1.23372 # DEPENDENCYPART_ARC
(9,16),-1.29 # DEPENDENCYPART_ARC
(10,4),-1.04281 # DEPENDENCYPART_ARC
(10,6),-2.88542 # DEPENDENCYPART_ARC
(10,7),-1.76843 # DEPENDENCYPART_ARC
(10,8),-1.92487 # DEPENDENCYPART_ARC
(10,9),-0.260565 # DEPENDENCYPART_ARC
(10,12),-0.463874 # DEPENDENCYPART_ARC
(10,14),-2.53239 # DEPENDENCYPART_ARC
(10,17),-1.41645 # DEPENDENCYPART_ARC
(11,1),-0.225555 # DEPENDENCYPART_ARC
(11,3),-0.183641 # DEPENDENCYPART_ARC
(11,5),-0.696112 # DEPENDENCYPART_ARC
(11,6),-1.54768 # DEPENDENCYPART_ARC
(11,7),0.46738 # DEPENDENCYPART_ARC
(11,8),-1.22268 # DEPENDENCYPART_ARC
(11,9),-1.40246 # DEPENDENCYPART_ARC
(11,10),2.42572 # DEPENDENCYPART_ARC
(11,12),2.10907 # DEPENDENCYPART_ARC
(11,13),0.11597 # DEPENDENCYPART_ARC
(11,14),-0.64975 # DEPENDENCYPART_ARC
(11,15),0.998402 # DEPENDENCYPART_ARC
(11,16),-0.396697 # DEPENDENCYPART_ARC
(12,4),-2.10828 # DEPENDENCYPART_ARC
(12,6),-4.11205 # DEPENDENCYPART_ARC
(12,9),-2.52407 # DEPENDENCYPART_ARC
(12,10),-1.56294 # DEPENDENCYPART_ARC
(12,11),-1.00081 # DEPENDENCYPART_ARC
(12,13),-1.0192 # DEPENDENCYPART_ARC
(12,14),-1.75417 # DEPENDENCYPART_ARC
(12,15),-2.87655 # DEPENDENCYPART_ARC
(12,17),-1.86188 # DEPENDENCYPART_ARC
(13,3),-0.822908 # DEPENDENCYPART_ARC
(13,4),-1.78909 # DEPENDENCYPART_ARC
(13,6),-2.11655 # DEPENDENCYPART_ARC
(13,7),-0.951275 # DEPENDENCYPART_ARC
(13,9),-1.49993 # DEPENDENCYPART_ARC
(13,10),-0.226588 # DEPENDENCYPART_ARC
(13,11),0.33423 # DEPENDENCYPART_ARC
(13,12),1.46934 # DEPENDENCYPART_ARC
(13,14),1.76002 # DEPENDENCYPART_ARC
(13,15),-0.0424649 # DEPENDENCYPART_ARC
(13,16),-0.582665 # DEPENDENCYPART_ARC
(13,17),-0.983596 # DEPENDENCYPART_ARC
(14,10),-0.623176 # DEPENDENCYPART_ARC
(14,12),-0.128518 # DEPENDENCYPART_ARC
(14,13),-0.43744 # DEPENDENCYPART_ARC
(14,15),0.99325 # DEPENDENCYPART_ARC
(15,4),-1.59373 # DEPENDENCYPART_ARC
(15,5),-0.69343 # DEPENDENCYPART_ARC
(15,7),-1.08502 # DEPENDENCYPART_ARC
(15,9),-1.4959 # DEPENDENCYPART_ARC
(15,10),-0.222032 # DEPENDENCYPART_ARC
(15,11),-0.0859618 # DEPENDENCYPART_ARC
(15,12),0.425537 # DEPENDENCYPART_ARC
(15,13),0.976156 # DEPENDENCYPART_ARC
(15,14),-0.0822271 # DEPENDENCYPART_ARC
(15,16),-0.760775 # DEPENDENCYPART_ARC
(15,17),-0.729844 # DEPENDENCYPART_ARC
(16,1),-0.729025 # DEPENDENCYPART_ARC
(16,2),-1.84588 # DEPENDENCYPART_ARC
(16,3),-1.11818 # DEPENDENCYPART_ARC
(16,4),-2.11524 # DEPENDENCYPART_ARC
(16,5),-1.1486 # DEPENDENCYPART_ARC
(16,7),-0.888098 # DEPENDENCYPART_ARC
(16,8),-1.29455 # DEPENDENCYPART_ARC
(16,9),-1.85091 # DEPENDENCYPART_ARC
(16,10),-1.75464 # DEPENDENCYPART_ARC
(16,11),0.204866 # DEPENDENCYPART_ARC
(16,12),-1.18144 # DEPENDENCYPART_ARC
(16,13),0.490263 # DEPENDENCYPART_ARC
(16,14),-0.919034 # DEPENDENCYPART_ARC
(16,15),2.66381 # DEPENDENCYPART_ARC
(16,17),1.9493 # DEPENDENCYPART_ARC
(17,15),-0.793563 # DEPENDENCYPART_ARC
