# _root_ frantziako langabeziaren jaitsierak erakusten du europaren motorra , dieselen_antzera , pixkanaka berotzen ari_dela .
#goldHeads=2,3,4,0,4,7,13,7,13,9,13,13,4,13,
#predictedHeads=2,3,4,0,4,7,4,7,4,9,12,13,4,13,
(9,11),-0.53622 # DEPENDENCYPART_ARC
(9,12),-2.18434 # DEPENDENCYPART_ARC
(9,13),-3.13649 # DEPENDENCYPART_ARC
(9,14),-0.741695 # DEPENDENCYPART_ARC
(10,5),-1.13286 # DEPENDENCYPART_ARC
(10,9),-0.467184 # DEPENDENCYPART_ARC
(10,12),-0.854451 # DEPENDENCYPART_ARC
(10,13),-0.689417 # DEPENDENCYPART_ARC
(11,7),-1.12125 # DEPENDENCYPART_ARC
(11,9),-0.706104 # DEPENDENCYPART_ARC
(11,10),-0.167565 # DEPENDENCYPART_ARC
(11,12),-0.344876 # DEPENDENCYPART_ARC
(12,1),-2.81352 # DEPENDENCYPART_ARC
(12,2),-3.05166 # DEPENDENCYPART_ARC
(12,3),-1.80902 # DEPENDENCYPART_ARC
(12,4),-1.76073 # DEPENDENCYPART_ARC
(12,5),-1.42856 # DEPENDENCYPART_ARC
(12,6),-2.04792 # DEPENDENCYPART_ARC
(12,7),-0.0931993 # DEPENDENCYPART_ARC
(12,8),-1.33073 # DEPENDENCYPART_ARC
(12,9),-0.208537 # DEPENDENCYPART_ARC
(12,10),-1.04228 # DEPENDENCYPART_ARC
(12,11),1.01843 # DEPENDENCYPART_ARC
(12,13),0.695059 # DEPENDENCYPART_ARC
(12,14),-0.261049 # DEPENDENCYPART_ARC
(13,2),-3.32982 # DEPENDENCYPART_ARC
(13,3),-0.504866 # DEPENDENCYPART_ARC
(13,4),-1.07905 # DEPENDENCYPART_ARC
(13,5),-0.420721 # DEPENDENCYPART_ARC
(13,6),-2.48493 # DEPENDENCYPART_ARC
(13,7),-0.896273 # DEPENDENCYPART_ARC
(13,9),-0.913186 # DEPENDENCYPART_ARC
(13,11),0.702273 # DEPENDENCYPART_ARC
(13,12),3.5525 # DEPENDENCYPART_ARC
(13,14),2.0312 # DEPENDENCYPART_ARC
(14,12),-1.02432 # DEPENDENCYPART_ARC
