# _root_ aznar rodriguez_zapaterorekin eta nicolas_redondo pse-eeko idazkariarekin bildu zen , ez ordea ibarretxerekin , lehendakaritzak adierazitakoaren arabera .
#goldHeads=7,3,7,6,6,3,10,7,8,0,0,11,12,15,11,15,16,
#predictedHeads=7,3,7,3,6,7,0,7,8,7,0,7,12,15,7,15,16,
(13,14),-0.456607 # DEPENDENCYPART_ARC
(14,3),-1.24331 # DEPENDENCYPART_ARC
(14,5),-0.957829 # DEPENDENCYPART_ARC
(14,7),-1.67142 # DEPENDENCYPART_ARC
(14,9),-1.89251 # DEPENDENCYPART_ARC
(14,10),-1.09311 # DEPENDENCYPART_ARC
(14,12),-2.96034 # DEPENDENCYPART_ARC
(14,13),-0.283697 # DEPENDENCYPART_ARC
(14,15),-0.20143 # DEPENDENCYPART_ARC
(14,16),-0.678907 # DEPENDENCYPART_ARC
(14,17),-1.08746 # DEPENDENCYPART_ARC
(15,1),-2.10541 # DEPENDENCYPART_ARC
(15,2),-2.65206 # DEPENDENCYPART_ARC
(15,3),-0.874469 # DEPENDENCYPART_ARC
(15,4),-2.55035 # DEPENDENCYPART_ARC
(15,6),-1.36786 # DEPENDENCYPART_ARC
(15,7),-2.15863 # DEPENDENCYPART_ARC
(15,9),-1.62692 # DEPENDENCYPART_ARC
(15,10),-0.890912 # DEPENDENCYPART_ARC
(15,11),-0.777144 # DEPENDENCYPART_ARC
(15,12),-1.42904 # DEPENDENCYPART_ARC
(15,13),-1.25649 # DEPENDENCYPART_ARC
(15,14),0.697304 # DEPENDENCYPART_ARC
(15,16),1.28236 # DEPENDENCYPART_ARC
(16,11),-1.17382 # DEPENDENCYPART_ARC
(16,14),-0.969419 # DEPENDENCYPART_ARC
(16,17),1.63209 # DEPENDENCYPART_ARC
