# _root_ joseba_egibarrek , berriz , " juan maria_jauregi hil zutenek gaiztokeriaz " jokatu zutela ziurtatu zuen .
#goldHeads=14,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
#predictedHeads=12,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
(11,1),-1.44302 # DEPENDENCYPART_ARC
(11,6),-1.056 # DEPENDENCYPART_ARC
(11,7),-0.968576 # DEPENDENCYPART_ARC
(11,12),-1.027 # DEPENDENCYPART_ARC
(11,13),-0.71568 # DEPENDENCYPART_ARC
(11,14),-1.31331 # DEPENDENCYPART_ARC
(12,1),-0.180067 # DEPENDENCYPART_ARC
(12,2),-1.2807 # DEPENDENCYPART_ARC
(12,3),-0.367813 # DEPENDENCYPART_ARC
(12,4),-1.47717 # DEPENDENCYPART_ARC
(12,6),-0.26956 # DEPENDENCYPART_ARC
(12,7),-0.645851 # DEPENDENCYPART_ARC
(12,8),0.198369 # DEPENDENCYPART_ARC
(12,10),0.850214 # DEPENDENCYPART_ARC
(12,13),1.54265 # DEPENDENCYPART_ARC
(12,14),-0.447993 # DEPENDENCYPART_ARC
(12,15),-0.813541 # DEPENDENCYPART_ARC
(13,1),-2.58249 # DEPENDENCYPART_ARC
(13,6),-1.32311 # DEPENDENCYPART_ARC
(13,7),-2.33412 # DEPENDENCYPART_ARC
(13,8),-2.54451 # DEPENDENCYPART_ARC
(13,10),-1.50442 # DEPENDENCYPART_ARC
(13,12),-1.3911 # DEPENDENCYPART_ARC
(13,14),-1.88055 # DEPENDENCYPART_ARC
(13,15),-1.06042 # DEPENDENCYPART_ARC
(14,1),-0.611304 # DEPENDENCYPART_ARC
(14,2),-1.31574 # DEPENDENCYPART_ARC
(14,3),-1.12184 # DEPENDENCYPART_ARC
(14,4),-1.50608 # DEPENDENCYPART_ARC
(14,6),-0.76949 # DEPENDENCYPART_ARC
(14,7),-1.26015 # DEPENDENCYPART_ARC
(14,8),-0.0372638 # DEPENDENCYPART_ARC
(14,10),-0.307845 # DEPENDENCYPART_ARC
(14,12),1.59067 # DEPENDENCYPART_ARC
(14,13),-0.653962 # DEPENDENCYPART_ARC
(14,15),1.42756 # DEPENDENCYPART_ARC
(14,16),-0.0274062 # DEPENDENCYPART_ARC
(15,1),-1.75053 # DEPENDENCYPART_ARC
(15,6),-1.23763 # DEPENDENCYPART_ARC
(15,7),-1.82601 # DEPENDENCYPART_ARC
(15,10),-1.74313 # DEPENDENCYPART_ARC
(15,12),-2.61298 # DEPENDENCYPART_ARC
(15,14),-1.9216 # DEPENDENCYPART_ARC
(15,16),1.64742 # DEPENDENCYPART_ARC
