# _root_ orduan alexander potzu izoztuaren erdialdera joan zen , besoak zabalduta , otsoaren ihesa gordeaz adiunez .
#goldHeads=6,6,5,3,6,0,6,7,10,11,6,13,14,11,14,15,
#predictedHeads=6,3,4,6,6,0,6,7,10,6,10,13,14,6,14,15,
(14,1),-0.326055 # DEPENDENCYPART_ARC
(14,2),-1.99702 # DEPENDENCYPART_ARC
(14,3),-1.50927 # DEPENDENCYPART_ARC
(14,4),-2.88041 # DEPENDENCYPART_ARC
(14,5),-1.67321 # DEPENDENCYPART_ARC
(14,6),-2.09679 # DEPENDENCYPART_ARC
(14,7),-1.66298 # DEPENDENCYPART_ARC
(14,8),-1.79797 # DEPENDENCYPART_ARC
(14,9),-0.0372045 # DEPENDENCYPART_ARC
(14,10),-0.625629 # DEPENDENCYPART_ARC
(14,11),-1.47401 # DEPENDENCYPART_ARC
(14,12),-1.4099 # DEPENDENCYPART_ARC
(14,13),2.28355 # DEPENDENCYPART_ARC
(14,15),0.479401 # DEPENDENCYPART_ARC
(14,16),-0.574252 # DEPENDENCYPART_ARC
(15,1),-1.63141 # DEPENDENCYPART_ARC
(15,6),-2.46601 # DEPENDENCYPART_ARC
(15,11),-1.80793 # DEPENDENCYPART_ARC
(15,12),-1.0331 # DEPENDENCYPART_ARC
(15,13),-0.872311 # DEPENDENCYPART_ARC
(15,14),-1.04587 # DEPENDENCYPART_ARC
(15,16),1.99745 # DEPENDENCYPART_ARC
