# _root_ garai hartako tituloak horrelakoak ziren , luzeak , liburu hori normalean izen laburragoz ezagutzen da : robinson crusoe .
#goldHeads=3,1,5,5,8,5,4,0,14,9,14,14,12,8,14,15,12,17,18,
#predictedHeads=14,1,5,5,0,5,5,7,14,9,14,14,12,0,14,15,12,17,18,
(5,2),-0.284518 # DEPENDENCYPART_ARC
(5,3),1.60523 # DEPENDENCYPART_ARC
(5,4),0.833886 # DEPENDENCYPART_ARC
(5,6),1.3369 # DEPENDENCYPART_ARC
(5,7),-0.124731 # DEPENDENCYPART_ARC
(5,8),0.194481 # DEPENDENCYPART_ARC
(5,9),-0.601463 # DEPENDENCYPART_ARC
(5,11),-0.774199 # DEPENDENCYPART_ARC
(5,12),-0.910665 # DEPENDENCYPART_ARC
(5,13),-1.56868 # DEPENDENCYPART_ARC
(5,14),-0.862108 # DEPENDENCYPART_ARC
(5,15),-0.542887 # DEPENDENCYPART_ARC
(6,5),0.409671 # DEPENDENCYPART_ARC
(6,7),-0.271005 # DEPENDENCYPART_ARC
(6,9),-0.570672 # DEPENDENCYPART_ARC
(6,14),-1.10364 # DEPENDENCYPART_ARC
(7,1),-1.64324 # DEPENDENCYPART_ARC
(7,3),-1.97633 # DEPENDENCYPART_ARC
(7,6),-0.465807 # DEPENDENCYPART_ARC
(7,8),1.1988 # DEPENDENCYPART_ARC
(7,9),-1.45867 # DEPENDENCYPART_ARC
(7,12),-1.27781 # DEPENDENCYPART_ARC
(7,14),-2.20716 # DEPENDENCYPART_ARC
(8,5),-0.520351 # DEPENDENCYPART_ARC
(8,7),-0.0980237 # DEPENDENCYPART_ARC
(8,9),-0.794977 # DEPENDENCYPART_ARC
(8,14),-1.33331 # DEPENDENCYPART_ARC
(9,1),-1.54015 # DEPENDENCYPART_ARC
(9,2),-2.09299 # DEPENDENCYPART_ARC
(9,4),-1.67885 # DEPENDENCYPART_ARC
(9,5),-1.93407 # DEPENDENCYPART_ARC
(9,6),-1.56718 # DEPENDENCYPART_ARC
(9,7),-1.14558 # DEPENDENCYPART_ARC
(9,8),-0.428117 # DEPENDENCYPART_ARC
(9,10),2.43324 # DEPENDENCYPART_ARC
(9,11),-0.196795 # DEPENDENCYPART_ARC
(9,12),-0.940897 # DEPENDENCYPART_ARC
(9,13),-0.505093 # DEPENDENCYPART_ARC
(9,15),-1.23054 # DEPENDENCYPART_ARC
(9,19),-0.585021 # DEPENDENCYPART_ARC
(10,12),-1.17444 # DEPENDENCYPART_ARC
(11,9),-0.687487 # DEPENDENCYPART_ARC
(11,10),-0.189109 # DEPENDENCYPART_ARC
(11,12),-0.24781 # DEPENDENCYPART_ARC
(11,17),-1.14792 # DEPENDENCYPART_ARC
(11,18),-1.07037 # DEPENDENCYPART_ARC
(12,1),-1.71012 # DEPENDENCYPART_ARC
(12,2),-1.51775 # DEPENDENCYPART_ARC
(12,3),-1.60116 # DEPENDENCYPART_ARC
(12,4),-1.30786 # DEPENDENCYPART_ARC
(12,5),-1.6352 # DEPENDENCYPART_ARC
(12,6),-1.9882 # DEPENDENCYPART_ARC
(12,7),-1.14153 # DEPENDENCYPART_ARC
(12,8),-1.78493 # DEPENDENCYPART_ARC
(12,9),-0.868213 # DEPENDENCYPART_ARC
(12,10),-0.394522 # DEPENDENCYPART_ARC
(12,11),-0.364551 # DEPENDENCYPART_ARC
(12,13),2.1393 # DEPENDENCYPART_ARC
(12,14),-0.662385 # DEPENDENCYPART_ARC
(12,15),-0.780545 # DEPENDENCYPART_ARC
(12,17),-0.594535 # DEPENDENCYPART_ARC
(12,18),-0.707619 # DEPENDENCYPART_ARC
(12,19),-0.424146 # DEPENDENCYPART_ARC
(13,3),-1.24728 # DEPENDENCYPART_ARC
(13,9),-0.692778 # DEPENDENCYPART_ARC
(13,11),0.0857164 # DEPENDENCYPART_ARC
(13,12),0.260136 # DEPENDENCYPART_ARC
(14,1),0.932692 # DEPENDENCYPART_ARC
(14,2),-1.35332 # DEPENDENCYPART_ARC
(14,3),0.830823 # DEPENDENCYPART_ARC
(14,4),-0.724173 # DEPENDENCYPART_ARC
(14,5),-0.779597 # DEPENDENCYPART_ARC
(14,6),-0.832476 # DEPENDENCYPART_ARC
(14,7),-0.51301 # DEPENDENCYPART_ARC
(14,8),-1.23596 # DEPENDENCYPART_ARC
(14,9),0.973839 # DEPENDENCYPART_ARC
(14,10),-0.170183 # DEPENDENCYPART_ARC
(14,11),0.823371 # DEPENDENCYPART_ARC
(14,12),1.52455 # DEPENDENCYPART_ARC
(14,13),1.16368 # DEPENDENCYPART_ARC
(14,15),1.58121 # DEPENDENCYPART_ARC
(14,17),-1.14356 # DEPENDENCYPART_ARC
(14,18),-0.143343 # DEPENDENCYPART_ARC
(15,1),0.213072 # DEPENDENCYPART_ARC
(15,3),0.0212459 # DEPENDENCYPART_ARC
(15,12),-0.171734 # DEPENDENCYPART_ARC
(15,13),-0.316963 # DEPENDENCYPART_ARC
(15,16),1.35105 # DEPENDENCYPART_ARC
(16,14),-0.308047 # DEPENDENCYPART_ARC
(16,15),0.210442 # DEPENDENCYPART_ARC
(16,17),-0.799998 # DEPENDENCYPART_ARC
(16,18),-1.24743 # DEPENDENCYPART_ARC
(17,18),1.43793 # DEPENDENCYPART_ARC
(18,17),-0.722389 # DEPENDENCYPART_ARC
(18,19),1.66931 # DEPENDENCYPART_ARC
