# _root_ ybarra eta gonzalezen_arabera , bbvak banku bakar bezala egingo du lan bere unitate eta negozio guztietan , " espainiako merkatuan jada ezagunenetakoa den marka bakarrarekin " .
#goldHeads=2,9,2,3,9,9,6,7,0,9,9,13,2,9,2,15,16,17,20,23,23,23,24,9,24,25,26,
#predictedHeads=2,9,2,3,9,9,6,7,0,9,9,13,14,9,14,15,16,17,20,23,23,0,24,9,24,25,26,
(14,3),-0.326809 # DEPENDENCYPART_ARC
(14,5),-1.3457 # DEPENDENCYPART_ARC
(14,6),-0.997028 # DEPENDENCYPART_ARC
(14,8),-0.913641 # DEPENDENCYPART_ARC
(14,9),0.0426579 # DEPENDENCYPART_ARC
(14,10),-1.10716 # DEPENDENCYPART_ARC
(14,11),0.0610452 # DEPENDENCYPART_ARC
(14,12),-0.372017 # DEPENDENCYPART_ARC
(14,13),1.99801 # DEPENDENCYPART_ARC
(14,15),1.85121 # DEPENDENCYPART_ARC
(14,16),-0.643862 # DEPENDENCYPART_ARC
(14,17),-0.460163 # DEPENDENCYPART_ARC
(14,20),-0.30743 # DEPENDENCYPART_ARC
(14,23),-1.09659 # DEPENDENCYPART_ARC
(14,24),-1.09841 # DEPENDENCYPART_ARC
(15,2),-2.67261 # DEPENDENCYPART_ARC
(15,5),-3.23107 # DEPENDENCYPART_ARC
(15,7),-3.35036 # DEPENDENCYPART_ARC
(15,12),-1.73649 # DEPENDENCYPART_ARC
(15,13),-0.772116 # DEPENDENCYPART_ARC
(15,16),1.55622 # DEPENDENCYPART_ARC
(15,17),-0.361198 # DEPENDENCYPART_ARC
(15,19),-0.848599 # DEPENDENCYPART_ARC
(15,21),-1.044 # DEPENDENCYPART_ARC
(15,23),-1.91463 # DEPENDENCYPART_ARC
(15,27),-1.07302 # DEPENDENCYPART_ARC
(16,15),0.274044 # DEPENDENCYPART_ARC
(16,17),1.44724 # DEPENDENCYPART_ARC
(17,18),1.2996 # DEPENDENCYPART_ARC
(17,20),-0.770947 # DEPENDENCYPART_ARC
(17,23),-1.00402 # DEPENDENCYPART_ARC
(17,24),-1.09098 # DEPENDENCYPART_ARC
(18,19),-1.27291 # DEPENDENCYPART_ARC
(19,17),-1.3602 # DEPENDENCYPART_ARC
(19,20),0.182911 # DEPENDENCYPART_ARC
(19,23),-3.1924 # DEPENDENCYPART_ARC
(19,24),-2.74634 # DEPENDENCYPART_ARC
(20,7),-2.75593 # DEPENDENCYPART_ARC
(20,8),-1.21306 # DEPENDENCYPART_ARC
(20,11),-2.46652 # DEPENDENCYPART_ARC
(20,13),-1.11066 # DEPENDENCYPART_ARC
(20,14),-0.875095 # DEPENDENCYPART_ARC
(20,15),-0.785261 # DEPENDENCYPART_ARC
(20,17),-1.46219 # DEPENDENCYPART_ARC
(20,19),2.19085 # DEPENDENCYPART_ARC
(20,21),-0.118149 # DEPENDENCYPART_ARC
(20,23),-2.33194 # DEPENDENCYPART_ARC
(20,24),-1.81571 # DEPENDENCYPART_ARC
(20,25),-2.53721 # DEPENDENCYPART_ARC
(20,27),-1.25253 # DEPENDENCYPART_ARC
(21,20),-0.252889 # DEPENDENCYPART_ARC
(21,24),-0.777787 # DEPENDENCYPART_ARC
(22,20),0.479032 # DEPENDENCYPART_ARC
(23,6),-1.82434 # DEPENDENCYPART_ARC
(23,8),-1.0178 # DEPENDENCYPART_ARC
(23,9),-1.90188 # DEPENDENCYPART_ARC
(23,11),-1.15474 # DEPENDENCYPART_ARC
(23,13),-1.55143 # DEPENDENCYPART_ARC
(23,14),-0.645376 # DEPENDENCYPART_ARC
(23,15),-0.771336 # DEPENDENCYPART_ARC
(23,16),-1.17093 # DEPENDENCYPART_ARC
(23,17),-1.48714 # DEPENDENCYPART_ARC
(23,19),-1.54772 # DEPENDENCYPART_ARC
(23,20),1.4439 # DEPENDENCYPART_ARC
(23,21),0.234304 # DEPENDENCYPART_ARC
(23,24),-0.0049536 # DEPENDENCYPART_ARC
(23,25),-0.921292 # DEPENDENCYPART_ARC
(24,7),-2.03924 # DEPENDENCYPART_ARC
(24,14),-1.09738 # DEPENDENCYPART_ARC
(24,17),-1.48867 # DEPENDENCYPART_ARC
(24,19),-0.839382 # DEPENDENCYPART_ARC
(24,20),-1.65165 # DEPENDENCYPART_ARC
(24,21),-0.646869 # DEPENDENCYPART_ARC
(24,23),1.35448 # DEPENDENCYPART_ARC
(24,25),2.1896 # DEPENDENCYPART_ARC
(24,27),-0.711529 # DEPENDENCYPART_ARC
(25,15),-1.71263 # DEPENDENCYPART_ARC
(25,20),-1.41092 # DEPENDENCYPART_ARC
(25,21),-0.318083 # DEPENDENCYPART_ARC
(25,24),-0.266744 # DEPENDENCYPART_ARC
(25,26),1.05501 # DEPENDENCYPART_ARC
(26,27),1.52131 # DEPENDENCYPART_ARC
(0,22),-0.912747 # DEPENDENCYPART_ARC
