# _root_ jean_francois_lefort_koordinaketako kidearekin_batera eskainitako prentsaurrekoan , abuztuko polizi operazioak " porrot hutsa " izan direla esan zuen , eta " poliziaren azpijokoak porrot " egin duela .
#goldHeads=2,3,4,15,4,8,8,13,8,24,10,11,18,13,0,15,16,15,18,21,24,24,22,18,24,25,
#predictedHeads=2,3,4,13,4,7,8,13,8,13,10,11,15,13,18,15,16,0,18,21,24,24,22,18,24,25,
(4,2),0.498231 # DEPENDENCYPART_ARC
(4,3),1.56177 # DEPENDENCYPART_ARC
(4,5),1.42049 # DEPENDENCYPART_ARC
(4,6),-0.889736 # DEPENDENCYPART_ARC
(4,7),-0.476604 # DEPENDENCYPART_ARC
(4,8),-1.78282 # DEPENDENCYPART_ARC
(5,3),-0.516297 # DEPENDENCYPART_ARC
(5,6),-0.38086 # DEPENDENCYPART_ARC
(6,3),-0.911075 # DEPENDENCYPART_ARC
(6,4),-2.72687 # DEPENDENCYPART_ARC
(6,5),-0.501015 # DEPENDENCYPART_ARC
(6,7),0.185713 # DEPENDENCYPART_ARC
(6,8),-1.39749 # DEPENDENCYPART_ARC
(6,10),-2.31909 # DEPENDENCYPART_ARC
(6,11),-3.54406 # DEPENDENCYPART_ARC
(7,1),-1.17883 # DEPENDENCYPART_ARC
(7,2),-1.3735 # DEPENDENCYPART_ARC
(7,3),-1.23452 # DEPENDENCYPART_ARC
(7,4),-1.11038 # DEPENDENCYPART_ARC
(7,5),-1.42955 # DEPENDENCYPART_ARC
(7,6),1.14861 # DEPENDENCYPART_ARC
(7,8),0.377991 # DEPENDENCYPART_ARC
(7,10),-0.754843 # DEPENDENCYPART_ARC
(7,11),-0.569289 # DEPENDENCYPART_ARC
(8,1),0.0998265 # DEPENDENCYPART_ARC
(8,2),-1.61317 # DEPENDENCYPART_ARC
(8,3),0.267285 # DEPENDENCYPART_ARC
(8,4),-3.27746 # DEPENDENCYPART_ARC
(8,5),-1.49034 # DEPENDENCYPART_ARC
(8,6),0.853518 # DEPENDENCYPART_ARC
(8,7),1.23542 # DEPENDENCYPART_ARC
(8,9),1.50496 # DEPENDENCYPART_ARC
(8,10),-1.02756 # DEPENDENCYPART_ARC
(8,11),-1.25967 # DEPENDENCYPART_ARC
(8,14),-2.17362 # DEPENDENCYPART_ARC
(9,10),-1.41731 # DEPENDENCYPART_ARC
(9,11),-1.24447 # DEPENDENCYPART_ARC
(10,5),-1.33365 # DEPENDENCYPART_ARC
(10,6),-0.825048 # DEPENDENCYPART_ARC
(10,7),-0.5595 # DEPENDENCYPART_ARC
(10,8),-1.05728 # DEPENDENCYPART_ARC
(10,9),-0.227252 # DEPENDENCYPART_ARC
(10,11),1.78188 # DEPENDENCYPART_ARC
(10,13),-1.29121 # DEPENDENCYPART_ARC
(10,14),-1.53078 # DEPENDENCYPART_ARC
(10,15),-1.4784 # DEPENDENCYPART_ARC
(10,16),-1.44165 # DEPENDENCYPART_ARC
(10,18),-0.741088 # DEPENDENCYPART_ARC
(10,20),-0.672814 # DEPENDENCYPART_ARC
(10,21),-0.845514 # DEPENDENCYPART_ARC
(10,22),-0.514099 # DEPENDENCYPART_ARC
(10,24),-1.16666 # DEPENDENCYPART_ARC
(11,2),-2.31689 # DEPENDENCYPART_ARC
(11,4),-1.94796 # DEPENDENCYPART_ARC
(11,6),-1.15309 # DEPENDENCYPART_ARC
(11,7),-1.61082 # DEPENDENCYPART_ARC
(11,8),-1.77942 # DEPENDENCYPART_ARC
(11,10),-0.430423 # DEPENDENCYPART_ARC
(11,12),1.124 # DEPENDENCYPART_ARC
(11,22),-1.07357 # DEPENDENCYPART_ARC
(11,24),-2.85046 # DEPENDENCYPART_ARC
(12,13),-0.677891 # DEPENDENCYPART_ARC
(12,14),-0.304845 # DEPENDENCYPART_ARC
(12,24),-2.11746 # DEPENDENCYPART_ARC
(13,1),0.481692 # DEPENDENCYPART_ARC
(13,2),0.0275131 # DEPENDENCYPART_ARC
(13,3),-1.05339 # DEPENDENCYPART_ARC
(13,4),0.775564 # DEPENDENCYPART_ARC
(13,5),-0.961056 # DEPENDENCYPART_ARC
(13,6),-0.210025 # DEPENDENCYPART_ARC
(13,7),0.0141887 # DEPENDENCYPART_ARC
(13,8),0.948995 # DEPENDENCYPART_ARC
(13,10),0.914483 # DEPENDENCYPART_ARC
(13,11),0.0335732 # DEPENDENCYPART_ARC
(13,14),1.4887 # DEPENDENCYPART_ARC
(13,15),-0.850429 # DEPENDENCYPART_ARC
(13,16),-1.29695 # DEPENDENCYPART_ARC
(13,17),-1.60248 # DEPENDENCYPART_ARC
(13,18),-0.967553 # DEPENDENCYPART_ARC
(13,20),-2.28649 # DEPENDENCYPART_ARC
(13,21),-1.2832 # DEPENDENCYPART_ARC
(13,22),-0.791488 # DEPENDENCYPART_ARC
(13,24),-1.88754 # DEPENDENCYPART_ARC
(13,25),-1.93498 # DEPENDENCYPART_ARC
(14,10),-0.560687 # DEPENDENCYPART_ARC
(14,13),-0.449127 # DEPENDENCYPART_ARC
(14,15),-1.47418 # DEPENDENCYPART_ARC
(14,16),-1.23284 # DEPENDENCYPART_ARC
(15,1),0.358161 # DEPENDENCYPART_ARC
(15,2),-0.329221 # DEPENDENCYPART_ARC
(15,3),-0.904729 # DEPENDENCYPART_ARC
(15,4),-0.15881 # DEPENDENCYPART_ARC
(15,5),-1.02409 # DEPENDENCYPART_ARC
(15,6),-1.09571 # DEPENDENCYPART_ARC
(15,7),-0.78797 # DEPENDENCYPART_ARC
(15,8),-0.365251 # DEPENDENCYPART_ARC
(15,10),-0.401438 # DEPENDENCYPART_ARC
(15,11),-1.26655 # DEPENDENCYPART_ARC
(15,13),1.52152 # DEPENDENCYPART_ARC
(15,14),-0.0518212 # DEPENDENCYPART_ARC
(15,16),1.60085 # DEPENDENCYPART_ARC
(15,17),-0.456953 # DEPENDENCYPART_ARC
(15,18),-0.0502347 # DEPENDENCYPART_ARC
(15,20),-1.54324 # DEPENDENCYPART_ARC
(15,21),-0.624901 # DEPENDENCYPART_ARC
(15,22),-0.217693 # DEPENDENCYPART_ARC
(15,24),-1.37968 # DEPENDENCYPART_ARC
(15,25),-1.09588 # DEPENDENCYPART_ARC
(16,13),-2.51259 # DEPENDENCYPART_ARC
(16,17),1.55447 # DEPENDENCYPART_ARC
(16,18),-1.74585 # DEPENDENCYPART_ARC
(16,20),-1.65431 # DEPENDENCYPART_ARC
(16,21),-1.3346 # DEPENDENCYPART_ARC
(16,25),-0.836816 # DEPENDENCYPART_ARC
(17,13),-0.42865 # DEPENDENCYPART_ARC
(17,14),-0.832692 # DEPENDENCYPART_ARC
(17,15),-0.18594 # DEPENDENCYPART_ARC
(17,16),-0.275651 # DEPENDENCYPART_ARC
(17,18),-0.459218 # DEPENDENCYPART_ARC
(17,22),-1.02252 # DEPENDENCYPART_ARC
(18,1),-1.62509 # DEPENDENCYPART_ARC
(18,2),-2.24632 # DEPENDENCYPART_ARC
(18,3),-1.34017 # DEPENDENCYPART_ARC
(18,4),-1.61679 # DEPENDENCYPART_ARC
(18,7),-1.44887 # DEPENDENCYPART_ARC
(18,8),-1.12938 # DEPENDENCYPART_ARC
(18,10),-1.27336 # DEPENDENCYPART_ARC
(18,13),0.623494 # DEPENDENCYPART_ARC
(18,14),-0.408164 # DEPENDENCYPART_ARC
(18,15),1.33982 # DEPENDENCYPART_ARC
(18,16),-0.913003 # DEPENDENCYPART_ARC
(18,17),-0.272308 # DEPENDENCYPART_ARC
(18,19),2.4176 # DEPENDENCYPART_ARC
(18,20),-0.23981 # DEPENDENCYPART_ARC
(18,21),0.0754672 # DEPENDENCYPART_ARC
(18,22),-0.0921796 # DEPENDENCYPART_ARC
(18,24),0.312854 # DEPENDENCYPART_ARC
(19,20),-1.51446 # DEPENDENCYPART_ARC
(19,24),-2.53102 # DEPENDENCYPART_ARC
(20,15),-1.40122 # DEPENDENCYPART_ARC
(20,17),-1.35379 # DEPENDENCYPART_ARC
(20,18),-0.820499 # DEPENDENCYPART_ARC
(20,19),-0.405731 # DEPENDENCYPART_ARC
(20,21),0.543688 # DEPENDENCYPART_ARC
(20,22),-0.36034 # DEPENDENCYPART_ARC
(20,25),-2.47763 # DEPENDENCYPART_ARC
(20,26),-1.21135 # DEPENDENCYPART_ARC
(21,15),-1.36523 # DEPENDENCYPART_ARC
(21,17),-1.52759 # DEPENDENCYPART_ARC
(21,18),-0.643083 # DEPENDENCYPART_ARC
(21,20),1.91485 # DEPENDENCYPART_ARC
(21,22),-0.483498 # DEPENDENCYPART_ARC
(21,25),-3.5497 # DEPENDENCYPART_ARC
(21,26),-1.3437 # DEPENDENCYPART_ARC
(22,11),-3.17244 # DEPENDENCYPART_ARC
(22,15),-1.96638 # DEPENDENCYPART_ARC
(22,17),-1.85639 # DEPENDENCYPART_ARC
(22,18),-1.22284 # DEPENDENCYPART_ARC
(22,20),0.451916 # DEPENDENCYPART_ARC
(22,21),0.256056 # DEPENDENCYPART_ARC
(22,23),1.63999 # DEPENDENCYPART_ARC
(22,24),-1.14611 # DEPENDENCYPART_ARC
(22,25),-0.309174 # DEPENDENCYPART_ARC
(22,26),-0.630848 # DEPENDENCYPART_ARC
(23,20),-0.632848 # DEPENDENCYPART_ARC
(23,21),-0.641239 # DEPENDENCYPART_ARC
(23,24),-0.500617 # DEPENDENCYPART_ARC
(23,25),-0.031429 # DEPENDENCYPART_ARC
(24,1),-1.93277 # DEPENDENCYPART_ARC
(24,3),-1.34063 # DEPENDENCYPART_ARC
(24,4),-1.78855 # DEPENDENCYPART_ARC
(24,6),-2.5538 # DEPENDENCYPART_ARC
(24,7),-2.3704 # DEPENDENCYPART_ARC
(24,8),-1.65538 # DEPENDENCYPART_ARC
(24,10),-1.90463 # DEPENDENCYPART_ARC
(24,11),-1.57415 # DEPENDENCYPART_ARC
(24,13),-0.609591 # DEPENDENCYPART_ARC
(24,14),-0.929624 # DEPENDENCYPART_ARC
(24,15),0.0859547 # DEPENDENCYPART_ARC
(24,16),-1.03077 # DEPENDENCYPART_ARC
(24,17),-1.25585 # DEPENDENCYPART_ARC
(24,18),0.226358 # DEPENDENCYPART_ARC
(24,20),-0.60885 # DEPENDENCYPART_ARC
(24,21),1.40672 # DEPENDENCYPART_ARC
(24,22),0.868238 # DEPENDENCYPART_ARC
(24,25),1.11012 # DEPENDENCYPART_ARC
(24,26),-0.588489 # DEPENDENCYPART_ARC
(25,21),-0.167765 # DEPENDENCYPART_ARC
(25,22),-0.711631 # DEPENDENCYPART_ARC
(25,26),1.69407 # DEPENDENCYPART_ARC
