# _root_ preso gasteiztarrak , gainera , bere garaian esan zuen azken egunetan egarri greba hasteko asmoa duela .
#goldHeads=8,1,2,0,4,7,8,0,8,11,8,13,14,16,16,8,16,
#predictedHeads=8,1,2,0,4,7,8,0,8,11,14,13,14,15,16,8,16,
(8,2),-1.33284 # DEPENDENCYPART_ARC
(8,3),-1.27363 # DEPENDENCYPART_ARC
(8,4),-0.320956 # DEPENDENCYPART_ARC
(8,5),-1.28452 # DEPENDENCYPART_ARC
(8,6),-1.18123 # DEPENDENCYPART_ARC
(8,7),1.87243 # DEPENDENCYPART_ARC
(8,9),1.66028 # DEPENDENCYPART_ARC
(8,10),0.0147857 # DEPENDENCYPART_ARC
(8,11),0.136637 # DEPENDENCYPART_ARC
(8,12),-0.171601 # DEPENDENCYPART_ARC
(8,13),0.128588 # DEPENDENCYPART_ARC
(8,14),-0.573359 # DEPENDENCYPART_ARC
(8,15),-0.154918 # DEPENDENCYPART_ARC
(8,16),-0.0262892 # DEPENDENCYPART_ARC
(9,7),-1.69434 # DEPENDENCYPART_ARC
(9,11),-1.61327 # DEPENDENCYPART_ARC
(9,12),-1.8183 # DEPENDENCYPART_ARC
(9,13),-1.89334 # DEPENDENCYPART_ARC
(10,8),-0.680169 # DEPENDENCYPART_ARC
(11,1),-1.00056 # DEPENDENCYPART_ARC
(11,2),-2.87615 # DEPENDENCYPART_ARC
(11,5),-1.5164 # DEPENDENCYPART_ARC
(11,7),-2.51833 # DEPENDENCYPART_ARC
(11,8),-0.00119576 # DEPENDENCYPART_ARC
(11,9),-0.635447 # DEPENDENCYPART_ARC
(11,10),1.31504 # DEPENDENCYPART_ARC
(11,12),-0.562705 # DEPENDENCYPART_ARC
(11,13),-1.80233 # DEPENDENCYPART_ARC
(11,15),-2.42869 # DEPENDENCYPART_ARC
(11,16),-2.73993 # DEPENDENCYPART_ARC
(11,17),-1.55853 # DEPENDENCYPART_ARC
(12,1),-1.38343 # DEPENDENCYPART_ARC
(12,2),-2.4871 # DEPENDENCYPART_ARC
(12,5),-2.02983 # DEPENDENCYPART_ARC
(12,7),-2.10056 # DEPENDENCYPART_ARC
(12,8),-0.861284 # DEPENDENCYPART_ARC
(12,10),-0.108439 # DEPENDENCYPART_ARC
(12,11),0.0952444 # DEPENDENCYPART_ARC
(12,13),0.837433 # DEPENDENCYPART_ARC
(12,14),-0.717829 # DEPENDENCYPART_ARC
(12,15),-0.573272 # DEPENDENCYPART_ARC
(12,16),-1.79921 # DEPENDENCYPART_ARC
(12,17),-1.01843 # DEPENDENCYPART_ARC
(13,1),-1.41215 # DEPENDENCYPART_ARC
(13,2),-2.41967 # DEPENDENCYPART_ARC
(13,8),-0.674459 # DEPENDENCYPART_ARC
(13,10),-0.851206 # DEPENDENCYPART_ARC
(13,11),-1.08825 # DEPENDENCYPART_ARC
(13,12),1.64854 # DEPENDENCYPART_ARC
(13,14),-0.408468 # DEPENDENCYPART_ARC
(13,15),-1.1812 # DEPENDENCYPART_ARC
(13,16),-2.05445 # DEPENDENCYPART_ARC
(13,17),-1.37059 # DEPENDENCYPART_ARC
(14,1),-1.03305 # DEPENDENCYPART_ARC
(14,2),-1.72514 # DEPENDENCYPART_ARC
(14,3),-1.94383 # DEPENDENCYPART_ARC
(14,4),-0.428916 # DEPENDENCYPART_ARC
(14,5),-2.02137 # DEPENDENCYPART_ARC
(14,6),-1.19924 # DEPENDENCYPART_ARC
(14,7),0.374798 # DEPENDENCYPART_ARC
(14,8),-0.683548 # DEPENDENCYPART_ARC
(14,9),-1.6368 # DEPENDENCYPART_ARC
(14,10),-0.88043 # DEPENDENCYPART_ARC
(14,11),1.04058 # DEPENDENCYPART_ARC
(14,12),0.876088 # DEPENDENCYPART_ARC
(14,13),2.2425 # DEPENDENCYPART_ARC
(14,15),-1.3609 # DEPENDENCYPART_ARC
(14,16),-1.39007 # DEPENDENCYPART_ARC
(15,2),-3.05005 # DEPENDENCYPART_ARC
(15,11),-2.20899 # DEPENDENCYPART_ARC
(15,12),-0.254352 # DEPENDENCYPART_ARC
(15,13),-0.891339 # DEPENDENCYPART_ARC
(15,14),2.06225 # DEPENDENCYPART_ARC
(15,16),-0.316078 # DEPENDENCYPART_ARC
(15,17),-0.557435 # DEPENDENCYPART_ARC
(16,1),-1.91463 # DEPENDENCYPART_ARC
(16,7),-0.622564 # DEPENDENCYPART_ARC
(16,8),-1.20034 # DEPENDENCYPART_ARC
(16,11),0.311133 # DEPENDENCYPART_ARC
(16,12),-0.154492 # DEPENDENCYPART_ARC
(16,13),0.680003 # DEPENDENCYPART_ARC
(16,14),-0.0276459 # DEPENDENCYPART_ARC
(16,15),2.5897 # DEPENDENCYPART_ARC
(16,17),1.56287 # DEPENDENCYPART_ARC
(17,15),-0.92779 # DEPENDENCYPART_ARC
