# _root_ galtza beltzak jantzi , alkandora zuria lotu eta txaleko gorria sartu nuen sorbaldetan_behera , ( )
#goldHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
#predictedHeads=3,1,8,3,7,5,8,0,11,9,8,11,11,13,0,0,
(5,9),-0.927407 # DEPENDENCYPART_ARC
(5,10),0.442499 # DEPENDENCYPART_ARC
(5,11),-1.38166 # DEPENDENCYPART_ARC
(5,12),-1.27809 # DEPENDENCYPART_ARC
(5,13),-1.00475 # DEPENDENCYPART_ARC
(6,1),-1.57651 # DEPENDENCYPART_ARC
(6,3),-0.855378 # DEPENDENCYPART_ARC
(6,5),-0.0265074 # DEPENDENCYPART_ARC
(6,7),-0.774778 # DEPENDENCYPART_ARC
(6,9),-1.63234 # DEPENDENCYPART_ARC
(6,10),-1.60772 # DEPENDENCYPART_ARC
(7,1),0.162862 # DEPENDENCYPART_ARC
(7,2),-0.577337 # DEPENDENCYPART_ARC
(7,3),-0.713479 # DEPENDENCYPART_ARC
(7,4),-0.980968 # DEPENDENCYPART_ARC
(7,5),1.36482 # DEPENDENCYPART_ARC
(7,6),0.915371 # DEPENDENCYPART_ARC
(7,8),0.0301083 # DEPENDENCYPART_ARC
(7,9),-0.757252 # DEPENDENCYPART_ARC
(7,10),-1.24997 # DEPENDENCYPART_ARC
(7,11),-0.70304 # DEPENDENCYPART_ARC
(7,12),-0.567064 # DEPENDENCYPART_ARC
(7,13),-0.462788 # DEPENDENCYPART_ARC
(7,14),-1.16194 # DEPENDENCYPART_ARC
(8,1),-0.438907 # DEPENDENCYPART_ARC
(8,3),0.237685 # DEPENDENCYPART_ARC
(8,4),-1.32089 # DEPENDENCYPART_ARC
(8,5),0.336194 # DEPENDENCYPART_ARC
(8,6),-0.329672 # DEPENDENCYPART_ARC
(8,7),2.32433 # DEPENDENCYPART_ARC
(8,9),0.0178788 # DEPENDENCYPART_ARC
(8,10),0.277253 # DEPENDENCYPART_ARC
(8,11),1.24586 # DEPENDENCYPART_ARC
(8,12),-0.533119 # DEPENDENCYPART_ARC
(8,13),0.177289 # DEPENDENCYPART_ARC
(8,14),-0.668733 # DEPENDENCYPART_ARC
(9,2),-3.34846 # DEPENDENCYPART_ARC
(9,4),-2.5682 # DEPENDENCYPART_ARC
(9,7),-0.430683 # DEPENDENCYPART_ARC
(9,8),-0.920775 # DEPENDENCYPART_ARC
(9,10),2.18874 # DEPENDENCYPART_ARC
(9,11),-1.24171 # DEPENDENCYPART_ARC
(9,12),-1.33397 # DEPENDENCYPART_ARC
(9,13),-1.14594 # DEPENDENCYPART_ARC
(10,1),-1.58633 # DEPENDENCYPART_ARC
(10,5),-1.15629 # DEPENDENCYPART_ARC
(10,7),-0.672075 # DEPENDENCYPART_ARC
(10,8),-0.709651 # DEPENDENCYPART_ARC
(10,9),0.143808 # DEPENDENCYPART_ARC
(10,11),-1.79701 # DEPENDENCYPART_ARC
(11,1),-0.131741 # DEPENDENCYPART_ARC
(11,2),-1.24346 # DEPENDENCYPART_ARC
(11,3),-0.522655 # DEPENDENCYPART_ARC
(11,4),-1.34596 # DEPENDENCYPART_ARC
(11,5),-0.0778563 # DEPENDENCYPART_ARC
(11,6),-1.11533 # DEPENDENCYPART_ARC
(11,7),0.102932 # DEPENDENCYPART_ARC
(11,8),0.463599 # DEPENDENCYPART_ARC
(11,9),0.944418 # DEPENDENCYPART_ARC
(11,10),0.144842 # DEPENDENCYPART_ARC
(11,12),1.90284 # DEPENDENCYPART_ARC
(11,13),2.12563 # DEPENDENCYPART_ARC
(11,14),-0.199575 # DEPENDENCYPART_ARC
(12,9),-0.81701 # DEPENDENCYPART_ARC
(12,10),-1.60081 # DEPENDENCYPART_ARC
(12,13),-0.367494 # DEPENDENCYPART_ARC
(13,1),-0.733162 # DEPENDENCYPART_ARC
(13,2),-5.2402 # DEPENDENCYPART_ARC
(13,3),-1.36852 # DEPENDENCYPART_ARC
(13,5),-0.656365 # DEPENDENCYPART_ARC
(13,6),-4.96836 # DEPENDENCYPART_ARC
(13,7),-0.870261 # DEPENDENCYPART_ARC
(13,8),0.442313 # DEPENDENCYPART_ARC
(13,9),-0.225265 # DEPENDENCYPART_ARC
(13,10),-4.27554 # DEPENDENCYPART_ARC
(13,11),-0.621002 # DEPENDENCYPART_ARC
(13,12),-0.307121 # DEPENDENCYPART_ARC
(13,14),1.32282 # DEPENDENCYPART_ARC
(14,11),-0.370834 # DEPENDENCYPART_ARC
(14,12),-1.08707 # DEPENDENCYPART_ARC
(14,13),-0.452346 # DEPENDENCYPART_ARC
(14,15),1.07268 # DEPENDENCYPART_ARC
(15,13),-1.36835 # DEPENDENCYPART_ARC
(15,16),0.18322 # DEPENDENCYPART_ARC
(16,13),-1.41703 # DEPENDENCYPART_ARC
