# _root_ " ez dizkiegu gauzak errazak jarriko andaluzian " , esan zuen torresek , eta polizia lanean ari_dela gehitu zuen .
#goldHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
#predictedHeads=0,6,6,6,6,10,6,7,8,14,10,10,12,0,17,17,18,14,18,19,
(6,2),1.52112 # DEPENDENCYPART_ARC
(6,3),1.01941 # DEPENDENCYPART_ARC
(6,4),2.58973 # DEPENDENCYPART_ARC
(6,5),1.08622 # DEPENDENCYPART_ARC
(6,7),1.46598 # DEPENDENCYPART_ARC
(6,9),-0.741163 # DEPENDENCYPART_ARC
(6,10),-0.898863 # DEPENDENCYPART_ARC
(6,11),-0.742202 # DEPENDENCYPART_ARC
(6,12),-0.672947 # DEPENDENCYPART_ARC
(6,13),-0.987966 # DEPENDENCYPART_ARC
(6,14),-0.792275 # DEPENDENCYPART_ARC
(6,16),-1.50634 # DEPENDENCYPART_ARC
(6,17),-0.825376 # DEPENDENCYPART_ARC
(6,18),-1.31041 # DEPENDENCYPART_ARC
(6,19),-1.72589 # DEPENDENCYPART_ARC
(7,4),-3.89033 # DEPENDENCYPART_ARC
(7,6),-0.775574 # DEPENDENCYPART_ARC
(7,8),1.27998 # DEPENDENCYPART_ARC
(7,10),-2.21809 # DEPENDENCYPART_ARC
(7,15),-1.74508 # DEPENDENCYPART_ARC
(8,7),-0.492765 # DEPENDENCYPART_ARC
(8,9),1.6778 # DEPENDENCYPART_ARC
(8,10),-1.41205 # DEPENDENCYPART_ARC
(8,18),-1.60572 # DEPENDENCYPART_ARC
(9,6),-0.213697 # DEPENDENCYPART_ARC
(9,10),-0.853085 # DEPENDENCYPART_ARC
(10,2),-0.800653 # DEPENDENCYPART_ARC
(10,3),-0.976406 # DEPENDENCYPART_ARC
(10,4),-0.237503 # DEPENDENCYPART_ARC
(10,5),-1.34181 # DEPENDENCYPART_ARC
(10,6),0.721638 # DEPENDENCYPART_ARC
(10,7),0.299545 # DEPENDENCYPART_ARC
(10,9),-0.488061 # DEPENDENCYPART_ARC
(10,11),1.92834 # DEPENDENCYPART_ARC
(10,12),2.01753 # DEPENDENCYPART_ARC
(10,13),-0.37228 # DEPENDENCYPART_ARC
(10,14),0.0342584 # DEPENDENCYPART_ARC
(10,15),-0.474445 # DEPENDENCYPART_ARC
(10,16),-0.561743 # DEPENDENCYPART_ARC
(10,17),-0.268561 # DEPENDENCYPART_ARC
(10,18),-0.473098 # DEPENDENCYPART_ARC
(10,19),-0.865774 # DEPENDENCYPART_ARC
(11,2),-1.76157 # DEPENDENCYPART_ARC
(11,12),-0.609655 # DEPENDENCYPART_ARC
(11,14),-1.69892 # DEPENDENCYPART_ARC
(11,19),-0.905722 # DEPENDENCYPART_ARC
(12,10),0.0327824 # DEPENDENCYPART_ARC
(12,13),1.42581 # DEPENDENCYPART_ARC
(12,15),-1.82808 # DEPENDENCYPART_ARC
(12,16),-2.00868 # DEPENDENCYPART_ARC
(12,17),-2.40114 # DEPENDENCYPART_ARC
(13,11),-1.06025 # DEPENDENCYPART_ARC
(13,12),-0.55648 # DEPENDENCYPART_ARC
(13,14),-0.735147 # DEPENDENCYPART_ARC
(13,17),-1.1506 # DEPENDENCYPART_ARC
(13,18),-1.12531 # DEPENDENCYPART_ARC
(14,4),-0.911496 # DEPENDENCYPART_ARC
(14,6),-0.289946 # DEPENDENCYPART_ARC
(14,7),-1.01041 # DEPENDENCYPART_ARC
(14,9),-1.34372 # DEPENDENCYPART_ARC
(14,10),1.53327 # DEPENDENCYPART_ARC
(14,11),-0.795182 # DEPENDENCYPART_ARC
(14,12),0.380371 # DEPENDENCYPART_ARC
(14,13),-0.539672 # DEPENDENCYPART_ARC
(14,15),0.221795 # DEPENDENCYPART_ARC
(14,16),-0.0177783 # DEPENDENCYPART_ARC
(14,17),0.526699 # DEPENDENCYPART_ARC
(14,18),0.965709 # DEPENDENCYPART_ARC
(15,5),-3.44266 # DEPENDENCYPART_ARC
(15,7),-3.77191 # DEPENDENCYPART_ARC
(15,12),-3.48844 # DEPENDENCYPART_ARC
(15,13),-1.95469 # DEPENDENCYPART_ARC
(15,14),-1.41438 # DEPENDENCYPART_ARC
(15,16),0.00181284 # DEPENDENCYPART_ARC
(15,17),-1.9406 # DEPENDENCYPART_ARC
(15,19),-1.85968 # DEPENDENCYPART_ARC
(15,20),-1.23847 # DEPENDENCYPART_ARC
(16,5),-3.00033 # DEPENDENCYPART_ARC
(16,7),-3.87613 # DEPENDENCYPART_ARC
(16,9),-1.18473 # DEPENDENCYPART_ARC
(16,10),-0.964882 # DEPENDENCYPART_ARC
(16,12),-3.60612 # DEPENDENCYPART_ARC
(16,13),-1.01268 # DEPENDENCYPART_ARC
(16,14),-0.228064 # DEPENDENCYPART_ARC
(16,15),-0.424427 # DEPENDENCYPART_ARC
(16,17),-1.26377 # DEPENDENCYPART_ARC
(16,18),-2.94039 # DEPENDENCYPART_ARC
(16,19),-2.52869 # DEPENDENCYPART_ARC
(16,20),-1.38497 # DEPENDENCYPART_ARC
(17,4),-1.27413 # DEPENDENCYPART_ARC
(17,6),-0.862055 # DEPENDENCYPART_ARC
(17,10),-0.673657 # DEPENDENCYPART_ARC
(17,11),-1.6411 # DEPENDENCYPART_ARC
(17,12),-1.2917 # DEPENDENCYPART_ARC
(17,14),-0.149985 # DEPENDENCYPART_ARC
(17,15),1.30386 # DEPENDENCYPART_ARC
(17,16),1.85201 # DEPENDENCYPART_ARC
(17,18),0.546942 # DEPENDENCYPART_ARC
(17,19),-0.703557 # DEPENDENCYPART_ARC
(18,4),-1.00084 # DEPENDENCYPART_ARC
(18,5),-1.16818 # DEPENDENCYPART_ARC
(18,6),0.0038789 # DEPENDENCYPART_ARC
(18,7),-1.10854 # DEPENDENCYPART_ARC
(18,9),-1.42895 # DEPENDENCYPART_ARC
(18,10),0.367058 # DEPENDENCYPART_ARC
(18,11),-0.740502 # DEPENDENCYPART_ARC
(18,12),-0.451916 # DEPENDENCYPART_ARC
(18,13),-1.41529 # DEPENDENCYPART_ARC
(18,14),0.279725 # DEPENDENCYPART_ARC
(18,15),0.89085 # DEPENDENCYPART_ARC
(18,16),1.17513 # DEPENDENCYPART_ARC
(18,17),1.30294 # DEPENDENCYPART_ARC
(18,19),1.42426 # DEPENDENCYPART_ARC
(18,20),0.0164101 # DEPENDENCYPART_ARC
(19,15),-0.845169 # DEPENDENCYPART_ARC
(19,16),-1.4923 # DEPENDENCYPART_ARC
(19,18),-2.0787 # DEPENDENCYPART_ARC
(19,20),1.62657 # DEPENDENCYPART_ARC
