# _root_ horrela zeudela , john_wayne famatuarengana joatea erabaki zuten , beren loria egunetan john_wayne beren adiskidea izan zelako .
#goldHeads=2,7,2,6,4,7,0,7,8,12,12,16,16,15,16,7,16,17,
#predictedHeads=2,6,2,6,6,7,0,7,8,11,12,16,15,13,16,7,16,17,
(6,5),0.744906 # DEPENDENCYPART_ARC
(6,7),-0.385938 # DEPENDENCYPART_ARC
(6,8),-1.49626 # DEPENDENCYPART_ARC
(6,9),-1.0279 # DEPENDENCYPART_ARC
(6,10),-2.13638 # DEPENDENCYPART_ARC
(6,11),-1.28004 # DEPENDENCYPART_ARC
(6,12),-0.790952 # DEPENDENCYPART_ARC
(6,15),-1.43026 # DEPENDENCYPART_ARC
(6,16),-2.02666 # DEPENDENCYPART_ARC
(6,17),-2.81677 # DEPENDENCYPART_ARC
(7,1),-0.204866 # DEPENDENCYPART_ARC
(7,2),0.975809 # DEPENDENCYPART_ARC
(7,3),-1.21189 # DEPENDENCYPART_ARC
(7,4),-0.149583 # DEPENDENCYPART_ARC
(7,5),-0.679403 # DEPENDENCYPART_ARC
(7,6),1.55218 # DEPENDENCYPART_ARC
(7,8),1.646 # DEPENDENCYPART_ARC
(7,9),-0.200962 # DEPENDENCYPART_ARC
(7,10),-1.13906 # DEPENDENCYPART_ARC
(7,11),-0.444377 # DEPENDENCYPART_ARC
(7,12),-0.353133 # DEPENDENCYPART_ARC
(7,13),-0.728137 # DEPENDENCYPART_ARC
(7,15),-0.353361 # DEPENDENCYPART_ARC
(7,16),-0.417146 # DEPENDENCYPART_ARC
(7,17),-0.493817 # DEPENDENCYPART_ARC
(8,4),-1.28241 # DEPENDENCYPART_ARC
(8,6),-0.723266 # DEPENDENCYPART_ARC
(8,7),-1.44029 # DEPENDENCYPART_ARC
(8,9),1.3449 # DEPENDENCYPART_ARC
(8,12),-1.83204 # DEPENDENCYPART_ARC
(8,16),-2.56666 # DEPENDENCYPART_ARC
(8,17),-0.902691 # DEPENDENCYPART_ARC
(9,2),-0.568123 # DEPENDENCYPART_ARC
(9,4),-0.597219 # DEPENDENCYPART_ARC
(9,6),-0.341016 # DEPENDENCYPART_ARC
(9,7),-0.251952 # DEPENDENCYPART_ARC
(9,8),-0.114454 # DEPENDENCYPART_ARC
(9,11),-0.765626 # DEPENDENCYPART_ARC
(9,12),-0.558458 # DEPENDENCYPART_ARC
(9,15),-0.653194 # DEPENDENCYPART_ARC
(9,16),-1.14239 # DEPENDENCYPART_ARC
(10,9),-0.563511 # DEPENDENCYPART_ARC
(11,1),-1.76121 # DEPENDENCYPART_ARC
(11,4),-2.01302 # DEPENDENCYPART_ARC
(11,5),-2.58173 # DEPENDENCYPART_ARC
(11,6),-2.48684 # DEPENDENCYPART_ARC
(11,7),-1.46193 # DEPENDENCYPART_ARC
(11,9),-1.41153 # DEPENDENCYPART_ARC
(11,10),0.22281 # DEPENDENCYPART_ARC
(11,12),0.593938 # DEPENDENCYPART_ARC
(11,13),-0.318685 # DEPENDENCYPART_ARC
(11,14),-0.967776 # DEPENDENCYPART_ARC
(11,15),-1.20904 # DEPENDENCYPART_ARC
(11,17),-1.52301 # DEPENDENCYPART_ARC
(12,1),-1.44821 # DEPENDENCYPART_ARC
(12,5),-3.36196 # DEPENDENCYPART_ARC
(12,7),-0.949335 # DEPENDENCYPART_ARC
(12,9),-1.45829 # DEPENDENCYPART_ARC
(12,10),-0.475449 # DEPENDENCYPART_ARC
(12,11),1.22745 # DEPENDENCYPART_ARC
(12,13),0.194046 # DEPENDENCYPART_ARC
(12,14),-2.61474 # DEPENDENCYPART_ARC
(12,15),-2.01595 # DEPENDENCYPART_ARC
(12,16),-3.35451 # DEPENDENCYPART_ARC
(12,17),-2.38256 # DEPENDENCYPART_ARC
(12,18),-1.40981 # DEPENDENCYPART_ARC
(13,11),-0.566954 # DEPENDENCYPART_ARC
(13,12),-0.566355 # DEPENDENCYPART_ARC
(13,14),1.44368 # DEPENDENCYPART_ARC
(13,15),0.333201 # DEPENDENCYPART_ARC
(15,1),-1.15106 # DEPENDENCYPART_ARC
(15,5),-3.10866 # DEPENDENCYPART_ARC
(15,7),-1.62178 # DEPENDENCYPART_ARC
(15,9),-1.85053 # DEPENDENCYPART_ARC
(15,11),-0.577684 # DEPENDENCYPART_ARC
(15,12),-2.0011 # DEPENDENCYPART_ARC
(15,13),0.577134 # DEPENDENCYPART_ARC
(15,14),0.470045 # DEPENDENCYPART_ARC
(15,16),-1.02062 # DEPENDENCYPART_ARC
(15,17),-0.378528 # DEPENDENCYPART_ARC
(15,18),-0.486379 # DEPENDENCYPART_ARC
(16,1),-0.238225 # DEPENDENCYPART_ARC
(16,2),0.117368 # DEPENDENCYPART_ARC
(16,3),-1.54082 # DEPENDENCYPART_ARC
(16,4),-1.04336 # DEPENDENCYPART_ARC
(16,5),-1.53932 # DEPENDENCYPART_ARC
(16,6),-1.2476 # DEPENDENCYPART_ARC
(16,7),-0.682522 # DEPENDENCYPART_ARC
(16,8),-0.745715 # DEPENDENCYPART_ARC
(16,9),-1.53007 # DEPENDENCYPART_ARC
(16,10),-1.04519 # DEPENDENCYPART_ARC
(16,11),0.233782 # DEPENDENCYPART_ARC
(16,12),1.14377 # DEPENDENCYPART_ARC
(16,13),0.447258 # DEPENDENCYPART_ARC
(16,14),-0.644524 # DEPENDENCYPART_ARC
(16,15),2.27168 # DEPENDENCYPART_ARC
(16,17),1.65458 # DEPENDENCYPART_ARC
(16,18),-0.272828 # DEPENDENCYPART_ARC
(17,13),-0.765815 # DEPENDENCYPART_ARC
(17,15),-0.662147 # DEPENDENCYPART_ARC
(17,18),1.84926 # DEPENDENCYPART_ARC
