# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,17,14,15,0,17,17,19,
(12,18),-2.56511 # DEPENDENCYPART_ARC
(12,20),-1.13175 # DEPENDENCYPART_ARC
(13,2),-1.47223 # DEPENDENCYPART_ARC
(13,3),-1.14491 # DEPENDENCYPART_ARC
(13,4),-1.97308 # DEPENDENCYPART_ARC
(13,5),-0.014771 # DEPENDENCYPART_ARC
(13,6),-0.809395 # DEPENDENCYPART_ARC
(13,7),-0.311891 # DEPENDENCYPART_ARC
(13,8),-1.02386 # DEPENDENCYPART_ARC
(13,9),-1.78574 # DEPENDENCYPART_ARC
(13,10),0.193566 # DEPENDENCYPART_ARC
(13,11),0.24589 # DEPENDENCYPART_ARC
(13,12),1.09093 # DEPENDENCYPART_ARC
(13,14),0.384884 # DEPENDENCYPART_ARC
(13,16),-1.36328 # DEPENDENCYPART_ARC
(13,17),-2.23651 # DEPENDENCYPART_ARC
(13,18),-2.91153 # DEPENDENCYPART_ARC
(13,19),-1.78566 # DEPENDENCYPART_ARC
(14,2),-0.554681 # DEPENDENCYPART_ARC
(14,3),0.0371855 # DEPENDENCYPART_ARC
(14,4),-2.89811 # DEPENDENCYPART_ARC
(14,5),-0.52882 # DEPENDENCYPART_ARC
(14,6),-0.0139175 # DEPENDENCYPART_ARC
(14,7),1.03866 # DEPENDENCYPART_ARC
(14,8),-0.324969 # DEPENDENCYPART_ARC
(14,10),0.932144 # DEPENDENCYPART_ARC
(14,11),1.26162 # DEPENDENCYPART_ARC
(14,12),0.88222 # DEPENDENCYPART_ARC
(14,13),2.71321 # DEPENDENCYPART_ARC
(14,15),1.96694 # DEPENDENCYPART_ARC
(14,17),-0.840405 # DEPENDENCYPART_ARC
(14,18),-1.13034 # DEPENDENCYPART_ARC
(15,12),-1.01189 # DEPENDENCYPART_ARC
(15,14),-0.482253 # DEPENDENCYPART_ARC
(15,16),1.77523 # DEPENDENCYPART_ARC
(15,17),-1.48446 # DEPENDENCYPART_ARC
(16,13),-0.321353 # DEPENDENCYPART_ARC
(16,14),-0.24568 # DEPENDENCYPART_ARC
(16,17),-0.81167 # DEPENDENCYPART_ARC
(17,2),0.121316 # DEPENDENCYPART_ARC
(17,3),-0.585739 # DEPENDENCYPART_ARC
(17,4),-1.62977 # DEPENDENCYPART_ARC
(17,5),0.168684 # DEPENDENCYPART_ARC
(17,6),-0.593708 # DEPENDENCYPART_ARC
(17,7),-0.311483 # DEPENDENCYPART_ARC
(17,8),-0.681672 # DEPENDENCYPART_ARC
(17,9),-1.13857 # DEPENDENCYPART_ARC
(17,10),-0.480648 # DEPENDENCYPART_ARC
(17,11),-0.0699427 # DEPENDENCYPART_ARC
(17,12),0.0408068 # DEPENDENCYPART_ARC
(17,13),0.341393 # DEPENDENCYPART_ARC
(17,14),-0.540787 # DEPENDENCYPART_ARC
(17,16),-0.234907 # DEPENDENCYPART_ARC
(17,18),2.10305 # DEPENDENCYPART_ARC
(17,19),2.18408 # DEPENDENCYPART_ARC
(18,13),-1.27591 # DEPENDENCYPART_ARC
(18,19),-1.27265 # DEPENDENCYPART_ARC
(19,17),-0.274208 # DEPENDENCYPART_ARC
(19,20),1.49341 # DEPENDENCYPART_ARC
