# _root_ burutzean , amoranteak , apalki eta elkarri begiratu gabe berezirik joango dira garbilekura .
#goldHeads=11,3,11,3,11,0,8,11,8,11,6,11,11,13,
#predictedHeads=3,1,6,3,6,0,8,11,8,11,6,11,11,13,
(8,5),-0.360709 # DEPENDENCYPART_ARC
(8,6),0.0950378 # DEPENDENCYPART_ARC
(8,7),1.52822 # DEPENDENCYPART_ARC
(8,9),1.52141 # DEPENDENCYPART_ARC
(8,10),0.466986 # DEPENDENCYPART_ARC
(8,11),0.215495 # DEPENDENCYPART_ARC
(8,12),0.289629 # DEPENDENCYPART_ARC
(8,13),0.517257 # DEPENDENCYPART_ARC
(9,6),-0.746831 # DEPENDENCYPART_ARC
(9,8),-0.355596 # DEPENDENCYPART_ARC
(9,10),-0.164096 # DEPENDENCYPART_ARC
(9,13),-0.989299 # DEPENDENCYPART_ARC
(10,3),-0.841813 # DEPENDENCYPART_ARC
(10,5),-0.755392 # DEPENDENCYPART_ARC
(10,8),-0.430041 # DEPENDENCYPART_ARC
(10,9),0.520458 # DEPENDENCYPART_ARC
(10,11),-0.567695 # DEPENDENCYPART_ARC
(10,13),-1.11476 # DEPENDENCYPART_ARC
(11,1),-0.238619 # DEPENDENCYPART_ARC
(11,2),-1.46458 # DEPENDENCYPART_ARC
(11,3),-0.292566 # DEPENDENCYPART_ARC
(11,4),-1.40562 # DEPENDENCYPART_ARC
(11,5),-0.567354 # DEPENDENCYPART_ARC
(11,6),0.0478975 # DEPENDENCYPART_ARC
(11,8),0.454967 # DEPENDENCYPART_ARC
(11,9),-0.414644 # DEPENDENCYPART_ARC
(11,10),0.874553 # DEPENDENCYPART_ARC
(11,12),1.67146 # DEPENDENCYPART_ARC
(11,13),1.73329 # DEPENDENCYPART_ARC
(12,10),-0.795843 # DEPENDENCYPART_ARC
(12,11),-0.481837 # DEPENDENCYPART_ARC
(12,13),-0.396829 # DEPENDENCYPART_ARC
(13,1),-2.65369 # DEPENDENCYPART_ARC
(13,3),-3.88938 # DEPENDENCYPART_ARC
(13,5),-1.55275 # DEPENDENCYPART_ARC
(13,6),-1.27622 # DEPENDENCYPART_ARC
(13,8),-1.13043 # DEPENDENCYPART_ARC
(13,9),-1.38653 # DEPENDENCYPART_ARC
(13,10),-2.2336 # DEPENDENCYPART_ARC
(13,11),-0.362462 # DEPENDENCYPART_ARC
(13,12),-1.97279 # DEPENDENCYPART_ARC
(13,14),1.55779 # DEPENDENCYPART_ARC
