# _root_ bere iritziz , egungo egoera gainditzeko , sindikatu abertzaleak " gakoetako bat " izan daitezke .
#goldHeads=2,14,2,5,6,14,6,14,8,9,12,14,12,0,14,15,
#predictedHeads=2,14,2,5,6,14,6,14,8,9,14,8,12,0,14,15,
(11,8),0.0104522 # DEPENDENCYPART_ARC
(11,9),-1.41637 # DEPENDENCYPART_ARC
(11,10),-0.496818 # DEPENDENCYPART_ARC
(11,12),0.417989 # DEPENDENCYPART_ARC
(11,15),-2.5558 # DEPENDENCYPART_ARC
(11,16),-1.64605 # DEPENDENCYPART_ARC
(12,8),-1.4 # DEPENDENCYPART_ARC
(12,11),0.441379 # DEPENDENCYPART_ARC
(12,13),1.45483 # DEPENDENCYPART_ARC
(13,8),-1.09481 # DEPENDENCYPART_ARC
(13,14),-0.713119 # DEPENDENCYPART_ARC
(13,15),-0.279518 # DEPENDENCYPART_ARC
(14,1),-1.31038 # DEPENDENCYPART_ARC
(14,2),1.04519 # DEPENDENCYPART_ARC
(14,3),-0.671081 # DEPENDENCYPART_ARC
(14,4),0.1093 # DEPENDENCYPART_ARC
(14,5),-0.562812 # DEPENDENCYPART_ARC
(14,6),-0.173798 # DEPENDENCYPART_ARC
(14,7),-0.696634 # DEPENDENCYPART_ARC
(14,8),0.340337 # DEPENDENCYPART_ARC
(14,9),0.153825 # DEPENDENCYPART_ARC
(14,11),1.11293 # DEPENDENCYPART_ARC
(14,12),-0.0427743 # DEPENDENCYPART_ARC
(14,15),1.40866 # DEPENDENCYPART_ARC
(14,16),-0.421629 # DEPENDENCYPART_ARC
(15,2),-0.704396 # DEPENDENCYPART_ARC
(15,11),-1.02321 # DEPENDENCYPART_ARC
(15,16),1.45879 # DEPENDENCYPART_ARC
