# _root_ bestalde , iñaki_sanchez preso ohia basaurin espetxeratu zuten atzo , ezarritako zigorra osorik bete dezan .
#goldHeads=0,3,4,7,4,7,0,7,7,9,12,14,14,7,14,15,
#predictedHeads=0,3,4,6,4,7,0,7,7,9,12,14,14,7,14,15,
(7,13),-0.616021 # DEPENDENCYPART_ARC
(7,14),-0.092009 # DEPENDENCYPART_ARC
(7,15),-0.389511 # DEPENDENCYPART_ARC
(8,3),-1.96589 # DEPENDENCYPART_ARC
(8,6),-1.73925 # DEPENDENCYPART_ARC
(8,9),-0.668188 # DEPENDENCYPART_ARC
(8,11),-2.2748 # DEPENDENCYPART_ARC
(8,13),-1.5768 # DEPENDENCYPART_ARC
(8,15),-1.61269 # DEPENDENCYPART_ARC
(9,1),-0.801683 # DEPENDENCYPART_ARC
(9,4),-1.2353 # DEPENDENCYPART_ARC
(9,7),-0.773234 # DEPENDENCYPART_ARC
(9,10),1.19342 # DEPENDENCYPART_ARC
(9,12),-0.87195 # DEPENDENCYPART_ARC
(9,13),-0.833518 # DEPENDENCYPART_ARC
(10,3),-0.867102 # DEPENDENCYPART_ARC
(10,7),-0.719244 # DEPENDENCYPART_ARC
(10,8),-1.11393 # DEPENDENCYPART_ARC
(10,11),-0.432662 # DEPENDENCYPART_ARC
(10,12),-1.33725 # DEPENDENCYPART_ARC
(10,14),-1.07873 # DEPENDENCYPART_ARC
(11,1),-0.899732 # DEPENDENCYPART_ARC
(11,2),-2.18605 # DEPENDENCYPART_ARC
(11,3),-1.18402 # DEPENDENCYPART_ARC
(11,4),-1.36065 # DEPENDENCYPART_ARC
(11,5),-1.31605 # DEPENDENCYPART_ARC
(11,6),-0.408729 # DEPENDENCYPART_ARC
(11,7),-1.00184 # DEPENDENCYPART_ARC
(11,8),-1.54454 # DEPENDENCYPART_ARC
(11,9),-0.663323 # DEPENDENCYPART_ARC
(11,10),-0.633065 # DEPENDENCYPART_ARC
(11,12),-1.25585 # DEPENDENCYPART_ARC
(11,13),-0.891557 # DEPENDENCYPART_ARC
(11,14),-0.941516 # DEPENDENCYPART_ARC
(11,15),-1.02096 # DEPENDENCYPART_ARC
(12,4),-1.04107 # DEPENDENCYPART_ARC
(12,5),-2.567 # DEPENDENCYPART_ARC
(12,6),-2.72623 # DEPENDENCYPART_ARC
(12,7),-1.22558 # DEPENDENCYPART_ARC
(12,9),-0.939847 # DEPENDENCYPART_ARC
(12,10),-0.738559 # DEPENDENCYPART_ARC
(12,11),2.54325 # DEPENDENCYPART_ARC
(12,13),-0.246499 # DEPENDENCYPART_ARC
(12,14),-1.29318 # DEPENDENCYPART_ARC
(12,15),-2.14005 # DEPENDENCYPART_ARC
(12,16),-1.27776 # DEPENDENCYPART_ARC
(13,1),-0.821319 # DEPENDENCYPART_ARC
(13,11),-0.659229 # DEPENDENCYPART_ARC
(13,12),-0.164111 # DEPENDENCYPART_ARC
(13,14),-0.463032 # DEPENDENCYPART_ARC
(14,1),-0.606183 # DEPENDENCYPART_ARC
(14,2),-1.94802 # DEPENDENCYPART_ARC
(14,3),-1.38294 # DEPENDENCYPART_ARC
(14,4),-0.712768 # DEPENDENCYPART_ARC
(14,5),-0.639885 # DEPENDENCYPART_ARC
(14,6),-0.901738 # DEPENDENCYPART_ARC
(14,7),-0.516288 # DEPENDENCYPART_ARC
(14,8),-1.03963 # DEPENDENCYPART_ARC
(14,9),-0.3019 # DEPENDENCYPART_ARC
(14,10),-1.24584 # DEPENDENCYPART_ARC
(14,11),-0.0541627 # DEPENDENCYPART_ARC
(14,12),1.65706 # DEPENDENCYPART_ARC
(14,13),0.989268 # DEPENDENCYPART_ARC
(14,15),2.11458 # DEPENDENCYPART_ARC
(14,16),-0.437356 # DEPENDENCYPART_ARC
(15,3),-1.91679 # DEPENDENCYPART_ARC
(15,11),-1.45866 # DEPENDENCYPART_ARC
(15,12),-0.848002 # DEPENDENCYPART_ARC
(15,13),-0.721009 # DEPENDENCYPART_ARC
(15,16),1.70734 # DEPENDENCYPART_ARC
