# _root_ umeak ginen artean , eta gauzak betirako zirela uste_genuen , eta ziur nengoen gure konplizitatea ez zuela ezerk zirdinduko .
#goldHeads=2,5,2,3,0,8,8,9,5,9,0,13,5,15,19,19,19,19,13,19,
#predictedHeads=2,5,2,3,0,8,8,9,11,9,0,13,11,15,19,19,19,19,13,19,
(3,11),-0.561704 # DEPENDENCYPART_ARC
(4,2),-0.774871 # DEPENDENCYPART_ARC
(5,1),-0.0941463 # DEPENDENCYPART_ARC
(5,2),0.656834 # DEPENDENCYPART_ARC
(5,3),-0.230517 # DEPENDENCYPART_ARC
(5,4),-0.473596 # DEPENDENCYPART_ARC
(5,6),0.887493 # DEPENDENCYPART_ARC
(5,7),-0.593013 # DEPENDENCYPART_ARC
(5,8),0.835352 # DEPENDENCYPART_ARC
(5,9),1.17121 # DEPENDENCYPART_ARC
(5,10),-0.82842 # DEPENDENCYPART_ARC
(5,11),-0.682276 # DEPENDENCYPART_ARC
(5,13),0.227239 # DEPENDENCYPART_ARC
(5,19),-0.305493 # DEPENDENCYPART_ARC
(6,4),-1.92595 # DEPENDENCYPART_ARC
(6,5),-0.927834 # DEPENDENCYPART_ARC
(6,7),-0.126087 # DEPENDENCYPART_ARC
(6,8),-1.55867 # DEPENDENCYPART_ARC
(6,9),-2.21148 # DEPENDENCYPART_ARC
(6,12),-2.55682 # DEPENDENCYPART_ARC
(7,5),-0.559165 # DEPENDENCYPART_ARC
(7,6),0.0262524 # DEPENDENCYPART_ARC
(7,8),0.378044 # DEPENDENCYPART_ARC
(7,10),-0.151529 # DEPENDENCYPART_ARC
(8,1),0.384981 # DEPENDENCYPART_ARC
(8,2),-1.09254 # DEPENDENCYPART_ARC
(8,3),-0.173657 # DEPENDENCYPART_ARC
(8,4),-1.12481 # DEPENDENCYPART_ARC
(8,5),-0.089691 # DEPENDENCYPART_ARC
(8,6),2.76781 # DEPENDENCYPART_ARC
(8,7),1.21518 # DEPENDENCYPART_ARC
(8,9),-0.941473 # DEPENDENCYPART_ARC
(8,10),-0.304004 # DEPENDENCYPART_ARC
(8,11),-0.0497341 # DEPENDENCYPART_ARC
(8,12),-0.541649 # DEPENDENCYPART_ARC
(8,13),-1.61477 # DEPENDENCYPART_ARC
(8,15),-0.521881 # DEPENDENCYPART_ARC
(8,17),-1.09737 # DEPENDENCYPART_ARC
(8,19),-1.77418 # DEPENDENCYPART_ARC
(9,1),0.0157636 # DEPENDENCYPART_ARC
(9,2),-0.585269 # DEPENDENCYPART_ARC
(9,3),-0.323533 # DEPENDENCYPART_ARC
(9,5),-0.277187 # DEPENDENCYPART_ARC
(9,6),0.722366 # DEPENDENCYPART_ARC
(9,7),0.490161 # DEPENDENCYPART_ARC
(9,8),3.26463 # DEPENDENCYPART_ARC
(9,10),1.71283 # DEPENDENCYPART_ARC
(9,11),-0.193325 # DEPENDENCYPART_ARC
(9,12),0.0249823 # DEPENDENCYPART_ARC
(9,13),-0.838906 # DEPENDENCYPART_ARC
(9,15),-1.8486 # DEPENDENCYPART_ARC
(9,16),-1.16963 # DEPENDENCYPART_ARC
(9,17),-0.708106 # DEPENDENCYPART_ARC
(9,19),0.184383 # DEPENDENCYPART_ARC
(10,2),-0.976287 # DEPENDENCYPART_ARC
(10,8),-0.602755 # DEPENDENCYPART_ARC
(10,9),-0.196875 # DEPENDENCYPART_ARC
(10,12),-1.05551 # DEPENDENCYPART_ARC
(10,13),-0.466458 # DEPENDENCYPART_ARC
(11,1),-1.57571 # DEPENDENCYPART_ARC
(11,2),-0.227709 # DEPENDENCYPART_ARC
(11,3),-0.573256 # DEPENDENCYPART_ARC
(11,5),-0.328898 # DEPENDENCYPART_ARC
(11,6),-0.921825 # DEPENDENCYPART_ARC
(11,7),-0.495582 # DEPENDENCYPART_ARC
(11,8),0.802315 # DEPENDENCYPART_ARC
(11,9),1.21519 # DEPENDENCYPART_ARC
(11,10),-0.284537 # DEPENDENCYPART_ARC
(11,12),1.0392 # DEPENDENCYPART_ARC
(11,13),0.719364 # DEPENDENCYPART_ARC
(11,15),-0.170453 # DEPENDENCYPART_ARC
(11,19),0.234994 # DEPENDENCYPART_ARC
(12,11),-0.68698 # DEPENDENCYPART_ARC
(12,13),0.647971 # DEPENDENCYPART_ARC
(12,19),-1.29093 # DEPENDENCYPART_ARC
(13,1),-0.805701 # DEPENDENCYPART_ARC
(13,2),-0.598444 # DEPENDENCYPART_ARC
(13,3),-0.292452 # DEPENDENCYPART_ARC
(13,4),-1.15793 # DEPENDENCYPART_ARC
(13,5),-0.382029 # DEPENDENCYPART_ARC
(13,6),-0.0252157 # DEPENDENCYPART_ARC
(13,7),-0.183933 # DEPENDENCYPART_ARC
(13,8),0.213539 # DEPENDENCYPART_ARC
(13,9),-0.831674 # DEPENDENCYPART_ARC
(13,10),-0.482558 # DEPENDENCYPART_ARC
(13,11),0.26829 # DEPENDENCYPART_ARC
(13,12),1.76039 # DEPENDENCYPART_ARC
(13,14),0.277845 # DEPENDENCYPART_ARC
(13,15),0.634963 # DEPENDENCYPART_ARC
(13,16),-0.187395 # DEPENDENCYPART_ARC
(13,17),-0.282232 # DEPENDENCYPART_ARC
(13,19),0.528236 # DEPENDENCYPART_ARC
(14,15),-0.271987 # DEPENDENCYPART_ARC
(15,1),-2.86829 # DEPENDENCYPART_ARC
(15,3),-1.10808 # DEPENDENCYPART_ARC
(15,6),-2.16895 # DEPENDENCYPART_ARC
(15,9),-1.3388 # DEPENDENCYPART_ARC
(15,10),-1.49654 # DEPENDENCYPART_ARC
(15,11),-1.09845 # DEPENDENCYPART_ARC
(15,12),-1.16378 # DEPENDENCYPART_ARC
(15,13),-0.311267 # DEPENDENCYPART_ARC
(15,14),1.73125 # DEPENDENCYPART_ARC
(15,16),-0.933359 # DEPENDENCYPART_ARC
(15,17),-1.47747 # DEPENDENCYPART_ARC
(15,19),-1.86917 # DEPENDENCYPART_ARC
(15,20),-1.38667 # DEPENDENCYPART_ARC
(16,15),-0.55821 # DEPENDENCYPART_ARC
(17,14),-0.738348 # DEPENDENCYPART_ARC
(17,15),-0.779932 # DEPENDENCYPART_ARC
(17,16),-0.785916 # DEPENDENCYPART_ARC
(17,19),-1.28162 # DEPENDENCYPART_ARC
(18,15),-0.358588 # DEPENDENCYPART_ARC
(18,16),0.0435091 # DEPENDENCYPART_ARC
(19,1),-0.952053 # DEPENDENCYPART_ARC
(19,2),-1.49649 # DEPENDENCYPART_ARC
(19,3),-1.02447 # DEPENDENCYPART_ARC
(19,4),-0.945549 # DEPENDENCYPART_ARC
(19,5),-0.891629 # DEPENDENCYPART_ARC
(19,6),-0.0496544 # DEPENDENCYPART_ARC
(19,7),-0.824014 # DEPENDENCYPART_ARC
(19,8),-0.694988 # DEPENDENCYPART_ARC
(19,9),-1.59954 # DEPENDENCYPART_ARC
(19,10),-1.02181 # DEPENDENCYPART_ARC
(19,11),-0.600782 # DEPENDENCYPART_ARC
(19,12),-0.38744 # DEPENDENCYPART_ARC
(19,13),-1.32698 # DEPENDENCYPART_ARC
(19,14),-0.866379 # DEPENDENCYPART_ARC
(19,15),1.1585 # DEPENDENCYPART_ARC
(19,16),1.71676 # DEPENDENCYPART_ARC
(19,17),0.938693 # DEPENDENCYPART_ARC
(19,18),2.4335 # DEPENDENCYPART_ARC
(19,20),1.93094 # DEPENDENCYPART_ARC
