# _root_ azkenik , lizarra-garaziko_akordioaren bilera eskatu duela iragarri zuen , ehren jarrera zein den jakin asmoz .
#goldHeads=0,3,4,5,7,5,0,7,8,11,13,13,14,7,14,15,
#predictedHeads=5,3,4,5,7,5,0,7,8,11,13,13,14,15,7,15,
(8,5),-2.55929 # DEPENDENCYPART_ARC
(8,9),1.22045 # DEPENDENCYPART_ARC
(8,10),-2.0751 # DEPENDENCYPART_ARC
(8,11),-1.63724 # DEPENDENCYPART_ARC
(8,13),-1.34621 # DEPENDENCYPART_ARC
(8,14),-1.79228 # DEPENDENCYPART_ARC
(9,5),-0.467882 # DEPENDENCYPART_ARC
(9,6),-0.625264 # DEPENDENCYPART_ARC
(9,7),-0.0372766 # DEPENDENCYPART_ARC
(9,8),0.0262355 # DEPENDENCYPART_ARC
(9,11),-1.37904 # DEPENDENCYPART_ARC
(9,13),-0.674598 # DEPENDENCYPART_ARC
(9,14),-0.927604 # DEPENDENCYPART_ARC
(9,15),-1.20186 # DEPENDENCYPART_ARC
(10,2),-1.76239 # DEPENDENCYPART_ARC
(10,7),-2.60795 # DEPENDENCYPART_ARC
(10,9),-0.647619 # DEPENDENCYPART_ARC
(10,11),-1.77649 # DEPENDENCYPART_ARC
(10,15),-2.39796 # DEPENDENCYPART_ARC
(11,1),-1.15552 # DEPENDENCYPART_ARC
(11,3),-0.203203 # DEPENDENCYPART_ARC
(11,4),-3.13271 # DEPENDENCYPART_ARC
(11,5),-0.948912 # DEPENDENCYPART_ARC
(11,7),-0.755481 # DEPENDENCYPART_ARC
(11,9),-1.05178 # DEPENDENCYPART_ARC
(11,10),1.79365 # DEPENDENCYPART_ARC
(11,12),-0.564885 # DEPENDENCYPART_ARC
(11,13),-1.42226 # DEPENDENCYPART_ARC
(11,14),-1.64679 # DEPENDENCYPART_ARC
(11,15),-1.8944 # DEPENDENCYPART_ARC
(11,16),-1.09673 # DEPENDENCYPART_ARC
(12,11),-0.0576266 # DEPENDENCYPART_ARC
(12,13),0.432138 # DEPENDENCYPART_ARC
(13,1),-0.970185 # DEPENDENCYPART_ARC
(13,3),-2.69616 # DEPENDENCYPART_ARC
(13,4),-1.40835 # DEPENDENCYPART_ARC
(13,5),-1.5899 # DEPENDENCYPART_ARC
(13,7),-1.48284 # DEPENDENCYPART_ARC
(13,9),-1.0516 # DEPENDENCYPART_ARC
(13,10),-0.0116801 # DEPENDENCYPART_ARC
(13,11),1.83816 # DEPENDENCYPART_ARC
(13,12),0.703201 # DEPENDENCYPART_ARC
(13,14),0.140754 # DEPENDENCYPART_ARC
(13,15),1.08155 # DEPENDENCYPART_ARC
(14,1),-0.742417 # DEPENDENCYPART_ARC
(14,2),-1.61024 # DEPENDENCYPART_ARC
(14,3),-1.44367 # DEPENDENCYPART_ARC
(14,4),-0.820213 # DEPENDENCYPART_ARC
(14,5),-1.12361 # DEPENDENCYPART_ARC
(14,6),-1.03258 # DEPENDENCYPART_ARC
(14,7),-0.699849 # DEPENDENCYPART_ARC
(14,8),-1.00429 # DEPENDENCYPART_ARC
(14,9),-1.34496 # DEPENDENCYPART_ARC
(14,10),0.527866 # DEPENDENCYPART_ARC
(14,11),0.933474 # DEPENDENCYPART_ARC
(14,12),-0.619085 # DEPENDENCYPART_ARC
(14,13),1.55145 # DEPENDENCYPART_ARC
(14,15),1.34122 # DEPENDENCYPART_ARC
(14,16),-0.0715368 # DEPENDENCYPART_ARC
(15,1),-1.55203 # DEPENDENCYPART_ARC
(15,3),-1.72013 # DEPENDENCYPART_ARC
(15,5),-2.39559 # DEPENDENCYPART_ARC
(15,7),-2.22383 # DEPENDENCYPART_ARC
(15,9),-1.88471 # DEPENDENCYPART_ARC
(15,10),-1.24846 # DEPENDENCYPART_ARC
(15,11),-2.72079 # DEPENDENCYPART_ARC
(15,12),-0.979789 # DEPENDENCYPART_ARC
(15,13),-1.20789 # DEPENDENCYPART_ARC
(15,14),0.696751 # DEPENDENCYPART_ARC
(15,16),1.92068 # DEPENDENCYPART_ARC
(16,14),-0.784626 # DEPENDENCYPART_ARC
