# _root_ haren iritziz , irtenbide onena " hemengo jendea lortzea da " ; eta hori erdietsi ezean , kanpotik ekartzeko aukera ez du baztertzen .
#goldHeads=10,1,2,10,4,5,8,9,10,13,10,11,0,15,23,15,16,19,20,23,23,23,13,23,
#predictedHeads=2,10,2,10,4,5,8,9,10,13,10,11,0,15,13,15,16,19,20,23,23,23,15,23,
(7,6),-0.435591 # DEPENDENCYPART_ARC
(7,8),-0.489477 # DEPENDENCYPART_ARC
(8,1),-2.15575 # DEPENDENCYPART_ARC
(8,3),-2.00767 # DEPENDENCYPART_ARC
(8,4),-0.855128 # DEPENDENCYPART_ARC
(8,5),-1.20444 # DEPENDENCYPART_ARC
(8,7),0.344011 # DEPENDENCYPART_ARC
(8,9),-0.302299 # DEPENDENCYPART_ARC
(8,13),-1.01253 # DEPENDENCYPART_ARC
(9,1),-2.20334 # DEPENDENCYPART_ARC
(9,2),-0.842399 # DEPENDENCYPART_ARC
(9,3),-1.71304 # DEPENDENCYPART_ARC
(9,4),-0.0106288 # DEPENDENCYPART_ARC
(9,5),-1.03603 # DEPENDENCYPART_ARC
(9,7),-0.631403 # DEPENDENCYPART_ARC
(9,8),2.07986 # DEPENDENCYPART_ARC
(9,10),-0.418731 # DEPENDENCYPART_ARC
(9,13),-0.522425 # DEPENDENCYPART_ARC
(9,16),-0.638393 # DEPENDENCYPART_ARC
(9,17),-1.02292 # DEPENDENCYPART_ARC
(9,19),-1.70562 # DEPENDENCYPART_ARC
(9,22),-2.93816 # DEPENDENCYPART_ARC
(9,23),-2.44496 # DEPENDENCYPART_ARC
(10,1),-0.997667 # DEPENDENCYPART_ARC
(10,2),0.471171 # DEPENDENCYPART_ARC
(10,3),-1.30951 # DEPENDENCYPART_ARC
(10,4),0.377696 # DEPENDENCYPART_ARC
(10,5),-0.21393 # DEPENDENCYPART_ARC
(10,7),-0.0481452 # DEPENDENCYPART_ARC
(10,8),0.999176 # DEPENDENCYPART_ARC
(10,9),1.5248 # DEPENDENCYPART_ARC
(10,11),1.60665 # DEPENDENCYPART_ARC
(10,13),0.00122669 # DEPENDENCYPART_ARC
(10,15),-0.5442 # DEPENDENCYPART_ARC
(10,16),-0.328733 # DEPENDENCYPART_ARC
(10,18),-1.36144 # DEPENDENCYPART_ARC
(10,19),-1.41995 # DEPENDENCYPART_ARC
(10,20),-0.64343 # DEPENDENCYPART_ARC
(10,22),-0.769192 # DEPENDENCYPART_ARC
(10,23),-1.58641 # DEPENDENCYPART_ARC
(11,10),-0.282298 # DEPENDENCYPART_ARC
(11,12),1.01871 # DEPENDENCYPART_ARC
(11,23),-1.49014 # DEPENDENCYPART_ARC
(12,9),-0.595898 # DEPENDENCYPART_ARC
(12,10),0.0150921 # DEPENDENCYPART_ARC
(12,23),-0.725781 # DEPENDENCYPART_ARC
(13,1),-1.21249 # DEPENDENCYPART_ARC
(13,2),-1.13219 # DEPENDENCYPART_ARC
(13,4),-0.959827 # DEPENDENCYPART_ARC
(13,7),-0.851767 # DEPENDENCYPART_ARC
(13,8),-0.767871 # DEPENDENCYPART_ARC
(13,9),-0.373584 # DEPENDENCYPART_ARC
(13,10),1.36141 # DEPENDENCYPART_ARC
(13,14),-1.06669 # DEPENDENCYPART_ARC
(13,15),0.0373742 # DEPENDENCYPART_ARC
(13,16),-0.0615925 # DEPENDENCYPART_ARC
(13,17),-0.622111 # DEPENDENCYPART_ARC
(13,18),-0.997519 # DEPENDENCYPART_ARC
(13,19),-0.490766 # DEPENDENCYPART_ARC
(13,20),-1.00041 # DEPENDENCYPART_ARC
(13,23),-0.268594 # DEPENDENCYPART_ARC
(14,13),-0.888618 # DEPENDENCYPART_ARC
(14,15),-0.632303 # DEPENDENCYPART_ARC
(14,16),-1.76971 # DEPENDENCYPART_ARC
(15,1),-2.19487 # DEPENDENCYPART_ARC
(15,2),-0.673424 # DEPENDENCYPART_ARC
(15,3),-1.20635 # DEPENDENCYPART_ARC
(15,4),-0.265102 # DEPENDENCYPART_ARC
(15,5),-0.959662 # DEPENDENCYPART_ARC
(15,7),-1.09547 # DEPENDENCYPART_ARC
(15,8),0.178173 # DEPENDENCYPART_ARC
(15,9),-0.615677 # DEPENDENCYPART_ARC
(15,10),-0.378732 # DEPENDENCYPART_ARC
(15,13),0.0254185 # DEPENDENCYPART_ARC
(15,14),1.16469 # DEPENDENCYPART_ARC
(15,16),2.0059 # DEPENDENCYPART_ARC
(15,17),-0.00858496 # DEPENDENCYPART_ARC
(15,18),-0.132683 # DEPENDENCYPART_ARC
(15,19),-0.403028 # DEPENDENCYPART_ARC
(15,20),-0.410485 # DEPENDENCYPART_ARC
(15,21),-0.304141 # DEPENDENCYPART_ARC
(15,22),-0.440729 # DEPENDENCYPART_ARC
(15,23),-0.158386 # DEPENDENCYPART_ARC
(16,5),-2.74364 # DEPENDENCYPART_ARC
(16,9),-2.88639 # DEPENDENCYPART_ARC
(16,10),-3.7948 # DEPENDENCYPART_ARC
(16,13),-0.423151 # DEPENDENCYPART_ARC
(16,14),-2.6983 # DEPENDENCYPART_ARC
(16,15),0.968133 # DEPENDENCYPART_ARC
(16,17),1.19716 # DEPENDENCYPART_ARC
(16,18),-1.3912 # DEPENDENCYPART_ARC
(16,19),-1.45094 # DEPENDENCYPART_ARC
(16,20),-1.80423 # DEPENDENCYPART_ARC
(16,22),-2.18463 # DEPENDENCYPART_ARC
(16,23),-1.10375 # DEPENDENCYPART_ARC
(16,24),-0.780452 # DEPENDENCYPART_ARC
(17,10),-0.540435 # DEPENDENCYPART_ARC
(17,15),-0.196388 # DEPENDENCYPART_ARC
(17,18),-0.241347 # DEPENDENCYPART_ARC
(18,14),-3.85628 # DEPENDENCYPART_ARC
(18,15),-1.38321 # DEPENDENCYPART_ARC
(18,16),-2.30058 # DEPENDENCYPART_ARC
(18,17),-0.325583 # DEPENDENCYPART_ARC
(18,19),-0.783556 # DEPENDENCYPART_ARC
(18,20),-1.57007 # DEPENDENCYPART_ARC
(18,21),-2.17534 # DEPENDENCYPART_ARC
(18,22),-2.45815 # DEPENDENCYPART_ARC
(18,24),-1.3559 # DEPENDENCYPART_ARC
(19,3),-1.66988 # DEPENDENCYPART_ARC
(19,5),-1.87294 # DEPENDENCYPART_ARC
(19,7),-2.00789 # DEPENDENCYPART_ARC
(19,8),-1.15339 # DEPENDENCYPART_ARC
(19,9),-1.3397 # DEPENDENCYPART_ARC
(19,10),-1.48042 # DEPENDENCYPART_ARC
(19,13),-0.825084 # DEPENDENCYPART_ARC
(19,14),-0.974718 # DEPENDENCYPART_ARC
(19,15),-0.599526 # DEPENDENCYPART_ARC
(19,16),-0.0489194 # DEPENDENCYPART_ARC
(19,17),-1.46733 # DEPENDENCYPART_ARC
(19,18),2.41308 # DEPENDENCYPART_ARC
(19,20),-1.39978 # DEPENDENCYPART_ARC
(19,21),-0.892898 # DEPENDENCYPART_ARC
(19,22),-2.05676 # DEPENDENCYPART_ARC
(19,23),-1.92488 # DEPENDENCYPART_ARC
(20,14),-3.71314 # DEPENDENCYPART_ARC
(20,15),-0.430634 # DEPENDENCYPART_ARC
(20,16),-2.65517 # DEPENDENCYPART_ARC
(20,17),-0.94182 # DEPENDENCYPART_ARC
(20,18),-0.872334 # DEPENDENCYPART_ARC
(20,19),2.57554 # DEPENDENCYPART_ARC
(20,21),-1.15256 # DEPENDENCYPART_ARC
(20,22),-1.15506 # DEPENDENCYPART_ARC
(20,24),-1.25532 # DEPENDENCYPART_ARC
(21,18),-1.54386 # DEPENDENCYPART_ARC
(21,20),-0.772059 # DEPENDENCYPART_ARC
(22,19),-1.05414 # DEPENDENCYPART_ARC
(22,20),-1.00212 # DEPENDENCYPART_ARC
(22,21),-0.556603 # DEPENDENCYPART_ARC
(22,23),-0.929138 # DEPENDENCYPART_ARC
(23,2),-0.987974 # DEPENDENCYPART_ARC
(23,7),-1.50408 # DEPENDENCYPART_ARC
(23,8),-0.643211 # DEPENDENCYPART_ARC
(23,9),-0.672931 # DEPENDENCYPART_ARC
(23,10),-1.03967 # DEPENDENCYPART_ARC
(23,13),-0.481016 # DEPENDENCYPART_ARC
(23,14),-0.619064 # DEPENDENCYPART_ARC
(23,15),-0.609855 # DEPENDENCYPART_ARC
(23,16),-0.00665993 # DEPENDENCYPART_ARC
(23,17),-1.28961 # DEPENDENCYPART_ARC
(23,18),0.818008 # DEPENDENCYPART_ARC
(23,19),0.109649 # DEPENDENCYPART_ARC
(23,20),1.4909 # DEPENDENCYPART_ARC
(23,21),1.50374 # DEPENDENCYPART_ARC
(23,22),1.21538 # DEPENDENCYPART_ARC
(23,24),2.08456 # DEPENDENCYPART_ARC
