# _root_ irakaskuntza esparruan hezkuntza sistema propioa eduki beharra azpimarratzen da , eta kultura arloa naziotasuna , euskaltasuna eta herritasunaren_gainean oinarritzeko proposatzen da .
#goldHeads=2,8,4,6,4,8,6,11,8,9,0,13,19,17,14,17,0,17,20,11,20,21,
#predictedHeads=2,6,4,6,4,7,8,11,8,9,0,13,19,17,14,17,19,17,20,11,20,21,
(6,5),0.840674 # DEPENDENCYPART_ARC
(6,7),1.00441 # DEPENDENCYPART_ARC
(6,8),-0.140322 # DEPENDENCYPART_ARC
(6,9),-0.0219306 # DEPENDENCYPART_ARC
(6,10),-0.710902 # DEPENDENCYPART_ARC
(6,11),-0.41315 # DEPENDENCYPART_ARC
(6,14),-0.475746 # DEPENDENCYPART_ARC
(6,15),-0.698337 # DEPENDENCYPART_ARC
(6,17),-0.697172 # DEPENDENCYPART_ARC
(6,19),-1.19896 # DEPENDENCYPART_ARC
(6,20),-1.38552 # DEPENDENCYPART_ARC
(6,21),-0.983481 # DEPENDENCYPART_ARC
(7,2),-2.68517 # DEPENDENCYPART_ARC
(7,3),-0.543398 # DEPENDENCYPART_ARC
(7,4),-0.0758964 # DEPENDENCYPART_ARC
(7,5),-1.24744 # DEPENDENCYPART_ARC
(7,6),1.69977 # DEPENDENCYPART_ARC
(7,8),-0.409448 # DEPENDENCYPART_ARC
(7,9),-0.960477 # DEPENDENCYPART_ARC
(7,10),-0.74688 # DEPENDENCYPART_ARC
(7,12),-1.53847 # DEPENDENCYPART_ARC
(8,1),-0.0736025 # DEPENDENCYPART_ARC
(8,2),0.284281 # DEPENDENCYPART_ARC
(8,3),-0.246878 # DEPENDENCYPART_ARC
(8,4),0.013326 # DEPENDENCYPART_ARC
(8,5),-0.686882 # DEPENDENCYPART_ARC
(8,6),0.446574 # DEPENDENCYPART_ARC
(8,7),1.81416 # DEPENDENCYPART_ARC
(8,9),1.65234 # DEPENDENCYPART_ARC
(8,10),-0.4195 # DEPENDENCYPART_ARC
(8,11),-0.371937 # DEPENDENCYPART_ARC
(8,12),-1.23277 # DEPENDENCYPART_ARC
(8,13),-0.531079 # DEPENDENCYPART_ARC
(8,14),-0.195112 # DEPENDENCYPART_ARC
(8,15),-0.825827 # DEPENDENCYPART_ARC
(8,16),-1.06069 # DEPENDENCYPART_ARC
(8,17),-0.84676 # DEPENDENCYPART_ARC
(8,18),-1.56307 # DEPENDENCYPART_ARC
(8,19),-0.88411 # DEPENDENCYPART_ARC
(8,20),-1.02475 # DEPENDENCYPART_ARC
(8,21),-1.20176 # DEPENDENCYPART_ARC
(9,7),-0.833629 # DEPENDENCYPART_ARC
(9,10),1.39649 # DEPENDENCYPART_ARC
(9,17),-1.33023 # DEPENDENCYPART_ARC
(9,20),-2.21789 # DEPENDENCYPART_ARC
(10,6),-0.777425 # DEPENDENCYPART_ARC
(10,8),-0.624018 # DEPENDENCYPART_ARC
(10,9),-0.50033 # DEPENDENCYPART_ARC
(10,11),-0.731339 # DEPENDENCYPART_ARC
(10,20),-1.52282 # DEPENDENCYPART_ARC
(11,1),-1.05384 # DEPENDENCYPART_ARC
(11,4),-0.92688 # DEPENDENCYPART_ARC
(11,6),0.0551412 # DEPENDENCYPART_ARC
(11,7),-0.387009 # DEPENDENCYPART_ARC
(11,8),1.11193 # DEPENDENCYPART_ARC
(11,9),-0.573398 # DEPENDENCYPART_ARC
(11,10),-0.595208 # DEPENDENCYPART_ARC
(11,12),-0.11812 # DEPENDENCYPART_ARC
(11,13),-0.181216 # DEPENDENCYPART_ARC
(11,14),0.130538 # DEPENDENCYPART_ARC
(11,15),-0.792389 # DEPENDENCYPART_ARC
(11,16),-0.848289 # DEPENDENCYPART_ARC
(11,17),-1.11863 # DEPENDENCYPART_ARC
(11,18),-1.13071 # DEPENDENCYPART_ARC
(11,19),0.682312 # DEPENDENCYPART_ARC
(11,20),0.253388 # DEPENDENCYPART_ARC
(12,10),-2.30892 # DEPENDENCYPART_ARC
(12,11),-1.51832 # DEPENDENCYPART_ARC
(12,13),-0.197551 # DEPENDENCYPART_ARC
(12,14),-1.02949 # DEPENDENCYPART_ARC
(12,15),-0.623645 # DEPENDENCYPART_ARC
(13,8),-0.583641 # DEPENDENCYPART_ARC
(13,10),-1.18889 # DEPENDENCYPART_ARC
(13,11),-0.375364 # DEPENDENCYPART_ARC
(13,12),2.01464 # DEPENDENCYPART_ARC
(13,14),-1.61298 # DEPENDENCYPART_ARC
(13,15),-0.657014 # DEPENDENCYPART_ARC
(13,16),-1.81385 # DEPENDENCYPART_ARC
(13,18),-2.50655 # DEPENDENCYPART_ARC
(14,5),-2.69498 # DEPENDENCYPART_ARC
(14,8),-1.05917 # DEPENDENCYPART_ARC
(14,10),-1.72791 # DEPENDENCYPART_ARC
(14,11),-1.0217 # DEPENDENCYPART_ARC
(14,12),0.414797 # DEPENDENCYPART_ARC
(14,13),0.200399 # DEPENDENCYPART_ARC
(14,15),1.29798 # DEPENDENCYPART_ARC
(14,16),-0.920809 # DEPENDENCYPART_ARC
(14,17),-0.999579 # DEPENDENCYPART_ARC
(14,18),-1.85919 # DEPENDENCYPART_ARC
(14,19),-1.41711 # DEPENDENCYPART_ARC
(14,21),-2.04667 # DEPENDENCYPART_ARC
(14,22),-0.986194 # DEPENDENCYPART_ARC
(15,13),-0.669985 # DEPENDENCYPART_ARC
(15,16),-0.51013 # DEPENDENCYPART_ARC
(16,12),-0.806773 # DEPENDENCYPART_ARC
(16,13),-3.06402 # DEPENDENCYPART_ARC
(16,14),-1.61095 # DEPENDENCYPART_ARC
(16,15),0.100896 # DEPENDENCYPART_ARC
(16,18),-2.2273 # DEPENDENCYPART_ARC
(16,21),-2.35261 # DEPENDENCYPART_ARC
(17,1),-1.36182 # DEPENDENCYPART_ARC
(17,2),-2.17641 # DEPENDENCYPART_ARC
(17,3),-1.30132 # DEPENDENCYPART_ARC
(17,4),-0.844707 # DEPENDENCYPART_ARC
(17,6),-1.49377 # DEPENDENCYPART_ARC
(17,7),-0.628709 # DEPENDENCYPART_ARC
(17,8),-1.01046 # DEPENDENCYPART_ARC
(17,11),-0.623492 # DEPENDENCYPART_ARC
(17,12),0.110177 # DEPENDENCYPART_ARC
(17,13),-0.345938 # DEPENDENCYPART_ARC
(17,14),0.697746 # DEPENDENCYPART_ARC
(17,15),-1.36313 # DEPENDENCYPART_ARC
(17,16),2.4228 # DEPENDENCYPART_ARC
(17,18),2.95512 # DEPENDENCYPART_ARC
(17,19),0.293051 # DEPENDENCYPART_ARC
(17,20),-0.455415 # DEPENDENCYPART_ARC
(17,21),-0.828696 # DEPENDENCYPART_ARC
(18,16),-2.7992 # DEPENDENCYPART_ARC
(18,17),-0.551517 # DEPENDENCYPART_ARC
(18,19),-1.29412 # DEPENDENCYPART_ARC
(18,21),-2.31345 # DEPENDENCYPART_ARC
(18,22),-0.962251 # DEPENDENCYPART_ARC
(19,2),-0.981671 # DEPENDENCYPART_ARC
(19,3),-1.61889 # DEPENDENCYPART_ARC
(19,4),-1.21687 # DEPENDENCYPART_ARC
(19,5),-1.11895 # DEPENDENCYPART_ARC
(19,6),-0.812529 # DEPENDENCYPART_ARC
(19,7),-0.650202 # DEPENDENCYPART_ARC
(19,8),-1.44094 # DEPENDENCYPART_ARC
(19,9),-0.645986 # DEPENDENCYPART_ARC
(19,11),-0.612357 # DEPENDENCYPART_ARC
(19,12),-0.095411 # DEPENDENCYPART_ARC
(19,13),0.292242 # DEPENDENCYPART_ARC
(19,14),-0.142029 # DEPENDENCYPART_ARC
(19,16),0.771983 # DEPENDENCYPART_ARC
(19,17),0.861892 # DEPENDENCYPART_ARC
(19,18),1.85814 # DEPENDENCYPART_ARC
(19,20),-0.665078 # DEPENDENCYPART_ARC
(19,21),-1.02219 # DEPENDENCYPART_ARC
(20,1),-0.672282 # DEPENDENCYPART_ARC
(20,2),-0.645626 # DEPENDENCYPART_ARC
(20,3),-1.4134 # DEPENDENCYPART_ARC
(20,4),-1.42406 # DEPENDENCYPART_ARC
(20,5),-1.12728 # DEPENDENCYPART_ARC
(20,6),-0.649778 # DEPENDENCYPART_ARC
(20,7),-1.04144 # DEPENDENCYPART_ARC
(20,8),-0.561978 # DEPENDENCYPART_ARC
(20,9),-0.137654 # DEPENDENCYPART_ARC
(20,10),-1.5449 # DEPENDENCYPART_ARC
(20,11),-0.27595 # DEPENDENCYPART_ARC
(20,12),-0.188553 # DEPENDENCYPART_ARC
(20,13),0.246866 # DEPENDENCYPART_ARC
(20,14),-0.171347 # DEPENDENCYPART_ARC
(20,15),-1.3028 # DEPENDENCYPART_ARC
(20,16),0.426271 # DEPENDENCYPART_ARC
(20,17),0.682624 # DEPENDENCYPART_ARC
(20,18),0.748496 # DEPENDENCYPART_ARC
(20,19),2.05393 # DEPENDENCYPART_ARC
(20,21),1.41905 # DEPENDENCYPART_ARC
(20,22),-0.176236 # DEPENDENCYPART_ARC
(21,18),-1.51096 # DEPENDENCYPART_ARC
(21,19),-1.29207 # DEPENDENCYPART_ARC
(21,20),-0.995175 # DEPENDENCYPART_ARC
(21,22),1.49909 # DEPENDENCYPART_ARC
(22,20),-1.00715 # DEPENDENCYPART_ARC
