# _root_ " ekintza guztietan material asko kendu digute , telefono mobilak , mendiko materiala ... portugalen kendu zizkiguten hiru furgonetak ez dizkigute itzuli " .
#goldHeads=0,6,2,6,4,8,6,0,11,9,4,13,11,13,16,19,16,19,22,22,22,8,22,23,
#predictedHeads=0,6,2,6,4,0,6,7,22,9,10,13,16,13,16,22,16,19,22,22,22,2,22,23,
(13,17),-1.20029 # DEPENDENCYPART_ARC
(13,18),-3.12756 # DEPENDENCYPART_ARC
(13,22),-2.18705 # DEPENDENCYPART_ARC
(13,24),-0.732656 # DEPENDENCYPART_ARC
(15,11),-1.68047 # DEPENDENCYPART_ARC
(15,12),-2.09289 # DEPENDENCYPART_ARC
(15,13),-4.07265 # DEPENDENCYPART_ARC
(15,16),-2.1662 # DEPENDENCYPART_ARC
(15,18),-3.71882 # DEPENDENCYPART_ARC
(16,2),-1.38982 # DEPENDENCYPART_ARC
(16,4),-1.09629 # DEPENDENCYPART_ARC
(16,5),-1.90451 # DEPENDENCYPART_ARC
(16,6),-0.821697 # DEPENDENCYPART_ARC
(16,7),-0.905935 # DEPENDENCYPART_ARC
(16,8),-1.67608 # DEPENDENCYPART_ARC
(16,9),-0.630183 # DEPENDENCYPART_ARC
(16,10),-1.37904 # DEPENDENCYPART_ARC
(16,11),-1.85227 # DEPENDENCYPART_ARC
(16,12),-1.14245 # DEPENDENCYPART_ARC
(16,13),0.0955106 # DEPENDENCYPART_ARC
(16,15),2.10192 # DEPENDENCYPART_ARC
(16,17),2.06187 # DEPENDENCYPART_ARC
(16,18),-0.238305 # DEPENDENCYPART_ARC
(16,19),0.294075 # DEPENDENCYPART_ARC
(16,20),-0.383213 # DEPENDENCYPART_ARC
(16,21),-0.380541 # DEPENDENCYPART_ARC
(16,22),-0.307869 # DEPENDENCYPART_ARC
(17,13),-2.27252 # DEPENDENCYPART_ARC
(17,15),-2.5417 # DEPENDENCYPART_ARC
(17,19),-1.79756 # DEPENDENCYPART_ARC
(17,21),-1.50727 # DEPENDENCYPART_ARC
(18,16),-0.790505 # DEPENDENCYPART_ARC
(18,19),-0.0958758 # DEPENDENCYPART_ARC
(19,6),-0.980171 # DEPENDENCYPART_ARC
(19,10),-1.55761 # DEPENDENCYPART_ARC
(19,12),-0.241497 # DEPENDENCYPART_ARC
(19,13),-1.88 # DEPENDENCYPART_ARC
(19,15),-2.21391 # DEPENDENCYPART_ARC
(19,16),0.507292 # DEPENDENCYPART_ARC
(19,17),-0.810447 # DEPENDENCYPART_ARC
(19,18),1.92952 # DEPENDENCYPART_ARC
(19,20),-0.98777 # DEPENDENCYPART_ARC
(19,21),-2.01398 # DEPENDENCYPART_ARC
(19,24),-1.45746 # DEPENDENCYPART_ARC
(20,19),-0.655323 # DEPENDENCYPART_ARC
(21,19),-0.109421 # DEPENDENCYPART_ARC
(21,20),-0.350096 # DEPENDENCYPART_ARC
(21,22),-1.19859 # DEPENDENCYPART_ARC
(22,2),-0.92776 # DEPENDENCYPART_ARC
(22,4),-0.650287 # DEPENDENCYPART_ARC
(22,5),-0.664445 # DEPENDENCYPART_ARC
(22,6),-0.0221304 # DEPENDENCYPART_ARC
(22,8),-0.920118 # DEPENDENCYPART_ARC
(22,9),-0.146669 # DEPENDENCYPART_ARC
(22,10),-0.608523 # DEPENDENCYPART_ARC
(22,11),-1.12798 # DEPENDENCYPART_ARC
(22,12),-1.24602 # DEPENDENCYPART_ARC
(22,13),-0.101426 # DEPENDENCYPART_ARC
(22,15),0.707925 # DEPENDENCYPART_ARC
(22,16),0.781335 # DEPENDENCYPART_ARC
(22,17),-0.24311 # DEPENDENCYPART_ARC
(22,18),0.180295 # DEPENDENCYPART_ARC
(22,19),1.53664 # DEPENDENCYPART_ARC
(22,20),1.57278 # DEPENDENCYPART_ARC
(22,21),1.07811 # DEPENDENCYPART_ARC
(22,23),1.67403 # DEPENDENCYPART_ARC
(22,24),0.254597 # DEPENDENCYPART_ARC
(23,24),1.699 # DEPENDENCYPART_ARC
