# _root_ sabelean kolpeak eman zizkiotela , eta barrabiletatik hartu zutela aurrekoan , deitoratu zuen .
#goldHeads=3,3,6,3,4,12,8,6,8,8,10,0,12,13,
#predictedHeads=3,3,6,3,4,0,8,6,8,12,10,6,12,13,
(3,11),-1.55689 # DEPENDENCYPART_ARC
(3,12),-1.41002 # DEPENDENCYPART_ARC
(3,13),-1.62759 # DEPENDENCYPART_ARC
(4,1),-2.10721 # DEPENDENCYPART_ARC
(4,2),-1.15003 # DEPENDENCYPART_ARC
(4,3),-1.54544 # DEPENDENCYPART_ARC
(4,5),1.72056 # DEPENDENCYPART_ARC
(4,6),-0.86432 # DEPENDENCYPART_ARC
(4,7),-0.669581 # DEPENDENCYPART_ARC
(4,8),-2.82438 # DEPENDENCYPART_ARC
(4,9),-1.17631 # DEPENDENCYPART_ARC
(4,12),-2.91232 # DEPENDENCYPART_ARC
(4,13),-1.42873 # DEPENDENCYPART_ARC
(5,3),-0.306398 # DEPENDENCYPART_ARC
(5,4),-0.226405 # DEPENDENCYPART_ARC
(5,6),-0.822654 # DEPENDENCYPART_ARC
(5,7),-1.56488 # DEPENDENCYPART_ARC
(5,8),-1.01146 # DEPENDENCYPART_ARC
(5,12),-1.44535 # DEPENDENCYPART_ARC
(6,1),-1.19453 # DEPENDENCYPART_ARC
(6,2),-0.294847 # DEPENDENCYPART_ARC
(6,3),1.57337 # DEPENDENCYPART_ARC
(6,4),-0.643486 # DEPENDENCYPART_ARC
(6,5),-0.509967 # DEPENDENCYPART_ARC
(6,7),0.3347 # DEPENDENCYPART_ARC
(6,8),1.05491 # DEPENDENCYPART_ARC
(6,9),0.109231 # DEPENDENCYPART_ARC
(6,11),-0.415262 # DEPENDENCYPART_ARC
(6,12),0.350486 # DEPENDENCYPART_ARC
(7,1),-3.64019 # DEPENDENCYPART_ARC
(7,2),-3.33944 # DEPENDENCYPART_ARC
(7,3),-1.12835 # DEPENDENCYPART_ARC
(7,5),-1.88224 # DEPENDENCYPART_ARC
(7,6),-0.474887 # DEPENDENCYPART_ARC
(7,8),-1.45492 # DEPENDENCYPART_ARC
(7,9),-0.403776 # DEPENDENCYPART_ARC
(7,12),-2.44082 # DEPENDENCYPART_ARC
(7,13),-1.56369 # DEPENDENCYPART_ARC
(7,14),-0.881508 # DEPENDENCYPART_ARC
(8,1),-0.0612428 # DEPENDENCYPART_ARC
(8,2),-0.697668 # DEPENDENCYPART_ARC
(8,3),-0.1354 # DEPENDENCYPART_ARC
(8,4),-1.0422 # DEPENDENCYPART_ARC
(8,5),-1.28466 # DEPENDENCYPART_ARC
(8,6),-0.383932 # DEPENDENCYPART_ARC
(8,7),1.65587 # DEPENDENCYPART_ARC
(8,9),1.13898 # DEPENDENCYPART_ARC
(8,10),0.432424 # DEPENDENCYPART_ARC
(8,11),-1.00187 # DEPENDENCYPART_ARC
(8,12),-0.936445 # DEPENDENCYPART_ARC
(8,13),-1.24135 # DEPENDENCYPART_ARC
(9,1),-2.25859 # DEPENDENCYPART_ARC
(9,2),-1.51927 # DEPENDENCYPART_ARC
(9,3),-2.38766 # DEPENDENCYPART_ARC
(9,6),-1.1531 # DEPENDENCYPART_ARC
(9,7),-0.861491 # DEPENDENCYPART_ARC
(9,12),-2.51555 # DEPENDENCYPART_ARC
(9,13),-1.54095 # DEPENDENCYPART_ARC
(10,8),0.0886879 # DEPENDENCYPART_ARC
(10,11),0.914495 # DEPENDENCYPART_ARC
(11,6),-0.427359 # DEPENDENCYPART_ARC
(11,8),-0.281222 # DEPENDENCYPART_ARC
(11,9),-0.701765 # DEPENDENCYPART_ARC
(11,12),-0.577993 # DEPENDENCYPART_ARC
(12,1),-0.684834 # DEPENDENCYPART_ARC
(12,2),-1.4544 # DEPENDENCYPART_ARC
(12,3),-0.349501 # DEPENDENCYPART_ARC
(12,4),-1.20168 # DEPENDENCYPART_ARC
(12,5),-1.07604 # DEPENDENCYPART_ARC
(12,6),0.0313346 # DEPENDENCYPART_ARC
(12,7),-0.559829 # DEPENDENCYPART_ARC
(12,8),0.230979 # DEPENDENCYPART_ARC
(12,9),-0.932458 # DEPENDENCYPART_ARC
(12,10),1.11848 # DEPENDENCYPART_ARC
(12,11),-0.0907907 # DEPENDENCYPART_ARC
(12,13),1.40857 # DEPENDENCYPART_ARC
(12,14),-0.082911 # DEPENDENCYPART_ARC
(13,1),-1.70203 # DEPENDENCYPART_ARC
(13,2),-1.43328 # DEPENDENCYPART_ARC
(13,7),-1.39416 # DEPENDENCYPART_ARC
(13,8),-3.14462 # DEPENDENCYPART_ARC
(13,14),1.62512 # DEPENDENCYPART_ARC
