# _root_ agentzien_arabera , bi alderdi abertzaleek lan horretan dihardute egun hauetan , eta oraindik ez dute erabaki osoko zuzenketa aurkeztuko duten .
#goldHeads=12,1,4,8,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
#predictedHeads=8,1,4,6,4,8,6,12,8,9,10,0,16,16,16,12,18,19,16,19,20,
(19,13),-0.316004 # DEPENDENCYPART_ARC
(19,14),0.32031 # DEPENDENCYPART_ARC
(19,15),-0.319405 # DEPENDENCYPART_ARC
(19,16),0.259777 # DEPENDENCYPART_ARC
(19,17),0.239047 # DEPENDENCYPART_ARC
(19,18),1.62121 # DEPENDENCYPART_ARC
(19,20),1.94242 # DEPENDENCYPART_ARC
(19,21),-0.686655 # DEPENDENCYPART_ARC
(20,14),-1.62715 # DEPENDENCYPART_ARC
(20,18),-1.06085 # DEPENDENCYPART_ARC
(20,21),1.96078 # DEPENDENCYPART_ARC
