# _root_ halaber , batzarkide eta parlamentario ugari ere agertu ziren hitzordura , eta hainbat euskal_erakunde nazionaletako ordezkariek ongi etorria eman zioten ekimenari .
#goldHeads=0,3,4,8,4,4,0,12,8,8,10,0,16,16,16,19,19,17,12,19,19,21,
#predictedHeads=0,3,4,8,4,5,0,12,8,8,10,0,14,16,14,19,19,19,12,19,19,21,
(15,10),-2.35964 # DEPENDENCYPART_ARC
(15,13),-0.595408 # DEPENDENCYPART_ARC
(15,14),0.160904 # DEPENDENCYPART_ARC
(15,16),-1.38407 # DEPENDENCYPART_ARC
(15,17),-1.22013 # DEPENDENCYPART_ARC
(15,18),-2.32456 # DEPENDENCYPART_ARC
(16,3),-1.2126 # DEPENDENCYPART_ARC
(16,4),-0.564225 # DEPENDENCYPART_ARC
(16,5),-0.835785 # DEPENDENCYPART_ARC
(16,8),-0.637468 # DEPENDENCYPART_ARC
(16,10),-1.79667 # DEPENDENCYPART_ARC
(16,11),-1.39429 # DEPENDENCYPART_ARC
(16,12),-0.04347 # DEPENDENCYPART_ARC
(16,13),-0.136746 # DEPENDENCYPART_ARC
(16,14),0.82976 # DEPENDENCYPART_ARC
(16,15),0.483154 # DEPENDENCYPART_ARC
(16,17),-0.0787077 # DEPENDENCYPART_ARC
(16,18),-1.31485 # DEPENDENCYPART_ARC
(16,19),-2.57733 # DEPENDENCYPART_ARC
(16,20),-2.67173 # DEPENDENCYPART_ARC
(16,21),-1.91414 # DEPENDENCYPART_ARC
(16,22),-0.998269 # DEPENDENCYPART_ARC
(17,1),-1.01025 # DEPENDENCYPART_ARC
(17,7),-0.764627 # DEPENDENCYPART_ARC
(17,16),-0.32439 # DEPENDENCYPART_ARC
(17,18),-0.0523691 # DEPENDENCYPART_ARC
(17,21),-1.04573 # DEPENDENCYPART_ARC
(18,4),-1.61089 # DEPENDENCYPART_ARC
(18,11),-1.7139 # DEPENDENCYPART_ARC
(18,14),-0.576897 # DEPENDENCYPART_ARC
(18,15),-0.711421 # DEPENDENCYPART_ARC
(18,16),-1.70124 # DEPENDENCYPART_ARC
(18,17),0.349123 # DEPENDENCYPART_ARC
(18,19),-1.01766 # DEPENDENCYPART_ARC
(18,20),-1.75578 # DEPENDENCYPART_ARC
(18,21),-1.72352 # DEPENDENCYPART_ARC
(18,22),-0.983868 # DEPENDENCYPART_ARC
(19,3),-1.75307 # DEPENDENCYPART_ARC
(19,4),-0.817362 # DEPENDENCYPART_ARC
(19,5),-0.986607 # DEPENDENCYPART_ARC
(19,6),-1.07219 # DEPENDENCYPART_ARC
(19,7),-2.34768 # DEPENDENCYPART_ARC
(19,8),-0.321199 # DEPENDENCYPART_ARC
(19,9),-0.581473 # DEPENDENCYPART_ARC
(19,10),-0.48702 # DEPENDENCYPART_ARC
(19,11),-1.57778 # DEPENDENCYPART_ARC
(19,12),-0.473176 # DEPENDENCYPART_ARC
(19,13),-0.636277 # DEPENDENCYPART_ARC
(19,14),0.204517 # DEPENDENCYPART_ARC
(19,15),-1.08573 # DEPENDENCYPART_ARC
(19,16),1.19674 # DEPENDENCYPART_ARC
(19,17),0.719055 # DEPENDENCYPART_ARC
(19,18),2.0745 # DEPENDENCYPART_ARC
(19,20),2.62748 # DEPENDENCYPART_ARC
(19,21),1.82651 # DEPENDENCYPART_ARC
(20,18),-0.342527 # DEPENDENCYPART_ARC
(20,21),-1.27142 # DEPENDENCYPART_ARC
(21,14),-1.22816 # DEPENDENCYPART_ARC
(21,15),-2.39872 # DEPENDENCYPART_ARC
(21,16),-3.17672 # DEPENDENCYPART_ARC
(21,17),-1.4429 # DEPENDENCYPART_ARC
(21,18),-2.14558 # DEPENDENCYPART_ARC
(21,19),0.0618977 # DEPENDENCYPART_ARC
(21,20),-1.24697 # DEPENDENCYPART_ARC
(21,22),1.5299 # DEPENDENCYPART_ARC
