# _root_ bestalde , urretxun ehrekiko ituna hautsi bazuen , zergatik udalbiltzan ez duen gauza bera proposatu galdetu zion .
#goldHeads=0,3,6,5,6,15,6,7,15,15,15,15,15,13,16,0,16,17,
#predictedHeads=0,3,6,5,6,13,6,7,16,15,15,15,15,13,16,0,16,17,
(7,12),-0.971283 # DEPENDENCYPART_ARC
(7,15),-2.23437 # DEPENDENCYPART_ARC
(7,16),-2.24606 # DEPENDENCYPART_ARC
(8,6),-0.366489 # DEPENDENCYPART_ARC
(8,7),-0.225769 # DEPENDENCYPART_ARC
(8,13),-0.95916 # DEPENDENCYPART_ARC
(8,15),-1.16995 # DEPENDENCYPART_ARC
(8,16),-1.03656 # DEPENDENCYPART_ARC
(9,13),-1.08278 # DEPENDENCYPART_ARC
(10,2),-2.05045 # DEPENDENCYPART_ARC
(10,5),-4.21512 # DEPENDENCYPART_ARC
(10,6),-2.30912 # DEPENDENCYPART_ARC
(10,8),-1.30351 # DEPENDENCYPART_ARC
(10,13),-1.80085 # DEPENDENCYPART_ARC
(11,5),-1.94913 # DEPENDENCYPART_ARC
(11,10),-0.636694 # DEPENDENCYPART_ARC
(11,13),-1.46843 # DEPENDENCYPART_ARC
(11,15),-1.67978 # DEPENDENCYPART_ARC
(11,16),-1.7234 # DEPENDENCYPART_ARC
(12,6),-2.02517 # DEPENDENCYPART_ARC
(12,10),-0.877068 # DEPENDENCYPART_ARC
(12,11),-0.656635 # DEPENDENCYPART_ARC
(12,13),-0.521838 # DEPENDENCYPART_ARC
(12,16),-1.87473 # DEPENDENCYPART_ARC
(12,17),-1.34163 # DEPENDENCYPART_ARC
(13,3),-2.02647 # DEPENDENCYPART_ARC
(13,4),-0.994545 # DEPENDENCYPART_ARC
(13,5),-1.94512 # DEPENDENCYPART_ARC
(13,6),0.16688 # DEPENDENCYPART_ARC
(13,8),-0.93854 # DEPENDENCYPART_ARC
(13,10),-0.538273 # DEPENDENCYPART_ARC
(13,11),0.392651 # DEPENDENCYPART_ARC
(13,12),0.0661244 # DEPENDENCYPART_ARC
(13,14),3.0951 # DEPENDENCYPART_ARC
(13,15),-0.354164 # DEPENDENCYPART_ARC
(13,17),-1.10631 # DEPENDENCYPART_ARC
(13,18),-0.7578 # DEPENDENCYPART_ARC
(15,1),-1.28682 # DEPENDENCYPART_ARC
(15,2),-1.84237 # DEPENDENCYPART_ARC
(15,3),0.00625232 # DEPENDENCYPART_ARC
(15,4),0.159047 # DEPENDENCYPART_ARC
(15,5),-0.0519506 # DEPENDENCYPART_ARC
(15,6),-0.327022 # DEPENDENCYPART_ARC
(15,7),-0.789162 # DEPENDENCYPART_ARC
(15,8),-1.47222 # DEPENDENCYPART_ARC
(15,9),-0.0730335 # DEPENDENCYPART_ARC
(15,10),1.13472 # DEPENDENCYPART_ARC
(15,11),0.556915 # DEPENDENCYPART_ARC
(15,12),0.233711 # DEPENDENCYPART_ARC
(15,13),1.48988 # DEPENDENCYPART_ARC
(15,14),0.764746 # DEPENDENCYPART_ARC
(15,16),0.767783 # DEPENDENCYPART_ARC
(15,17),1.33294 # DEPENDENCYPART_ARC
(16,1),-0.523343 # DEPENDENCYPART_ARC
(16,2),-1.83051 # DEPENDENCYPART_ARC
(16,3),-0.393463 # DEPENDENCYPART_ARC
(16,4),-0.514889 # DEPENDENCYPART_ARC
(16,5),-1.32815 # DEPENDENCYPART_ARC
(16,6),0.0375357 # DEPENDENCYPART_ARC
(16,7),-1.47319 # DEPENDENCYPART_ARC
(16,8),-1.21845 # DEPENDENCYPART_ARC
(16,9),0.0583222 # DEPENDENCYPART_ARC
(16,10),0.0518214 # DEPENDENCYPART_ARC
(16,11),-0.314886 # DEPENDENCYPART_ARC
(16,12),-0.502046 # DEPENDENCYPART_ARC
(16,13),0.400384 # DEPENDENCYPART_ARC
(16,14),-0.642256 # DEPENDENCYPART_ARC
(16,15),1.98968 # DEPENDENCYPART_ARC
(16,17),1.85254 # DEPENDENCYPART_ARC
(16,18),-0.189213 # DEPENDENCYPART_ARC
(17,11),-1.56672 # DEPENDENCYPART_ARC
(17,13),-0.925474 # DEPENDENCYPART_ARC
(17,15),-2.83449 # DEPENDENCYPART_ARC
(17,16),-2.26644 # DEPENDENCYPART_ARC
(17,18),1.78464 # DEPENDENCYPART_ARC
